date,open,low,high,close
2018-01-02,20.3033,20.3033,20.3033,20.3033
2018-01-03,16.0272,16.0272,16.0272,16.0272
2018-01-04,57.5241,57.5241,57.5241,57.5241
2018-01-05,53.2981,53.2981,53.2981,53.2981
2018-01-08,21.3458,21.3458,21.3458,21.3458
2018-01-09,45.7386,45.7386,45.7386,45.7386
2018-01-10,67.8298,67.8298,67.8298,67.8298
2018-01-11,56.6871,56.6871,56.6871,56.6871
2018-01-12,106.2943,106.2943,106.2943,106.2943
2018-01-16,158.5198,158.5198,158.5198,158.5198
2018-01-17,135.4948,135.4948,135.4948,135.4948
2018-01-18,154.2604,154.2604,154.2604,154.2604
2018-01-19,191.3892,191.3892,191.3892,191.3892
2018-01-22,213.0449,213.0449,213.0449,213.0449
2018-01-23,198.7201,198.7201,198.7201,198.7201
2018-01-24,231.7329,231.7329,231.7329,231.7329
2018-01-25,231.7442,231.7442,231.7442,231.7442
2018-01-26,207.5222,207.5222,207.5222,207.5222
2018-01-29,205.8798,205.8798,205.8798,205.8798
2018-01-30,130.3705,130.3705,130.3705,130.3705
2018-01-31,109.1504,109.1504,109.1504,109.1504
2018-02-01,111.1707,111.1707,111.1707,111.1707
2018-02-02,54.707,54.707,54.707,54.707
2018-02-05,-93.0656,-93.0656,-93.0656,-93.0656
2018-02-06,-112.4699,-112.4699,-112.4699,-112.4699
2018-02-07,-51.6633,-51.6633,-51.6633,-51.6633
2018-02-08,-135.7587,-135.7587,-135.7587,-135.7587
2018-02-09,-127.2684,-127.2684,-127.2684,-127.2684
2018-02-12,-56.2512,-56.2512,-56.2512,-56.2512
2018-02-13,-50.8264,-50.8264,-50.8264,-50.8264
2018-02-14,-4.7738,-4.7738,-4.7738,-4.7738
2018-02-15,29.0954,29.0954,29.0954,29.0954
2018-02-16,25.561,25.561,25.561,25.561
2018-02-20,10.409,10.409,10.409,10.409
2018-02-21,36.1768,36.1768,36.1768,36.1768
2018-02-22,6.5203,6.5203,6.5203,6.5203
2018-02-23,14.4258,14.4258,14.4258,14.4258
2018-02-26,36.0541,36.0541,36.0541,36.0541
2018-02-27,13.3375,13.3375,13.3375,13.3375
2018-02-28,-25.034,-25.034,-25.034,-25.034
2018-03-01,-101.7456,-101.7456,-101.7456,-101.7456
2018-03-02,-146.2011,-146.2011,-146.2011,-146.2011
2018-03-05,-104.4827,-104.4827,-104.4827,-104.4827
2018-03-06,-91.1705,-91.1705,-91.1705,-91.1705
2018-03-07,-114.4551,-114.4551,-114.4551,-114.4551
2018-03-08,-102.2239,-102.2239,-102.2239,-102.2239
2018-03-09,-28.6832,-28.6832,-28.6832,-28.6832
2018-03-12,-11.2036,-11.2036,-11.2036,-11.2036
2018-03-13,-42.2191,-42.2191,-42.2191,-42.2191
2018-03-14,-87.4913,-87.4913,-87.4913,-87.4913
2018-03-15,-104.3803,-104.3803,-104.3803,-104.3803
2018-03-16,-92.5061,-92.5061,-92.5061,-92.5061
2018-03-19,-117.2056,-117.2056,-117.2056,-117.2056
2018-03-20,-99.4463,-99.4463,-99.4463,-99.4463
2018-03-21,-82.2481,-82.2481,-82.2481,-82.2481
2018-03-22,-163.2949,-163.2949,-163.2949,-163.2949
2018-03-23,-222.5098,-222.5098,-222.5098,-222.5098
2018-03-26,-192.4371,-192.4371,-192.4371,-192.4371
2018-03-27,-199.8944,-199.8944,-199.8944,-199.8944
2018-03-28,-205.4608,-205.4608,-205.4608,-205.4608
2018-03-29,-195.2793,-195.2793,-195.2793,-195.2793
2018-04-02,-195.9114,-195.9114,-195.9114,-195.9114
2018-04-03,-169.1892,-169.1892,-169.1892,-169.1892
2018-04-04,-142.1877,-142.1877,-142.1877,-142.1877
2018-04-05,-87.8005,-87.8005,-87.8005,-87.8005
2018-04-06,-117.0109,-117.0109,-117.0109,-117.0109
2018-04-09,-88.557,-88.557,-88.557,-88.557
2018-04-10,-62.4202,-62.4202,-62.4202,-62.4202
2018-04-11,-74.4907,-74.4907,-74.4907,-74.4907
2018-04-12,-30.9737,-30.9737,-30.9737,-30.9737
2018-04-13,-35.5877,-35.5877,-35.5877,-35.5877
2018-04-16,-57.208,-57.208,-57.208,-57.208
2018-04-17,-62.0703,-62.0703,-62.0703,-62.0703
2018-04-18,-74.318,-74.318,-74.318,-74.318
2018-04-19,-55.8736,-55.8736,-55.8736,-55.8736
2018-04-20,-47.8202,-47.8202,-47.8202,-47.8202
2018-04-23,-57.8204,-57.8204,-57.8204,-57.8204
