date,open,low,high,close
2018-01-02,74.2587,74.2587,74.2587,74.2587
2018-01-03,74.2749,74.2749,74.2749,74.2749
2018-01-04,74.3352,74.3352,74.3352,74.3352
2018-01-05,74.3876,74.3876,74.3876,74.3876
2018-01-08,74.3945,74.3945,74.3945,74.3945
2018-01-09,74.4392,74.4392,74.4392,74.4392
2018-01-10,74.4983,74.4983,74.4983,74.4983
2018-01-11,74.55,74.55,74.55,74.55
2018-01-12,74.6618,74.6618,74.6618,74.6618
2018-01-16,74.7812,74.7812,74.7812,74.7812
2018-01-17,74.9123,74.9123,74.9123,74.9123
2018-01-18,75.0332,75.0332,75.0332,75.0332
2018-01-19,75.1926,75.1926,75.1926,75.1926
2018-01-22,75.3583,75.3583,75.3583,75.3583
2018-01-23,75.514,75.514,75.514,75.514
2018-01-24,75.706,75.706,75.706,75.706
2018-01-25,75.8881,75.8881,75.8881,75.8881
2018-01-26,76.0926,76.0926,76.0926,76.0926
2018-01-29,76.2813,76.2813,76.2813,76.2813
2018-01-30,76.3953,76.3953,76.3953,76.3953
2018-01-31,76.497,76.497,76.497,76.497
2018-02-01,76.6289,76.6289,76.6289,76.6289
2018-02-02,76.648,76.648,76.648,76.648
2018-02-05,76.4832,76.4832,76.4832,76.4832
2018-02-06,76.4021,76.4021,76.4021,76.4021
2018-02-07,76.3332,76.3332,76.3332,76.3332
2018-02-08,76.1155,76.1155,76.1155,76.1155
2018-02-09,75.9967,75.9967,75.9967,75.9967
2018-02-12,75.9363,75.9363,75.9363,75.9363
2018-02-13,75.8994,75.8994,75.8994,75.8994
2018-02-14,75.939,75.939,75.939,75.939
2018-02-15,75.9946,75.9946,75.9946,75.9946
2018-02-16,76.0349,76.0349,76.0349,76.0349
2018-02-20,76.0556,76.0556,76.0556,76.0556
2018-02-21,76.1017,76.1017,76.1017,76.1017
2018-02-22,76.1099,76.1099,76.1099,76.1099
2018-02-23,76.1572,76.1572,76.1572,76.1572
2018-02-26,76.2301,76.2301,76.2301,76.2301
2018-02-27,76.2374,76.2374,76.2374,76.2374
2018-02-28,76.2009,76.2009,76.2009,76.2009
2018-03-01,76.077,76.077,76.077,76.077
2018-03-02,75.96,75.96,75.96,75.96
2018-03-05,75.8849,75.8849,75.8849,75.8849
