date,open,low,high,close
2018-01-02,73.3403,73.3403,73.3403,73.3403
2018-01-03,73.3631,73.3631,73.3631,73.3631
2018-01-04,73.4061,73.4061,73.4061,73.4061
2018-01-05,73.4475,73.4475,73.4475,73.4475
2018-01-08,73.4669,73.4669,73.4669,73.4669
2018-01-09,73.5028,73.5028,73.5028,73.5028
2018-01-10,73.5474,73.5474,73.5474,73.5474
2018-01-11,73.5906,73.5906,73.5906,73.5906
2018-01-12,73.6738,73.6738,73.6738,73.6738
2018-01-16,73.7631,73.7631,73.7631,73.7631
2018-01-17,73.8457,73.8457,73.8457,73.8457
2018-01-18,73.9245,73.9245,73.9245,73.9245
2018-01-19,74.0363,74.0363,74.0363,74.0363
2018-01-22,74.1585,74.1585,74.1585,74.1585
2018-01-23,74.265,74.265,74.265,74.265
2018-01-24,74.3876,74.3876,74.3876,74.3876
2018-01-25,74.5098,74.5098,74.5098,74.5098
2018-01-26,74.6788,74.6788,74.6788,74.6788
2018-01-29,74.825,74.825,74.825,74.825
2018-01-30,74.9123,74.9123,74.9123,74.9123
2018-01-31,74.9946,74.9946,74.9946,74.9946
2018-02-01,75.1052,75.1052,75.1052,75.1052
2018-02-02,75.1494,75.1494,75.1494,75.1494
2018-02-05,75.1226,75.1226,75.1226,75.1226
2018-02-06,75.118,75.118,75.118,75.118
2018-02-07,75.116,75.116,75.116,75.116
2018-02-08,75.0846,75.0846,75.0846,75.0846
2018-02-09,75.0639,75.0639,75.0639,75.0639
2018-02-12,75.0588,75.0588,75.0588,75.0588
2018-02-13,75.0611,75.0611,75.0611,75.0611
2018-02-14,75.0945,75.0945,75.0945,75.0945
2018-02-15,75.1347,75.1347,75.1347,75.1347
2018-02-16,75.1662,75.1662,75.1662,75.1662
2018-02-20,75.1889,75.1889,75.1889,75.1889
2018-02-21,75.2227,75.2227,75.2227,75.2227
2018-02-22,75.2412,75.2412,75.2412,75.2412
2018-02-23,75.2747,75.2747,75.2747,75.2747
2018-02-26,75.3205,75.3205,75.3205,75.3205
2018-02-27,75.3368,75.3368,75.3368,75.3368
2018-02-28,75.3393,75.3393,75.3393,75.3393
2018-03-01,75.3182,75.3182,75.3182,75.3182
2018-03-02,75.2934,75.2934,75.2934,75.2934
2018-03-05,75.2793,75.2793,75.2793,75.2793
2018-03-06,75.2636,75.2636,75.2636,75.2636
2018-03-07,75.2489,75.2489,75.2489,75.2489
2018-03-08,75.2372,75.2372,75.2372,75.2372
2018-03-09,75.2492,75.2492,75.2492,75.2492
2018-03-12,75.2599,75.2599,75.2599,75.2599
2018-03-13,75.2566,75.2566,75.2566,75.2566
2018-03-14,75.2445,75.2445,75.2445,75.2445
2018-03-15,75.2326,75.2326,75.2326,75.2326
2018-03-16,75.222,75.222,75.222,75.222
2018-03-19,75.208,75.208,75.208,75.208
2018-03-20,75.1932,75.1932,75.1932,75.1932
2018-03-21,75.1804,75.1804,75.1804,75.1804
2018-03-22,75.1499,75.1499,75.1499,75.1499
2018-03-23,75.0786,75.0786,75.0786,75.0786
2018-03-26,75.0398,75.0398,75.0398,75.0398
2018-03-27,74.9672,74.9672,74.9672,74.9672
2018-03-28,74.8914,74.8914,74.8914,74.8914
2018-03-29,74.8006,74.8006,74.8006,74.8006
2018-04-02,74.6949,74.6949,74.6949,74.6949
2018-04-03,74.612,74.612,74.612,74.612
2018-04-04,74.5507,74.5507,74.5507,74.5507
2018-04-05,74.508,74.508,74.508,74.508
2018-04-06,74.4387,74.4387,74.4387,74.4387
2018-04-09,74.4024,74.4024,74.4024,74.4024
2018-04-10,74.3801,74.3801,74.3801,74.3801
2018-04-11,74.3531,74.3531,74.3531,74.3531
2018-04-12,74.3437,74.3437,74.3437,74.3437
2018-04-13,74.323,74.323,74.323,74.323
2018-04-16,74.2933,74.2933,74.2933,74.2933
2018-04-17,74.2563,74.2563,74.2563,74.2563
2018-04-18,74.2086,74.2086,74.2086,74.2086
2018-04-19,74.1761,74.1761,74.1761,74.1761
2018-04-20,74.1432,74.1432,74.1432,74.1432
2018-04-23,74.1027,74.1027,74.1027,74.1027
2018-04-24,74.0567,74.0567,74.0567,74.0567
2018-04-25,74.0153,74.0153,74.0153,74.0153
2018-04-26,73.9733,73.9733,73.9733,73.9733
2018-04-27,73.9253,73.9253,73.9253,73.9253
2018-04-30,73.8597,73.8597,73.8597,73.8597
2018-05-01,73.7997,73.7997,73.7997,73.7997
2018-05-02,73.7374,73.7374,73.7374,73.7374
2018-05-03,73.6829,73.6829,73.6829,73.6829
2018-05-04,73.6315,73.6315,73.6315,73.6315
2018-05-07,73.5889,73.5889,73.5889,73.5889
2018-05-08,73.5752,73.5752,73.5752,73.5752
2018-05-09,73.5683,73.5683,73.5683,73.5683
2018-05-10,73.5633,73.5633,73.5633,73.5633
2018-05-11,73.5596,73.5596,73.5596,73.5596
2018-05-14,73.5549,73.5549,73.5549,73.5549
