date,open,low,high,close
2018-01-02,-1.15,-1.15,-1.15,-1.15
2018-01-03,-2.51,-2.51,-2.51,-2.51
2018-01-04,-1.03,-1.03,-1.03,-1.03
2018-01-05,-0.03,-0.03,-0.03,-0.03
2018-01-08,-0.45,-0.45,-0.45,-0.45
2018-01-09,-0.4,-0.4,-0.4,-0.4
2018-01-10,-0.2,-0.2,-0.2,-0.2
2018-01-11,-0.59,-0.59,-0.59,-0.59
2018-01-12,1.7,1.7,1.7,1.7
2018-01-16,3.19,3.19,3.19,3.19
2018-01-17,2.7,2.7,2.7,2.7
2018-01-18,1.72,1.72,1.72,1.72
2018-01-19,3.6,3.6,3.6,3.6
2018-01-22,3.93,3.93,3.93,3.93
2018-01-23,2.73,2.73,2.73,2.73
2018-01-24,3.96,3.96,3.96,3.96
2018-01-25,4.66,4.66,4.66,4.66
2018-01-26,5.19,5.19,5.19,5.19
2018-01-29,4.88,4.88,4.88,4.88
2018-01-30,4.21,4.21,4.21,4.21
2018-01-31,4.12,4.12,4.12,4.12
2018-02-01,4.61,4.61,4.61,4.61
2018-02-02,1.51,1.51,1.51,1.51
2018-02-05,-2.14,-2.14,-2.14,-2.14
2018-02-06,0.29,0.29,0.29,0.29
2018-02-07,-0.32,-0.32,-0.32,-0.32
2018-02-08,-3.78,-3.78,-3.78,-3.78
2018-02-09,-1.88,-1.88,-1.88,-1.88
2018-02-12,-2.08,-2.08,-2.08,-2.08
2018-02-13,-1.93,-1.93,-1.93,-1.93
2018-02-14,-0.76,-0.76,-0.76,-0.76
2018-02-15,-0.31,-0.31,-0.31,-0.31
2018-02-16,-1.48,-1.48,-1.48,-1.48
2018-02-20,-2.13,-2.13,-2.13,-2.13
2018-02-21,-1.55,-1.55,-1.55,-1.55
2018-02-22,-3.18,-3.18,-3.18,-3.18
2018-02-23,-2.36,-2.36,-2.36,-2.36
2018-02-26,-2.43,-2.43,-2.43,-2.43
2018-02-27,-3.58,-3.58,-3.58,-3.58
2018-02-28,-3.13,-3.13,-3.13,-3.13
2018-03-01,-4.82,-4.82,-4.82,-4.82
2018-03-02,-5.52,-5.52,-5.52,-5.52
2018-03-05,-2.6,-2.6,-2.6,-2.6
2018-03-06,0.79,0.79,0.79,0.79
2018-03-07,-0.9,-0.9,-0.9,-0.9
2018-03-08,-0.88,-0.88,-0.88,-0.88
2018-03-09,4.24,4.24,4.24,4.24
2018-03-12,2.34,2.34,2.34,2.34
2018-03-13,0.15,0.15,0.15,0.15
2018-03-14,-1.71,-1.71,-1.71,-1.71
2018-03-15,-3.37,-3.37,-3.37,-3.37
2018-03-16,-3.61,-3.61,-3.61,-3.61
2018-03-19,-4.12,-4.12,-4.12,-4.12
2018-03-20,-3.54,-3.54,-3.54,-3.54
2018-03-21,-3.68,-3.68,-3.68,-3.68
2018-03-22,-5.96,-5.96,-5.96,-5.96
2018-03-23,-9.18,-9.18,-9.18,-9.18
2018-03-26,-7.87,-7.87,-7.87,-7.87
2018-03-27,-8.1,-8.1,-8.1,-8.1
2018-03-28,-7.23,-7.23,-7.23,-7.23
2018-03-29,-6.16,-6.16,-6.16,-6.16
2018-04-02,-5.97,-5.97,-5.97,-5.97
2018-04-03,-5.94,-5.94,-5.94,-5.94
2018-04-04,-4.75,-4.75,-4.75,-4.75
2018-04-05,-3.7,-3.7,-3.7,-3.7
2018-04-06,-5.51,-5.51,-5.51,-5.51
2018-04-09,-6.67,-6.67,-6.67,-6.67
2018-04-10,-5.51,-5.51,-5.51,-5.51
2018-04-11,-5.02,-5.02,-5.02,-5.02
2018-04-12,-1.34,-1.34,-1.34,-1.34
2018-04-13,-2.33,-2.33,-2.33,-2.33
2018-04-16,-3.4,-3.4,-3.4,-3.4
2018-04-17,-2.96,-2.96,-2.96,-2.96
2018-04-18,-3.94,-3.94,-3.94,-3.94
2018-04-19,-3.04,-3.04,-3.04,-3.04
2018-04-20,-0.31,-0.31,-0.31,-0.31
2018-04-23,1.58,1.58,1.58,1.58
2018-04-24,-0.66,-0.66,-0.66,-0.66
2018-04-25,1.08,1.08,1.08,1.08
2018-04-26,0.92,0.92,0.92,0.92
2018-04-27,1.49,1.49,1.49,1.49
2018-04-30,0.56,0.56,0.56,0.56
2018-05-01,-0.23,-0.23,-0.23,-0.23
2018-05-02,-1.32,-1.32,-1.32,-1.32
2018-05-03,-2.28,-2.28,-2.28,-2.28
2018-05-04,-0.66,-0.66,-0.66,-0.66
2018-05-07,-0.94,-0.94,-0.94,-0.94
2018-05-08,0.49,0.49,0.49,0.49
2018-05-09,2.06,2.06,2.06,2.06
2018-05-10,0.44,0.44,0.44,0.44
2018-05-11,1.85,1.85,1.85,1.85
2018-05-14,2.55,2.55,2.55,2.55
2018-05-15,2.94,2.94,2.94,2.94
2018-05-16,2.97,2.97,2.97,2.97
2018-05-17,1.28,1.28,1.28,1.28
2018-05-18,-0.04,-0.04,-0.04,-0.04
2018-05-21,0.95,0.95,0.95,0.95
2018-05-22,1.96,1.96,1.96,1.96
2018-05-23,0.88,0.88,0.88,0.88
2018-05-24,0.13,0.13,0.13,0.13
2018-05-25,-0.55,-0.55,-0.55,-0.55
2018-05-29,-2.56,-2.56,-2.56,-2.56
2018-05-30,-1.57,-1.57,-1.57,-1.57
2018-05-31,-1.3,-1.3,-1.3,-1.3
2018-06-01,-0.66,-0.66,-0.66,-0.66
2018-06-04,-0.6,-0.6,-0.6,-0.6
2018-06-05,-1.74,-1.74,-1.74,-1.74
2018-06-06,-2.77,-2.77,-2.77,-2.77
2018-06-07,-3.5,-3.5,-3.5,-3.5
2018-06-08,-4.1,-4.1,-4.1,-4.1
2018-06-11,-4.75,-4.75,-4.75,-4.75
2018-06-12,-5.01,-5.01,-5.01,-5.01
2018-06-13,-5.39,-5.39,-5.39,-5.39
2018-06-14,-5.79,-5.79,-5.79,-5.79
2018-06-15,-5.22,-5.22,-5.22,-5.22
2018-06-18,-3.21,-3.21,-3.21,-3.21
