date,open,low,high,close
2018-01-02,74.0285,74.0285,74.0285,74.0285
2018-01-03,74.042,74.042,74.042,74.042
2018-01-04,74.0847,74.0847,74.0847,74.0847
2018-01-05,74.1522,74.1522,74.1522,74.1522
2018-01-08,74.207,74.207,74.207,74.207
2018-01-09,74.279,74.279,74.279,74.279
2018-01-10,74.364,74.364,74.364,74.364
2018-01-11,74.4532,74.4532,74.4532,74.4532
2018-01-12,74.586,74.586,74.586,74.586
2018-01-16,74.7205,74.7205,74.7205,74.7205
2018-01-17,74.8655,74.8655,74.8655,74.8655
2018-01-18,75.017,75.017,75.017,75.017
2018-01-19,75.1732,75.1732,75.1732,75.1732
2018-01-22,75.3285,75.3285,75.3285,75.3285
2018-01-23,75.4857,75.4857,75.4857,75.4857
2018-01-24,75.6715,75.6715,75.6715,75.6715
2018-01-25,75.8727,75.8727,75.8727,75.8727
2018-01-26,76.0322,76.0322,76.0322,76.0322
2018-01-29,76.1552,76.1552,76.1552,76.1552
2018-01-30,76.2332,76.2332,76.2332,76.2332
2018-01-31,76.3075,76.3075,76.3075,76.3075
2018-02-01,76.36,76.36,76.36,76.36
2018-02-02,76.372,76.372,76.372,76.372
2018-02-05,76.3177,76.3177,76.3177,76.3177
2018-02-06,76.3137,76.3137,76.3137,76.3137
2018-02-07,76.2957,76.2957,76.2957,76.2957
2018-02-08,76.1962,76.1962,76.1962,76.1962
2018-02-09,76.1345,76.1345,76.1345,76.1345
2018-02-12,76.125,76.125,76.125,76.125
2018-02-13,76.1565,76.1565,76.1565,76.1565
2018-02-14,76.205,76.205,76.205,76.205
2018-02-15,76.2402,76.2402,76.2402,76.2402
2018-02-16,76.2932,76.2932,76.2932,76.2932
2018-02-20,76.3382,76.3382,76.3382,76.3382
2018-02-21,76.3677,76.3677,76.3677,76.3677
2018-02-22,76.3872,76.3872,76.3872,76.3872
2018-02-23,76.4447,76.4447,76.4447,76.4447
2018-02-26,76.5137,76.5137,76.5137,76.5137
2018-02-27,76.5462,76.5462,76.5462,76.5462
2018-02-28,76.5732,76.5732,76.5732,76.5732
2018-03-01,76.5557,76.5557,76.5557,76.5557
2018-03-02,76.533,76.533,76.533,76.533
2018-03-05,76.5057,76.5057,76.5057,76.5057
2018-03-06,76.472,76.472,76.472,76.472
2018-03-07,76.4567,76.4567,76.4567,76.4567
2018-03-08,76.4267,76.4267,76.4267,76.4267
2018-03-09,76.4382,76.4382,76.4382,76.4382
2018-03-12,76.4497,76.4497,76.4497,76.4497
2018-03-13,76.4015,76.4015,76.4015,76.4015
2018-03-14,76.3105,76.3105,76.3105,76.3105
2018-03-15,76.2072,76.2072,76.2072,76.2072
2018-03-16,76.1092,76.1092,76.1092,76.1092
2018-03-19,75.9692,75.9692,75.9692,75.9692
2018-03-20,75.8275,75.8275,75.8275,75.8275
2018-03-21,75.6967,75.6967,75.6967,75.6967
2018-03-22,75.4682,75.4682,75.4682,75.4682
2018-03-23,75.1797,75.1797,75.1797,75.1797
2018-03-26,74.9222,74.9222,74.9222,74.9222
2018-03-27,74.6302,74.6302,74.6302,74.6302
2018-03-28,74.3712,74.3712,74.3712,74.3712
2018-03-29,74.0967,74.0967,74.0967,74.0967
2018-04-02,73.8095,73.8095,73.8095,73.8095
2018-04-03,73.596,73.596,73.596,73.596
2018-04-04,73.497,73.497,73.497,73.497
2018-04-05,73.382,73.382,73.382,73.382
2018-04-06,73.2222,73.2222,73.2222,73.2222
2018-04-09,73.1615,73.1615,73.1615,73.1615
2018-04-10,73.0822,73.0822,73.0822,73.0822
2018-04-11,72.9605,72.9605,72.9605,72.9605
2018-04-12,72.8842,72.8842,72.8842,72.8842
2018-04-13,72.7417,72.7417,72.7417,72.7417
2018-04-16,72.5665,72.5665,72.5665,72.5665
2018-04-17,72.3895,72.3895,72.3895,72.3895
2018-04-18,72.2025,72.2025,72.2025,72.2025
2018-04-19,72.0345,72.0345,72.0345,72.0345
2018-04-20,71.8777,71.8777,71.8777,71.8777
2018-04-23,71.6877,71.6877,71.6877,71.6877
2018-04-24,71.4745,71.4745,71.4745,71.4745
2018-04-25,71.299,71.299,71.299,71.299
2018-04-26,71.1412,71.1412,71.1412,71.1412
2018-04-27,71.0245,71.0245,71.0245,71.0245
2018-04-30,70.8892,70.8892,70.8892,70.8892
2018-05-01,70.735,70.735,70.735,70.735
2018-05-02,70.5832,70.5832,70.5832,70.5832
2018-05-03,70.4337,70.4337,70.4337,70.4337
2018-05-04,70.2795,70.2795,70.2795,70.2795
2018-05-07,70.0892,70.0892,70.0892,70.0892
2018-05-08,69.9637,69.9637,69.9637,69.9637
2018-05-09,69.8897,69.8897,69.8897,69.8897
2018-05-10,69.8672,69.8672,69.8672,69.8672
2018-05-11,69.8552,69.8552,69.8552,69.8552
2018-05-14,69.834,69.834,69.834,69.834
2018-05-15,69.8335,69.8335,69.8335,69.8335
2018-05-16,69.8092,69.8092,69.8092,69.8092
2018-05-17,69.7652,69.7652,69.7652,69.7652
2018-05-18,69.7565,69.7565,69.7565,69.7565
2018-05-21,69.8197,69.8197,69.8197,69.8197
2018-05-22,69.8522,69.8522,69.8522,69.8522
2018-05-23,69.9012,69.9012,69.9012,69.9012
2018-05-24,69.9275,69.9275,69.9275,69.9275
2018-05-25,69.951,69.951,69.951,69.951
2018-05-29,69.901,69.901,69.901,69.901
2018-05-30,69.856,69.856,69.856,69.856
2018-05-31,69.7905,69.7905,69.7905,69.7905
2018-06-01,69.717,69.717,69.717,69.717
2018-06-04,69.6855,69.6855,69.6855,69.6855
2018-06-05,69.6185,69.6185,69.6185,69.6185
2018-06-06,69.5615,69.5615,69.5615,69.5615
2018-06-07,69.5255,69.5255,69.5255,69.5255
2018-06-08,69.434,69.434,69.434,69.434
2018-06-11,69.3615,69.3615,69.3615,69.3615
2018-06-12,69.3,69.3,69.3,69.3
2018-06-13,69.2387,69.2387,69.2387,69.2387
2018-06-14,69.1682,69.1682,69.1682,69.1682
2018-06-15,69.0697,69.0697,69.0697,69.0697
2018-06-18,68.9885,68.9885,68.9885,68.9885
2018-06-19,68.921,68.921,68.921,68.921
2018-06-20,68.8775,68.8775,68.8775,68.8775
2018-06-21,68.8342,68.8342,68.8342,68.8342
2018-06-22,68.7847,68.7847,68.7847,68.7847
2018-06-25,68.7037,68.7037,68.7037,68.7037
2018-06-26,68.6547,68.6547,68.6547,68.6547
2018-06-27,68.585,68.585,68.585,68.585
2018-06-28,68.5572,68.5572,68.5572,68.5572
2018-06-29,68.5317,68.5317,68.5317,68.5317
2018-07-02,68.5122,68.5122,68.5122,68.5122
2018-07-03,68.4512,68.4512,68.4512,68.4512
2018-07-05,68.3402,68.3402,68.3402,68.3402
2018-07-06,68.22,68.22,68.22,68.22
2018-07-09,68.1292,68.1292,68.1292,68.1292
2018-07-10,68.0135,68.0135,68.0135,68.0135
2018-07-11,67.8957,67.8957,67.8957,67.8957
2018-07-12,67.7915,67.7915,67.7915,67.7915
2018-07-13,67.6677,67.6677,67.6677,67.6677
2018-07-16,67.6152,67.6152,67.6152,67.6152
2018-07-17,67.6,67.6,67.6,67.6
2018-07-18,67.5855,67.5855,67.5855,67.5855
2018-07-19,67.5332,67.5332,67.5332,67.5332
2018-07-20,67.5077,67.5077,67.5077,67.5077
2018-07-23,67.5302,67.5302,67.5302,67.5302
2018-07-24,67.596,67.596,67.596,67.596
2018-07-25,67.7462,67.7462,67.7462,67.7462
2018-07-26,67.8627,67.8627,67.8627,67.8627
2018-07-27,67.9877,67.9877,67.9877,67.9877
2018-07-30,68.113,68.113,68.113,68.113
2018-07-31,68.2267,68.2267,68.2267,68.2267
2018-08-01,68.356,68.356,68.356,68.356
2018-08-02,68.4462,68.4462,68.4462,68.4462
2018-08-03,68.5447,68.5447,68.5447,68.5447
2018-08-06,68.643,68.643,68.643,68.643
2018-08-07,68.7505,68.7505,68.7505,68.7505
2018-08-08,68.8825,68.8825,68.8825,68.8825
2018-08-09,68.9997,68.9997,68.9997,68.9997
2018-08-10,69.1022,69.1022,69.1022,69.1022
2018-08-13,69.1727,69.1727,69.1727,69.1727
2018-08-14,69.2542,69.2542,69.2542,69.2542
2018-08-15,69.301,69.301,69.301,69.301
2018-08-16,69.3555,69.3555,69.3555,69.3555
2018-08-17,69.4065,69.4065,69.4065,69.4065
2018-08-20,69.4897,69.4897,69.4897,69.4897
2018-08-21,69.627,69.627,69.627,69.627
2018-08-22,69.7472,69.7472,69.7472,69.7472
2018-08-23,69.881,69.881,69.881,69.881
2018-08-24,69.9757,69.9757,69.9757,69.9757
2018-08-27,70.1125,70.1125,70.1125,70.1125
2018-08-28,70.243,70.243,70.243,70.243
2018-08-29,70.4047,70.4047,70.4047,70.4047
2018-08-30,70.5272,70.5272,70.5272,70.5272
2018-08-31,70.6297,70.6297,70.6297,70.6297
2018-09-04,70.6912,70.6912,70.6912,70.6912
2018-09-05,70.7647,70.7647,70.7647,70.7647
2018-09-06,70.8197,70.8197,70.8197,70.8197
2018-09-07,70.848,70.848,70.848,70.848
2018-09-10,70.9137,70.9137,70.9137,70.9137
2018-09-11,70.913,70.913,70.913,70.913
2018-09-12,70.942,70.942,70.942,70.942
2018-09-13,70.9495,70.9495,70.9495,70.9495
2018-09-14,70.9882,70.9882,70.9882,70.9882
2018-09-17,71.0297,71.0297,71.0297,71.0297
2018-09-18,71.0585,71.0585,71.0585,71.0585
2018-09-19,71.1247,71.1247,71.1247,71.1247
2018-09-20,71.2015,71.2015,71.2015,71.2015
2018-09-21,71.2717,71.2717,71.2717,71.2717
2018-09-24,71.3255,71.3255,71.3255,71.3255
