date,open,low,high,close
2018-01-02,74.7756,74.7756,74.7756,74.7756
2018-01-03,74.6211,74.6211,74.6211,74.6211
2018-01-04,74.63,74.63,74.63,74.63
2018-01-05,74.8144,74.8144,74.8144,74.8144
2018-01-08,75.0467,75.0467,75.0467,75.0467
2018-01-09,75.1344,75.1344,75.1344,75.1344
2018-01-10,75.1322,75.1322,75.1322,75.1322
2018-01-11,75.2511,75.2511,75.2511,75.2511
2018-01-12,75.5622,75.5622,75.5622,75.5622
2018-01-16,76.0089,76.0089,76.0089,76.0089
2018-01-17,76.5533,76.5533,76.5533,76.5533
2018-01-18,76.9889,76.9889,76.9889,76.9889
2018-01-19,77.3944,77.3944,77.3944,77.3944
2018-01-22,77.7122,77.7122,77.7122,77.7122
2018-01-23,78.0978,78.0978,78.0978,78.0978
2018-01-24,78.4789,78.4789,78.4789,78.4789
2018-01-25,78.83,78.83,78.83,78.83
2018-01-26,79.2222,79.2222,79.2222,79.2222
2018-01-29,79.5433,79.5433,79.5433,79.5433
2018-01-30,79.6789,79.6789,79.6789,79.6789
2018-01-31,79.4667,79.4667,79.4667,79.4667
2018-02-01,79.1133,79.1133,79.1133,79.1133
2018-02-02,78.6733,78.6733,78.6733,78.6733
2018-02-05,77.8322,77.8322,77.8322,77.8322
2018-02-06,76.5889,76.5889,76.5889,76.5889
2018-02-07,75.2978,75.2978,75.2978,75.2978
2018-02-08,74.43,74.43,74.43,74.43
2018-02-09,73.9222,73.9222,73.9222,73.9222
2018-02-12,73.6144,73.6144,73.6144,73.6144
2018-02-13,73.83,73.83,73.83,73.83
2018-02-14,74.5089,74.5089,74.5089,74.5089
2018-02-15,75.4711,75.4711,75.4711,75.4711
2018-02-16,76.2478,76.2478,76.2478,76.2478
2018-02-20,76.66,76.66,76.66,76.66
2018-02-21,76.8056,76.8056,76.8056,76.8056
2018-02-22,76.7078,76.7078,76.7078,76.7078
2018-02-23,76.7067,76.7067,76.7067,76.7067
2018-02-26,76.7867,76.7867,76.7867,76.7867
2018-02-27,76.94,76.94,76.94,76.94
2018-02-28,76.8478,76.8478,76.8478,76.8478
2018-03-01,76.24,76.24,76.24,76.24
2018-03-02,75.32,75.32,75.32,75.32
2018-03-05,74.4578,74.4578,74.4578,74.4578
2018-03-06,74.0833,74.0833,74.0833,74.0833
2018-03-07,74.0356,74.0356,74.0356,74.0356
2018-03-08,74.0722,74.0722,74.0722,74.0722
2018-03-09,74.2922,74.2922,74.2922,74.2922
2018-03-12,74.7189,74.7189,74.7189,74.7189
2018-03-13,75.2689,75.2689,75.2689,75.2689
2018-03-14,75.2978,75.2978,75.2978,75.2978
2018-03-15,74.7956,74.7956,74.7956,74.7956
2018-03-16,74.0444,74.0444,74.0444,74.0444
2018-03-19,73.5011,73.5011,73.5011,73.5011
2018-03-20,73.2089,73.2089,73.2089,73.2089
2018-03-21,73.06,73.06,73.06,73.06
2018-03-22,72.7311,72.7311,72.7311,72.7311
2018-03-23,71.8911,71.8911,71.8911,71.8911
2018-03-26,70.6744,70.6744,70.6744,70.6744
2018-03-27,69.4978,69.4978,69.4978,69.4978
2018-03-28,68.9189,68.9189,68.9189,68.9189
2018-03-29,68.48,68.48,68.48,68.48
2018-04-02,68.2033,68.2033,68.2033,68.2033
2018-04-03,67.9111,67.9111,67.9111,67.9111
2018-04-04,68.0733,68.0733,68.0733,68.0733
2018-04-05,68.5778,68.5778,68.5778,68.5778
2018-04-06,69.0711,69.0711,69.0711,69.0711
2018-04-09,69.3778,69.3778,69.3778,69.3778
2018-04-10,69.4378,69.4378,69.4378,69.4378
2018-04-11,69.6278,69.6278,69.6278,69.6278
2018-04-12,70.1022,70.1022,70.1022,70.1022
2018-04-13,70.6,70.6,70.6,70.6
2018-04-16,70.9744,70.9744,70.9744,70.9744
2018-04-17,70.7844,70.7844,70.7844,70.7844
2018-04-18,70.3133,70.3133,70.3133,70.3133
2018-04-19,69.8456,69.8456,69.8456,69.8456
2018-04-20,69.6722,69.6722,69.6722,69.6722
2018-04-23,69.78,69.78,69.78,69.78
2018-04-24,69.7356,69.7356,69.7356,69.7356
2018-04-25,69.5911,69.5911,69.5911,69.5911
2018-04-26,69.3578,69.3578,69.3578,69.3578
2018-04-27,69.2389,69.2389,69.2389,69.2389
2018-04-30,69.07,69.07,69.07,69.07
2018-05-01,68.8311,68.8311,68.8311,68.8311
2018-05-02,68.4956,68.4956,68.4956,68.4956
2018-05-03,68.2444,68.2444,68.2444,68.2444
2018-05-04,68.0622,68.0622,68.0622,68.0622
2018-05-07,68.0478,68.0478,68.0478,68.0478
2018-05-08,68.41,68.41,68.41,68.41
2018-05-09,69.2522,69.2522,69.2522,69.2522
2018-05-10,70.49,70.49,70.49,70.49
2018-05-11,71.5944,71.5944,71.5944,71.5944
2018-05-14,72.3278,72.3278,72.3278,72.3278
2018-05-15,72.6211,72.6211,72.6211,72.6211
2018-05-16,72.6067,72.6067,72.6067,72.6067
2018-05-17,72.4,72.4,72.4,72.4
2018-05-18,71.8789,71.8789,71.8789,71.8789
2018-05-21,71.29,71.29,71.29,71.29
2018-05-22,70.7656,70.7656,70.7656,70.7656
2018-05-23,70.5744,70.5744,70.5744,70.5744
2018-05-24,70.4278,70.4278,70.4278,70.4278
2018-05-25,70.0411,70.0411,70.0411,70.0411
2018-05-29,69.12,69.12,69.12,69.12
2018-05-30,68.0311,68.0311,68.0311,68.0311
2018-05-31,67.0411,67.0411,67.0411,67.0411
2018-06-01,66.7289,66.7289,66.7289,66.7289
2018-06-04,66.7822,66.7822,66.7822,66.7822
2018-06-05,67.0378,67.0378,67.0378,67.0378
2018-06-06,67.2244,67.2244,67.2244,67.2244
2018-06-07,67.4611,67.4611,67.4611,67.4611
2018-06-08,67.88,67.88,67.88,67.88
2018-06-11,68.18,68.18,68.18,68.18
2018-06-12,68.2633,68.2633,68.2633,68.2633
2018-06-13,68.0256,68.0256,68.0256,68.0256
2018-06-14,67.5844,67.5844,67.5844,67.5844
2018-06-15,67.0956,67.0956,67.0956,67.0956
2018-06-18,66.6778,66.6778,66.6778,66.6778
2018-06-19,66.5456,66.5456,66.5456,66.5456
2018-06-20,66.67,66.67,66.67,66.67
2018-06-21,66.9522,66.9522,66.9522,66.9522
2018-06-22,67.2122,67.2122,67.2122,67.2122
2018-06-25,67.1756,67.1756,67.1756,67.1756
2018-06-26,66.8944,66.8944,66.8944,66.8944
2018-06-27,66.3733,66.3733,66.3733,66.3733
2018-06-28,66.1589,66.1589,66.1589,66.1589
2018-06-29,66.1589,66.1589,66.1589,66.1589
2018-07-02,66.5411,66.5411,66.5411,66.5411
2018-07-03,66.7067,66.7067,66.7067,66.7067
2018-07-05,66.7644,66.7644,66.7644,66.7644
2018-07-06,66.6311,66.6311,66.6311,66.6311
2018-07-09,66.9089,66.9089,66.9089,66.9089
2018-07-10,67.4122,67.4122,67.4122,67.4122
2018-07-11,68.0033,68.0033,68.0033,68.0033
2018-07-12,68.2267,68.2267,68.2267,68.2267
2018-07-13,68.1278,68.1278,68.1278,68.1278
2018-07-16,68.1156,68.1156,68.1156,68.1156
2018-07-17,68.2444,68.2444,68.2444,68.2444
2018-07-18,68.8267,68.8267,68.8267,68.8267
2018-07-19,69.1844,69.1844,69.1844,69.1844
2018-07-20,69.4344,69.4344,69.4344,69.4344
2018-07-23,69.4078,69.4078,69.4078,69.4078
2018-07-24,69.6644,69.6644,69.6644,69.6644
2018-07-25,70.2133,70.2133,70.2133,70.2133
2018-07-26,70.8478,70.8478,70.8478,70.8478
2018-07-27,71.32,71.32,71.32,71.32
2018-07-30,71.5778,71.5778,71.5778,71.5778
2018-07-31,71.7711,71.7711,71.7711,71.7711
2018-08-01,71.9222,71.9222,71.9222,71.9222
2018-08-02,71.96,71.96,71.96,71.96
2018-08-03,71.9922,71.9922,71.9922,71.9922
2018-08-06,72.05,72.05,72.05,72.05
2018-08-07,72.2211,72.2211,72.2211,72.2211
2018-08-08,72.3922,72.3922,72.3922,72.3922
2018-08-09,72.4644,72.4644,72.4644,72.4644
2018-08-10,72.2344,72.2344,72.2344,72.2344
2018-08-13,71.5344,71.5344,71.5344,71.5344
2018-08-14,70.6622,70.6622,70.6622,70.6622
2018-08-15,69.85,69.85,69.85,69.85
2018-08-16,69.4967,69.4967,69.4967,69.4967
2018-08-17,69.3244,69.3244,69.3244,69.3244
