date,open,low,high,close
2018-01-02,74.8476,74.8476,74.8476,74.8476
2018-01-03,74.7756,74.7756,74.7756,74.7756
2018-01-04,74.8905,74.8905,74.8905,74.8905
2018-01-05,74.9725,74.9725,74.9725,74.9725
2018-01-08,74.8809,74.8809,74.8809,74.8809
2018-01-09,74.9545,74.9545,74.9545,74.9545
2018-01-10,75.0933,75.0933,75.0933,75.0933
2018-01-11,75.1998,75.1998,75.1998,75.1998
2018-01-12,75.5269,75.5269,75.5269,75.5269
2018-01-16,75.8711,75.8711,75.8711,75.8711
2018-01-17,76.2316,76.2316,76.2316,76.2316
2018-01-18,76.5211,76.5211,76.5211,76.5211
2018-01-19,76.9251,76.9251,76.9251,76.9251
2018-01-22,77.3311,77.3311,77.3311,77.3311
2018-01-23,77.672,77.672,77.672,77.672
2018-01-24,78.1035,78.1035,78.1035,78.1035
2018-01-25,78.4578,78.4578,78.4578,78.4578
2018-01-26,78.8596,78.8596,78.8596,78.8596
2018-01-29,79.1575,79.1575,79.1575,79.1575
2018-01-30,79.1549,79.1549,79.1549,79.1549
2018-01-31,79.0995,79.0995,79.0995,79.0995
2018-02-01,79.1565,79.1565,79.1565,79.1565
2018-02-02,78.7844,78.7844,78.7844,78.7844
2018-02-05,77.7536,77.7536,77.7536,77.7536
2018-02-06,77.1015,77.1015,77.1015,77.1015
2018-02-07,76.548,76.548,76.548,76.548
2018-02-08,75.5084,75.5084,75.5084,75.5084
2018-02-09,74.9355,74.9355,74.9355,74.9355
2018-02-12,74.6753,74.6753,74.6753,74.6753
2018-02-13,74.586,74.586,74.586,74.586
2018-02-14,74.8375,74.8375,74.8375,74.8375
2018-02-15,75.1884,75.1884,75.1884,75.1884
2018-02-16,75.5305,75.5305,75.5305,75.5305
2018-02-20,75.8109,75.8109,75.8109,75.8109
2018-02-21,76.1315,76.1315,76.1315,76.1315
2018-02-22,76.2796,76.2796,76.2796,76.2796
2018-02-23,76.5518,76.5518,76.5518,76.5518
2018-02-26,76.8329,76.8329,76.8329,76.8329
2018-02-27,76.8109,76.8109,76.8109,76.8109
2018-02-28,76.5976,76.5976,76.5976,76.5976
2018-03-01,76.046,76.046,76.046,76.046
2018-03-02,75.5535,75.5535,75.5535,75.5535
2018-03-05,75.2573,75.2573,75.2573,75.2573
2018-03-06,74.9393,74.9393,74.9393,74.9393
2018-03-07,74.6395,74.6395,74.6395,74.6395
2018-03-08,74.4302,74.4302,74.4302,74.4302
2018-03-09,74.6238,74.6238,74.6238,74.6238
2018-03-12,74.8187,74.8187,74.8187,74.8187
2018-03-13,74.8415,74.8415,74.8415,74.8415
2018-03-14,74.6291,74.6291,74.6291,74.6291
2018-03-15,74.4298,74.4298,74.4298,74.4298
2018-03-16,74.26,74.26,74.26,74.26
2018-03-19,73.954,73.954,73.954,73.954
2018-03-20,73.7193,73.7193,73.7193,73.7193
2018-03-21,73.578,73.578,73.578,73.578
2018-03-22,72.9004,72.9004,72.9004,72.9004
2018-03-23,71.8536,71.8536,71.8536,71.8536
2018-03-26,71.298,71.298,71.298,71.298
2018-03-27,70.5831,70.5831,70.5831,70.5831
2018-03-28,69.9851,69.9851,69.9851,69.9851
2018-03-29,69.3436,69.3436,69.3436,69.3436
2018-04-02,68.8465,68.8465,68.8465,68.8465
2018-04-03,68.5942,68.5942,68.5942,68.5942
2018-04-04,68.5695,68.5695,68.5695,68.5695
2018-04-05,68.7758,68.7758,68.7758,68.7758
2018-04-06,68.744,68.744,68.744,68.744
2018-04-09,68.896,68.896,68.896,68.896
2018-04-10,69.2145,69.2145,69.2145,69.2145
2018-04-11,69.4071,69.4071,69.4071,69.4071
2018-04-12,69.9776,69.9776,69.9776,69.9776
2018-04-13,70.2742,70.2742,70.2742,70.2742
2018-04-16,70.336,70.336,70.336,70.336
2018-04-17,70.2949,70.2949,70.2949,70.2949
2018-04-18,70.0927,70.0927,70.0927,70.0927
2018-04-19,70.1329,70.1329,70.1329,70.1329
2018-04-20,70.1211,70.1211,70.1211,70.1211
2018-04-23,69.9893,69.9893,69.9893,69.9893
2018-04-24,69.7913,69.7913,69.7913,69.7913
2018-04-25,69.6622,69.6622,69.6622,69.6622
2018-04-26,69.51,69.51,69.51,69.51
2018-04-27,69.3769,69.3769,69.3769,69.3769
2018-04-30,69.1496,69.1496,69.1496,69.1496
2018-05-01,68.9515,68.9515,68.9515,68.9515
2018-05-02,68.7331,68.7331,68.7331,68.7331
2018-05-03,68.5236,68.5236,68.5236,68.5236
2018-05-04,68.3567,68.3567,68.3567,68.3567
2018-05-07,68.3291,68.3291,68.3291,68.3291
2018-05-08,68.7738,68.7738,68.7738,68.7738
2018-05-09,69.3571,69.3571,69.3571,69.3571
2018-05-10,70.006,70.006,70.006,70.006
2018-05-11,70.646,70.646,70.646,70.646
2018-05-14,71.172,71.172,71.172,71.172
2018-05-15,71.6298,71.6298,71.6298,71.6298
2018-05-16,71.8744,71.8744,71.8744,71.8744
2018-05-17,71.976,71.976,71.976,71.976
2018-05-18,71.7209,71.7209,71.7209,71.7209
2018-05-21,71.5145,71.5145,71.5145,71.5145
2018-05-22,71.3913,71.3913,71.3913,71.3913
