date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-45.0633,-45.0633,-45.0633,-45.0633
2018-01-03,-42.1519,-42.1519,-42.1519,-42.1519
2018-01-04,-30.5063,-30.5063,-30.5063,-30.5063
2018-01-05,-31.7722,-31.7722,-31.7722,-31.7722
2018-01-08,-42.9114,-42.9114,-42.9114,-42.9114
2018-01-09,-33.038,-33.038,-33.038,-33.038
2018-01-10,-28.7342,-28.7342,-28.7342,-28.7342
2018-01-11,-29.8734,-29.8734,-29.8734,-29.8734
2018-01-12,-13.6709,-13.6709,-13.6709,-13.6709
2018-01-16,-17.7333,-17.7333,-17.7333,-17.7333
2018-01-17,-12.9333,-12.9333,-12.9333,-12.9333
2018-01-18,-14.3639,-14.3639,-14.3639,-14.3639
2018-01-19,-1.9152,-1.9152,-1.9152,-1.9152
2018-01-22,-3.9897,-3.9897,-3.9897,-3.9897
2018-01-23,-4.5045,-4.5045,-4.5045,-4.5045
2018-01-24,-2.9738,-2.9738,-2.9738,-2.9738
2018-01-25,-10.2601,-10.2601,-10.2601,-10.2601
2018-01-26,-4.6913,-4.6913,-4.6913,-4.6913
2018-01-29,-10.6936,-10.6936,-10.6936,-10.6936
2018-01-30,-30.0578,-30.0578,-30.0578,-30.0578
2018-01-31,-32.0809,-32.0809,-32.0809,-32.0809
2018-02-01,-21.6763,-21.6763,-21.6763,-21.6763
2018-02-02,-53.1792,-53.1792,-53.1792,-53.1792
2018-02-05,-87.4118,-87.4118,-87.4118,-87.4118
2018-02-06,-61.5707,-61.5707,-61.5707,-61.5707
2018-02-07,-59.7906,-59.7906,-59.7906,-59.7906
2018-02-08,-92.4607,-92.4607,-92.4607,-92.4607
2018-02-09,-72.3711,-72.3711,-72.3711,-72.3711
2018-02-12,-61.2371,-61.2371,-61.2371,-61.2371
2018-02-13,-56.9072,-56.9072,-56.9072,-56.9072
2018-02-14,-41.134,-41.134,-41.134,-41.134
2018-02-15,-37.3196,-37.3196,-37.3196,-37.3196
2018-02-16,-40.0,-40.0,-40.0,-40.0
2018-02-20,-43.7113,-43.7113,-43.7113,-43.7113
2018-02-21,-38.1443,-38.1443,-38.1443,-38.1443
2018-02-22,-45.6701,-45.6701,-45.6701,-45.6701
2018-02-23,-37.3196,-37.3196,-37.3196,-37.3196
2018-02-26,-31.4433,-31.4433,-31.4433,-31.4433
2018-02-27,-44.5361,-44.5361,-44.5361,-44.5361
2018-02-28,-53.7113,-53.7113,-53.7113,-53.7113
2018-03-01,-72.5773,-72.5773,-72.5773,-72.5773
2018-03-02,-72.3711,-72.3711,-72.3711,-72.3711
2018-03-05,-64.7423,-64.7423,-64.7423,-64.7423
