date,open,low,high,close
2018-01-02,19.9979,19.9979,19.9979,19.9979
2018-01-03,-14.1038,-14.1038,-14.1038,-14.1038
2018-01-04,37.1715,37.1715,37.1715,37.1715
2018-01-05,-5.8165,-5.8165,-5.8165,-5.8165
2018-01-08,-105.5009,-105.5009,-105.5009,-105.5009
2018-01-09,-85.4309,-85.4309,-85.4309,-85.4309
2018-01-10,-109.1875,-109.1875,-109.1875,-109.1875
2018-01-11,-74.0817,-74.0817,-74.0817,-74.0817
2018-01-12,-9.8067,-9.8067,-9.8067,-9.8067
2018-01-16,96.3632,96.3632,96.3632,96.3632
2018-01-17,-60.1851,-60.1851,-60.1851,-60.1851
2018-01-18,-156.3271,-156.3271,-156.3271,-156.3271
2018-01-19,-64.1861,-64.1861,-64.1861,-64.1861
2018-01-22,143.91,143.91,143.91,143.91
2018-01-23,118.8263,118.8263,118.8263,118.8263
2018-01-24,257.9628,257.9628,257.9628,257.9628
2018-01-25,284.4357,284.4357,284.4357,284.4357
2018-01-26,203.7897,203.7897,203.7897,203.7897
2018-01-29,210.1312,210.1312,210.1312,210.1312
2018-01-30,144.6582,144.6582,144.6582,144.6582
2018-01-31,108.9214,108.9214,108.9214,108.9214
2018-02-01,115.9298,115.9298,115.9298,115.9298
2018-02-02,36.6627,36.6627,36.6627,36.6627
2018-02-05,-97.584,-97.584,-97.584,-97.584
2018-02-06,-77.3463,-77.3463,-77.3463,-77.3463
2018-02-07,-25.0499,-25.0499,-25.0499,-25.0499
2018-02-08,-108.7198,-108.7198,-108.7198,-108.7198
2018-02-09,-137.2226,-137.2226,-137.2226,-137.2226
2018-02-12,-71.5097,-71.5097,-71.5097,-71.5097
2018-02-13,-52.5092,-52.5092,-52.5092,-52.5092
2018-02-14,1.8877,1.8877,1.8877,1.8877
2018-02-15,58.877,58.877,58.877,58.877
2018-02-16,65.9237,65.9237,65.9237,65.9237
2018-02-20,42.5882,42.5882,42.5882,42.5882
2018-02-21,37.5202,37.5202,37.5202,37.5202
2018-02-22,11.4717,11.4717,11.4717,11.4717
2018-02-23,39.1018,39.1018,39.1018,39.1018
2018-02-26,83.131,83.131,83.131,83.131
2018-02-27,82.3841,82.3841,82.3841,82.3841
2018-02-28,38.272,38.272,38.272,38.272
2018-03-01,-21.6406,-21.6406,-21.6406,-21.6406
2018-03-02,-41.1591,-41.1591,-41.1591,-41.1591
2018-03-05,14.2158,14.2158,14.2158,14.2158
2018-03-06,61.616,61.616,61.616,61.616
2018-03-07,36.2852,36.2852,36.2852,36.2852
2018-03-08,49.8629,49.8629,49.8629,49.8629
2018-03-09,95.5111,95.5111,95.5111,95.5111
2018-03-12,146.2993,146.2993,146.2993,146.2993
2018-03-13,100.0177,100.0177,100.0177,100.0177
2018-03-14,19.725,19.725,19.725,19.725
2018-03-15,27.7935,27.7935,27.7935,27.7935
2018-03-16,39.8152,39.8152,39.8152,39.8152
2018-03-19,-59.1059,-59.1059,-59.1059,-59.1059
2018-03-20,-52.3014,-52.3014,-52.3014,-52.3014
2018-03-21,-54.9123,-54.9123,-54.9123,-54.9123
2018-03-22,-186.9878,-186.9878,-186.9878,-186.9878
2018-03-23,-239.0055,-239.0055,-239.0055,-239.0055
2018-03-26,-145.9028,-145.9028,-145.9028,-145.9028
2018-03-27,-154.4359,-154.4359,-154.4359,-154.4359
2018-03-28,-144.6983,-144.6983,-144.6983,-144.6983
2018-03-29,-102.3767,-102.3767,-102.3767,-102.3767
2018-04-02,-119.8159,-119.8159,-119.8159,-119.8159
2018-04-03,-93.8867,-93.8867,-93.8867,-93.8867
2018-04-04,-75.8413,-75.8413,-75.8413,-75.8413
2018-04-05,-26.2109,-26.2109,-26.2109,-26.2109
2018-04-06,-62.1831,-62.1831,-62.1831,-62.1831
2018-04-09,-38.5098,-38.5098,-38.5098,-38.5098
2018-04-10,9.621,9.621,9.621,9.621
2018-04-11,-35.4703,-35.4703,-35.4703,-35.4703
2018-04-12,40.2742,40.2742,40.2742,40.2742
2018-04-13,39.6581,39.6581,39.6581,39.6581
2018-04-16,62.7817,62.7817,62.7817,62.7817
2018-04-17,35.7405,35.7405,35.7405,35.7405
2018-04-18,17.5085,17.5085,17.5085,17.5085
2018-04-19,28.8476,28.8476,28.8476,28.8476
2018-04-20,1.4119,1.4119,1.4119,1.4119
2018-04-23,-103.082,-103.082,-103.082,-103.082
2018-04-24,-173.307,-173.307,-173.307,-173.307
2018-04-25,-210.823,-210.823,-210.823,-210.823
2018-04-26,-179.1223,-179.1223,-179.1223,-179.1223
2018-04-27,-145.85,-145.85,-145.85,-145.85
2018-04-30,-133.5661,-133.5661,-133.5661,-133.5661
2018-05-01,-149.4717,-149.4717,-149.4717,-149.4717
2018-05-02,-133.4991,-133.4991,-133.4991,-133.4991
2018-05-03,-140.8356,-140.8356,-140.8356,-140.8356
2018-05-04,-99.811,-99.811,-99.811,-99.811
2018-05-07,-73.8485,-73.8485,-73.8485,-73.8485
2018-05-08,-60.0737,-60.0737,-60.0737,-60.0737
2018-05-09,-36.7626,-36.7626,-36.7626,-36.7626
2018-05-10,-9.8004,-9.8004,-9.8004,-9.8004
2018-05-11,-1.9461,-1.9461,-1.9461,-1.9461
2018-05-14,20.5915,20.5915,20.5915,20.5915
2018-05-15,1.2048,1.2048,1.2048,1.2048
2018-05-16,-2.7941,-2.7941,-2.7941,-2.7941
2018-05-17,-9.3752,-9.3752,-9.3752,-9.3752
2018-05-18,-52.5644,-52.5644,-52.5644,-52.5644
2018-05-21,-24.0283,-24.0283,-24.0283,-24.0283
2018-05-22,-4.5245,-4.5245,-4.5245,-4.5245
2018-05-23,-58.6269,-58.6269,-58.6269,-58.6269
2018-05-24,-77.2162,-77.2162,-77.2162,-77.2162
2018-05-25,-81.1919,-81.1919,-81.1919,-81.1919
2018-05-29,-208.9064,-208.9064,-208.9064,-208.9064
2018-05-30,-173.8612,-173.8612,-173.8612,-173.8612
2018-05-31,-183.5941,-183.5941,-183.5941,-183.5941
2018-06-01,-128.5075,-128.5075,-128.5075,-128.5075
2018-06-04,-100.1096,-100.1096,-100.1096,-100.1096
2018-06-05,-107.0466,-107.0466,-107.0466,-107.0466
2018-06-06,-58.7417,-58.7417,-58.7417,-58.7417
2018-06-07,-21.3586,-21.3586,-21.3586,-21.3586
2018-06-08,-24.6252,-24.6252,-24.6252,-24.6252
2018-06-11,-5.4853,-5.4853,-5.4853,-5.4853
2018-06-12,-14.299,-14.299,-14.299,-14.299
2018-06-13,24.6969,24.6969,24.6969,24.6969
2018-06-14,13.7062,13.7062,13.7062,13.7062
2018-06-15,-28.4311,-28.4311,-28.4311,-28.4311
2018-06-18,-41.7063,-41.7063,-41.7063,-41.7063
2018-06-19,-96.0728,-96.0728,-96.0728,-96.0728
2018-06-20,-80.2031,-80.2031,-80.2031,-80.2031
2018-06-21,-107.4699,-107.4699,-107.4699,-107.4699
2018-06-22,-82.3501,-82.3501,-82.3501,-82.3501
2018-06-25,-183.8091,-183.8091,-183.8091,-183.8091
2018-06-26,-181.0766,-181.0766,-181.0766,-181.0766
2018-06-27,-143.1428,-143.1428,-143.1428,-143.1428
2018-06-28,-121.5829,-121.5829,-121.5829,-121.5829
2018-06-29,-113.5882,-113.5882,-113.5882,-113.5882
2018-07-02,-104.1008,-104.1008,-104.1008,-104.1008
2018-07-03,-94.2715,-94.2715,-94.2715,-94.2715
2018-07-05,-94.5203,-94.5203,-94.5203,-94.5203
2018-07-06,-75.9891,-75.9891,-75.9891,-75.9891
2018-07-09,-2.7993,-2.7993,-2.7993,-2.7993
2018-07-10,16.1158,16.1158,16.1158,16.1158
2018-07-11,3.1384,3.1384,3.1384,3.1384
2018-07-12,29.706,29.706,29.706,29.706
2018-07-13,28.1501,28.1501,28.1501,28.1501
2018-07-16,113.3019,113.3019,113.3019,113.3019
2018-07-17,126.0243,126.0243,126.0243,126.0243
2018-07-18,143.779,143.779,143.779,143.779
2018-07-19,105.5352,105.5352,105.5352,105.5352
2018-07-20,108.3344,108.3344,108.3344,108.3344
2018-07-23,142.7638,142.7638,142.7638,142.7638
2018-07-24,163.944,163.944,163.944,163.944
2018-07-25,141.5403,141.5403,141.5403,141.5403
2018-07-26,141.7898,141.7898,141.7898,141.7898
2018-07-27,127.2856,127.2856,127.2856,127.2856
2018-07-30,128.362,128.362,128.362,128.362
2018-07-31,108.7236,108.7236,108.7236,108.7236
2018-08-01,88.1222,88.1222,88.1222,88.1222
2018-08-02,35.9516,35.9516,35.9516,35.9516
2018-08-03,34.925,34.925,34.925,34.925
2018-08-06,51.7799,51.7799,51.7799,51.7799
2018-08-07,87.2455,87.2455,87.2455,87.2455
2018-08-08,69.4069,69.4069,69.4069,69.4069
2018-08-09,8.2468,8.2468,8.2468,8.2468
2018-08-10,-122.6,-122.6,-122.6,-122.6
2018-08-13,-162.7954,-162.7954,-162.7954,-162.7954
2018-08-14,-125.6566,-125.6566,-125.6566,-125.6566
2018-08-15,-103.861,-103.861,-103.861,-103.861
2018-08-16,-49.8932,-49.8932,-49.8932,-49.8932
2018-08-17,-38.0021,-38.0021,-38.0021,-38.0021
2018-08-20,18.9936,18.9936,18.9936,18.9936
2018-08-21,78.5768,78.5768,78.5768,78.5768
2018-08-22,95.7418,95.7418,95.7418,95.7418
2018-08-23,56.0077,56.0077,56.0077,56.0077
2018-08-24,28.5181,28.5181,28.5181,28.5181
2018-08-27,141.9821,141.9821,141.9821,141.9821
2018-08-28,170.2637,170.2637,170.2637,170.2637
2018-08-29,125.0612,125.0612,125.0612,125.0612
2018-08-30,80.59,80.59,80.59,80.59
2018-08-31,44.6921,44.6921,44.6921,44.6921
2018-09-04,18.4528,18.4528,18.4528,18.4528
2018-09-05,36.4876,36.4876,36.4876,36.4876
2018-09-06,-0.9953,-0.9953,-0.9953,-0.9953
2018-09-07,-31.0494,-31.0494,-31.0494,-31.0494
2018-09-10,-56.8757,-56.8757,-56.8757,-56.8757
