date,open,low,high,close
2018-01-02,249.9778,249.9778,249.9778,249.9778
2018-01-03,250.2576,250.2576,250.2576,250.2576
2018-01-04,250.6443,250.6443,250.6443,250.6443
2018-01-05,250.9775,250.9775,250.9775,250.9775
2018-01-08,251.1804,251.1804,251.1804,251.1804
2018-01-09,251.4461,251.4461,251.4461,251.4461
2018-01-10,251.7165,251.7165,251.7165,251.7165
2018-01-11,252.0049,252.0049,252.0049,252.0049
2018-01-12,252.3465,252.3465,252.3465,252.3465
2018-01-16,252.7248,252.7248,252.7248,252.7248
2018-01-17,252.9359,252.9359,252.9359,252.9359
2018-01-18,253.0532,253.0532,253.0532,253.0532
2018-01-19,253.3336,253.3336,253.3336,253.3336
2018-01-22,253.7812,253.7812,253.7812,253.7812
2018-01-23,254.1698,254.1698,254.1698,254.1698
2018-01-24,254.7291,254.7291,254.7291,254.7291
2018-01-25,255.3822,255.3822,255.3822,255.3822
2018-01-26,255.9887,255.9887,255.9887,255.9887
2018-01-29,256.7199,256.7199,256.7199,256.7199
2018-01-30,257.3165,257.3165,257.3165,257.3165
2018-01-31,257.8626,257.8626,257.8626,257.8626
2018-02-01,258.5348,258.5348,258.5348,258.5348
2018-02-02,258.7924,258.7924,258.7924,258.7924
2018-02-05,258.6866,258.6866,258.6866,258.6866
2018-02-06,258.8935,258.8935,258.8935,258.8935
2018-02-07,259.0415,259.0415,259.0415,259.0415
2018-02-08,258.8347,258.8347,258.8347,258.8347
2018-02-09,258.7271,258.7271,258.7271,258.7271
2018-02-12,258.7461,258.7461,258.7461,258.7461
2018-02-13,258.84,258.84,258.84,258.84
2018-02-14,259.1592,259.1592,259.1592,259.1592
2018-02-15,259.6348,259.6348,259.6348,259.6348
2018-02-16,260.0951,260.0951,260.0951,260.0951
2018-02-20,260.4537,260.4537,260.4537,260.4537
2018-02-21,260.7534,260.7534,260.7534,260.7534
2018-02-22,260.98,260.98,260.98,260.98
2018-02-23,261.373,261.373,261.373,261.373
2018-02-26,261.9006,261.9006,261.9006,261.9006
2018-02-27,262.3054,262.3054,262.3054,262.3054
2018-02-28,262.5359,262.5359,262.5359,262.5359
2018-03-01,262.559,262.559,262.559,262.559
2018-03-02,262.6234,262.6234,262.6234,262.6234
2018-03-05,262.8471,262.8471,262.8471,262.8471
2018-03-06,263.1875,263.1875,263.1875,263.1875
2018-03-07,263.4664,263.4664,263.4664,263.4664
2018-03-08,263.769,263.769,263.769,263.769
2018-03-09,264.2064,264.2064,264.2064,264.2064
2018-03-12,264.7163,264.7163,264.7163,264.7163
2018-03-13,265.0542,265.0542,265.0542,265.0542
2018-03-14,265.2488,265.2488,265.2488,265.2488
2018-03-15,265.5076,265.5076,265.5076,265.5076
2018-03-16,265.7906,265.7906,265.7906,265.7906
2018-03-19,265.9,265.9,265.9,265.9
2018-03-20,266.0263,266.0263,266.0263,266.0263
2018-03-21,266.1042,266.1042,266.1042,266.1042
2018-03-22,265.8777,265.8777,265.8777,265.8777
2018-03-23,265.4163,265.4163,265.4163,265.4163
2018-03-26,265.2773,265.2773,265.2773,265.2773
2018-03-27,264.8922,264.8922,264.8922,264.8922
2018-03-28,264.5835,264.5835,264.5835,264.5835
2018-03-29,264.3617,264.3617,264.3617,264.3617
2018-04-02,263.9972,263.9972,263.9972,263.9972
2018-04-03,263.745,263.745,263.745,263.745
2018-04-04,263.5638,263.5638,263.5638,263.5638
2018-04-05,263.4894,263.4894,263.4894,263.4894
2018-04-06,263.2253,263.2253,263.2253,263.2253
2018-04-09,263.0385,263.0385,263.0385,263.0385
2018-04-10,262.9973,262.9973,262.9973,262.9973
2018-04-11,262.8377,262.8377,262.8377,262.8377
2018-04-12,262.8968,262.8968,262.8968,262.8968
2018-04-13,262.8338,262.8338,262.8338,262.8338
2018-04-16,262.8347,262.8347,262.8347,262.8347
2018-04-17,262.696,262.696,262.696,262.696
2018-04-18,262.5715,262.5715,262.5715,262.5715
2018-04-19,262.4542,262.4542,262.4542,262.4542
2018-04-20,262.2666,262.2666,262.2666,262.2666
2018-04-23,261.9104,261.9104,261.9104,261.9104
2018-04-24,261.4257,261.4257,261.4257,261.4257
2018-04-25,260.8457,260.8457,260.8457,260.8457
2018-04-26,260.3067,260.3067,260.3067,260.3067
2018-04-27,259.7703,259.7703,259.7703,259.7703
2018-04-30,259.1982,259.1982,259.1982,259.1982
2018-05-01,258.5852,258.5852,258.5852,258.5852
2018-05-02,257.901,257.901,257.901,257.901
2018-05-03,257.2118,257.2118,257.2118,257.2118
2018-05-04,256.5884,256.5884,256.5884,256.5884
2018-05-07,256.0529,256.0529,256.0529,256.0529
2018-05-08,255.5233,255.5233,255.5233,255.5233
2018-05-09,255.1597,255.1597,255.1597,255.1597
2018-05-10,254.86,254.86,254.86,254.86
2018-05-11,254.55,254.55,254.55,254.55
2018-05-14,254.2792,254.2792,254.2792,254.2792
2018-05-15,253.9379,253.9379,253.9379,253.9379
2018-05-16,253.585,253.585,253.585,253.585
2018-05-17,253.1796,253.1796,253.1796,253.1796
2018-05-18,252.7153,252.7153,252.7153,252.7153
2018-05-21,252.2847,252.2847,252.2847,252.2847
2018-05-22,251.8739,251.8739,251.8739,251.8739
2018-05-23,251.4666,251.4666,251.4666,251.4666
2018-05-24,251.0132,251.0132,251.0132,251.0132
2018-05-25,250.5351,250.5351,250.5351,250.5351
2018-05-29,249.8089,249.8089,249.8089,249.8089
2018-05-30,249.1695,249.1695,249.1695,249.1695
2018-05-31,248.4388,248.4388,248.4388,248.4388
2018-06-01,247.8062,247.8062,247.8062,247.8062
2018-06-04,247.2389,247.2389,247.2389,247.2389
2018-06-05,246.6351,246.6351,246.6351,246.6351
2018-06-06,246.1724,246.1724,246.1724,246.1724
2018-06-07,245.7607,245.7607,245.7607,245.7607
2018-06-08,245.3572,245.3572,245.3572,245.3572
2018-06-11,244.9863,244.9863,244.9863,244.9863
2018-06-12,244.5771,244.5771,244.5771,244.5771
2018-06-13,244.217,244.217,244.217,244.217
2018-06-14,243.8599,243.8599,243.8599,243.8599
2018-06-15,243.4555,243.4555,243.4555,243.4555
2018-06-18,243.0439,243.0439,243.0439,243.0439
2018-06-19,242.5427,242.5427,242.5427,242.5427
2018-06-20,242.0377,242.0377,242.0377,242.0377
2018-06-21,241.518,241.518,241.518,241.518
2018-06-22,240.9801,240.9801,240.9801,240.9801
2018-06-25,240.31,240.31,240.31,240.31
2018-06-26,239.6579,239.6579,239.6579,239.6579
2018-06-27,238.9766,238.9766,238.9766,238.9766
2018-06-28,238.4178,238.4178,238.4178,238.4178
2018-06-29,237.7805,237.7805,237.7805,237.7805
2018-07-02,237.2467,237.2467,237.2467,237.2467
2018-07-03,236.6329,236.6329,236.6329,236.6329
2018-07-05,236.0464,236.0464,236.0464,236.0464
2018-07-06,235.509,235.509,235.509,235.509
2018-07-09,235.187,235.187,235.187,235.187
2018-07-10,234.8364,234.8364,234.8364,234.8364
2018-07-11,234.4564,234.4564,234.4564,234.4564
2018-07-12,234.1372,234.1372,234.1372,234.1372
2018-07-13,233.8001,233.8001,233.8001,233.8001
2018-07-16,233.6356,233.6356,233.6356,233.6356
2018-07-17,233.4621,233.4621,233.4621,233.4621
2018-07-18,233.3008,233.3008,233.3008,233.3008
2018-07-19,233.0918,233.0918,233.0918,233.0918
2018-07-20,232.9557,232.9557,232.9557,232.9557
2018-07-23,232.891,232.891,232.891,232.891
2018-07-24,232.8976,232.8976,232.8976,232.8976
2018-07-25,232.9311,232.9311,232.9311,232.9311
2018-07-26,232.9781,232.9781,232.9781,232.9781
2018-07-27,233.042,233.042,233.042,233.042
2018-07-30,233.1477,233.1477,233.1477,233.1477
2018-07-31,233.202,233.202,233.202,233.202
2018-08-01,233.2105,233.2105,233.2105,233.2105
2018-08-02,233.1528,233.1528,233.1528,233.1528
2018-08-03,233.1005,233.1005,233.1005,233.1005
2018-08-06,233.11,233.11,233.11,233.11
2018-08-07,233.1817,233.1817,233.1817,233.1817
2018-08-08,233.2049,233.2049,233.2049,233.2049
2018-08-09,233.1439,233.1439,233.1439,233.1439
2018-08-10,232.9495,232.9495,232.9495,232.9495
2018-08-13,232.6711,232.6711,232.6711,232.6711
2018-08-14,232.4879,232.4879,232.4879,232.4879
2018-08-15,232.2999,232.2999,232.2999,232.2999
2018-08-16,232.2391,232.2391,232.2391,232.2391
2018-08-17,232.1928,232.1928,232.1928,232.1928
2018-08-20,232.2264,232.2264,232.2264,232.2264
2018-08-21,232.3532,232.3532,232.3532,232.3532
2018-08-22,232.5,232.5,232.5,232.5
2018-08-23,232.5463,232.5463,232.5463,232.5463
2018-08-24,232.5522,232.5522,232.5522,232.5522
2018-08-27,232.802,232.802,232.802,232.802
2018-08-28,233.039,233.039,233.039,233.039
2018-08-29,233.2391,233.2391,233.2391,233.2391
2018-08-30,233.37,233.37,233.37,233.37
2018-08-31,233.4464,233.4464,233.4464,233.4464
2018-09-04,233.5167,233.5167,233.5167,233.5167
2018-09-05,233.5826,233.5826,233.5826,233.5826
2018-09-06,233.5485,233.5485,233.5485,233.5485
2018-09-07,233.496,233.496,233.496,233.496
2018-09-10,233.3803,233.3803,233.3803,233.3803
2018-09-11,233.2126,233.2126,233.2126,233.2126
2018-09-12,232.9826,232.9826,232.9826,232.9826
2018-09-13,232.7647,232.7647,232.7647,232.7647
2018-09-14,232.5822,232.5822,232.5822,232.5822
2018-09-17,232.3608,232.3608,232.3608,232.3608
2018-09-18,232.178,232.178,232.178,232.178
2018-09-19,232.2178,232.2178,232.2178,232.2178
2018-09-20,232.3164,232.3164,232.3164,232.3164
2018-09-21,232.3461,232.3461,232.3461,232.3461
2018-09-24,232.2964,232.2964,232.2964,232.2964
2018-09-25,232.2354,232.2354,232.2354,232.2354
2018-09-26,232.0587,232.0587,232.0587,232.0587
2018-09-27,231.8499,231.8499,231.8499,231.8499
2018-09-28,231.5329,231.5329,231.5329,231.5329
2018-10-01,231.2598,231.2598,231.2598,231.2598
2018-10-02,231.018,231.018,231.018,231.018
2018-10-03,230.8383,230.8383,230.8383,230.8383
2018-10-04,230.6539,230.6539,230.6539,230.6539
2018-10-05,230.4171,230.4171,230.4171,230.4171
2018-10-08,230.175,230.175,230.175,230.175
2018-10-09,229.8601,229.8601,229.8601,229.8601
2018-10-10,229.2928,229.2928,229.2928,229.2928
2018-10-11,228.6777,228.6777,228.6777,228.6777
2018-10-12,228.1076,228.1076,228.1076,228.1076
2018-10-15,227.5961,227.5961,227.5961,227.5961
2018-10-16,227.3087,227.3087,227.3087,227.3087
2018-10-17,227.243,227.243,227.243,227.243
2018-10-18,227.0715,227.0715,227.0715,227.0715
2018-10-19,226.9703,226.9703,226.9703,226.9703
2018-10-22,226.6982,226.6982,226.6982,226.6982
2018-10-23,226.3346,226.3346,226.3346,226.3346
2018-10-24,225.6758,225.6758,225.6758,225.6758
2018-10-25,225.191,225.191,225.191,225.191
2018-10-26,224.6654,224.6654,224.6654,224.6654
2018-10-29,224.2227,224.2227,224.2227,224.2227
2018-10-30,223.9477,223.9477,223.9477,223.9477
2018-10-31,223.8783,223.8783,223.8783,223.8783
2018-11-01,223.8636,223.8636,223.8636,223.8636
2018-11-02,223.9387,223.9387,223.9387,223.9387
2018-11-05,223.9814,223.9814,223.9814,223.9814
2018-11-06,224.007,224.007,224.007,224.007
2018-11-07,224.1331,224.1331,224.1331,224.1331
2018-11-08,224.269,224.269,224.269,224.269
2018-11-09,224.1099,224.1099,224.1099,224.1099
2018-11-12,223.4157,223.4157,223.4157,223.4157
2018-11-13,222.7069,222.7069,222.7069,222.7069
2018-11-14,221.9332,221.9332,221.9332,221.9332
2018-11-15,221.22,221.22,221.22,221.22
2018-11-16,220.4727,220.4727,220.4727,220.4727
2018-11-19,219.6179,219.6179,219.6179,219.6179
2018-11-20,218.5614,218.5614,218.5614,218.5614
2018-11-21,217.5729,217.5729,217.5729,217.5729
2018-11-23,216.4961,216.4961,216.4961,216.4961
2018-11-26,215.6173,215.6173,215.6173,215.6173
2018-11-27,214.7389,214.7389,214.7389,214.7389
2018-11-28,214.0363,214.0363,214.0363,214.0363
2018-11-29,213.2385,213.2385,213.2385,213.2385
2018-11-30,212.3264,212.3264,212.3264,212.3264
2018-12-03,211.4687,211.4687,211.4687,211.4687
2018-12-04,210.3955,210.3955,210.3955,210.3955
2018-12-06,209.3431,209.3431,209.3431,209.3431
2018-12-07,208.1744,208.1744,208.1744,208.1744
2018-12-10,207.0087,207.0087,207.0087,207.0087
2018-12-11,205.8073,205.8073,205.8073,205.8073
2018-12-12,204.634,204.634,204.634,204.634
2018-12-13,203.4659,203.4659,203.4659,203.4659
2018-12-14,202.226,202.226,202.226,202.226
2018-12-17,200.8637,200.8637,200.8637,200.8637
2018-12-18,199.6504,199.6504,199.6504,199.6504
2018-12-19,198.3957,198.3957,198.3957,198.3957
2018-12-20,197.1468,197.1468,197.1468,197.1468
2018-12-21,195.6588,195.6588,195.6588,195.6588
2018-12-24,194.0894,194.0894,194.0894,194.0894
2018-12-26,192.7748,192.7748,192.7748,192.7748
2018-12-27,191.5757,191.5757,191.5757,191.5757
2018-12-28,190.331,190.331,190.331,190.331
2018-12-31,189.2503,189.2503,189.2503,189.2503
2019-01-02,188.3606,188.3606,188.3606,188.3606
2019-01-03,187.4136,187.4136,187.4136,187.4136
2019-01-04,186.6726,186.6726,186.6726,186.6726
2019-01-07,185.9842,185.9842,185.9842,185.9842
2019-01-08,185.2944,185.2944,185.2944,185.2944
2019-01-09,184.6601,184.6601,184.6601,184.6601
2019-01-10,184.0289,184.0289,184.0289,184.0289
2019-01-11,183.4464,183.4464,183.4464,183.4464
2019-01-14,182.9392,182.9392,182.9392,182.9392
2019-01-15,182.4862,182.4862,182.4862,182.4862
2019-01-16,182.6054,182.6054,182.6054,182.6054
2019-01-17,182.7901,182.7901,182.7901,182.7901
2019-01-18,183.0853,183.0853,183.0853,183.0853
2019-01-22,183.2181,183.2181,183.2181,183.2181
2019-01-23,183.3251,183.3251,183.3251,183.3251
2019-01-24,183.4616,183.4616,183.4616,183.4616
2019-01-25,183.693,183.693,183.693,183.693
2019-01-28,183.8884,183.8884,183.8884,183.8884
2019-01-29,184.107,184.107,184.107,184.107
2019-01-30,184.3873,184.3873,184.3873,184.3873
2019-01-31,184.518,184.518,184.518,184.518
2019-02-01,184.6003,184.6003,184.6003,184.6003
2019-02-04,184.7215,184.7215,184.7215,184.7215
2019-02-05,184.8516,184.8516,184.8516,184.8516
2019-02-06,184.9359,184.9359,184.9359,184.9359
2019-02-07,184.9051,184.9051,184.9051,184.9051
2019-02-08,184.832,184.832,184.832,184.832
2019-02-11,184.752,184.752,184.752,184.752
2019-02-12,184.7792,184.7792,184.7792,184.7792
2019-02-13,184.8146,184.8146,184.8146,184.8146
2019-02-14,184.7813,184.7813,184.7813,184.7813
2019-02-15,184.9452,184.9452,184.9452,184.9452
2019-02-19,185.113,185.113,185.113,185.113
2019-02-20,185.2768,185.2768,185.2768,185.2768
2019-02-21,185.3659,185.3659,185.3659,185.3659
2019-02-22,185.4434,185.4434,185.4434,185.4434
2019-02-25,185.6073,185.6073,185.6073,185.6073
2019-02-26,185.7776,185.7776,185.7776,185.7776
2019-02-27,185.9199,185.9199,185.9199,185.9199
2019-02-28,186.0152,186.0152,186.0152,186.0152
2019-03-01,186.1592,186.1592,186.1592,186.1592
2019-03-04,186.2294,186.2294,186.2294,186.2294
2019-03-05,186.3007,186.3007,186.3007,186.3007
2019-03-06,186.3313,186.3313,186.3313,186.3313
2019-03-07,186.2991,186.2991,186.2991,186.2991
2019-03-08,186.35,186.35,186.35,186.35
2019-03-11,186.4254,186.4254,186.4254,186.4254
