date,open,low,high,close
2018-01-02,256.0811,256.0811,256.0811,256.0811
2018-01-03,255.1508,255.1508,255.1508,255.1508
2018-01-04,255.7105,255.7105,255.7105,255.7105
2018-01-05,255.647,255.647,255.647,255.647
2018-01-08,254.368,254.368,254.368,254.368
2018-01-09,254.2253,254.2253,254.2253,254.2253
2018-01-10,254.2602,254.2602,254.2602,254.2602
2018-01-11,254.5501,254.5501,254.5501,254.5501
2018-01-12,255.3768,255.3768,255.3768,255.3768
2018-01-16,256.4045,256.4045,256.4045,256.4045
2018-01-17,255.4863,255.4863,255.4863,255.4863
2018-01-18,253.9809,253.9809,253.9809,253.9809
2018-01-19,254.6939,254.6939,254.6939,254.6939
2018-01-22,256.9693,256.9693,256.9693,256.9693
2018-01-23,258.0095,258.0095,258.0095,258.0095
2018-01-24,260.5663,260.5663,260.5663,260.5663
2018-01-25,263.3876,263.3876,263.3876,263.3876
2018-01-26,264.9717,264.9717,264.9717,264.9717
2018-01-29,267.4745,267.4745,267.4745,267.4745
2018-01-30,267.963,267.963,267.963,267.963
2018-01-31,267.9387,267.9387,267.9387,267.9387
2018-02-01,269.3691,269.3691,269.3691,269.3691
2018-02-02,266.2594,266.2594,266.2594,266.2594
2018-02-05,260.5429,260.5429,260.5429,260.5429
2018-02-06,259.9286,259.9286,259.9286,259.9286
2018-02-07,258.9857,258.9857,258.9857,258.9857
2018-02-08,254.7738,254.7738,254.7738,254.7738
2018-02-09,252.9492,252.9492,252.9492,252.9492
2018-02-12,253.0195,253.0195,253.0195,253.0195
2018-02-13,253.8563,253.8563,253.8563,253.8563
2018-02-14,256.7642,256.7642,256.7642,256.7642
2018-02-15,260.4028,260.4028,260.4028,260.4028
2018-02-16,262.8085,262.8085,262.8085,262.8085
2018-02-20,263.5024,263.5024,263.5024,263.5024
2018-02-21,263.4682,263.4682,263.4682,263.4682
2018-02-22,262.7888,262.7888,262.7888,262.7888
2018-02-23,264.1159,264.1159,264.1159,264.1159
2018-02-26,266.4973,266.4973,266.4973,266.4973
2018-02-27,266.9748,266.9748,266.9748,266.9748
2018-02-28,265.6266,265.6266,265.6266,265.6266
2018-03-01,262.6777,262.6777,262.6777,262.6777
2018-03-02,261.1585,261.1585,261.1585,261.1585
2018-03-05,261.8123,261.8123,261.8123,261.8123
2018-03-06,263.5182,263.5182,263.5182,263.5182
2018-03-07,264.1288,264.1288,264.1288,264.1288
2018-03-08,264.8659,264.8659,264.8659,264.8659
2018-03-09,266.8339,266.8339,266.8339,266.8339
2018-03-12,269.0159,269.0159,269.0159,269.0159
2018-03-13,268.854,268.854,268.854,268.854
2018-03-14,267.3793,267.3793,267.3793,267.3793
2018-03-15,267.1229,267.1229,267.1229,267.1229
2018-03-16,267.2819,267.2819,267.2819,267.2819
2018-03-19,265.6979,265.6979,265.6979,265.6979
2018-03-20,264.862,264.862,264.862,264.862
2018-03-21,263.858,263.858,263.858,263.858
2018-03-22,260.1053,260.1053,260.1053,260.1053
2018-03-23,255.1569,255.1569,255.1569,255.1569
2018-03-26,255.0646,255.0646,255.0646,255.0646
