date,open,low,high,close
2018-01-02,-3.3,-3.3,-3.3,-3.3
2018-01-03,-4.43,-4.43,-4.43,-4.43
2018-01-04,0.88,0.88,0.88,0.88
2018-01-05,-0.98,-0.98,-0.98,-0.98
2018-01-08,-2.95,-2.95,-2.95,-2.95
2018-01-09,-1.73,-1.73,-1.73,-1.73
2018-01-10,1.04,1.04,1.04,1.04
2018-01-11,-1.7,-1.7,-1.7,-1.7
2018-01-12,1.51,1.51,1.51,1.51
2018-01-16,6.65,6.65,6.65,6.65
2018-01-17,-0.29,-0.29,-0.29,-0.29
2018-01-18,-3.36,-3.36,-3.36,-3.36
2018-01-19,0.99,0.99,0.99,0.99
2018-01-22,4.49,4.49,4.49,4.49
2018-01-23,1.63,1.63,1.63,1.63
2018-01-24,12.03,12.03,12.03,12.03
2018-01-25,18.06,18.06,18.06,18.06
2018-01-26,12.02,12.02,12.02,12.02
2018-01-29,10.96,10.96,10.96,10.96
2018-01-30,8.85,8.85,8.85,8.85
2018-01-31,2.21,2.21,2.21,2.21
2018-02-01,3.2,3.2,3.2,3.2
2018-02-02,-8.1,-8.1,-8.1,-8.1
2018-02-05,-23.37,-23.37,-23.37,-23.37
2018-02-06,-10.24,-10.24,-10.24,-10.24
2018-02-07,-10.79,-10.79,-10.79,-10.79
2018-02-08,-25.88,-25.88,-25.88,-25.88
2018-02-09,-10.74,-10.74,-10.74,-10.74
2018-02-12,4.05,4.05,4.05,4.05
2018-02-13,-3.17,-3.17,-3.17,-3.17
2018-02-14,5.48,5.48,5.48,5.48
2018-02-15,21.33,21.33,21.33,21.33
2018-02-16,18.32,18.32,18.32,18.32
2018-02-20,11.73,11.73,11.73,11.73
2018-02-21,7.87,7.87,7.87,7.87
2018-02-22,-1.15,-1.15,-1.15,-1.15
2018-02-23,-0.91,-0.91,-0.91,-0.91
2018-02-26,3.64,3.64,3.64,3.64
2018-02-27,3.04,3.04,3.04,3.04
2018-02-28,-0.47,-0.47,-0.47,-0.47
2018-03-01,-4.65,-4.65,-4.65,-4.65
2018-03-02,-8.65,-8.65,-8.65,-8.65
2018-03-05,-8.14,-8.14,-8.14,-8.14
2018-03-06,-1.0,-1.0,-1.0,-1.0
2018-03-07,2.42,2.42,2.42,2.42
2018-03-08,9.56,9.56,9.56,9.56
2018-03-09,12.65,12.65,12.65,12.65
2018-03-12,10.26,10.26,10.26,10.26
2018-03-13,1.6,1.6,1.6,1.6
2018-03-14,-0.92,-0.92,-0.92,-0.92
2018-03-15,0.27,0.27,0.27,0.27
2018-03-16,-3.17,-3.17,-3.17,-3.17
2018-03-19,-10.85,-10.85,-10.85,-10.85
2018-03-20,-5.34,-5.34,-5.34,-5.34
2018-03-21,-2.58,-2.58,-2.58,-2.58
2018-03-22,-14.01,-14.01,-14.01,-14.01
2018-03-23,-22.34,-22.34,-22.34,-22.34
2018-03-26,-7.65,-7.65,-7.65,-7.65
2018-03-27,-15.93,-15.93,-15.93,-15.93
2018-03-28,-12.48,-12.48,-12.48,-12.48
2018-03-29,-0.74,-0.74,-0.74,-0.74
2018-04-02,2.09,2.09,2.09,2.09
2018-04-03,-4.3,-4.3,-4.3,-4.3
2018-04-04,5.36,5.36,5.36,5.36
2018-04-05,6.44,6.44,6.44,6.44
2018-04-06,-1.89,-1.89,-1.89,-1.89
