date,open,low,high,close
2018-01-02,247.388,247.388,247.388,247.388
2018-01-03,247.6102,247.6102,247.6102,247.6102
2018-01-04,247.9437,247.9437,247.9437,247.9437
2018-01-05,248.3365,248.3365,248.3365,248.3365
2018-01-08,248.6005,248.6005,248.6005,248.6005
2018-01-09,248.9292,248.9292,248.9292,248.9292
2018-01-10,249.2837,249.2837,249.2837,249.2837
2018-01-11,249.6552,249.6552,249.6552,249.6552
2018-01-12,250.15,250.15,250.15,250.15
2018-01-16,250.6712,250.6712,250.6712,250.6712
2018-01-17,251.0282,251.0282,251.0282,251.0282
2018-01-18,251.352,251.352,251.352,251.352
2018-01-19,251.8017,251.8017,251.8017,251.8017
2018-01-22,252.3892,252.3892,252.3892,252.3892
2018-01-23,252.9807,252.9807,252.9807,252.9807
2018-01-24,253.724,253.724,253.724,253.724
2018-01-25,254.572,254.572,254.572,254.572
2018-01-26,255.2902,255.2902,255.2902,255.2902
2018-01-29,256.0682,256.0682,256.0682,256.0682
2018-01-30,256.6007,256.6007,256.6007,256.6007
2018-01-31,257.0742,257.0742,257.0742,257.0742
2018-02-01,257.6137,257.6137,257.6137,257.6137
2018-02-02,257.9065,257.9065,257.9065,257.9065
2018-02-05,257.9855,257.9855,257.9855,257.9855
2018-02-06,258.239,258.239,258.239,258.239
2018-02-07,258.4077,258.4077,258.4077,258.4077
2018-02-08,258.3132,258.3132,258.3132,258.3132
2018-02-09,258.1037,258.1037,258.1037,258.1037
2018-02-12,258.0437,258.0437,258.0437,258.0437
2018-02-13,258.045,258.045,258.045,258.045
2018-02-14,258.1802,258.1802,258.1802,258.1802
2018-02-15,258.3717,258.3717,258.3717,258.3717
2018-02-16,258.6502,258.6502,258.6502,258.6502
2018-02-20,258.893,258.893,258.893,258.893
2018-02-21,258.9527,258.9527,258.9527,258.9527
2018-02-22,259.0142,259.0142,259.0142,259.0142
2018-02-23,259.2405,259.2405,259.2405,259.2405
2018-02-26,259.6232,259.6232,259.6232,259.6232
2018-02-27,259.909,259.909,259.909,259.909
2018-02-28,260.1132,260.1132,260.1132,260.1132
2018-03-01,260.141,260.141,260.141,260.141
2018-03-02,260.2617,260.2617,260.2617,260.2617
2018-03-05,260.419,260.419,260.419,260.419
2018-03-06,260.7042,260.7042,260.7042,260.7042
2018-03-07,261.0427,261.0427,261.0427,261.0427
2018-03-08,261.3527,261.3527,261.3527,261.3527
2018-03-09,261.7637,261.7637,261.7637,261.7637
2018-03-12,262.22,262.22,262.22,262.22
2018-03-13,262.5075,262.5075,262.5075,262.5075
2018-03-14,262.6567,262.6567,262.6567,262.6567
2018-03-15,262.9808,262.9808,262.9808,262.9808
2018-03-16,263.3965,263.3965,263.3965,263.3965
2018-03-19,263.5568,263.5568,263.5568,263.5568
2018-03-20,263.5985,263.5985,263.5985,263.5985
2018-03-21,263.6425,263.6425,263.6425,263.6425
2018-03-22,263.3155,263.3155,263.3155,263.3155
2018-03-23,262.7213,262.7213,262.7213,262.7213
2018-03-26,262.3898,262.3898,262.3898,262.3898
2018-03-27,261.7593,261.7593,261.7593,261.7593
2018-03-28,261.27,261.27,261.27,261.27
2018-03-29,260.8693,260.8693,260.8693,260.8693
2018-04-02,260.2473,260.2473,260.2473,260.2473
2018-04-03,260.0108,260.0108,260.0108,260.0108
2018-04-04,260.0985,260.0985,260.0985,260.0985
2018-04-05,260.0263,260.0263,260.0263,260.0263
2018-04-06,259.848,259.848,259.848,259.848
2018-04-09,259.994,259.994,259.994,259.994
2018-04-10,260.1758,260.1758,260.1758,260.1758
2018-04-11,260.1703,260.1703,260.1703,260.1703
2018-04-12,260.2718,260.2718,260.2718,260.2718
2018-04-13,260.1053,260.1053,260.1053,260.1053
2018-04-16,259.8603,259.8603,259.8603,259.8603
2018-04-17,259.5105,259.5105,259.5105,259.5105
2018-04-18,259.2382,259.2382,259.2382,259.2382
2018-04-19,259.0075,259.0075,259.0075,259.0075
2018-04-20,258.7708,258.7708,258.7708,258.7708
2018-04-23,258.2682,258.2682,258.2682,258.2682
2018-04-24,257.549,257.549,257.549,257.549
2018-04-25,256.8315,256.8315,256.8315,256.8315
2018-04-26,256.2605,256.2605,256.2605,256.2605
2018-04-27,255.836,255.836,255.836,255.836
2018-04-30,255.3412,255.3412,255.3412,255.3412
2018-05-01,254.68,254.68,254.68,254.68
2018-05-02,253.858,253.858,253.858,253.858
2018-05-03,253.0595,253.0595,253.0595,253.0595
2018-05-04,252.2745,252.2745,252.2745,252.2745
2018-05-07,251.4352,251.4352,251.4352,251.4352
2018-05-08,250.5257,250.5257,250.5257,250.5257
2018-05-09,249.8557,249.8557,249.8557,249.8557
2018-05-10,249.331,249.331,249.331,249.331
2018-05-11,248.7387,248.7387,248.7387,248.7387
2018-05-14,248.1465,248.1465,248.1465,248.1465
2018-05-15,247.6222,247.6222,247.6222,247.6222
2018-05-16,247.0665,247.0665,247.0665,247.0665
2018-05-17,246.4977,246.4977,246.4977,246.4977
2018-05-18,246.1077,246.1077,246.1077,246.1077
2018-05-21,245.9187,245.9187,245.9187,245.9187
2018-05-22,245.4967,245.4967,245.4967,245.4967
2018-05-23,245.2605,245.2605,245.2605,245.2605
2018-05-24,244.9287,244.9287,244.9287,244.9287
2018-05-25,244.5075,244.5075,244.5075,244.5075
2018-05-29,243.9995,243.9995,243.9995,243.9995
2018-05-30,243.464,243.464,243.464,243.464
2018-05-31,242.7955,242.7955,242.7955,242.7955
2018-06-01,242.109,242.109,242.109,242.109
2018-06-04,241.607,241.607,241.607,241.607
2018-06-05,241.0107,241.0107,241.0107,241.0107
2018-06-06,240.4022,240.4022,240.4022,240.4022
2018-06-07,239.915,239.915,239.915,239.915
2018-06-08,239.26,239.26,239.26,239.26
2018-06-11,238.7142,238.7142,238.7142,238.7142
2018-06-12,238.083,238.083,238.083,238.083
2018-06-13,237.588,237.588,237.588,237.588
2018-06-14,237.0792,237.0792,237.0792,237.0792
2018-06-15,236.523,236.523,236.523,236.523
2018-06-18,236.0087,236.0087,236.0087,236.0087
2018-06-19,235.55,235.55,235.55,235.55
2018-06-20,235.1832,235.1832,235.1832,235.1832
2018-06-21,234.877,234.877,234.877,234.877
2018-06-22,234.5252,234.5252,234.5252,234.5252
2018-06-25,234.0687,234.0687,234.0687,234.0687
2018-06-26,233.65,233.65,233.65,233.65
2018-06-27,233.2377,233.2377,233.2377,233.2377
2018-06-28,232.972,232.972,232.972,232.972
2018-06-29,232.651,232.651,232.651,232.651
2018-07-02,232.359,232.359,232.359,232.359
2018-07-03,231.9385,231.9385,231.9385,231.9385
2018-07-05,231.532,231.532,231.532,231.532
2018-07-06,231.0335,231.0335,231.0335,231.0335
2018-07-09,230.6472,230.6472,230.6472,230.6472
2018-07-10,230.2455,230.2455,230.2455,230.2455
2018-07-11,229.7892,229.7892,229.7892,229.7892
2018-07-12,229.4307,229.4307,229.4307,229.4307
2018-07-13,229.067,229.067,229.067,229.067
2018-07-16,228.8755,228.8755,228.8755,228.8755
2018-07-17,228.726,228.726,228.726,228.726
2018-07-18,228.5645,228.5645,228.5645,228.5645
2018-07-19,228.3552,228.3552,228.3552,228.3552
2018-07-20,228.2022,228.2022,228.2022,228.2022
2018-07-23,228.1437,228.1437,228.1437,228.1437
2018-07-24,228.1655,228.1655,228.1655,228.1655
2018-07-25,228.407,228.407,228.407,228.407
2018-07-26,228.6057,228.6057,228.6057,228.6057
2018-07-27,228.8997,228.8997,228.8997,228.8997
2018-07-30,229.1647,229.1647,229.1647,229.1647
2018-07-31,229.3532,229.3532,229.3532,229.3532
2018-08-01,229.5457,229.5457,229.5457,229.5457
2018-08-02,229.5897,229.5897,229.5897,229.5897
2018-08-03,229.6057,229.6057,229.6057,229.6057
2018-08-06,229.6692,229.6692,229.6692,229.6692
2018-08-07,229.7627,229.7627,229.7627,229.7627
2018-08-08,229.8562,229.8562,229.8562,229.8562
2018-08-09,229.855,229.855,229.855,229.855
2018-08-10,229.754,229.754,229.754,229.754
2018-08-13,229.6275,229.6275,229.6275,229.6275
2018-08-14,229.5817,229.5817,229.5817,229.5817
2018-08-15,229.605,229.605,229.605,229.605
2018-08-16,229.7345,229.7345,229.7345,229.7345
2018-08-17,229.8945,229.8945,229.8945,229.8945
2018-08-20,230.1385,230.1385,230.1385,230.1385
2018-08-21,230.5662,230.5662,230.5662,230.5662
2018-08-22,231.0102,231.0102,231.0102,231.0102
2018-08-23,231.4142,231.4142,231.4142,231.4142
2018-08-24,231.7065,231.7065,231.7065,231.7065
2018-08-27,232.2572,232.2572,232.2572,232.2572
2018-08-28,232.735,232.735,232.735,232.735
2018-08-29,233.2605,233.2605,233.2605,233.2605
2018-08-30,233.727,233.727,233.727,233.727
2018-08-31,234.1275,234.1275,234.1275,234.1275
2018-09-04,234.3692,234.3692,234.3692,234.3692
2018-09-05,234.637,234.637,234.637,234.637
2018-09-06,234.8585,234.8585,234.8585,234.8585
2018-09-07,235.0257,235.0257,235.0257,235.0257
2018-09-10,235.1632,235.1632,235.1632,235.1632
