date,open,low,high,close
2018-01-02,256.6713,256.6713,256.6713,256.6713
2018-01-03,255.9556,255.9556,255.9556,255.9556
2018-01-04,256.006,256.006,256.006,256.006
2018-01-05,255.8118,255.8118,255.8118,255.8118
2018-01-08,254.9369,254.9369,254.9369,254.9369
2018-01-09,254.6165,254.6165,254.6165,254.6165
2018-01-10,254.4585,254.4585,254.4585,254.4585
2018-01-11,254.5076,254.5076,254.5076,254.5076
2018-01-12,254.9171,254.9171,254.9171,254.9171
2018-01-16,255.5769,255.5769,255.5769,255.5769
2018-01-17,255.2949,255.2949,255.2949,255.2949
2018-01-18,254.5624,254.5624,254.5624,254.5624
2018-01-19,254.8084,254.8084,254.8084,254.8084
2018-01-22,256.0491,256.0491,256.0491,256.0491
2018-01-23,256.9207,256.9207,256.9207,256.9207
2018-01-24,258.6582,258.6582,258.6582,258.6582
2018-01-25,260.7913,260.7913,260.7913,260.7913
2018-01-26,262.4953,262.4953,262.4953,262.4953
2018-01-29,264.7518,264.7518,264.7518,264.7518
2018-01-30,266.0838,266.0838,266.0838,266.0838
2018-01-31,267.0344,267.0344,267.0344,267.0344
2018-02-01,268.5151,268.5151,268.5151,268.5151
2018-02-02,267.3929,267.3929,267.3929,267.3929
2018-02-05,264.2122,264.2122,264.2122,264.2122
2018-02-06,263.0007,263.0007,263.0007,263.0007
2018-02-07,261.5236,261.5236,261.5236,261.5236
2018-02-08,258.248,258.248,258.248,258.248
2018-02-09,255.9211,255.9211,255.9211,255.9211
2018-02-12,254.6385,254.6385,254.6385,254.6385
2018-02-13,254.1382,254.1382,254.1382,254.1382
2018-02-14,255.1635,255.1635,255.1635,255.1635
2018-02-15,257.2125,257.2125,257.2125,257.2125
2018-02-16,259.3335,259.3335,259.3335,259.3335
2018-02-20,260.8202,260.8202,260.8202,260.8202
2018-02-21,261.7491,261.7491,261.7491,261.7491
2018-02-22,262.2344,262.2344,262.2344,262.2344
2018-02-23,263.6118,263.6118,263.6118,263.6118
2018-02-26,265.4344,265.4344,265.4344,265.4344
2018-02-27,266.2522,266.2522,266.2522,266.2522
2018-02-28,265.8924,265.8924,265.8924,265.8924
2018-03-01,264.2798,264.2798,264.2798,264.2798
2018-03-02,263.0164,263.0164,263.0164,263.0164
2018-03-05,262.8358,262.8358,262.8358,262.8358
2018-03-06,263.4298,263.4298,263.4298,263.4298
2018-03-07,263.6995,263.6995,263.6995,263.6995
2018-03-08,264.1136,264.1136,264.1136,264.1136
2018-03-09,265.244,265.244,265.244,265.244
2018-03-12,266.7762,266.7762,266.7762,266.7762
2018-03-13,267.388,267.388,267.388,267.388
2018-03-14,267.2435,267.2435,267.2435,267.2435
2018-03-15,267.468,267.468,267.468,267.468
2018-03-16,267.6938,267.6938,267.6938,267.6938
2018-03-19,266.8255,266.8255,266.8255,266.8255
2018-03-20,266.0878,266.0878,266.0878,266.0878
2018-03-21,265.1745,265.1745,265.1745,265.1745
2018-03-22,262.6431,262.6431,262.6431,262.6431
2018-03-23,259.0269,259.0269,259.0269,259.0269
2018-03-26,257.6236,257.6236,257.6236,257.6236
2018-03-27,255.1713,255.1713,255.1713,255.1713
2018-03-28,253.4893,253.4893,253.4893,253.4893
2018-03-29,252.5338,252.5338,252.5338,252.5338
2018-04-02,251.0265,251.0265,251.0265,251.0265
2018-04-03,250.4747,250.4747,250.4747,250.4747
2018-04-04,250.5111,250.5111,250.5111,250.5111
2018-04-05,251.3196,251.3196,251.3196,251.3196
2018-04-06,251.1762,251.1762,251.1762,251.1762
2018-04-09,251.4842,251.4842,251.4842,251.4842
