date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-70.0855,-70.0855,-70.0855,-70.0855
2018-01-03,-95.8813,-95.8813,-95.8813,-95.8813
2018-01-04,-57.5128,-57.5128,-57.5128,-57.5128
2018-01-05,-71.7113,-71.7113,-71.7113,-71.7113
2018-01-08,-98.1933,-98.1933,-98.1933,-98.1933
2018-01-09,-71.358,-71.358,-71.358,-71.358
2018-01-10,-66.5432,-66.5432,-66.5432,-66.5432
2018-01-11,-56.6667,-56.6667,-56.6667,-56.6667
2018-01-12,-33.2099,-33.2099,-33.2099,-33.2099
2018-01-16,-32.6108,-32.6108,-32.6108,-32.6108
2018-01-17,-63.4325,-63.4325,-63.4325,-63.4325
2018-01-18,-83.7917,-83.7917,-83.7917,-83.7917
2018-01-19,-44.6686,-44.6686,-44.6686,-44.6686
2018-01-22,-9.6191,-9.6191,-9.6191,-9.6191
2018-01-23,-19.809,-19.809,-19.809,-19.809
2018-01-24,-0.5902,-0.5902,-0.5902,-0.5902
2018-01-25,-6.7856,-6.7856,-6.7856,-6.7856
2018-01-26,-10.8938,-10.8938,-10.8938,-10.8938
2018-01-29,-5.2497,-5.2497,-5.2497,-5.2497
2018-01-30,-19.4361,-19.4361,-19.4361,-19.4361
2018-01-31,-25.0744,-25.0744,-25.0744,-25.0744
2018-02-01,-6.6298,-6.6298,-6.6298,-6.6298
2018-02-02,-73.9247,-73.9247,-73.9247,-73.9247
2018-02-05,-76.4323,-76.4323,-76.4323,-76.4323
2018-02-06,-46.7327,-46.7327,-46.7327,-46.7327
2018-02-07,-51.6878,-51.6878,-51.6878,-51.6878
2018-02-08,-84.9799,-84.9799,-84.9799,-84.9799
2018-02-09,-70.9855,-70.9855,-70.9855,-70.9855
2018-02-12,-58.3483,-58.3483,-58.3483,-58.3483
2018-02-13,-51.2312,-51.2312,-51.2312,-51.2312
2018-02-14,-30.0601,-30.0601,-30.0601,-30.0601
2018-02-15,-12.5385,-12.5385,-12.5385,-12.5385
2018-02-16,-5.5352,-5.5352,-5.5352,-5.5352
2018-02-20,-14.6382,-14.6382,-14.6382,-14.6382
2018-02-21,-21.4914,-21.4914,-21.4914,-21.4914
2018-02-22,-27.9062,-27.9062,-27.9062,-27.9062
2018-02-23,-10.5177,-10.5177,-10.5177,-10.5177
2018-02-26,-2.2648,-2.2648,-2.2648,-2.2648
2018-02-27,-23.0257,-23.0257,-23.0257,-23.0257
2018-02-28,-54.6586,-54.6586,-54.6586,-54.6586
2018-03-01,-96.5778,-96.5778,-96.5778,-96.5778
2018-03-02,-71.3606,-71.3606,-71.3606,-71.3606
2018-03-05,-47.5737,-47.5737,-47.5737,-47.5737
2018-03-06,-29.4481,-29.4481,-29.4481,-29.4481
2018-03-07,-36.9648,-36.9648,-36.9648,-36.9648
2018-03-08,-32.255,-32.255,-32.255,-32.255
2018-03-09,-11.1798,-11.1798,-11.1798,-11.1798
2018-03-12,-8.3154,-8.3154,-8.3154,-8.3154
2018-03-13,-29.2115,-29.2115,-29.2115,-29.2115
2018-03-14,-46.8763,-46.8763,-46.8763,-46.8763
2018-03-15,-37.4838,-37.4838,-37.4838,-37.4838
2018-03-16,-40.43,-40.43,-40.43,-40.43
2018-03-19,-80.6818,-80.6818,-80.6818,-80.6818
2018-03-20,-76.5152,-76.5152,-76.5152,-76.5152
2018-03-21,-84.9747,-84.9747,-84.9747,-84.9747
2018-03-22,-98.1842,-98.1842,-98.1842,-98.1842
2018-03-23,-98.9138,-98.9138,-98.9138,-98.9138
2018-03-26,-66.9435,-66.9435,-66.9435,-66.9435
2018-03-27,-90.9865,-90.9865,-90.9865,-90.9865
2018-03-28,-80.3768,-80.3768,-80.3768,-80.3768
2018-03-29,-70.6044,-70.6044,-70.6044,-70.6044
2018-04-02,-84.9136,-84.9136,-84.9136,-84.9136
2018-04-03,-70.0264,-70.0264,-70.0264,-70.0264
2018-04-04,-61.0475,-61.0475,-61.0475,-61.0475
2018-04-05,-29.3842,-29.3842,-29.3842,-29.3842
2018-04-06,-56.4301,-56.4301,-56.4301,-56.4301
2018-04-09,-40.8292,-40.8292,-40.8292,-40.8292
2018-04-10,-20.5955,-20.5955,-20.5955,-20.5955
2018-04-11,-43.1141,-43.1141,-43.1141,-43.1141
2018-04-12,-6.7217,-6.7217,-6.7217,-6.7217
2018-04-13,-35.1273,-35.1273,-35.1273,-35.1273
2018-04-16,-25.6782,-25.6782,-25.6782,-25.6782
2018-04-17,-49.3051,-49.3051,-49.3051,-49.3051
2018-04-18,-53.7265,-53.7265,-53.7265,-53.7265
2018-04-19,-52.6519,-52.6519,-52.6519,-52.6519
2018-04-20,-79.0682,-79.0682,-79.0682,-79.0682
2018-04-23,-97.0568,-97.0568,-97.0568,-97.0568
2018-04-24,-89.0912,-89.0912,-89.0912,-89.0912
2018-04-25,-93.117,-93.117,-93.117,-93.117
2018-04-26,-89.6755,-89.6755,-89.6755,-89.6755
2018-04-27,-90.7437,-90.7437,-90.7437,-90.7437
2018-04-30,-96.6855,-96.6855,-96.6855,-96.6855
2018-05-01,-88.248,-88.248,-88.248,-88.248
2018-05-02,-97.2296,-97.2296,-97.2296,-97.2296
2018-05-03,-78.7482,-78.7482,-78.7482,-78.7482
2018-05-04,-70.2564,-70.2564,-70.2564,-70.2564
2018-05-07,-54.9425,-54.9425,-54.9425,-54.9425
2018-05-08,-38.7364,-38.7364,-38.7364,-38.7364
2018-05-09,-8.5514,-8.5514,-8.5514,-8.5514
2018-05-10,-10.9878,-10.9878,-10.9878,-10.9878
2018-05-11,-13.8735,-13.8735,-13.8735,-13.8735
2018-05-14,-10.6602,-10.6602,-10.6602,-10.6602
2018-05-15,-23.3766,-23.3766,-23.3766,-23.3766
2018-05-16,-26.6234,-26.6234,-26.6234,-26.6234
2018-05-17,-49.8529,-49.8529,-49.8529,-49.8529
2018-05-18,-83.7341,-83.7341,-83.7341,-83.7341
2018-05-21,-82.7935,-82.7935,-82.7935,-82.7935
2018-05-22,-87.4584,-87.4584,-87.4584,-87.4584
2018-05-23,-70.1739,-70.1739,-70.1739,-70.1739
2018-05-24,-79.9673,-79.9673,-79.9673,-79.9673
2018-05-25,-88.8798,-88.8798,-88.8798,-88.8798
2018-05-29,-89.3819,-89.3819,-89.3819,-89.3819
2018-05-30,-76.2342,-76.2342,-76.2342,-76.2342
2018-05-31,-90.2452,-90.2452,-90.2452,-90.2452
2018-06-01,-74.3513,-74.3513,-74.3513,-74.3513
2018-06-04,-65.0792,-65.0792,-65.0792,-65.0792
2018-06-05,-74.4115,-74.4115,-74.4115,-74.4115
2018-06-06,-40.9289,-40.9289,-40.9289,-40.9289
2018-06-07,-28.4404,-28.4404,-28.4404,-28.4404
2018-06-08,-22.6933,-22.6933,-22.6933,-22.6933
2018-06-11,-15.4691,-15.4691,-15.4691,-15.4691
2018-06-12,-27.8107,-27.8107,-27.8107,-27.8107
2018-06-13,-31.1174,-31.1174,-31.1174,-31.1174
2018-06-14,-41.8647,-41.8647,-41.8647,-41.8647
2018-06-15,-57.6782,-57.6782,-57.6782,-57.6782
2018-06-18,-62.5229,-62.5229,-62.5229,-62.5229
2018-06-19,-82.1064,-82.1064,-82.1064,-82.1064
2018-06-20,-86.249,-86.249,-86.249,-86.249
2018-06-21,-82.3488,-82.3488,-82.3488,-82.3488
2018-06-22,-89.3759,-89.3759,-89.3759,-89.3759
2018-06-25,-93.5538,-93.5538,-93.5538,-93.5538
2018-06-26,-87.129,-87.129,-87.129,-87.129
2018-06-27,-93.6814,-93.6814,-93.6814,-93.6814
2018-06-28,-69.3534,-69.3534,-69.3534,-69.3534
2018-06-29,-88.449,-88.449,-88.449,-88.449
2018-07-02,-62.3602,-62.3602,-62.3602,-62.3602
2018-07-03,-87.1669,-87.1669,-87.1669,-87.1669
2018-07-05,-84.066,-84.066,-84.066,-84.066
