date,open,low,high,close
2018-01-02,15.354,15.354,15.354,15.354
2018-01-03,15.5244,15.5244,15.5244,15.5244
2018-01-04,15.7971,15.7971,15.7971,15.7971
2018-01-05,16.0147,16.0147,16.0147,16.0147
2018-01-08,16.2183,16.2183,16.2183,16.2183
2018-01-09,16.4823,16.4823,16.4823,16.4823
2018-01-10,16.8099,16.8099,16.8099,16.8099
2018-01-11,17.144,17.144,17.144,17.144
2018-01-12,17.5868,17.5868,17.5868,17.5868
2018-01-16,18.0516,18.0516,18.0516,18.0516
2018-01-17,18.5048,18.5048,18.5048,18.5048
2018-01-18,18.9713,18.9713,18.9713,18.9713
2018-01-19,19.4616,19.4616,19.4616,19.4616
2018-01-22,19.9006,19.9006,19.9006,19.9006
2018-01-23,20.3435,20.3435,20.3435,20.3435
2018-01-24,20.8528,20.8528,20.8528,20.8528
2018-01-25,21.3588,21.3588,21.3588,21.3588
2018-01-26,21.8606,21.8606,21.8606,21.8606
2018-01-29,22.4064,22.4064,22.4064,22.4064
2018-01-30,22.8006,22.8006,22.8006,22.8006
2018-01-31,23.1884,23.1884,23.1884,23.1884
2018-02-01,23.5857,23.5857,23.5857,23.5857
2018-02-02,23.7931,23.7931,23.7931,23.7931
2018-02-05,23.3197,23.3197,23.3197,23.3197
2018-02-06,22.8582,22.8582,22.8582,22.8582
2018-02-07,22.3069,22.3069,22.3069,22.3069
2018-02-08,21.9435,21.9435,21.9435,21.9435
2018-02-09,21.6831,21.6831,21.6831,21.6831
2018-02-12,21.313,21.313,21.313,21.313
2018-02-13,20.9302,20.9302,20.9302,20.9302
2018-02-14,20.4126,20.4126,20.4126,20.4126
2018-02-15,19.9409,19.9409,19.9409,19.9409
2018-02-16,19.4864,19.4864,19.4864,19.4864
2018-02-20,19.0087,19.0087,19.0087,19.0087
2018-02-21,18.6707,18.6707,18.6707,18.6707
2018-02-22,18.3412,18.3412,18.3412,18.3412
2018-02-23,18.0782,18.0782,18.0782,18.0782
2018-02-26,17.9096,17.9096,17.9096,17.9096
2018-02-27,17.7695,17.7695,17.7695,17.7695
2018-02-28,17.4923,17.4923,17.4923,17.4923
2018-03-01,17.0596,17.0596,17.0596,17.0596
2018-03-02,16.7279,16.7279,16.7279,16.7279
2018-03-05,16.3556,16.3556,16.3556,16.3556
2018-03-06,15.9927,15.9927,15.9927,15.9927
2018-03-07,15.6191,15.6191,15.6191,15.6191
2018-03-08,15.2471,15.2471,15.2471,15.2471
2018-03-09,15.0124,15.0124,15.0124,15.0124
2018-03-12,14.8201,14.8201,14.8201,14.8201
2018-03-13,14.5449,14.5449,14.5449,14.5449
2018-03-14,14.2035,14.2035,14.2035,14.2035
2018-03-15,13.8705,13.8705,13.8705,13.8705
2018-03-16,13.5814,13.5814,13.5814,13.5814
2018-03-19,13.3055,13.3055,13.3055,13.3055
2018-03-20,13.0365,13.0365,13.0365,13.0365
2018-03-21,12.7191,12.7191,12.7191,12.7191
2018-03-22,12.6488,12.6488,12.6488,12.6488
2018-03-23,12.7126,12.7126,12.7126,12.7126
2018-03-26,12.7599,12.7599,12.7599,12.7599
2018-03-27,12.8676,12.8676,12.8676,12.8676
2018-03-28,13.0018,13.0018,13.0018,13.0018
2018-03-29,13.0305,13.0305,13.0305,13.0305
2018-04-02,13.1359,13.1359,13.1359,13.1359
2018-04-03,13.2387,13.2387,13.2387,13.2387
2018-04-04,13.2312,13.2312,13.2312,13.2312
2018-04-05,13.1264,13.1264,13.1264,13.1264
2018-04-06,13.1888,13.1888,13.1888,13.1888
2018-04-09,13.1662,13.1662,13.1662,13.1662
2018-04-10,13.1441,13.1441,13.1441,13.1441
2018-04-11,13.164,13.164,13.164,13.164
2018-04-12,13.0345,13.0345,13.0345,13.0345
2018-04-13,13.0196,13.0196,13.0196,13.0196
2018-04-16,13.0051,13.0051,13.0051,13.0051
2018-04-17,12.965,12.965,12.965,12.965
2018-04-18,12.9761,12.9761,12.9761,12.9761
2018-04-19,12.9397,12.9397,12.9397,12.9397
2018-04-20,12.8534,12.8534,12.8534,12.8534
2018-04-23,12.7813,12.7813,12.7813,12.7813
2018-04-24,12.7612,12.7612,12.7612,12.7612
2018-04-25,12.7886,12.7886,12.7886,12.7886
2018-04-26,12.7972,12.7972,12.7972,12.7972
2018-04-27,12.8157,12.8157,12.8157,12.8157
2018-04-30,12.8526,12.8526,12.8526,12.8526
2018-05-01,12.9474,12.9474,12.9474,12.9474
2018-05-02,13.0049,13.0049,13.0049,13.0049
2018-05-03,13.1814,13.1814,13.1814,13.1814
2018-05-04,13.2883,13.2883,13.2883,13.2883
2018-05-07,13.3306,13.3306,13.3306,13.3306
2018-05-08,13.266,13.266,13.266,13.266
2018-05-09,13.0655,13.0655,13.0655,13.0655
2018-05-10,12.8241,12.8241,12.8241,12.8241
2018-05-11,12.5721,12.5721,12.5721,12.5721
2018-05-14,12.3264,12.3264,12.3264,12.3264
2018-05-15,12.1515,12.1515,12.1515,12.1515
2018-05-16,11.9809,11.9809,11.9809,11.9809
2018-05-17,11.8387,11.8387,11.8387,11.8387
2018-05-18,11.775,11.775,11.775,11.775
2018-05-21,11.7128,11.7128,11.7128,11.7128
2018-05-22,11.5392,11.5392,11.5392,11.5392
2018-05-23,11.4357,11.4357,11.4357,11.4357
2018-05-24,11.3899,11.3899,11.3899,11.3899
2018-05-25,11.3452,11.3452,11.3452,11.3452
2018-05-29,11.5624,11.5624,11.5624,11.5624
2018-05-30,11.7741,11.7741,11.7741,11.7741
2018-05-31,11.9911,11.9911,11.9911,11.9911
2018-06-01,12.1503,12.1503,12.1503,12.1503
2018-06-04,12.2835,12.2835,12.2835,12.2835
2018-06-05,12.4716,12.4716,12.4716,12.4716
2018-06-06,12.489,12.489,12.489,12.489
2018-06-07,12.4564,12.4564,12.4564,12.4564
2018-06-08,12.4247,12.4247,12.4247,12.4247
2018-06-11,12.343,12.343,12.343,12.343
2018-06-12,12.3304,12.3304,12.3304,12.3304
2018-06-13,12.3181,12.3181,12.3181,12.3181
2018-06-14,12.4005,12.4005,12.4005,12.4005
2018-06-15,12.5559,12.5559,12.5559,12.5559
2018-06-18,12.706,12.706,12.706,12.706
2018-06-19,12.8568,12.8568,12.8568,12.8568
2018-06-20,12.9478,12.9478,12.9478,12.9478
2018-06-21,13.0838,13.0838,13.0838,13.0838
2018-06-22,13.2683,13.2683,13.2683,13.2683
2018-06-25,13.5238,13.5238,13.5238,13.5238
2018-06-26,13.8131,13.8131,13.8131,13.8131
2018-06-27,14.04,14.04,14.04,14.04
2018-06-28,14.2612,14.2612,14.2612,14.2612
2018-06-29,14.3654,14.3654,14.3654,14.3654
2018-07-02,14.5068,14.5068,14.5068,14.5068
2018-07-03,14.5921,14.5921,14.5921,14.5921
2018-07-05,14.6753,14.6753,14.6753,14.6753
2018-07-06,14.8273,14.8273,14.8273,14.8273
2018-07-09,14.7551,14.7551,14.7551,14.7551
2018-07-10,14.6197,14.6197,14.6197,14.6197
2018-07-11,14.5059,14.5059,14.5059,14.5059
2018-07-12,14.36,14.36,14.36,14.36
2018-07-13,14.2661,14.2661,14.2661,14.2661
2018-07-16,13.9749,13.9749,13.9749,13.9749
2018-07-17,13.6808,13.6808,13.6808,13.6808
2018-07-18,13.3587,13.3587,13.3587,13.3587
2018-07-19,13.0345,13.0345,13.0345,13.0345
2018-07-20,12.7401,12.7401,12.7401,12.7401
2018-07-23,12.6033,12.6033,12.6033,12.6033
2018-07-24,12.5008,12.5008,12.5008,12.5008
2018-07-25,12.4428,12.4428,12.4428,12.4428
2018-07-26,12.39,12.39,12.39,12.39
2018-07-27,12.3795,12.3795,12.3795,12.3795
2018-07-30,12.4424,12.4424,12.4424,12.4424
2018-07-31,12.414,12.414,12.414,12.414
2018-08-01,12.3863,12.3863,12.3863,12.3863
2018-08-02,12.2909,12.2909,12.2909,12.2909
2018-08-03,12.25,12.25,12.25,12.25
2018-08-06,12.2337,12.2337,12.2337,12.2337
2018-08-07,12.2621,12.2621,12.2621,12.2621
2018-08-08,12.286,12.286,12.286,12.286
2018-08-09,12.2641,12.2641,12.2641,12.2641
2018-08-10,12.0941,12.0941,12.0941,12.0941
2018-08-13,11.8675,11.8675,11.8675,11.8675
2018-08-14,11.635,11.635,11.635,11.635
2018-08-15,11.3607,11.3607,11.3607,11.3607
2018-08-16,11.1596,11.1596,11.1596,11.1596
2018-08-17,10.9635,10.9635,10.9635,10.9635
2018-08-20,10.7584,10.7584,10.7584,10.7584
2018-08-21,10.6497,10.6497,10.6497,10.6497
2018-08-22,10.5361,10.5361,10.5361,10.5361
2018-08-23,10.3983,10.3983,10.3983,10.3983
2018-08-24,10.2688,10.2688,10.2688,10.2688
2018-08-27,10.2835,10.2835,10.2835,10.2835
2018-08-28,10.2978,10.2978,10.2978,10.2978
2018-08-29,10.2613,10.2613,10.2613,10.2613
2018-08-30,10.1945,10.1945,10.1945,10.1945
2018-08-31,10.036,10.036,10.036,10.036
2018-09-04,9.9105,9.9105,9.9105,9.9105
2018-09-05,9.8217,9.8217,9.8217,9.8217
2018-09-06,9.6738,9.6738,9.6738,9.6738
2018-09-07,9.5349,9.5349,9.5349,9.5349
2018-09-10,9.4149,9.4149,9.4149,9.4149
2018-09-11,9.2571,9.2571,9.2571,9.2571
2018-09-12,9.0755,9.0755,9.0755,9.0755
2018-09-13,8.883,8.883,8.883,8.883
2018-09-14,8.7254,8.7254,8.7254,8.7254
2018-09-17,8.5717,8.5717,8.5717,8.5717
2018-09-18,8.4413,8.4413,8.4413,8.4413
2018-09-19,8.5798,8.5798,8.5798,8.5798
2018-09-20,8.7957,8.7957,8.7957,8.7957
2018-09-21,8.974,8.974,8.974,8.974
2018-09-24,9.0273,9.0273,9.0273,9.0273
2018-09-25,9.0692,9.0692,9.0692,9.0692
2018-09-26,8.9651,8.9651,8.9651,8.9651
2018-09-27,8.8218,8.8218,8.8218,8.8218
2018-09-28,8.6517,8.6517,8.6517,8.6517
2018-10-01,8.4562,8.4562,8.4562,8.4562
2018-10-02,8.2836,8.2836,8.2836,8.2836
2018-10-03,8.1599,8.1599,8.1599,8.1599
2018-10-04,8.1252,8.1252,8.1252,8.1252
2018-10-05,8.0749,8.0749,8.0749,8.0749
2018-10-08,7.9704,7.9704,7.9704,7.9704
2018-10-09,7.8684,7.8684,7.8684,7.8684
2018-10-10,7.7516,7.7516,7.7516,7.7516
2018-10-11,7.9164,7.9164,7.9164,7.9164
2018-10-12,8.1816,8.1816,8.1816,8.1816
2018-10-15,8.4403,8.4403,8.4403,8.4403
2018-10-16,8.6925,8.6925,8.6925,8.6925
2018-10-17,8.771,8.771,8.771,8.771
2018-10-18,8.8738,8.8738,8.8738,8.8738
2018-10-19,9.0077,9.0077,9.0077,9.0077
2018-10-22,9.2087,9.2087,9.2087,9.2087
2018-10-23,9.5407,9.5407,9.5407,9.5407
2018-10-24,9.9063,9.9063,9.9063,9.9063
2018-10-25,10.189,10.189,10.189,10.189
2018-10-26,10.5179,10.5179,10.5179,10.5179
2018-10-29,10.6697,10.6697,10.6697,10.6697
2018-10-30,10.7904,10.7904,10.7904,10.7904
2018-10-31,10.6541,10.6541,10.6541,10.6541
2018-11-01,10.5213,10.5213,10.5213,10.5213
2018-11-02,10.4426,10.4426,10.4426,10.4426
2018-11-05,10.3658,10.3658,10.3658,10.3658
2018-11-06,10.3318,10.3318,10.3318,10.3318
2018-11-07,10.153,10.153,10.153,10.153
2018-11-08,9.8992,9.8992,9.8992,9.8992
2018-11-09,9.6629,9.6629,9.6629,9.6629
2018-11-12,9.5739,9.5739,9.5739,9.5739
2018-11-13,9.4871,9.4871,9.4871,9.4871
2018-11-14,9.5834,9.5834,9.5834,9.5834
2018-11-15,9.6773,9.6773,9.6773,9.6773
2018-11-16,9.7197,9.7197,9.7197,9.7197
2018-11-19,9.7291,9.7291,9.7291,9.7291
2018-11-20,9.8273,9.8273,9.8273,9.8273
2018-11-21,9.942,9.942,9.942,9.942
2018-11-23,10.1402,10.1402,10.1402,10.1402
2018-11-26,10.1462,10.1462,10.1462,10.1462
2018-11-27,10.1485,10.1485,10.1485,10.1485
2018-11-28,10.0568,10.0568,10.0568,10.0568
2018-11-29,9.9674,9.9674,9.9674,9.9674
2018-11-30,9.8441,9.8441,9.8441,9.8441
2018-12-03,9.6189,9.6189,9.6189,9.6189
2018-12-04,9.6861,9.6861,9.6861,9.6861
2018-12-06,9.9346,9.9346,9.9346,9.9346
2018-12-07,10.0728,10.0728,10.0728,10.0728
2018-12-10,10.3641,10.3641,10.3641,10.3641
2018-12-11,10.6372,10.6372,10.6372,10.6372
2018-12-12,10.9098,10.9098,10.9098,10.9098
2018-12-13,11.1756,11.1756,11.1756,11.1756
2018-12-14,11.4697,11.4697,11.4697,11.4697
2018-12-17,11.8165,11.8165,11.8165,11.8165
2018-12-18,12.1317,12.1317,12.1317,12.1317
2018-12-19,12.5023,12.5023,12.5023,12.5023
2018-12-20,12.9006,12.9006,12.9006,12.9006
2018-12-21,13.3669,13.3669,13.3669,13.3669
2018-12-24,13.8787,13.8787,13.8787,13.8787
2018-12-26,14.2536,14.2536,14.2536,14.2536
2018-12-27,14.5374,14.5374,14.5374,14.5374
2018-12-28,14.7359,14.7359,14.7359,14.7359
2018-12-31,14.8971,14.8971,14.8971,14.8971
2019-01-02,14.9904,14.9904,14.9904,14.9904
2019-01-03,15.0813,15.0813,15.0813,15.0813
2019-01-04,15.038,15.038,15.038,15.038
2019-01-07,14.9619,14.9619,14.9619,14.9619
2019-01-08,14.8657,14.8657,14.8657,14.8657
