date,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Down,Aroon Up
2018-01-02,33.8843,95.8678,95.8678,33.8843,33.8843,95.8678,33.8843,95.8678
2018-01-03,33.0579,100.0,100.0,33.0579,33.0579,100.0,33.0579,100.0
2018-01-04,32.2314,100.0,100.0,32.2314,32.2314,100.0,32.2314,100.0
2018-01-05,31.405,99.1736,99.1736,31.405,31.405,99.1736,31.405,99.1736
2018-01-08,30.5785,98.3471,98.3471,30.5785,30.5785,98.3471,30.5785,98.3471
2018-01-09,29.7521,97.5207,97.5207,29.7521,29.7521,97.5207,29.7521,97.5207
2018-01-10,28.9256,100.0,100.0,28.9256,28.9256,100.0,28.9256,100.0
2018-01-11,28.0992,100.0,100.0,28.0992,28.0992,100.0,28.0992,100.0
2018-01-12,27.2727,100.0,100.0,27.2727,27.2727,100.0,27.2727,100.0
2018-01-16,26.4463,100.0,100.0,26.4463,26.4463,100.0,26.4463,100.0
2018-01-17,25.6198,99.1736,99.1736,25.6198,25.6198,99.1736,25.6198,99.1736
2018-01-18,24.7934,100.0,100.0,24.7934,24.7934,100.0,24.7934,100.0
2018-01-19,23.9669,100.0,100.0,23.9669,23.9669,100.0,23.9669,100.0
2018-01-22,23.1405,100.0,100.0,23.1405,23.1405,100.0,23.1405,100.0
2018-01-23,22.314,100.0,100.0,22.314,22.314,100.0,22.314,100.0
2018-01-24,21.4876,100.0,100.0,21.4876,21.4876,100.0,21.4876,100.0
2018-01-25,20.6612,100.0,100.0,20.6612,20.6612,100.0,20.6612,100.0
2018-01-26,19.8347,100.0,100.0,19.8347,19.8347,100.0,19.8347,100.0
2018-01-29,19.0083,100.0,100.0,19.0083,19.0083,100.0,19.0083,100.0
2018-01-30,18.1818,99.1736,99.1736,18.1818,18.1818,99.1736,18.1818,99.1736
2018-01-31,17.3554,98.3471,98.3471,17.3554,17.3554,98.3471,17.3554,98.3471
2018-02-01,16.5289,97.5207,97.5207,16.5289,16.5289,97.5207,16.5289,97.5207
2018-02-02,15.7025,96.6942,96.6942,15.7025,15.7025,96.6942,15.7025,96.6942
2018-02-05,14.876,95.8678,95.8678,14.876,14.876,95.8678,14.876,95.8678
2018-02-06,14.0496,95.0413,95.0413,14.0496,14.0496,95.0413,14.0496,95.0413
2018-02-07,13.2231,94.2149,94.2149,13.2231,13.2231,94.2149,13.2231,94.2149
2018-02-08,12.3967,93.3884,93.3884,12.3967,12.3967,93.3884,12.3967,93.3884
2018-02-09,11.5702,92.562,92.562,11.5702,11.5702,92.562,11.5702,92.562
2018-02-12,10.7438,91.7355,91.7355,10.7438,10.7438,91.7355,10.7438,91.7355
2018-02-13,9.9174,90.9091,90.9091,9.9174,9.9174,90.9091,9.9174,90.9091
