date,open,low,high,close
2018-01-02,107.881,107.881,107.881,107.881
2018-01-03,108.0645,108.0645,108.0645,108.0645
2018-01-04,108.5111,108.5111,108.5111,108.5111
2018-01-05,108.5962,108.5962,108.5962,108.5962
2018-01-08,108.6975,108.6975,108.6975,108.6975
2018-01-09,108.9407,108.9407,108.9407,108.9407
2018-01-10,109.5038,109.5038,109.5038,109.5038
2018-01-11,110.1004,110.1004,110.1004,110.1004
2018-01-12,111.1292,111.1292,111.1292,111.1292
2018-01-16,111.7366,111.7366,111.7366,111.7366
2018-01-17,112.3989,112.3989,112.3989,112.3989
2018-01-18,112.951,112.951,112.951,112.951
2018-01-19,113.2482,113.2482,113.2482,113.2482
2018-01-22,113.8756,113.8756,113.8756,113.8756
2018-01-23,114.271,114.271,114.271,114.271
2018-01-24,115.0163,115.0163,115.0163,115.0163
2018-01-25,115.5467,115.5467,115.5467,115.5467
2018-01-26,116.1118,116.1118,116.1118,116.1118
2018-01-29,116.4574,116.4574,116.4574,116.4574
2018-01-30,116.3198,116.3198,116.3198,116.3198
2018-01-31,116.3729,116.3729,116.3729,116.3729
2018-02-01,116.7818,116.7818,116.7818,116.7818
2018-02-02,116.2023,116.2023,116.2023,116.2023
2018-02-05,113.9393,113.9393,113.9393,113.9393
2018-02-06,113.3487,113.3487,113.3487,113.3487
2018-02-07,113.1636,113.1636,113.1636,113.1636
2018-02-08,111.3804,111.3804,111.3804,111.3804
2018-02-09,110.785,110.785,110.785,110.785
2018-02-12,110.9238,110.9238,110.9238,110.9238
2018-02-13,111.2718,111.2718,111.2718,111.2718
2018-02-14,112.4026,112.4026,112.4026,112.4026
2018-02-15,113.4051,113.4051,113.4051,113.4051
2018-02-16,113.8713,113.8713,113.8713,113.8713
2018-02-20,114.2201,114.2201,114.2201,114.2201
2018-02-21,114.6285,114.6285,114.6285,114.6285
2018-02-22,114.851,114.851,114.851,114.851
2018-02-23,115.7745,115.7745,115.7745,115.7745
2018-02-26,116.9261,116.9261,116.9261,116.9261
2018-02-27,117.2918,117.2918,117.2918,117.2918
2018-02-28,116.924,116.924,116.924,116.924
2018-03-01,115.9464,115.9464,115.9464,115.9464
2018-03-02,115.1725,115.1725,115.1725,115.1725
2018-03-05,115.1683,115.1683,115.1683,115.1683
2018-03-06,115.195,115.195,115.195,115.195
2018-03-07,115.0696,115.0696,115.0696,115.0696
2018-03-08,114.9777,114.9777,114.9777,114.9777
