date,open,low,high,close
2018-01-02,101.8883,101.8883,101.8883,101.8883
2018-01-03,102.0814,102.0814,102.0814,102.0814
2018-01-04,102.3048,102.3048,102.3048,102.3048
2018-01-05,102.5013,102.5013,102.5013,102.5013
2018-01-08,102.7152,102.7152,102.7152,102.7152
2018-01-09,102.9556,102.9556,102.9556,102.9556
2018-01-10,103.2497,103.2497,103.2497,103.2497
2018-01-11,103.5657,103.5657,103.5657,103.5657
2018-01-12,103.9925,103.9925,103.9925,103.9925
2018-01-16,104.361,104.361,104.361,104.361
2018-01-17,104.7298,104.7298,104.7298,104.7298
2018-01-18,105.1271,105.1271,105.1271,105.1271
2018-01-19,105.4982,105.4982,105.4982,105.4982
2018-01-22,105.9503,105.9503,105.9503,105.9503
2018-01-23,106.3593,106.3593,106.3593,106.3593
2018-01-24,106.8252,106.8252,106.8252,106.8252
2018-01-25,107.2683,107.2683,107.2683,107.2683
2018-01-26,107.7558,107.7558,107.7558,107.7558
2018-01-29,108.1834,108.1834,108.1834,108.1834
2018-01-30,108.4989,108.4989,108.4989,108.4989
2018-01-31,108.844,108.844,108.844,108.844
2018-02-01,109.2571,109.2571,109.2571,109.2571
2018-02-02,109.4914,109.4914,109.4914,109.4914
2018-02-05,109.4696,109.4696,109.4696,109.4696
2018-02-06,109.5641,109.5641,109.5641,109.5641
2018-02-07,109.6857,109.6857,109.6857,109.6857
2018-02-08,109.6395,109.6395,109.6395,109.6395
2018-02-09,109.6526,109.6526,109.6526,109.6526
2018-02-12,109.7268,109.7268,109.7268,109.7268
2018-02-13,109.827,109.827,109.827,109.827
2018-02-14,110.0354,110.0354,110.0354,110.0354
2018-02-15,110.2583,110.2583,110.2583,110.2583
2018-02-16,110.4299,110.4299,110.4299,110.4299
2018-02-20,110.5935,110.5935,110.5935,110.5935
2018-02-21,110.7767,110.7767,110.7767,110.7767
2018-02-22,110.9477,110.9477,110.9477,110.9477
2018-02-23,111.2308,111.2308,111.2308,111.2308
2018-02-26,111.5956,111.5956,111.5956,111.5956
2018-02-27,111.8422,111.8422,111.8422,111.8422
2018-02-28,112.0021,112.0021,112.0021,112.0021
2018-03-01,112.055,112.055,112.055,112.055
2018-03-02,112.1068,112.1068,112.1068,112.1068
2018-03-05,112.2377,112.2377,112.2377,112.2377
2018-03-06,112.3607,112.3607,112.3607,112.3607
2018-03-07,112.4531,112.4531,112.4531,112.4531
2018-03-08,112.5414,112.5414,112.5414,112.5414
2018-03-09,112.7876,112.7876,112.7876,112.7876
2018-03-12,112.9951,112.9951,112.9951,112.9951
2018-03-13,113.1144,113.1144,113.1144,113.1144
2018-03-14,113.173,113.173,113.173,113.173
2018-03-15,113.2377,113.2377,113.2377,113.2377
2018-03-16,113.3058,113.3058,113.3058,113.3058
2018-03-19,113.3418,113.3418,113.3418,113.3418
2018-03-20,113.3822,113.3822,113.3822,113.3822
2018-03-21,113.4259,113.4259,113.4259,113.4259
2018-03-22,113.3549,113.3549,113.3549,113.3549
2018-03-23,113.2561,113.2561,113.2561,113.2561
2018-03-26,113.199,113.199,113.199,113.199
2018-03-27,113.125,113.125,113.125,113.125
2018-03-28,113.0536,113.0536,113.0536,113.0536
2018-03-29,112.9996,112.9996,112.9996,112.9996
2018-04-02,112.9285,112.9285,112.9285,112.9285
2018-04-03,112.8722,112.8722,112.8722,112.8722
2018-04-04,112.8379,112.8379,112.8379,112.8379
2018-04-05,112.8203,112.8203,112.8203,112.8203
2018-04-06,112.7644,112.7644,112.7644,112.7644
2018-04-09,112.7229,112.7229,112.7229,112.7229
2018-04-10,112.7186,112.7186,112.7186,112.7186
2018-04-11,112.6864,112.6864,112.6864,112.6864
2018-04-12,112.6991,112.6991,112.6991,112.6991
2018-04-13,112.6649,112.6649,112.6649,112.6649
2018-04-16,112.6304,112.6304,112.6304,112.6304
2018-04-17,112.5996,112.5996,112.5996,112.5996
2018-04-18,112.5604,112.5604,112.5604,112.5604
2018-04-19,112.5497,112.5497,112.5497,112.5497
2018-04-20,112.5364,112.5364,112.5364,112.5364
2018-04-23,112.5185,112.5185,112.5185,112.5185
2018-04-24,112.4962,112.4962,112.4962,112.4962
2018-04-25,112.4698,112.4698,112.4698,112.4698
2018-04-26,112.4427,112.4427,112.4427,112.4427
2018-04-27,112.4109,112.4109,112.4109,112.4109
2018-04-30,112.377,112.377,112.377,112.377
2018-05-01,112.3429,112.3429,112.3429,112.3429
2018-05-02,112.3019,112.3019,112.3019,112.3019
2018-05-03,112.2485,112.2485,112.2485,112.2485
2018-05-04,112.1997,112.1997,112.1997,112.1997
2018-05-07,112.161,112.161,112.161,112.161
2018-05-08,112.143,112.143,112.143,112.143
2018-05-09,112.1651,112.1651,112.1651,112.1651
2018-05-10,112.2058,112.2058,112.2058,112.2058
2018-05-11,112.235,112.235,112.235,112.235
2018-05-14,112.2639,112.2639,112.2639,112.2639
2018-05-15,112.2767,112.2767,112.2767,112.2767
2018-05-16,112.2939,112.2939,112.2939,112.2939
2018-05-17,112.3044,112.3044,112.3044,112.3044
2018-05-18,112.288,112.288,112.288,112.288
2018-05-21,112.2859,112.2859,112.2859,112.2859
2018-05-22,112.2979,112.2979,112.2979,112.2979
2018-05-23,112.3003,112.3003,112.3003,112.3003
2018-05-24,112.2902,112.2902,112.2902,112.2902
2018-05-25,112.2765,112.2765,112.2765,112.2765
2018-05-29,112.246,112.246,112.246,112.246
2018-05-30,112.2266,112.2266,112.2266,112.2266
2018-05-31,112.201,112.201,112.201,112.201
2018-06-01,112.1772,112.1772,112.1772,112.1772
2018-06-04,112.1529,112.1529,112.1529,112.1529
2018-06-05,112.1301,112.1301,112.1301,112.1301
2018-06-06,112.1175,112.1175,112.1175,112.1175
2018-06-07,112.1088,112.1088,112.1088,112.1088
2018-06-08,112.101,112.101,112.101,112.101
2018-06-11,112.0905,112.0905,112.0905,112.0905
2018-06-12,112.0778,112.0778,112.0778,112.0778
2018-06-13,112.0651,112.0651,112.0651,112.0651
2018-06-14,112.0448,112.0448,112.0448,112.0448
2018-06-15,112.0233,112.0233,112.0233,112.0233
2018-06-18,112.0065,112.0065,112.0065,112.0065
2018-06-19,111.9877,111.9877,111.9877,111.9877
2018-06-20,111.9679,111.9679,111.9679,111.9679
2018-06-21,111.9486,111.9486,111.9486,111.9486
2018-06-22,111.9153,111.9153,111.9153,111.9153
2018-06-25,111.8766,111.8766,111.8766,111.8766
2018-06-26,111.8341,111.8341,111.8341,111.8341
2018-06-27,111.7718,111.7718,111.7718,111.7718
2018-06-28,111.7258,111.7258,111.7258,111.7258
2018-06-29,111.6751,111.6751,111.6751,111.6751
2018-07-02,111.634,111.634,111.634,111.634
2018-07-03,111.5727,111.5727,111.5727,111.5727
2018-07-05,111.506,111.506,111.506,111.506
2018-07-06,111.4413,111.4413,111.4413,111.4413
2018-07-09,111.4097,111.4097,111.4097,111.4097
2018-07-10,111.3724,111.3724,111.3724,111.3724
2018-07-11,111.33,111.33,111.33,111.33
2018-07-12,111.2925,111.2925,111.2925,111.2925
2018-07-13,111.2504,111.2504,111.2504,111.2504
2018-07-16,111.2461,111.2461,111.2461,111.2461
2018-07-17,111.2414,111.2414,111.2414,111.2414
2018-07-18,111.2433,111.2433,111.2433,111.2433
2018-07-19,111.2328,111.2328,111.2328,111.2328
2018-07-20,111.2331,111.2331,111.2331,111.2331
2018-07-23,111.2453,111.2453,111.2453,111.2453
2018-07-24,111.2589,111.2589,111.2589,111.2589
2018-07-25,111.2762,111.2762,111.2762,111.2762
2018-07-26,111.2951,111.2951,111.2951,111.2951
2018-07-27,111.3194,111.3194,111.3194,111.3194
2018-07-30,111.3711,111.3711,111.3711,111.3711
2018-07-31,111.3921,111.3921,111.3921,111.3921
2018-08-01,111.417,111.417,111.417,111.417
