date,open,low,high,close
2018-01-02,15.12,15.12,15.12,15.12
2018-01-03,15.55,15.55,15.55,15.55
2018-01-04,15.94,15.94,15.94,15.94
2018-01-05,16.09,16.09,16.09,16.09
2018-01-08,17.11,17.11,17.11,17.11
2018-01-09,17.98,17.98,17.98,17.98
2018-01-10,19.05,19.05,19.05,19.05
2018-01-11,19.64,19.64,19.64,19.64
2018-01-12,21.78,21.78,21.78,21.78
2018-01-16,20.99,20.99,20.99,20.99
2018-01-17,20.19,20.19,20.19,20.19
2018-01-18,21.33,21.33,21.33,21.33
2018-01-19,21.46,21.46,21.46,21.46
2018-01-22,23.05,23.05,23.05,23.05
2018-01-23,22.41,22.41,22.41,22.41
2018-01-24,22.64,22.64,22.64,22.64
2018-01-25,22.59,22.59,22.59,22.59
2018-01-26,23.82,23.82,23.82,23.82
2018-01-29,22.54,22.54,22.54,22.54
2018-01-30,21.09,21.09,21.09,21.09
2018-01-31,21.99,21.99,21.99,21.99
2018-02-01,23.34,23.34,23.34,23.34
2018-02-02,22.09,22.09,22.09,22.09
2018-02-05,17.38,17.38,17.38,17.38
2018-02-06,19.62,19.62,19.62,19.62
2018-02-07,20.14,20.14,20.14,20.14
2018-02-08,15.79,15.79,15.79,15.79
2018-02-09,19.39,19.39,19.39,19.39
2018-02-12,21.0,21.0,21.0,21.0
2018-02-13,21.8,21.8,21.8,21.8
2018-02-14,23.47,23.47,23.47,23.47
2018-02-15,23.84,23.84,23.84,23.84
2018-02-16,23.16,23.16,23.16,23.16
2018-02-20,22.82,22.82,22.82,22.82
2018-02-21,23.59,23.59,23.59,23.59
2018-02-22,23.88,23.88,23.88,23.88
2018-02-23,26.0,26.0,26.0,26.0
2018-02-26,27.88,27.88,27.88,27.88
2018-02-27,25.66,25.66,25.66,25.66
2018-02-28,25.99,25.99,25.99,25.99
2018-03-01,23.32,23.32,23.32,23.32
2018-03-02,24.79,24.79,24.79,24.79
2018-03-05,26.64,26.64,26.64,26.64
2018-03-06,25.37,25.37,25.37,25.37
2018-03-07,23.84,23.84,23.84,23.84
2018-03-08,23.59,23.59,23.59,23.59
2018-03-09,27.07,27.07,27.07,27.07
2018-03-12,26.04,26.04,26.04,26.04
2018-03-13,23.33,23.33,23.33,23.33
2018-03-14,21.01,21.01,21.01,21.01
2018-03-15,20.64,20.64,20.64,20.64
2018-03-16,20.41,20.41,20.41,20.41
2018-03-19,19.7,19.7,19.7,19.7
2018-03-20,20.52,20.52,20.52,20.52
2018-03-21,21.04,21.04,21.04,21.04
2018-03-22,14.77,14.77,14.77,14.77
2018-03-23,11.63,11.63,11.63,11.63
2018-03-26,14.8,14.8,14.8,14.8
2018-03-27,11.33,11.33,11.33,11.33
2018-03-28,10.65,10.65,10.65,10.65
2018-03-29,13.61,13.61,13.61,13.61
2018-04-02,10.76,10.76,10.76,10.76
2018-04-03,12.41,12.41,12.41,12.41
2018-04-04,14.58,14.58,14.58,14.58
2018-04-05,14.75,14.75,14.75,14.75
2018-04-06,12.25,12.25,12.25,12.25
2018-04-09,14.41,14.41,14.41,14.41
2018-04-10,16.65,16.65,16.65,16.65
2018-04-11,12.78,12.78,12.78,12.78
2018-04-12,15.75,15.75,15.75,15.75
2018-04-13,12.31,12.31,12.31,12.31
2018-04-16,12.1,12.1,12.1,12.1
2018-04-17,10.7,10.7,10.7,10.7
2018-04-18,9.98,9.98,9.98,9.98
2018-04-19,10.8,10.8,10.8,10.8
2018-04-20,10.43,10.43,10.43,10.43
2018-04-23,9.19,9.19,9.19,9.19
2018-04-24,8.64,8.64,8.64,8.64
2018-04-25,8.58,8.58,8.58,8.58
2018-04-26,9.49,9.49,9.49,9.49
2018-04-27,8.48,8.48,8.48,8.48
2018-04-30,7.19,7.19,7.19,7.19
2018-05-01,7.37,7.37,7.37,7.37
2018-05-02,7.14,7.14,7.14,7.14
2018-05-03,8.49,8.49,8.49,8.49
2018-05-04,10.79,10.79,10.79,10.79
2018-05-07,11.74,11.74,11.74,11.74
2018-05-08,13.48,13.48,13.48,13.48
2018-05-09,15.55,15.55,15.55,15.55
2018-05-10,17.02,17.02,17.02,17.02
2018-05-11,15.67,15.67,15.67,15.67
2018-05-14,15.43,15.43,15.43,15.43
2018-05-15,14.89,14.89,14.89,14.89
2018-05-16,14.33,14.33,14.33,14.33
2018-05-17,14.03,14.03,14.03,14.03
2018-05-18,12.49,12.49,12.49,12.49
2018-05-21,13.83,13.83,13.83,13.83
2018-05-22,15.08,15.08,15.08,15.08
2018-05-23,11.13,11.13,11.13,11.13
2018-05-24,7.5,7.5,7.5,7.5
2018-05-25,6.14,6.14,6.14,6.14
2018-05-29,1.14,1.14,1.14,1.14
2018-05-30,1.4,1.4,1.4,1.4
2018-05-31,1.29,1.29,1.29,1.29
2018-06-01,3.47,3.47,3.47,3.47
2018-06-04,3.83,3.83,3.83,3.83
2018-06-05,1.91,1.91,1.91,1.91
2018-06-06,4.74,4.74,4.74,4.74
2018-06-07,3.95,3.95,3.95,3.95
2018-06-08,5.6,5.6,5.6,5.6
2018-06-11,6.17,6.17,6.17,6.17
2018-06-12,4.05,4.05,4.05,4.05
2018-06-13,3.01,3.01,3.01,3.01
2018-06-14,1.52,1.52,1.52,1.52
2018-06-15,1.76,1.76,1.76,1.76
2018-06-18,0.35,0.35,0.35,0.35
2018-06-19,0.1,0.1,0.1,0.1
2018-06-20,0.52,0.52,0.52,0.52
2018-06-21,0.29,0.29,0.29,0.29
2018-06-22,-2.04,-2.04,-2.04,-2.04
2018-06-25,-2.15,-2.15,-2.15,-2.15
2018-06-26,-3.09,-3.09,-3.09,-3.09
2018-06-27,-4.82,-4.82,-4.82,-4.82
2018-06-28,-4.11,-4.11,-4.11,-4.11
2018-06-29,-4.14,-4.14,-4.14,-4.14
2018-07-02,-3.42,-3.42,-3.42,-3.42
2018-07-03,-5.44,-5.44,-5.44,-5.44
2018-07-05,-6.53,-6.53,-6.53,-6.53
2018-07-06,-6.78,-6.78,-6.78,-6.78
2018-07-09,-5.39,-5.39,-5.39,-5.39
2018-07-10,-5.65,-5.65,-5.65,-5.65
2018-07-11,-6.6,-6.6,-6.6,-6.6
2018-07-12,-6.41,-6.41,-6.41,-6.41
2018-07-13,-6.65,-6.65,-6.65,-6.65
2018-07-16,-3.75,-3.75,-3.75,-3.75
2018-07-17,-3.71,-3.71,-3.71,-3.71
2018-07-18,-4.14,-4.14,-4.14,-4.14
2018-07-19,-5.81,-5.81,-5.81,-5.81
2018-07-20,-5.04,-5.04,-5.04,-5.04
