date,open,low,high,close
2018-01-02,106.437,106.437,106.437,106.437
2018-01-03,106.4925,106.4925,106.4925,106.4925
2018-01-04,106.6585,106.6585,106.6585,106.6585
2018-01-05,106.829,106.829,106.829,106.829
2018-01-08,107.023,107.023,107.023,107.023
2018-01-09,107.179,107.179,107.179,107.179
2018-01-10,107.4105,107.4105,107.4105,107.4105
2018-01-11,107.61,107.61,107.61,107.61
2018-01-12,107.968,107.968,107.968,107.968
2018-01-16,108.3485,108.3485,108.3485,108.3485
2018-01-17,108.691,108.691,108.691,108.691
2018-01-18,109.006,109.006,109.006,109.006
2018-01-19,109.331,109.331,109.331,109.331
2018-01-22,109.7405,109.7405,109.7405,109.7405
2018-01-23,110.0595,110.0595,110.0595,110.0595
2018-01-24,110.4705,110.4705,110.4705,110.4705
2018-01-25,110.9045,110.9045,110.9045,110.9045
2018-01-26,111.3595,111.3595,111.3595,111.3595
2018-01-29,111.78,111.78,111.78,111.78
2018-01-30,112.1885,112.1885,112.1885,112.1885
2018-01-31,112.5745,112.5745,112.5745,112.5745
2018-02-01,113.015,113.015,113.015,113.015
2018-02-02,113.277,113.277,113.277,113.277
2018-02-05,113.3,113.3,113.3,113.3
2018-02-06,113.4805,113.4805,113.4805,113.4805
2018-02-07,113.6715,113.6715,113.6715,113.6715
2018-02-08,113.553,113.553,113.553,113.553
2018-02-09,113.513,113.513,113.513,113.513
2018-02-12,113.4665,113.4665,113.4665,113.4665
2018-02-13,113.4745,113.4745,113.4745,113.4745
2018-02-14,113.5765,113.5765,113.5765,113.5765
2018-02-15,113.689,113.689,113.689,113.689
2018-02-16,113.7725,113.7725,113.7725,113.7725
2018-02-20,113.7915,113.7915,113.7915,113.7915
2018-02-21,113.8405,113.8405,113.8405,113.8405
2018-02-22,113.806,113.806,113.806,113.806
2018-02-23,113.8865,113.8865,113.8865,113.8865
2018-02-26,114.009,114.009,114.009,114.009
2018-02-27,114.067,114.067,114.067,114.067
2018-02-28,114.0865,114.0865,114.0865,114.0865
2018-03-01,113.9745,113.9745,113.9745,113.9745
2018-03-02,113.797,113.797,113.797,113.797
2018-03-05,113.836,113.836,113.836,113.836
2018-03-06,114.154,114.154,114.154,114.154
2018-03-07,114.285,114.285,114.285,114.285
2018-03-08,114.3785,114.3785,114.3785,114.3785
2018-03-09,114.8865,114.8865,114.8865,114.8865
2018-03-12,115.2675,115.2675,115.2675,115.2675
2018-03-13,115.493,115.493,115.493,115.493
2018-03-14,115.619,115.619,115.619,115.619
2018-03-15,115.6295,115.6295,115.6295,115.6295
2018-03-16,115.626,115.626,115.626,115.626
2018-03-19,115.6185,115.6185,115.6185,115.6185
2018-03-20,115.615,115.615,115.615,115.615
2018-03-21,115.5925,115.5925,115.5925,115.5925
2018-03-22,115.341,115.341,115.341,115.341
2018-03-23,114.826,114.826,114.826,114.826
2018-03-26,114.403,114.403,114.403,114.403
2018-03-27,113.9435,113.9435,113.9435,113.9435
2018-03-28,113.5685,113.5685,113.5685,113.5685
2018-03-29,113.3955,113.3955,113.3955,113.3955
2018-04-02,113.122,113.122,113.122,113.122
2018-04-03,112.8355,112.8355,112.8355,112.8355
2018-04-04,112.627,112.627,112.627,112.627
2018-04-05,112.4845,112.4845,112.4845,112.4845
2018-04-06,112.202,112.202,112.202,112.202
2018-04-09,111.82,111.82,111.82,111.82
2018-04-10,111.5625,111.5625,111.5625,111.5625
2018-04-11,111.281,111.281,111.281,111.281
2018-04-12,111.202,111.202,111.202,111.202
2018-04-13,110.955,110.955,110.955,110.955
2018-04-16,110.6935,110.6935,110.6935,110.6935
2018-04-17,110.4775,110.4775,110.4775,110.4775
2018-04-18,110.2115,110.2115,110.2115,110.2115
2018-04-19,110.0605,110.0605,110.0605,110.0605
2018-04-20,110.1365,110.1365,110.1365,110.1365
2018-04-23,110.3325,110.3325,110.3325,110.3325
2018-04-24,110.3375,110.3375,110.3375,110.3375
2018-04-25,110.4285,110.4285,110.4285,110.4285
2018-04-26,110.5335,110.5335,110.5335,110.5335
2018-04-27,110.505,110.505,110.505,110.505
2018-04-30,110.5515,110.5515,110.5515,110.5515
2018-05-01,110.524,110.524,110.524,110.524
2018-05-02,110.3705,110.3705,110.3705,110.3705
2018-05-03,110.1385,110.1385,110.1385,110.1385
2018-05-04,110.1055,110.1055,110.1055,110.1055
2018-05-07,110.054,110.054,110.054,110.054
2018-05-08,109.978,109.978,109.978,109.978
2018-05-09,110.1175,110.1175,110.1175,110.1175
2018-05-10,110.1635,110.1635,110.1635,110.1635
2018-05-11,110.3415,110.3415,110.3415,110.3415
2018-05-14,110.526,110.526,110.526,110.526
2018-05-15,110.667,110.667,110.667,110.667
2018-05-16,110.868,110.868,110.868,110.868
2018-05-17,110.93,110.93,110.93,110.93
2018-05-18,110.913,110.913,110.913,110.913
2018-05-21,110.974,110.974,110.974,110.974
2018-05-22,111.104,111.104,111.104,111.104
2018-05-23,111.229,111.229,111.229,111.229
2018-05-24,111.2855,111.2855,111.2855,111.2855
2018-05-25,111.3485,111.3485,111.3485,111.3485
2018-05-29,111.206,111.206,111.206,111.206
2018-05-30,111.1845,111.1845,111.1845,111.1845
2018-05-31,111.139,111.139,111.139,111.139
2018-06-01,111.197,111.197,111.197,111.197
2018-06-04,111.198,111.198,111.198,111.198
2018-06-05,111.1215,111.1215,111.1215,111.1215
