date,open,low,high,close
2018-01-02,96.2787,96.2787,96.2787,96.2787
2018-01-03,96.4318,96.4318,96.4318,96.4318
2018-01-04,96.5869,96.5869,96.5869,96.5869
2018-01-05,96.7443,96.7443,96.7443,96.7443
2018-01-08,96.9034,96.9034,96.9034,96.9034
2018-01-09,97.0644,97.0644,97.0644,97.0644
2018-01-10,97.2279,97.2279,97.2279,97.2279
2018-01-11,97.3942,97.3942,97.3942,97.3942
2018-01-12,97.5627,97.5627,97.5627,97.5627
2018-01-16,97.7333,97.7333,97.7333,97.7333
2018-01-17,97.9061,97.9061,97.9061,97.9061
2018-01-18,98.0816,98.0816,98.0816,98.0816
2018-01-19,98.2586,98.2586,98.2586,98.2586
2018-01-22,98.4376,98.4376,98.4376,98.4376
2018-01-23,98.6176,98.6176,98.6176,98.6176
2018-01-24,98.799,98.799,98.799,98.799
2018-01-25,98.9818,98.9818,98.9818,98.9818
2018-01-26,99.1663,99.1663,99.1663,99.1663
2018-01-29,99.3523,99.3523,99.3523,99.3523
2018-01-30,99.5403,99.5403,99.5403,99.5403
2018-01-31,99.7304,99.7304,99.7304,99.7304
2018-02-01,99.9225,99.9225,99.9225,99.9225
2018-02-02,100.116,100.116,100.116,100.116
2018-02-05,100.3093,100.3093,100.3093,100.3093
2018-02-06,100.5042,100.5042,100.5042,100.5042
2018-02-07,100.7019,100.7019,100.7019,100.7019
2018-02-08,100.9009,100.9009,100.9009,100.9009
2018-02-09,101.1019,101.1019,101.1019,101.1019
2018-02-12,101.3047,101.3047,101.3047,101.3047
2018-02-13,101.5098,101.5098,101.5098,101.5098
2018-02-14,101.7174,101.7174,101.7174,101.7174
2018-02-15,101.9277,101.9277,101.9277,101.9277
2018-02-16,102.1407,102.1407,102.1407,102.1407
2018-02-20,102.3559,102.3559,102.3559,102.3559
2018-02-21,102.5736,102.5736,102.5736,102.5736
2018-02-22,102.7938,102.7938,102.7938,102.7938
2018-02-23,103.0172,103.0172,103.0172,103.0172
2018-02-26,103.2444,103.2444,103.2444,103.2444
2018-02-27,103.4731,103.4731,103.4731,103.4731
2018-02-28,103.7017,103.7017,103.7017,103.7017
2018-03-01,103.9286,103.9286,103.9286,103.9286
2018-03-02,104.1539,104.1539,104.1539,104.1539
2018-03-05,104.3765,104.3765,104.3765,104.3765
2018-03-06,104.5969,104.5969,104.5969,104.5969
2018-03-07,104.8159,104.8159,104.8159,104.8159
2018-03-08,105.0339,105.0339,105.0339,105.0339
2018-03-09,105.2512,105.2512,105.2512,105.2512
2018-03-12,105.4678,105.4678,105.4678,105.4678
2018-03-13,105.6829,105.6829,105.6829,105.6829
2018-03-14,105.8971,105.8971,105.8971,105.8971
2018-03-15,106.1112,106.1112,106.1112,106.1112
2018-03-16,106.3248,106.3248,106.3248,106.3248
2018-03-19,106.5371,106.5371,106.5371,106.5371
2018-03-20,106.7486,106.7486,106.7486,106.7486
2018-03-21,106.9591,106.9591,106.9591,106.9591
2018-03-22,107.1663,107.1663,107.1663,107.1663
2018-03-23,107.3702,107.3702,107.3702,107.3702
2018-03-26,107.5718,107.5718,107.5718,107.5718
2018-03-27,107.7705,107.7705,107.7705,107.7705
2018-03-28,107.9664,107.9664,107.9664,107.9664
2018-03-29,108.1605,108.1605,108.1605,108.1605
2018-04-02,108.3514,108.3514,108.3514,108.3514
2018-04-03,108.5397,108.5397,108.5397,108.5397
2018-04-04,108.7253,108.7253,108.7253,108.7253
2018-04-05,108.9087,108.9087,108.9087,108.9087
2018-04-06,109.0891,109.0891,109.0891,109.0891
2018-04-09,109.2666,109.2666,109.2666,109.2666
2018-04-10,109.4409,109.4409,109.4409,109.4409
2018-04-11,109.6111,109.6111,109.6111,109.6111
2018-04-12,109.7776,109.7776,109.7776,109.7776
2018-04-13,109.9395,109.9395,109.9395,109.9395
2018-04-16,110.0967,110.0967,110.0967,110.0967
2018-04-17,110.249,110.249,110.249,110.249
2018-04-18,110.3966,110.3966,110.3966,110.3966
2018-04-19,110.5396,110.5396,110.5396,110.5396
2018-04-20,110.6782,110.6782,110.6782,110.6782
2018-04-23,110.8116,110.8116,110.8116,110.8116
2018-04-24,110.9399,110.9399,110.9399,110.9399
2018-04-25,111.0625,111.0625,111.0625,111.0625
2018-04-26,111.1795,111.1795,111.1795,111.1795
2018-04-27,111.2911,111.2911,111.2911,111.2911
2018-04-30,111.3969,111.3969,111.3969,111.3969
2018-05-01,111.4964,111.4964,111.4964,111.4964
2018-05-02,111.5907,111.5907,111.5907,111.5907
2018-05-03,111.6824,111.6824,111.6824,111.6824
2018-05-04,111.7696,111.7696,111.7696,111.7696
2018-05-07,111.8517,111.8517,111.8517,111.8517
2018-05-08,111.932,111.932,111.932,111.932
2018-05-09,112.0097,112.0097,112.0097,112.0097
2018-05-10,112.0844,112.0844,112.0844,112.0844
2018-05-11,112.1554,112.1554,112.1554,112.1554
2018-05-14,112.2216,112.2216,112.2216,112.2216
2018-05-15,112.2826,112.2826,112.2826,112.2826
2018-05-16,112.3387,112.3387,112.3387,112.3387
2018-05-17,112.3902,112.3902,112.3902,112.3902
2018-05-18,112.4362,112.4362,112.4362,112.4362
2018-05-21,112.477,112.477,112.477,112.477
2018-05-22,112.5116,112.5116,112.5116,112.5116
2018-05-23,112.5389,112.5389,112.5389,112.5389
2018-05-24,112.5602,112.5602,112.5602,112.5602
2018-05-25,112.5771,112.5771,112.5771,112.5771
2018-05-29,112.5896,112.5896,112.5896,112.5896
2018-05-30,112.5984,112.5984,112.5984,112.5984
2018-05-31,112.6029,112.6029,112.6029,112.6029
2018-06-01,112.6031,112.6031,112.6031,112.6031
2018-06-04,112.5989,112.5989,112.5989,112.5989
2018-06-05,112.5901,112.5901,112.5901,112.5901
2018-06-06,112.5761,112.5761,112.5761,112.5761
2018-06-07,112.5569,112.5569,112.5569,112.5569
2018-06-08,112.5339,112.5339,112.5339,112.5339
2018-06-11,112.5072,112.5072,112.5072,112.5072
2018-06-12,112.4763,112.4763,112.4763,112.4763
2018-06-13,112.4414,112.4414,112.4414,112.4414
2018-06-14,112.4027,112.4027,112.4027,112.4027
2018-06-15,112.3601,112.3601,112.3601,112.3601
2018-06-18,112.3134,112.3134,112.3134,112.3134
2018-06-19,112.2654,112.2654,112.2654,112.2654
2018-06-20,112.2178,112.2178,112.2178,112.2178
2018-06-21,112.1684,112.1684,112.1684,112.1684
2018-06-22,112.1182,112.1182,112.1182,112.1182
2018-06-25,112.0671,112.0671,112.0671,112.0671
2018-06-26,112.0138,112.0138,112.0138,112.0138
2018-06-27,111.9592,111.9592,111.9592,111.9592
2018-06-28,111.9032,111.9032,111.9032,111.9032
2018-06-29,111.8448,111.8448,111.8448,111.8448
2018-07-02,111.7836,111.7836,111.7836,111.7836
2018-07-03,111.7207,111.7207,111.7207,111.7207
2018-07-05,111.6558,111.6558,111.6558,111.6558
2018-07-06,111.5879,111.5879,111.5879,111.5879
2018-07-09,111.5192,111.5192,111.5192,111.5192
2018-07-10,111.4485,111.4485,111.4485,111.4485
2018-07-11,111.3773,111.3773,111.3773,111.3773
2018-07-12,111.3059,111.3059,111.3059,111.3059
2018-07-13,111.2343,111.2343,111.2343,111.2343
2018-07-16,111.1641,111.1641,111.1641,111.1641
2018-07-17,111.0942,111.0942,111.0942,111.0942
2018-07-18,111.0251,111.0251,111.0251,111.0251
2018-07-19,110.9569,110.9569,110.9569,110.9569
2018-07-20,110.8905,110.8905,110.8905,110.8905
2018-07-23,110.8266,110.8266,110.8266,110.8266
2018-07-24,110.7654,110.7654,110.7654,110.7654
2018-07-25,110.7074,110.7074,110.7074,110.7074
2018-07-26,110.6528,110.6528,110.6528,110.6528
2018-07-27,110.6023,110.6023,110.6023,110.6023
2018-07-30,110.5559,110.5559,110.5559,110.5559
2018-07-31,110.5121,110.5121,110.5121,110.5121
2018-08-01,110.4711,110.4711,110.4711,110.4711
2018-08-02,110.4329,110.4329,110.4329,110.4329
2018-08-03,110.3955,110.3955,110.3955,110.3955
2018-08-06,110.3582,110.3582,110.3582,110.3582
2018-08-07,110.3211,110.3211,110.3211,110.3211
2018-08-08,110.2847,110.2847,110.2847,110.2847
2018-08-09,110.2493,110.2493,110.2493,110.2493
2018-08-10,110.2154,110.2154,110.2154,110.2154
2018-08-13,110.182,110.182,110.182,110.182
2018-08-14,110.1495,110.1495,110.1495,110.1495
2018-08-15,110.1187,110.1187,110.1187,110.1187
2018-08-16,110.0895,110.0895,110.0895,110.0895
2018-08-17,110.0618,110.0618,110.0618,110.0618
2018-08-20,110.0365,110.0365,110.0365,110.0365
2018-08-21,110.0138,110.0138,110.0138,110.0138
2018-08-22,109.9937,109.9937,109.9937,109.9937
2018-08-23,109.9779,109.9779,109.9779,109.9779
2018-08-24,109.9651,109.9651,109.9651,109.9651
2018-08-27,109.9572,109.9572,109.9572,109.9572
2018-08-28,109.9531,109.9531,109.9531,109.9531
2018-08-29,109.9527,109.9527,109.9527,109.9527
2018-08-30,109.9561,109.9561,109.9561,109.9561
2018-08-31,109.9626,109.9626,109.9626,109.9626
2018-09-04,109.9723,109.9723,109.9723,109.9723
2018-09-05,109.9842,109.9842,109.9842,109.9842
2018-09-06,109.9981,109.9981,109.9981,109.9981
2018-09-07,110.0145,110.0145,110.0145,110.0145
2018-09-10,110.0333,110.0333,110.0333,110.0333
2018-09-11,110.0557,110.0557,110.0557,110.0557
2018-09-12,110.0812,110.0812,110.0812,110.0812
2018-09-13,110.1099,110.1099,110.1099,110.1099
2018-09-14,110.1409,110.1409,110.1409,110.1409
2018-09-17,110.1734,110.1734,110.1734,110.1734
2018-09-18,110.2085,110.2085,110.2085,110.2085
2018-09-19,110.2474,110.2474,110.2474,110.2474
2018-09-20,110.2909,110.2909,110.2909,110.2909
2018-09-21,110.3393,110.3393,110.3393,110.3393
2018-09-24,110.3926,110.3926,110.3926,110.3926
2018-09-25,110.4501,110.4501,110.4501,110.4501
2018-09-26,110.5123,110.5123,110.5123,110.5123
2018-09-27,110.5789,110.5789,110.5789,110.5789
2018-09-28,110.6495,110.6495,110.6495,110.6495
2018-10-01,110.7245,110.7245,110.7245,110.7245
2018-10-02,110.8044,110.8044,110.8044,110.8044
2018-10-03,110.8873,110.8873,110.8873,110.8873
2018-10-04,110.9743,110.9743,110.9743,110.9743
