date,open,low,high,close
2018-01-02,107.4893,107.4893,107.4893,107.4893
2018-01-03,107.7147,107.7147,107.7147,107.7147
2018-01-04,108.1973,108.1973,108.1973,108.1973
2018-01-05,108.3253,108.3253,108.3253,108.3253
2018-01-08,108.47,108.47,108.47,108.47
2018-01-09,108.694,108.694,108.694,108.694
2018-01-10,109.2447,109.2447,109.2447,109.2447
2018-01-11,109.846,109.846,109.846,109.846
2018-01-12,110.9373,110.9373,110.9373,110.9373
2018-01-16,111.6067,111.6067,111.6067,111.6067
2018-01-17,112.2647,112.2647,112.2647,112.2647
2018-01-18,112.75,112.75,112.75,112.75
2018-01-19,112.9513,112.9513,112.9513,112.9513
2018-01-22,113.448,113.448,113.448,113.448
2018-01-23,113.794,113.794,113.794,113.794
2018-01-24,114.4973,114.4973,114.4973,114.4973
2018-01-25,115.032,115.032,115.032,115.032
2018-01-26,115.6107,115.6107,115.6107,115.6107
2018-01-29,115.9287,115.9287,115.9287,115.9287
2018-01-30,115.7587,115.7587,115.7587,115.7587
2018-01-31,115.7153,115.7153,115.7153,115.7153
2018-02-01,116.072,116.072,116.072,116.072
2018-02-02,115.4873,115.4873,115.4873,115.4873
2018-02-05,113.212,113.212,113.212,113.212
2018-02-06,112.5333,112.5333,112.5333,112.5333
2018-02-07,112.308,112.308,112.308,112.308
2018-02-08,110.606,110.606,110.606,110.606
2018-02-09,110.2233,110.2233,110.2233,110.2233
2018-02-12,110.69,110.69,110.69,110.69
2018-02-13,111.1907,111.1907,111.1907,111.1907
2018-02-14,112.5367,112.5367,112.5367,112.5367
2018-02-15,113.8987,113.8987,113.8987,113.8987
2018-02-16,114.4753,114.4753,114.4753,114.4753
2018-02-20,114.7527,114.7527,114.7527,114.7527
2018-02-21,114.992,114.992,114.992,114.992
2018-02-22,114.9773,114.9773,114.9773,114.9773
2018-02-23,115.7427,115.7427,115.7427,115.7427
2018-02-26,116.8747,116.8747,116.8747,116.8747
2018-02-27,117.264,117.264,117.264,117.264
2018-02-28,116.8567,116.8567,116.8567,116.8567
2018-03-01,115.7387,115.7387,115.7387,115.7387
2018-03-02,114.6873,114.6873,114.6873,114.6873
2018-03-05,114.482,114.482,114.482,114.482
2018-03-06,114.5573,114.5573,114.5573,114.5573
2018-03-07,114.636,114.636,114.636,114.636
2018-03-08,114.7693,114.7693,114.7693,114.7693
2018-03-09,115.9153,115.9153,115.9153,115.9153
2018-03-12,116.62,116.62,116.62,116.62
2018-03-13,116.6813,116.6813,116.6813,116.6813
2018-03-14,116.2367,116.2367,116.2367,116.2367
2018-03-15,115.874,115.874,115.874,115.874
2018-03-16,115.5447,115.5447,115.5447,115.5447
2018-03-19,115.0853,115.0853,115.0853,115.0853
2018-03-20,114.8713,114.8713,114.8713,114.8713
2018-03-21,114.798,114.798,114.798,114.798
2018-03-22,113.142,113.142,113.142,113.142
2018-03-23,110.8587,110.8587,110.8587,110.8587
2018-03-26,110.2373,110.2373,110.2373,110.2373
2018-03-27,109.184,109.184,109.184,109.184
2018-03-28,108.5053,108.5053,108.5053,108.5053
2018-03-29,108.9327,108.9327,108.9327,108.9327
2018-04-02,108.652,108.652,108.652,108.652
2018-04-03,108.8087,108.8087,108.8087,108.8087
2018-04-04,109.584,109.584,109.584,109.584
2018-04-05,110.468,110.468,110.468,110.468
2018-04-06,110.1633,110.1633,110.1633,110.1633
2018-04-09,110.354,110.354,110.354,110.354
2018-04-10,111.078,111.078,111.078,111.078
2018-04-11,110.96,110.96,110.96,110.96
2018-04-12,111.7833,111.7833,111.7833,111.7833
2018-04-13,111.484,111.484,111.484,111.484
2018-04-16,111.074,111.074,111.074,111.074
2018-04-17,110.6767,110.6767,110.6767,110.6767
2018-04-18,110.136,110.136,110.136,110.136
2018-04-19,110.482,110.482,110.482,110.482
2018-04-20,110.8547,110.8547,110.8547,110.8547
2018-04-23,110.9693,110.9693,110.9693,110.9693
2018-04-24,110.8627,110.8627,110.8627,110.8627
2018-04-25,110.6027,110.6027,110.6027,110.6027
2018-04-26,110.3347,110.3347,110.3347,110.3347
2018-04-27,109.9413,109.9413,109.9413,109.9413
2018-04-30,109.4793,109.4793,109.4793,109.4793
2018-05-01,109.1607,109.1607,109.1607,109.1607
2018-05-02,108.664,108.664,108.664,108.664
2018-05-03,108.0787,108.0787,108.0787,108.0787
2018-05-04,108.0807,108.0807,108.0807,108.0807
2018-05-07,108.4607,108.4607,108.4607,108.4607
2018-05-08,109.3413,109.3413,109.3413,109.3413
2018-05-09,110.8813,110.8813,110.8813,110.8813
2018-05-10,112.3487,112.3487,112.3487,112.3487
2018-05-11,113.2027,113.2027,113.2027,113.2027
2018-05-14,113.708,113.708,113.708,113.708
2018-05-15,113.6213,113.6213,113.6213,113.6213
2018-05-16,113.502,113.502,113.502,113.502
2018-05-17,113.2607,113.2607,113.2607,113.2607
2018-05-18,112.498,112.498,112.498,112.498
2018-05-21,112.2573,112.2573,112.2573,112.2573
2018-05-22,112.42,112.42,112.42,112.42
2018-05-23,112.4107,112.4107,112.4107,112.4107
2018-05-24,112.038,112.038,112.038,112.038
2018-05-25,111.5907,111.5907,111.5907,111.5907
2018-05-29,109.598,109.598,109.598,109.598
2018-05-30,108.8267,108.8267,108.8267,108.8267
2018-05-31,107.9193,107.9193,107.9193,107.9193
2018-06-01,107.8407,107.8407,107.8407,107.8407
2018-06-04,107.9673,107.9673,107.9673,107.9673
2018-06-05,108.038,108.038,108.038,108.038
2018-06-06,108.8213,108.8213,108.8213,108.8213
2018-06-07,109.6173,109.6173,109.6173,109.6173
2018-06-08,110.264,110.264,110.264,110.264
2018-06-11,110.6367,110.6367,110.6367,110.6367
2018-06-12,110.6373,110.6373,110.6373,110.6373
2018-06-13,110.408,110.408,110.408,110.408
2018-06-14,109.558,109.558,109.558,109.558
2018-06-15,108.8493,108.8493,108.8493,108.8493
2018-06-18,108.448,108.448,108.448,108.448
2018-06-19,108.0133,108.0133,108.0133,108.0133
2018-06-20,107.7513,107.7513,107.7513,107.7513
2018-06-21,107.6413,107.6413,107.6413,107.6413
2018-06-22,106.9793,106.9793,106.9793,106.9793
2018-06-25,106.1407,106.1407,106.1407,106.1407
2018-06-26,105.5513,105.5513,105.5513,105.5513
2018-06-27,104.6013,104.6013,104.6013,104.6013
2018-06-28,104.5013,104.5013,104.5013,104.5013
2018-06-29,104.33,104.33,104.33,104.33
2018-07-02,104.5553,104.5553,104.5553,104.5553
2018-07-03,104.2713,104.2713,104.2713,104.2713
2018-07-05,104.1073,104.1073,104.1073,104.1073
2018-07-06,104.0247,104.0247,104.0247,104.0247
2018-07-09,105.0733,105.0733,105.0733,105.0733
2018-07-10,105.6967,105.6967,105.6967,105.6967
2018-07-11,106.1407,106.1407,106.1407,106.1407
2018-07-12,106.5527,106.5527,106.5527,106.5527
2018-07-13,106.5927,106.5927,106.5927,106.5927
2018-07-16,107.886,107.886,107.886,107.886
2018-07-17,108.9327,108.9327,108.9327,108.9327
2018-07-18,110.064,110.064,110.064,110.064
2018-07-19,110.306,110.306,110.306,110.306
2018-07-20,110.8087,110.8087,110.8087,110.8087
2018-07-23,111.6733,111.6733,111.6733,111.6733
2018-07-24,112.62,112.62,112.62,112.62
2018-07-25,113.6667,113.6667,113.6667,113.6667
2018-07-26,114.36,114.36,114.36,114.36
2018-07-27,115.116,115.116,115.116,115.116
2018-07-30,115.7887,115.7887,115.7887,115.7887
2018-07-31,115.6427,115.6427,115.6427,115.6427
2018-08-01,115.68,115.68,115.68,115.68
2018-08-02,115.8487,115.8487,115.8487,115.8487
2018-08-03,116.244,116.244,116.244,116.244
2018-08-06,116.5787,116.5787,116.5787,116.5787
2018-08-07,117.0307,117.0307,117.0307,117.0307
2018-08-08,117.3893,117.3893,117.3893,117.3893
2018-08-09,117.3027,117.3027,117.3027,117.3027
2018-08-10,116.784,116.784,116.784,116.784
2018-08-13,115.7427,115.7427,115.7427,115.7427
2018-08-14,115.17,115.17,115.17,115.17
2018-08-15,114.474,114.474,114.474,114.474
2018-08-16,114.4073,114.4073,114.4073,114.4073
2018-08-17,114.4813,114.4813,114.4813,114.4813
2018-08-20,114.5693,114.5693,114.5693,114.5693
2018-08-21,114.842,114.842,114.842,114.842
2018-08-22,114.9533,114.9533,114.9533,114.9533
2018-08-23,114.9,114.9,114.9,114.9
2018-08-24,114.8327,114.8327,114.8327,114.8327
2018-08-27,115.448,115.448,115.448,115.448
2018-08-28,115.734,115.734,115.734,115.734
2018-08-29,115.8387,115.8387,115.8387,115.8387
2018-08-30,115.7007,115.7007,115.7007,115.7007
2018-08-31,115.3287,115.3287,115.3287,115.3287
2018-09-04,115.1533,115.1533,115.1533,115.1533
2018-09-05,114.8953,114.8953,114.8953,114.8953
2018-09-06,114.5773,114.5773,114.5773,114.5773
2018-09-07,114.4433,114.4433,114.4433,114.4433
2018-09-10,114.164,114.164,114.164,114.164
2018-09-11,114.1827,114.1827,114.1827,114.1827
2018-09-12,113.7993,113.7993,113.7993,113.7993
2018-09-13,113.6633,113.6633,113.6633,113.6633
2018-09-14,113.5593,113.5593,113.5593,113.5593
2018-09-17,113.6233,113.6233,113.6233,113.6233
2018-09-18,113.832,113.832,113.832,113.832
2018-09-19,115.156,115.156,115.156,115.156
2018-09-20,116.514,116.514,116.514,116.514
