date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-3.7778,-3.7778,-3.7778,-3.7778
2018-01-03,-3.1781,-3.1781,-3.1781,-3.1781
2018-01-04,-6.5693,-6.5693,-6.5693,-6.5693
2018-01-05,-11.2143,-11.2143,-11.2143,-11.2143
2018-01-08,-10.1526,-10.1526,-10.1526,-10.1526
2018-01-09,-6.503,-6.503,-6.503,-6.503
2018-01-10,-3.0508,-3.0508,-3.0508,-3.0508
2018-01-11,-0.5942,-0.5942,-0.5942,-0.5942
2018-01-12,-1.0651,-1.0651,-1.0651,-1.0651
2018-01-16,-6.6362,-6.6362,-6.6362,-6.6362
2018-01-17,-2.5172,-2.5172,-2.5172,-2.5172
2018-01-18,-2.6029,-2.6029,-2.6029,-2.6029
2018-01-19,-7.2322,-7.2322,-7.2322,-7.2322
2018-01-22,-0.3254,-0.3254,-0.3254,-0.3254
2018-01-23,-2.3007,-2.3007,-2.3007,-2.3007
2018-01-24,-1.6459,-1.6459,-1.6459,-1.6459
2018-01-25,-2.3244,-2.3244,-2.3244,-2.3244
2018-01-26,-0.0,-0.0,-0.0,-0.0
2018-01-29,-5.3867,-5.3867,-5.3867,-5.3867
2018-01-30,-10.4794,-10.4794,-10.4794,-10.4794
2018-01-31,-7.863,-7.863,-7.863,-7.863
2018-02-01,-2.2562,-2.2562,-2.2562,-2.2562
2018-02-02,-14.3574,-14.3574,-14.3574,-14.3574
2018-02-05,-39.9614,-39.9614,-39.9614,-39.9614
2018-02-06,-24.4962,-24.4962,-24.4962,-24.4962
2018-02-07,-20.9453,-20.9453,-20.9453,-20.9453
2018-02-08,-44.2599,-44.2599,-44.2599,-44.2599
2018-02-09,-34.1678,-34.1678,-34.1678,-34.1678
2018-02-12,-26.225,-26.225,-26.225,-26.225
2018-02-13,-24.8846,-24.8846,-24.8846,-24.8846
2018-02-14,-11.742,-11.742,-11.742,-11.742
2018-02-15,-9.406,-9.406,-9.406,-9.406
2018-02-16,-13.7616,-13.7616,-13.7616,-13.7616
2018-02-20,-13.6071,-13.6071,-13.6071,-13.6071
2018-02-21,-11.5779,-11.5779,-11.5779,-11.5779
2018-02-22,-12.6537,-12.6537,-12.6537,-12.6537
2018-02-23,-0.7187,-0.7187,-0.7187,-0.7187
2018-02-26,-0.7674,-0.7674,-0.7674,-0.7674
2018-02-27,-11.5003,-11.5003,-11.5003,-11.5003
2018-02-28,-22.3584,-22.3584,-22.3584,-22.3584
2018-03-01,-37.8205,-37.8205,-37.8205,-37.8205
2018-03-02,-38.5256,-38.5256,-38.5256,-38.5256
2018-03-05,-27.3718,-27.3718,-27.3718,-27.3718
2018-03-06,-26.7308,-26.7308,-26.7308,-26.7308
2018-03-07,-29.9674,-29.9674,-29.9674,-29.9674
2018-03-08,-29.9023,-29.9023,-29.9023,-29.9023
2018-03-09,-8.4039,-8.4039,-8.4039,-8.4039
2018-03-12,-10.8795,-10.8795,-10.8795,-10.8795
2018-03-13,-20.0651,-20.0651,-20.0651,-20.0651
2018-03-14,-28.5342,-28.5342,-28.5342,-28.5342
2018-03-15,-26.645,-26.645,-26.645,-26.645
2018-03-16,-25.342,-25.342,-25.342,-25.342
2018-03-19,-31.2704,-31.2704,-31.2704,-31.2704
2018-03-20,-30.5537,-30.5537,-30.5537,-30.5537
2018-03-21,-29.9023,-29.9023,-29.9023,-29.9023
2018-03-22,-61.1075,-61.1075,-61.1075,-61.1075
2018-03-23,-80.2606,-80.2606,-80.2606,-80.2606
2018-03-26,-58.7622,-58.7622,-58.7622,-58.7622
