date,open,low,high,close
2018-01-02,5.0959,5.0959,5.0959,5.0959
2018-01-03,5.0614,5.0614,5.0614,5.0614
2018-01-04,5.042,5.042,5.042,5.042
2018-01-05,5.0228,5.0228,5.0228,5.0228
2018-01-08,5.0044,5.0044,5.0044,5.0044
2018-01-09,5.0006,5.0006,5.0006,5.0006
2018-01-10,5.0051,5.0051,5.0051,5.0051
2018-01-11,5.0103,5.0103,5.0103,5.0103
2018-01-12,5.0227,5.0227,5.0227,5.0227
2018-01-16,5.0458,5.0458,5.0458,5.0458
2018-01-17,5.0358,5.0358,5.0358,5.0358
2018-01-18,5.0259,5.0259,5.0259,5.0259
2018-01-19,5.0142,5.0142,5.0142,5.0142
2018-01-22,5.0166,5.0166,5.0166,5.0166
2018-01-23,5.0231,5.0231,5.0231,5.0231
2018-01-24,5.0381,5.0381,5.0381,5.0381
2018-01-25,5.0569,5.0569,5.0569,5.0569
2018-01-26,5.0718,5.0718,5.0718,5.0718
2018-01-29,5.0938,5.0938,5.0938,5.0938
2018-01-30,5.1041,5.1041,5.1041,5.1041
2018-01-31,5.1066,5.1066,5.1066,5.1066
2018-02-01,5.1027,5.1027,5.1027,5.1027
2018-02-02,5.1052,5.1052,5.1052,5.1052
2018-02-05,5.0639,5.0639,5.0639,5.0639
2018-02-06,5.0498,5.0498,5.0498,5.0498
2018-02-07,5.0286,5.0286,5.0286,5.0286
2018-02-08,5.0386,5.0386,5.0386,5.0386
2018-02-09,5.0607,5.0607,5.0607,5.0607
2018-02-12,5.0734,5.0734,5.0734,5.0734
2018-02-13,5.086,5.086,5.086,5.086
2018-02-14,5.079,5.079,5.079,5.079
2018-02-15,5.0605,5.0605,5.0605,5.0605
2018-02-16,5.0426,5.0426,5.0426,5.0426
2018-02-20,5.0223,5.0223,5.0223,5.0223
2018-02-21,5.0022,5.0022,5.0022,5.0022
2018-02-22,4.9932,4.9932,4.9932,4.9932
2018-02-23,4.9843,4.9843,4.9843,4.9843
2018-02-26,4.9691,4.9691,4.9691,4.9691
2018-02-27,4.9493,4.9493,4.9493,4.9493
2018-02-28,4.9412,4.9412,4.9412,4.9412
2018-03-01,4.9564,4.9564,4.9564,4.9564
2018-03-02,4.9821,4.9821,4.9821,4.9821
2018-03-05,4.9959,4.9959,4.9959,4.9959
2018-03-06,5.0078,5.0078,5.0078,5.0078
2018-03-07,5.0279,5.0279,5.0279,5.0279
2018-03-08,5.0463,5.0463,5.0463,5.0463
2018-03-09,5.0403,5.0403,5.0403,5.0403
2018-03-12,5.032,5.032,5.032,5.032
2018-03-13,5.0369,5.0369,5.0369,5.0369
2018-03-14,5.0568,5.0568,5.0568,5.0568
2018-03-15,5.0772,5.0772,5.0772,5.0772
2018-03-16,5.0897,5.0897,5.0897,5.0897
2018-03-19,5.1157,5.1157,5.1157,5.1157
2018-03-20,5.1409,5.1409,5.1409,5.1409
2018-03-21,5.1693,5.1693,5.1693,5.1693
2018-03-22,5.2248,5.2248,5.2248,5.2248
2018-03-23,5.2995,5.2995,5.2995,5.2995
2018-03-26,5.3638,5.3638,5.3638,5.3638
2018-03-27,5.4324,5.4324,5.4324,5.4324
2018-03-28,5.5019,5.5019,5.5019,5.5019
2018-03-29,5.5646,5.5646,5.5646,5.5646
2018-04-02,5.6389,5.6389,5.6389,5.6389
2018-04-03,5.7127,5.7127,5.7127,5.7127
2018-04-04,5.776,5.776,5.776,5.776
2018-04-05,5.8287,5.8287,5.8287,5.8287
2018-04-06,5.8952,5.8952,5.8952,5.8952
2018-04-09,5.9503,5.9503,5.9503,5.9503
2018-04-10,6.0049,6.0049,6.0049,6.0049
2018-04-11,6.0632,6.0632,6.0632,6.0632
2018-04-12,6.11,6.11,6.11,6.11
2018-04-13,6.1497,6.1497,6.1497,6.1497
2018-04-16,6.1892,6.1892,6.1892,6.1892
2018-04-17,6.2217,6.2217,6.2217,6.2217
2018-04-18,6.2686,6.2686,6.2686,6.2686
2018-04-19,6.3151,6.3151,6.3151,6.3151
2018-04-20,6.3559,6.3559,6.3559,6.3559
2018-04-23,6.3963,6.3963,6.3963,6.3963
2018-04-24,6.4271,6.4271,6.4271,6.4271
2018-04-25,6.459,6.459,6.459,6.459
2018-04-26,6.4906,6.4906,6.4906,6.4906
2018-04-27,6.5159,6.5159,6.5159,6.5159
2018-04-30,6.5436,6.5436,6.5436,6.5436
