date,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Up,Aroon Down
2018-01-02,30.0,90.0,90.0,30.0,30.0,90.0,30.0,90.0
2018-01-03,20.0,80.0,80.0,20.0,20.0,80.0,20.0,80.0
2018-01-04,100.0,70.0,70.0,100.0,100.0,70.0,100.0,70.0
2018-01-05,90.0,60.0,60.0,90.0,90.0,60.0,90.0,60.0
2018-01-08,100.0,50.0,50.0,100.0,100.0,50.0,100.0,50.0
2018-01-09,100.0,40.0,40.0,100.0,100.0,40.0,100.0,40.0
2018-01-10,100.0,30.0,30.0,100.0,100.0,30.0,100.0,30.0
2018-01-11,100.0,20.0,20.0,100.0,100.0,20.0,100.0,20.0
2018-01-12,100.0,10.0,10.0,100.0,100.0,10.0,100.0,10.0
2018-01-16,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2018-01-17,90.0,0.0,0.0,90.0,90.0,0.0,90.0,0.0
2018-01-18,80.0,0.0,0.0,80.0,80.0,0.0,80.0,0.0
2018-01-19,70.0,0.0,0.0,70.0,70.0,0.0,70.0,0.0
2018-01-22,60.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0
2018-01-23,50.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
2018-01-24,100.0,50.0,50.0,100.0,100.0,50.0,100.0,50.0
2018-01-25,100.0,40.0,40.0,100.0,100.0,40.0,100.0,40.0
2018-01-26,90.0,30.0,30.0,90.0,90.0,30.0,90.0,30.0
2018-01-29,100.0,20.0,20.0,100.0,100.0,20.0,100.0,20.0
2018-01-30,90.0,10.0,10.0,90.0,90.0,10.0,90.0,10.0
2018-01-31,80.0,0.0,0.0,80.0,80.0,0.0,80.0,0.0
2018-02-01,70.0,10.0,10.0,70.0,70.0,10.0,70.0,10.0
2018-02-02,60.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0
2018-02-05,50.0,100.0,100.0,50.0,50.0,100.0,50.0,100.0
2018-02-06,40.0,100.0,100.0,40.0,40.0,100.0,40.0,100.0
2018-02-07,30.0,90.0,90.0,30.0,30.0,90.0,30.0,90.0
2018-02-08,20.0,100.0,100.0,20.0,20.0,100.0,20.0,100.0
2018-02-09,10.0,100.0,100.0,10.0,10.0,100.0,10.0,100.0
2018-02-12,0.0,90.0,90.0,0.0,0.0,90.0,0.0,90.0
2018-02-13,0.0,80.0,80.0,0.0,0.0,80.0,0.0,80.0
2018-02-14,20.0,70.0,70.0,20.0,20.0,70.0,20.0,70.0
2018-02-15,10.0,60.0,60.0,10.0,10.0,60.0,10.0,60.0
2018-02-16,0.0,50.0,50.0,0.0,0.0,50.0,0.0,50.0
2018-02-20,0.0,40.0,40.0,0.0,0.0,40.0,0.0,40.0
2018-02-21,90.0,30.0,30.0,90.0,90.0,30.0,90.0,30.0
2018-02-22,80.0,20.0,20.0,80.0,80.0,20.0,80.0,20.0
2018-02-23,70.0,10.0,10.0,70.0,70.0,10.0,70.0,10.0
2018-02-26,60.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0
2018-02-27,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2018-02-28,90.0,0.0,0.0,90.0,90.0,0.0,90.0,0.0
2018-03-01,80.0,100.0,100.0,80.0,80.0,100.0,80.0,100.0
2018-03-02,70.0,100.0,100.0,70.0,70.0,100.0,70.0,100.0
2018-03-05,60.0,90.0,90.0,60.0,60.0,90.0,60.0,90.0
2018-03-06,50.0,80.0,80.0,50.0,50.0,80.0,50.0,80.0
2018-03-07,40.0,70.0,70.0,40.0,40.0,70.0,40.0,70.0
2018-03-08,30.0,60.0,60.0,30.0,30.0,60.0,30.0,60.0
2018-03-09,20.0,50.0,50.0,20.0,20.0,50.0,20.0,50.0
2018-03-12,10.0,40.0,40.0,10.0,10.0,40.0,10.0,40.0
2018-03-13,0.0,30.0,30.0,0.0,0.0,30.0,0.0,30.0
2018-03-14,0.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0
2018-03-15,70.0,10.0,10.0,70.0,70.0,10.0,70.0,10.0
2018-03-16,60.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0
2018-03-19,50.0,100.0,100.0,50.0,50.0,100.0,50.0,100.0
2018-03-20,40.0,90.0,90.0,40.0,40.0,90.0,40.0,90.0
2018-03-21,30.0,100.0,100.0,30.0,30.0,100.0,30.0,100.0
2018-03-22,20.0,100.0,100.0,20.0,20.0,100.0,20.0,100.0
2018-03-23,10.0,100.0,100.0,10.0,10.0,100.0,10.0,100.0
2018-03-26,0.0,90.0,90.0,0.0,0.0,90.0,0.0,90.0
2018-03-27,0.0,80.0,80.0,0.0,0.0,80.0,0.0,80.0
2018-03-28,0.0,70.0,70.0,0.0,0.0,70.0,0.0,70.0
2018-03-29,10.0,60.0,60.0,10.0,10.0,60.0,10.0,60.0
2018-04-02,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
2018-04-03,10.0,90.0,90.0,10.0,10.0,90.0,10.0,90.0
2018-04-04,0.0,80.0,80.0,0.0,0.0,80.0,0.0,80.0
2018-04-05,0.0,70.0,70.0,0.0,0.0,70.0,0.0,70.0
2018-04-06,0.0,60.0,60.0,0.0,0.0,60.0,0.0,60.0
2018-04-09,100.0,50.0,50.0,100.0,100.0,50.0,100.0,50.0
2018-04-10,90.0,40.0,40.0,90.0,90.0,40.0,90.0,40.0
2018-04-11,80.0,30.0,30.0,80.0,80.0,30.0,80.0,30.0
2018-04-12,70.0,20.0,20.0,70.0,70.0,20.0,70.0,20.0
2018-04-13,100.0,10.0,10.0,100.0,100.0,10.0,100.0,10.0
2018-04-16,90.0,0.0,0.0,90.0,90.0,0.0,90.0,0.0
2018-04-17,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2018-04-18,90.0,0.0,0.0,90.0,90.0,0.0,90.0,0.0
2018-04-19,80.0,90.0,90.0,80.0,80.0,90.0,80.0,90.0
2018-04-20,70.0,80.0,80.0,70.0,70.0,80.0,70.0,80.0
2018-04-23,60.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0
2018-04-24,50.0,60.0,60.0,50.0,50.0,60.0,50.0,60.0
2018-04-25,40.0,50.0,50.0,40.0,40.0,50.0,40.0,50.0
2018-04-26,30.0,40.0,40.0,30.0,30.0,40.0,30.0,40.0
2018-04-27,20.0,30.0,30.0,20.0,20.0,30.0,20.0,30.0
2018-04-30,10.0,20.0,20.0,10.0,10.0,20.0,10.0,20.0
2018-05-01,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0
2018-05-02,80.0,100.0,100.0,80.0,80.0,100.0,80.0,100.0
2018-05-03,70.0,100.0,100.0,70.0,70.0,100.0,70.0,100.0
2018-05-04,60.0,90.0,90.0,60.0,60.0,90.0,60.0,90.0
2018-05-07,50.0,80.0,80.0,50.0,50.0,80.0,50.0,80.0
2018-05-08,40.0,70.0,70.0,40.0,40.0,70.0,40.0,70.0
2018-05-09,30.0,60.0,60.0,30.0,30.0,60.0,30.0,60.0
2018-05-10,20.0,50.0,50.0,20.0,20.0,50.0,20.0,50.0
2018-05-11,100.0,40.0,40.0,100.0,100.0,40.0,100.0,40.0
2018-05-14,90.0,30.0,30.0,90.0,90.0,30.0,90.0,30.0
2018-05-15,80.0,20.0,20.0,80.0,80.0,20.0,80.0,20.0
2018-05-16,70.0,10.0,10.0,70.0,70.0,10.0,70.0,10.0
2018-05-17,60.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0
2018-05-18,50.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
2018-05-21,40.0,0.0,0.0,40.0,40.0,0.0,40.0,0.0
2018-05-22,30.0,0.0,0.0,30.0,30.0,0.0,30.0,0.0
2018-05-23,20.0,100.0,100.0,20.0,20.0,100.0,20.0,100.0
2018-05-24,10.0,100.0,100.0,10.0,10.0,100.0,10.0,100.0
2018-05-25,0.0,90.0,90.0,0.0,0.0,90.0,0.0,90.0
2018-05-29,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
2018-05-30,50.0,90.0,90.0,50.0,50.0,90.0,50.0,90.0
2018-05-31,40.0,80.0,80.0,40.0,40.0,80.0,40.0,80.0
2018-06-01,30.0,70.0,70.0,30.0,30.0,70.0,30.0,70.0
2018-06-04,20.0,60.0,60.0,20.0,20.0,60.0,20.0,60.0
2018-06-05,10.0,50.0,50.0,10.0,10.0,50.0,10.0,50.0
2018-06-06,100.0,40.0,40.0,100.0,100.0,40.0,100.0,40.0
2018-06-07,100.0,30.0,30.0,100.0,100.0,30.0,100.0,30.0
2018-06-08,90.0,20.0,20.0,90.0,90.0,20.0,90.0,20.0
2018-06-11,100.0,10.0,10.0,100.0,100.0,10.0,100.0,10.0
2018-06-12,90.0,0.0,0.0,90.0,90.0,0.0,90.0,0.0
2018-06-13,80.0,0.0,0.0,80.0,80.0,0.0,80.0,0.0
2018-06-14,70.0,0.0,0.0,70.0,70.0,0.0,70.0,0.0
2018-06-15,60.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0
2018-06-18,50.0,100.0,100.0,50.0,50.0,100.0,50.0,100.0
2018-06-19,40.0,90.0,90.0,40.0,40.0,90.0,40.0,90.0
2018-06-20,30.0,80.0,80.0,30.0,30.0,80.0,30.0,80.0
2018-06-21,20.0,70.0,70.0,20.0,20.0,70.0,20.0,70.0
2018-06-22,10.0,60.0,60.0,10.0,10.0,60.0,10.0,60.0
2018-06-25,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
2018-06-26,60.0,100.0,100.0,60.0,60.0,100.0,60.0,100.0
