date,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Down
2018-01-02,68.3333,45.0,68.3333,45.0,68.3333,45.0,68.3333,45.0
2018-01-03,66.6667,43.3333,66.6667,43.3333,66.6667,43.3333,66.6667,43.3333
2018-01-04,65.0,41.6667,65.0,41.6667,65.0,41.6667,65.0,41.6667
2018-01-05,63.3333,40.0,63.3333,40.0,63.3333,40.0,63.3333,40.0
2018-01-08,61.6667,38.3333,61.6667,38.3333,61.6667,38.3333,61.6667,38.3333
2018-01-09,60.0,36.6667,60.0,36.6667,60.0,36.6667,60.0,36.6667
2018-01-10,100.0,35.0,100.0,35.0,100.0,35.0,100.0,35.0
2018-01-11,100.0,33.3333,100.0,33.3333,100.0,33.3333,100.0,33.3333
2018-01-12,100.0,31.6667,100.0,31.6667,100.0,31.6667,100.0,31.6667
2018-01-16,100.0,30.0,100.0,30.0,100.0,30.0,100.0,30.0
2018-01-17,98.3333,28.3333,98.3333,28.3333,98.3333,28.3333,98.3333,28.3333
2018-01-18,96.6667,26.6667,96.6667,26.6667,96.6667,26.6667,96.6667,26.6667
2018-01-19,95.0,25.0,95.0,25.0,95.0,25.0,95.0,25.0
2018-01-22,93.3333,23.3333,93.3333,23.3333,93.3333,23.3333,93.3333,23.3333
2018-01-23,91.6667,21.6667,91.6667,21.6667,91.6667,21.6667,91.6667,21.6667
2018-01-24,100.0,20.0,100.0,20.0,100.0,20.0,100.0,20.0
2018-01-25,100.0,18.3333,100.0,18.3333,100.0,18.3333,100.0,18.3333
2018-01-26,98.3333,16.6667,98.3333,16.6667,98.3333,16.6667,98.3333,16.6667
2018-01-29,100.0,15.0,100.0,15.0,100.0,15.0,100.0,15.0
2018-01-30,98.3333,13.3333,98.3333,13.3333,98.3333,13.3333,98.3333,13.3333
2018-01-31,96.6667,11.6667,96.6667,11.6667,96.6667,11.6667,96.6667,11.6667
2018-02-01,95.0,10.0,95.0,10.0,95.0,10.0,95.0,10.0
2018-02-02,93.3333,8.3333,93.3333,8.3333,93.3333,8.3333,93.3333,8.3333
2018-02-05,91.6667,6.6667,91.6667,6.6667,91.6667,6.6667,91.6667,6.6667
2018-02-06,90.0,5.0,90.0,5.0,90.0,5.0,90.0,5.0
2018-02-07,88.3333,3.3333,88.3333,3.3333,88.3333,3.3333,88.3333,3.3333
