date,open,low,high,close
2018-01-02,58.4961,58.4961,58.4961,58.4961
2018-01-03,80.1151,80.1151,80.1151,80.1151
2018-01-04,115.4634,115.4634,115.4634,115.4634
2018-01-05,126.89,126.89,126.89,126.89
2018-01-08,130.4899,130.4899,130.4899,130.4899
2018-01-09,156.9232,156.9232,156.9232,156.9232
2018-01-10,176.8844,176.8844,176.8844,176.8844
2018-01-11,189.5585,189.5585,189.5585,189.5585
2018-01-12,204.455,204.455,204.455,204.455
2018-01-16,218.6255,218.6255,218.6255,218.6255
2018-01-17,157.1196,157.1196,157.1196,157.1196
2018-01-18,158.7661,158.7661,158.7661,158.7661
2018-01-19,154.1829,154.1829,154.1829,154.1829
2018-01-22,186.7688,186.7688,186.7688,186.7688
2018-01-23,188.3852,188.3852,188.3852,188.3852
2018-01-24,208.7571,208.7571,208.7571,208.7571
2018-01-25,215.8949,215.8949,215.8949,215.8949
2018-01-26,208.0128,208.0128,208.0128,208.0128
2018-01-29,212.6369,212.6369,212.6369,212.6369
2018-01-30,182.8864,182.8864,182.8864,182.8864
2018-01-31,161.8879,161.8879,161.8879,161.8879
2018-02-01,155.3566,155.3566,155.3566,155.3566
2018-02-02,149.894,149.894,149.894,149.894
2018-02-05,66.3271,66.3271,66.3271,66.3271
2018-02-06,19.0902,19.0902,19.0902,19.0902
2018-02-07,47.9649,47.9649,47.9649,47.9649
2018-02-08,-25.9555,-25.9555,-25.9555,-25.9555
2018-02-09,-31.9691,-31.9691,-31.9691,-31.9691
2018-02-12,3.532,3.532,3.532,3.532
2018-02-13,2.9687,2.9687,2.9687,2.9687
2018-02-14,42.1302,42.1302,42.1302,42.1302
2018-02-15,64.3468,64.3468,64.3468,64.3468
2018-02-16,69.1825,69.1825,69.1825,69.1825
2018-02-20,57.0744,57.0744,57.0744,57.0744
2018-02-21,56.2704,56.2704,56.2704,56.2704
2018-02-22,27.4383,27.4383,27.4383,27.4383
2018-02-23,49.4752,49.4752,49.4752,49.4752
2018-02-26,67.1522,67.1522,67.1522,67.1522
2018-02-27,59.3292,59.3292,59.3292,59.3292
2018-02-28,27.7634,27.7634,27.7634,27.7634
2018-03-01,-37.4735,-37.4735,-37.4735,-37.4735
2018-03-02,-66.5181,-66.5181,-66.5181,-66.5181
2018-03-05,-38.8101,-38.8101,-38.8101,-38.8101
2018-03-06,-22.2852,-22.2852,-22.2852,-22.2852
2018-03-07,-48.2067,-48.2067,-48.2067,-48.2067
2018-03-08,-34.2344,-34.2344,-34.2344,-34.2344
2018-03-09,31.1858,31.1858,31.1858,31.1858
2018-03-12,41.1872,41.1872,41.1872,41.1872
2018-03-13,4.6416,4.6416,4.6416,4.6416
2018-03-14,-51.2726,-51.2726,-51.2726,-51.2726
2018-03-15,-68.99,-68.99,-68.99,-68.99
2018-03-16,-59.2675,-59.2675,-59.2675,-59.2675
2018-03-19,-99.2699,-99.2699,-99.2699,-99.2699
2018-03-20,-97.7965,-97.7965,-97.7965,-97.7965
2018-03-21,-104.8828,-104.8828,-104.8828,-104.8828
2018-03-22,-194.0759,-194.0759,-194.0759,-194.0759
2018-03-23,-265.2649,-265.2649,-265.2649,-265.2649
2018-03-26,-198.1601,-198.1601,-198.1601,-198.1601
2018-03-27,-225.3484,-225.3484,-225.3484,-225.3484
2018-03-28,-233.6437,-233.6437,-233.6437,-233.6437
2018-03-29,-205.1163,-205.1163,-205.1163,-205.1163
2018-04-02,-230.7398,-230.7398,-230.7398,-230.7398
2018-04-03,-210.7372,-210.7372,-210.7372,-210.7372
2018-04-04,-188.8396,-188.8396,-188.8396,-188.8396
2018-04-05,-146.3307,-146.3307,-146.3307,-146.3307
2018-04-06,-177.3865,-177.3865,-177.3865,-177.3865
2018-04-09,-150.2663,-150.2663,-150.2663,-150.2663
2018-04-10,-136.9316,-136.9316,-136.9316,-136.9316
2018-04-11,-152.0837,-152.0837,-152.0837,-152.0837
2018-04-12,-123.5769,-123.5769,-123.5769,-123.5769
2018-04-13,-122.3072,-122.3072,-122.3072,-122.3072
2018-04-16,-112.446,-112.446,-112.446,-112.446
2018-04-17,-113.3418,-113.3418,-113.3418,-113.3418
2018-04-18,-147.7231,-147.7231,-147.7231,-147.7231
2018-04-19,-136.4762,-136.4762,-136.4762,-136.4762
2018-04-20,-130.541,-130.541,-130.541,-130.541
2018-04-23,-126.7672,-126.7672,-126.7672,-126.7672
2018-04-24,-121.9537,-121.9537,-121.9537,-121.9537
2018-04-25,-117.144,-117.144,-117.144,-117.144
2018-04-26,-108.149,-108.149,-108.149,-108.149
2018-04-27,-95.7737,-95.7737,-95.7737,-95.7737
2018-04-30,-103.2412,-103.2412,-103.2412,-103.2412
2018-05-01,-113.7286,-113.7286,-113.7286,-113.7286
2018-05-02,-124.5917,-124.5917,-124.5917,-124.5917
2018-05-03,-132.4109,-132.4109,-132.4109,-132.4109
2018-05-04,-115.8776,-115.8776,-115.8776,-115.8776
2018-05-07,-109.4268,-109.4268,-109.4268,-109.4268
2018-05-08,-105.8954,-105.8954,-105.8954,-105.8954
2018-05-09,-93.0303,-93.0303,-93.0303,-93.0303
2018-05-10,-84.4073,-84.4073,-84.4073,-84.4073
2018-05-11,-66.0431,-66.0431,-66.0431,-66.0431
2018-05-14,-73.567,-73.567,-73.567,-73.567
2018-05-15,-78.4952,-78.4952,-78.4952,-78.4952
2018-05-16,-82.4244,-82.4244,-82.4244,-82.4244
2018-05-17,-82.5971,-82.5971,-82.5971,-82.5971
2018-05-18,-90.8139,-90.8139,-90.8139,-90.8139
2018-05-21,-86.1071,-86.1071,-86.1071,-86.1071
2018-05-22,-76.1808,-76.1808,-76.1808,-76.1808
2018-05-23,-86.8489,-86.8489,-86.8489,-86.8489
2018-05-24,-90.3919,-90.3919,-90.3919,-90.3919
2018-05-25,-90.8205,-90.8205,-90.8205,-90.8205
2018-05-29,-131.0316,-131.0316,-131.0316,-131.0316
2018-05-30,-113.5044,-113.5044,-113.5044,-113.5044
2018-05-31,-106.4298,-106.4298,-106.4298,-106.4298
2018-06-01,-74.0129,-74.0129,-74.0129,-74.0129
2018-06-04,-69.0524,-69.0524,-69.0524,-69.0524
2018-06-05,-62.9098,-62.9098,-62.9098,-62.9098
2018-06-06,-45.8026,-45.8026,-45.8026,-45.8026
2018-06-07,-37.6811,-37.6811,-37.6811,-37.6811
2018-06-08,-35.5806,-35.5806,-35.5806,-35.5806
2018-06-11,-41.1756,-41.1756,-41.1756,-41.1756
2018-06-12,-51.9302,-51.9302,-51.9302,-51.9302
2018-06-13,-54.0002,-54.0002,-54.0002,-54.0002
2018-06-14,-59.4595,-59.4595,-59.4595,-59.4595
2018-06-15,-54.8855,-54.8855,-54.8855,-54.8855
2018-06-18,-55.7725,-55.7725,-55.7725,-55.7725
2018-06-19,-45.5872,-45.5872,-45.5872,-45.5872
2018-06-20,-40.6464,-40.6464,-40.6464,-40.6464
2018-06-21,-58.0552,-58.0552,-58.0552,-58.0552
2018-06-22,-56.1944,-56.1944,-56.1944,-56.1944
2018-06-25,-70.9242,-70.9242,-70.9242,-70.9242
2018-06-26,-75.1836,-75.1836,-75.1836,-75.1836
2018-06-27,-81.8576,-81.8576,-81.8576,-81.8576
2018-06-28,-92.2653,-92.2653,-92.2653,-92.2653
2018-06-29,-71.9112,-71.9112,-71.9112,-71.9112
2018-07-02,-73.8425,-73.8425,-73.8425,-73.8425
2018-07-03,-73.4873,-73.4873,-73.4873,-73.4873
2018-07-05,-75.4249,-75.4249,-75.4249,-75.4249
2018-07-06,-72.4941,-72.4941,-72.4941,-72.4941
2018-07-09,-40.6628,-40.6628,-40.6628,-40.6628
2018-07-10,-33.1284,-33.1284,-33.1284,-33.1284
2018-07-11,-34.789,-34.789,-34.789,-34.789
2018-07-12,-27.0555,-27.0555,-27.0555,-27.0555
2018-07-13,-43.5768,-43.5768,-43.5768,-43.5768
2018-07-16,-32.0154,-32.0154,-32.0154,-32.0154
2018-07-17,-26.2969,-26.2969,-26.2969,-26.2969
2018-07-18,-44.3984,-44.3984,-44.3984,-44.3984
2018-07-19,-30.4733,-30.4733,-30.4733,-30.4733
2018-07-20,-33.6426,-33.6426,-33.6426,-33.6426
2018-07-23,-12.3282,-12.3282,-12.3282,-12.3282
2018-07-24,-1.9662,-1.9662,-1.9662,-1.9662
2018-07-25,-10.294,-10.294,-10.294,-10.294
2018-07-26,23.4249,23.4249,23.4249,23.4249
2018-07-27,39.8783,39.8783,39.8783,39.8783
2018-07-30,63.2615,63.2615,63.2615,63.2615
2018-07-31,70.1483,70.1483,70.1483,70.1483
2018-08-01,59.527,59.527,59.527,59.527
2018-08-02,40.2234,40.2234,40.2234,40.2234
2018-08-03,55.9375,55.9375,55.9375,55.9375
2018-08-06,69.224,69.224,69.224,69.224
2018-08-07,83.3605,83.3605,83.3605,83.3605
2018-08-08,97.6997,97.6997,97.6997,97.6997
2018-08-09,103.1659,103.1659,103.1659,103.1659
2018-08-10,81.0238,81.0238,81.0238,81.0238
2018-08-13,58.8233,58.8233,58.8233,58.8233
2018-08-14,80.2557,80.2557,80.2557,80.2557
2018-08-15,65.8996,65.8996,65.8996,65.8996
2018-08-16,96.176,96.176,96.176,96.176
2018-08-17,107.6384,107.6384,107.6384,107.6384
2018-08-20,135.1907,135.1907,135.1907,135.1907
2018-08-21,170.8757,170.8757,170.8757,170.8757
2018-08-22,155.4939,155.4939,155.4939,155.4939
2018-08-23,147.1063,147.1063,147.1063,147.1063
2018-08-24,153.6322,153.6322,153.6322,153.6322
2018-08-27,181.0893,181.0893,181.0893,181.0893
2018-08-28,175.3034,175.3034,175.3034,175.3034
2018-08-29,171.5099,171.5099,171.5099,171.5099
2018-08-30,160.9712,160.9712,160.9712,160.9712
2018-08-31,157.2971,157.2971,157.2971,157.2971
2018-09-04,166.0824,166.0824,166.0824,166.0824
2018-09-05,178.7243,178.7243,178.7243,178.7243
2018-09-06,172.3944,172.3944,172.3944,172.3944
2018-09-07,166.3851,166.3851,166.3851,166.3851
2018-09-10,162.058,162.058,162.058,162.058
2018-09-11,157.2649,157.2649,157.2649,157.2649
2018-09-12,130.7826,130.7826,130.7826,130.7826
2018-09-13,141.4025,141.4025,141.4025,141.4025
2018-09-14,143.1557,143.1557,143.1557,143.1557
2018-09-17,140.3251,140.3251,140.3251,140.3251
2018-09-18,137.491,137.491,137.491,137.491
2018-09-19,165.3142,165.3142,165.3142,165.3142
2018-09-20,187.4159,187.4159,187.4159,187.4159
2018-09-21,175.8709,175.8709,175.8709,175.8709
2018-09-24,145.5303,145.5303,145.5303,145.5303
2018-09-25,128.3083,128.3083,128.3083,128.3083
2018-09-26,99.0103,99.0103,99.0103,99.0103
2018-09-27,57.314,57.314,57.314,57.314
2018-09-28,39.5094,39.5094,39.5094,39.5094
2018-10-01,46.3636,46.3636,46.3636,46.3636
2018-10-02,38.8624,38.8624,38.8624,38.8624
2018-10-03,63.2057,63.2057,63.2057,63.2057
2018-10-04,83.3742,83.3742,83.3742,83.3742
2018-10-05,77.1479,77.1479,77.1479,77.1479
2018-10-08,83.8123,83.8123,83.8123,83.8123
2018-10-09,85.9275,85.9275,85.9275,85.9275
2018-10-10,79.5907,79.5907,79.5907,79.5907
2018-10-11,7.5643,7.5643,7.5643,7.5643
2018-10-12,-49.6157,-49.6157,-49.6157,-49.6157
2018-10-15,-67.6256,-67.6256,-67.6256,-67.6256
2018-10-16,-65.3792,-65.3792,-65.3792,-65.3792
2018-10-17,1.7386,1.7386,1.7386,1.7386
2018-10-18,18.7415,18.7415,18.7415,18.7415
2018-10-19,10.1797,10.1797,10.1797,10.1797
2018-10-22,-18.1028,-18.1028,-18.1028,-18.1028
2018-10-23,-45.8857,-45.8857,-45.8857,-45.8857
2018-10-24,-79.0792,-79.0792,-79.0792,-79.0792
2018-10-25,-49.9028,-49.9028,-49.9028,-49.9028
2018-10-26,-69.5125,-69.5125,-69.5125,-69.5125
2018-10-29,-23.6855,-23.6855,-23.6855,-23.6855
2018-10-30,-6.1405,-6.1405,-6.1405,-6.1405
2018-10-31,11.8662,11.8662,11.8662,11.8662
