date,open,low,high,close
2018-01-02,53.2256,53.2256,53.2256,53.2256
2018-01-03,53.2475,53.2475,53.2475,53.2475
2018-01-04,53.2759,53.2759,53.2759,53.2759
2018-01-05,53.3094,53.3094,53.3094,53.3094
2018-01-08,53.3437,53.3437,53.3437,53.3437
2018-01-09,53.3836,53.3836,53.3836,53.3836
2018-01-10,53.4298,53.4298,53.4298,53.4298
2018-01-11,53.483,53.483,53.483,53.483
2018-01-12,53.5404,53.5404,53.5404,53.5404
2018-01-16,53.5999,53.5999,53.5999,53.5999
2018-01-17,53.6448,53.6448,53.6448,53.6448
2018-01-18,53.6859,53.6859,53.6859,53.6859
2018-01-19,53.7313,53.7313,53.7313,53.7313
2018-01-22,53.7892,53.7892,53.7892,53.7892
2018-01-23,53.8448,53.8448,53.8448,53.8448
2018-01-24,53.9088,53.9088,53.9088,53.9088
2018-01-25,53.9755,53.9755,53.9755,53.9755
2018-01-26,54.0433,54.0433,54.0433,54.0433
2018-01-29,54.108,54.108,54.108,54.108
2018-01-30,54.162,54.162,54.162,54.162
2018-01-31,54.2108,54.2108,54.2108,54.2108
2018-02-01,54.2641,54.2641,54.2641,54.2641
2018-02-02,54.3073,54.3073,54.3073,54.3073
2018-02-05,54.3124,54.3124,54.3124,54.3124
2018-02-06,54.3174,54.3174,54.3174,54.3174
2018-02-07,54.3254,54.3254,54.3254,54.3254
2018-02-08,54.2979,54.2979,54.2979,54.2979
2018-02-09,54.2889,54.2889,54.2889,54.2889
2018-02-12,54.2837,54.2837,54.2837,54.2837
2018-02-13,54.2813,54.2813,54.2813,54.2813
2018-02-14,54.2982,54.2982,54.2982,54.2982
2018-02-15,54.3113,54.3113,54.3113,54.3113
2018-02-16,54.3326,54.3326,54.3326,54.3326
2018-02-20,54.3421,54.3421,54.3421,54.3421
2018-02-21,54.3545,54.3545,54.3545,54.3545
2018-02-22,54.3531,54.3531,54.3531,54.3531
2018-02-23,54.3718,54.3718,54.3718,54.3718
2018-02-26,54.3958,54.3958,54.3958,54.3958
2018-02-27,54.4059,54.4059,54.4059,54.4059
2018-02-28,54.4052,54.4052,54.4052,54.4052
2018-03-01,54.3849,54.3849,54.3849,54.3849
2018-03-02,54.3689,54.3689,54.3689,54.3689
2018-03-05,54.3624,54.3624,54.3624,54.3624
2018-03-06,54.3592,54.3592,54.3592,54.3592
2018-03-07,54.3478,54.3478,54.3478,54.3478
2018-03-08,54.3411,54.3411,54.3411,54.3411
2018-03-09,54.3565,54.3565,54.3565,54.3565
2018-03-12,54.3672,54.3672,54.3672,54.3672
2018-03-13,54.3636,54.3636,54.3636,54.3636
2018-03-14,54.3457,54.3457,54.3457,54.3457
2018-03-15,54.3295,54.3295,54.3295,54.3295
2018-03-16,54.312,54.312,54.312,54.312
2018-03-19,54.2872,54.2872,54.2872,54.2872
2018-03-20,54.2596,54.2596,54.2596,54.2596
2018-03-21,54.2315,54.2315,54.2315,54.2315
2018-03-22,54.1728,54.1728,54.1728,54.1728
2018-03-23,54.0921,54.0921,54.0921,54.0921
2018-03-26,54.0462,54.0462,54.0462,54.0462
2018-03-27,53.9776,53.9776,53.9776,53.9776
2018-03-28,53.9135,53.9135,53.9135,53.9135
2018-03-29,53.8575,53.8575,53.8575,53.8575
2018-04-02,53.7891,53.7891,53.7891,53.7891
2018-04-03,53.7314,53.7314,53.7314,53.7314
2018-04-04,53.6813,53.6813,53.6813,53.6813
2018-04-05,53.6387,53.6387,53.6387,53.6387
2018-04-06,53.5836,53.5836,53.5836,53.5836
2018-04-09,53.5346,53.5346,53.5346,53.5346
2018-04-10,53.4943,53.4943,53.4943,53.4943
2018-04-11,53.4461,53.4461,53.4461,53.4461
2018-04-12,53.4099,53.4099,53.4099,53.4099
2018-04-13,53.3696,53.3696,53.3696,53.3696
2018-04-16,53.3374,53.3374,53.3374,53.3374
2018-04-17,53.2994,53.2994,53.2994,53.2994
2018-04-18,53.2454,53.2454,53.2454,53.2454
2018-04-19,53.2036,53.2036,53.2036,53.2036
2018-04-20,53.1582,53.1582,53.1582,53.1582
2018-04-23,53.1152,53.1152,53.1152,53.1152
2018-04-24,53.0711,53.0711,53.0711,53.0711
2018-04-25,53.0337,53.0337,53.0337,53.0337
2018-04-26,52.9967,52.9967,52.9967,52.9967
2018-04-27,52.9681,52.9681,52.9681,52.9681
2018-04-30,52.9268,52.9268,52.9268,52.9268
2018-05-01,52.8906,52.8906,52.8906,52.8906
2018-05-02,52.8409,52.8409,52.8409,52.8409
2018-05-03,52.794,52.794,52.794,52.794
2018-05-04,52.7538,52.7538,52.7538,52.7538
2018-05-07,52.7146,52.7146,52.7146,52.7146
2018-05-08,52.6755,52.6755,52.6755,52.6755
2018-05-09,52.6452,52.6452,52.6452,52.6452
2018-05-10,52.621,52.621,52.621,52.621
2018-05-11,52.6027,52.6027,52.6027,52.6027
2018-05-14,52.5793,52.5793,52.5793,52.5793
2018-05-15,52.5554,52.5554,52.5554,52.5554
2018-05-16,52.5298,52.5298,52.5298,52.5298
2018-05-17,52.5071,52.5071,52.5071,52.5071
2018-05-18,52.4751,52.4751,52.4751,52.4751
2018-05-21,52.446,52.446,52.446,52.446
2018-05-22,52.4232,52.4232,52.4232,52.4232
2018-05-23,52.3989,52.3989,52.3989,52.3989
2018-05-24,52.3706,52.3706,52.3706,52.3706
2018-05-25,52.3406,52.3406,52.3406,52.3406
2018-05-29,52.2835,52.2835,52.2835,52.2835
2018-05-30,52.2434,52.2434,52.2434,52.2434
2018-05-31,52.2065,52.2065,52.2065,52.2065
2018-06-01,52.1828,52.1828,52.1828,52.1828
2018-06-04,52.1619,52.1619,52.1619,52.1619
2018-06-05,52.1465,52.1465,52.1465,52.1465
2018-06-06,52.1403,52.1403,52.1403,52.1403
2018-06-07,52.1352,52.1352,52.1352,52.1352
2018-06-08,52.1338,52.1338,52.1338,52.1338
2018-06-11,52.1226,52.1226,52.1226,52.1226
2018-06-12,52.108,52.108,52.108,52.108
2018-06-13,52.0911,52.0911,52.0911,52.0911
2018-06-14,52.0721,52.0721,52.0721,52.0721
2018-06-15,52.0608,52.0608,52.0608,52.0608
2018-06-18,52.048,52.048,52.048,52.048
2018-06-19,52.0414,52.0414,52.0414,52.0414
2018-06-20,52.0288,52.0288,52.0288,52.0288
2018-06-21,52.0118,52.0118,52.0118,52.0118
2018-06-22,51.9912,51.9912,51.9912,51.9912
2018-06-25,51.9681,51.9681,51.9681,51.9681
2018-06-26,51.9391,51.9391,51.9391,51.9391
2018-06-27,51.9045,51.9045,51.9045,51.9045
2018-06-28,51.8671,51.8671,51.8671,51.8671
2018-06-29,51.8368,51.8368,51.8368,51.8368
2018-07-02,51.8134,51.8134,51.8134,51.8134
2018-07-03,51.7832,51.7832,51.7832,51.7832
2018-07-05,51.7528,51.7528,51.7528,51.7528
2018-07-06,51.7275,51.7275,51.7275,51.7275
2018-07-09,51.7217,51.7217,51.7217,51.7217
2018-07-10,51.7156,51.7156,51.7156,51.7156
2018-07-11,51.7081,51.7081,51.7081,51.7081
2018-07-12,51.7024,51.7024,51.7024,51.7024
2018-07-13,51.6894,51.6894,51.6894,51.6894
2018-07-16,51.683,51.683,51.683,51.683
2018-07-17,51.6767,51.6767,51.6767,51.6767
2018-07-18,51.6611,51.6611,51.6611,51.6611
2018-07-19,51.6561,51.6561,51.6561,51.6561
2018-07-20,51.6464,51.6464,51.6464,51.6464
2018-07-23,51.65,51.65,51.65,51.65
2018-07-24,51.65,51.65,51.65,51.65
2018-07-25,51.6495,51.6495,51.6495,51.6495
2018-07-26,51.6612,51.6612,51.6612,51.6612
2018-07-27,51.6766,51.6766,51.6766,51.6766
2018-07-30,51.6979,51.6979,51.6979,51.6979
2018-07-31,51.7194,51.7194,51.7194,51.7194
2018-08-01,51.734,51.734,51.734,51.734
2018-08-02,51.7474,51.7474,51.7474,51.7474
2018-08-03,51.7665,51.7665,51.7665,51.7665
2018-08-06,51.7855,51.7855,51.7855,51.7855
2018-08-07,51.8104,51.8104,51.8104,51.8104
2018-08-08,51.8384,51.8384,51.8384,51.8384
2018-08-09,51.8653,51.8653,51.8653,51.8653
2018-08-10,51.8856,51.8856,51.8856,51.8856
2018-08-13,51.8935,51.8935,51.8935,51.8935
2018-08-14,51.9144,51.9144,51.9144,51.9144
2018-08-15,51.9255,51.9255,51.9255,51.9255
2018-08-16,51.9457,51.9457,51.9457,51.9457
2018-08-17,51.9678,51.9678,51.9678,51.9678
2018-08-20,51.9981,51.9981,51.9981,51.9981
2018-08-21,52.0341,52.0341,52.0341,52.0341
2018-08-22,52.0653,52.0653,52.0653,52.0653
2018-08-23,52.0938,52.0938,52.0938,52.0938
2018-08-24,52.1252,52.1252,52.1252,52.1252
2018-08-27,52.1634,52.1634,52.1634,52.1634
2018-08-28,52.1968,52.1968,52.1968,52.1968
2018-08-29,52.2318,52.2318,52.2318,52.2318
2018-08-30,52.2614,52.2614,52.2614,52.2614
2018-08-31,52.2917,52.2917,52.2917,52.2917
2018-09-04,52.3237,52.3237,52.3237,52.3237
2018-09-05,52.3566,52.3566,52.3566,52.3566
2018-09-06,52.3889,52.3889,52.3889,52.3889
2018-09-07,52.4185,52.4185,52.4185,52.4185
2018-09-10,52.4465,52.4465,52.4465,52.4465
2018-09-11,52.4753,52.4753,52.4753,52.4753
2018-09-12,52.4929,52.4929,52.4929,52.4929
2018-09-13,52.5179,52.5179,52.5179,52.5179
2018-09-14,52.5445,52.5445,52.5445,52.5445
2018-09-17,52.5705,52.5705,52.5705,52.5705
2018-09-18,52.5964,52.5964,52.5964,52.5964
2018-09-19,52.6345,52.6345,52.6345,52.6345
2018-09-20,52.679,52.679,52.679,52.679
2018-09-21,52.7193,52.7193,52.7193,52.7193
2018-09-24,52.7472,52.7472,52.7472,52.7472
2018-09-25,52.772,52.772,52.772,52.772
2018-09-26,52.7858,52.7858,52.7858,52.7858
2018-09-27,52.7881,52.7881,52.7881,52.7881
2018-09-28,52.7885,52.7885,52.7885,52.7885
2018-10-01,52.7892,52.7892,52.7892,52.7892
2018-10-02,52.7884,52.7884,52.7884,52.7884
2018-10-03,52.7989,52.7989,52.7989,52.7989
2018-10-04,52.8133,52.8133,52.8133,52.8133
2018-10-05,52.8242,52.8242,52.8242,52.8242
2018-10-08,52.8424,52.8424,52.8424,52.8424
2018-10-09,52.8605,52.8605,52.8605,52.8605
2018-10-10,52.8682,52.8682,52.8682,52.8682
2018-10-11,52.851,52.851,52.851,52.851
2018-10-12,52.8173,52.8173,52.8173,52.8173
2018-10-15,52.7794,52.7794,52.7794,52.7794
2018-10-16,52.7498,52.7498,52.7498,52.7498
2018-10-17,52.7522,52.7522,52.7522,52.7522
2018-10-18,52.742,52.742,52.742,52.742
2018-10-19,52.7381,52.7381,52.7381,52.7381
2018-10-22,52.7166,52.7166,52.7166,52.7166
2018-10-23,52.6945,52.6945,52.6945,52.6945
2018-10-24,52.655,52.655,52.655,52.655
2018-10-25,52.6323,52.6323,52.6323,52.6323
2018-10-26,52.604,52.604,52.604,52.604
2018-10-29,52.5869,52.5869,52.5869,52.5869
2018-10-30,52.5825,52.5825,52.5825,52.5825
2018-10-31,52.5774,52.5774,52.5774,52.5774
2018-11-01,52.5701,52.5701,52.5701,52.5701
2018-11-02,52.5619,52.5619,52.5619,52.5619
2018-11-05,52.5582,52.5582,52.5582,52.5582
2018-11-06,52.5596,52.5596,52.5596,52.5596
2018-11-07,52.5599,52.5599,52.5599,52.5599
2018-11-08,52.566,52.566,52.566,52.566
2018-11-09,52.5756,52.5756,52.5756,52.5756
2018-11-12,52.5812,52.5812,52.5812,52.5812
2018-11-13,52.5994,52.5994,52.5994,52.5994
2018-11-14,52.6223,52.6223,52.6223,52.6223
