date,open,low,high,close
2018-01-02,53.0944,53.0944,53.0944,53.0944
2018-01-03,53.1101,53.1101,53.1101,53.1101
2018-01-04,53.1307,53.1307,53.1307,53.1307
2018-01-05,53.1581,53.1581,53.1581,53.1581
2018-01-08,53.187,53.187,53.187,53.187
2018-01-09,53.2275,53.2275,53.2275,53.2275
2018-01-10,53.2736,53.2736,53.2736,53.2736
2018-01-11,53.3273,53.3273,53.3273,53.3273
2018-01-12,53.3942,53.3942,53.3942,53.3942
2018-01-16,53.4571,53.4571,53.4571,53.4571
2018-01-17,53.4925,53.4925,53.4925,53.4925
2018-01-18,53.5304,53.5304,53.5304,53.5304
2018-01-19,53.5752,53.5752,53.5752,53.5752
2018-01-22,53.6396,53.6396,53.6396,53.6396
2018-01-23,53.6978,53.6978,53.6978,53.6978
2018-01-24,53.7675,53.7675,53.7675,53.7675
2018-01-25,53.8457,53.8457,53.8457,53.8457
2018-01-26,53.9327,53.9327,53.9327,53.9327
2018-01-29,54.007,54.007,54.007,54.007
2018-01-30,54.0607,54.0607,54.0607,54.0607
2018-01-31,54.1057,54.1057,54.1057,54.1057
2018-02-01,54.1577,54.1577,54.1577,54.1577
2018-02-02,54.2034,54.2034,54.2034,54.2034
2018-02-05,54.2075,54.2075,54.2075,54.2075
2018-02-06,54.2108,54.2108,54.2108,54.2108
2018-02-07,54.2156,54.2156,54.2156,54.2156
2018-02-08,54.2085,54.2085,54.2085,54.2085
2018-02-09,54.2047,54.2047,54.2047,54.2047
2018-02-12,54.2026,54.2026,54.2026,54.2026
2018-02-13,54.202,54.202,54.202,54.202
2018-02-14,54.2149,54.2149,54.2149,54.2149
2018-02-15,54.225,54.225,54.225,54.225
2018-02-16,54.2426,54.2426,54.2426,54.2426
2018-02-20,54.2493,54.2493,54.2493,54.2493
2018-02-21,54.2585,54.2585,54.2585,54.2585
2018-02-22,54.2586,54.2586,54.2586,54.2586
2018-02-23,54.2741,54.2741,54.2741,54.2741
2018-02-26,54.2969,54.2969,54.2969,54.2969
2018-02-27,54.3048,54.3048,54.3048,54.3048
2018-02-28,54.3054,54.3054,54.3054,54.3054
2018-03-01,54.2959,54.2959,54.2959,54.2959
2018-03-02,54.2857,54.2857,54.2857,54.2857
2018-03-05,54.2817,54.2817,54.2817,54.2817
2018-03-06,54.2805,54.2805,54.2805,54.2805
2018-03-07,54.2755,54.2755,54.2755,54.2755
2018-03-08,54.2729,54.2729,54.2729,54.2729
2018-03-09,54.2847,54.2847,54.2847,54.2847
2018-03-12,54.2924,54.2924,54.2924,54.2924
2018-03-13,54.2913,54.2913,54.2913,54.2913
2018-03-14,54.2869,54.2869,54.2869,54.2869
2018-03-15,54.2828,54.2828,54.2828,54.2828
2018-03-16,54.2778,54.2778,54.2778,54.2778
2018-03-19,54.2695,54.2695,54.2695,54.2695
2018-03-20,54.2597,54.2597,54.2597,54.2597
2018-03-21,54.2496,54.2496,54.2496,54.2496
2018-03-22,54.2099,54.2099,54.2099,54.2099
2018-03-23,54.147,54.147,54.147,54.147
2018-03-26,54.1239,54.1239,54.1239,54.1239
2018-03-27,54.0787,54.0787,54.0787,54.0787
2018-03-28,54.0379,54.0379,54.0379,54.0379
2018-03-29,54.0075,54.0075,54.0075,54.0075
2018-04-02,53.957,53.957,53.957,53.957
2018-04-03,53.9156,53.9156,53.9156,53.9156
2018-04-04,53.8845,53.8845,53.8845,53.8845
2018-04-05,53.8576,53.8576,53.8576,53.8576
2018-04-06,53.8173,53.8173,53.8173,53.8173
2018-04-09,53.7851,53.7851,53.7851,53.7851
2018-04-10,53.76,53.76,53.76,53.76
2018-04-11,53.7261,53.7261,53.7261,53.7261
2018-04-12,53.7053,53.7053,53.7053,53.7053
2018-04-13,53.6837,53.6837,53.6837,53.6837
2018-04-16,53.6666,53.6666,53.6666,53.6666
2018-04-17,53.6421,53.6421,53.6421,53.6421
2018-04-18,53.6009,53.6009,53.6009,53.6009
2018-04-19,53.572,53.572,53.572,53.572
