date,open,low,high,close
2018-01-02,-0.47,-0.47,-0.47,-0.47
2018-01-03,-0.22,-0.22,-0.22,-0.22
2018-01-04,0.42,0.42,0.42,0.42
2018-01-05,1.06,1.06,1.06,1.06
2018-01-08,0.87,0.87,0.87,0.87
2018-01-09,1.32,1.32,1.32,1.32
2018-01-10,2.19,2.19,2.19,2.19
2018-01-11,2.61,2.61,2.61,2.61
2018-01-12,3.03,3.03,3.03,3.03
2018-01-16,3.59,3.59,3.59,3.59
2018-01-17,2.31,2.31,2.31,2.31
2018-01-18,1.59,1.59,1.59,1.59
2018-01-19,1.48,1.48,1.48,1.48
2018-01-22,1.94,1.94,1.94,1.94
2018-01-23,1.78,1.78,1.78,1.78
2018-01-24,1.97,1.97,1.97,1.97
2018-01-25,1.78,1.78,1.78,1.78
2018-01-26,1.43,1.43,1.43,1.43
2018-01-29,1.01,1.01,1.01,1.01
2018-01-30,0.23,0.23,0.23,0.23
2018-01-31,0.8,0.8,0.8,0.8
2018-02-01,1.31,1.31,1.31,1.31
2018-02-02,0.44,0.44,0.44,0.44
2018-02-05,-2.64,-2.64,-2.64,-2.64
2018-02-06,-2.56,-2.56,-2.56,-2.56
2018-02-07,-2.95,-2.95,-2.95,-2.95
2018-02-08,-5.33,-5.33,-5.33,-5.33
2018-02-09,-4.36,-4.36,-4.36,-4.36
2018-02-12,-4.02,-4.02,-4.02,-4.02
2018-02-13,-3.26,-3.26,-3.26,-3.26
2018-02-14,-1.83,-1.83,-1.83,-1.83
2018-02-15,-2.36,-2.36,-2.36,-2.36
2018-02-16,-1.29,-1.29,-1.29,-1.29
2018-02-20,0.29,0.29,0.29,0.29
2018-02-21,0.48,0.48,0.48,0.48
2018-02-22,-0.53,-0.53,-0.53,-0.53
2018-02-23,2.84,2.84,2.84,2.84
2018-02-26,2.09,2.09,2.09,2.09
2018-02-27,1.04,1.04,1.04,1.04
2018-02-28,0.22,0.22,0.22,0.22
2018-03-01,-2.14,-2.14,-2.14,-2.14
2018-03-02,-1.69,-1.69,-1.69,-1.69
2018-03-05,-1.64,-1.64,-1.64,-1.64
2018-03-06,-0.74,-0.74,-0.74,-0.74
2018-03-07,-1.44,-1.44,-1.44,-1.44
2018-03-08,-0.33,-0.33,-0.33,-0.33
2018-03-09,-0.21,-0.21,-0.21,-0.21
2018-03-12,-0.83,-0.83,-0.83,-0.83
2018-03-13,-0.86,-0.86,-0.86,-0.86
2018-03-14,-1.09,-1.09,-1.09,-1.09
2018-03-15,0.19,0.19,0.19,0.19
2018-03-16,-0.15,-0.15,-0.15,-0.15
2018-03-19,-1.17,-1.17,-1.17,-1.17
2018-03-20,-1.57,-1.57,-1.57,-1.57
2018-03-21,-1.11,-1.11,-1.11,-1.11
2018-03-22,-3.29,-3.29,-3.29,-3.29
2018-03-23,-6.03,-6.03,-6.03,-6.03
2018-03-26,-3.72,-3.72,-3.72,-3.72
2018-03-27,-4.29,-4.29,-4.29,-4.29
2018-03-28,-3.2,-3.2,-3.2,-3.2
2018-03-29,-2.86,-2.86,-2.86,-2.86
2018-04-02,-3.58,-3.58,-3.58,-3.58
2018-04-03,-2.53,-2.53,-2.53,-2.53
2018-04-04,-1.92,-1.92,-1.92,-1.92
2018-04-05,-1.47,-1.47,-1.47,-1.47
2018-04-06,-0.37,-0.37,-0.37,-0.37
2018-04-09,1.34,1.34,1.34,1.34
2018-04-10,-0.21,-0.21,-0.21,-0.21
2018-04-11,0.69,0.69,0.69,0.69
2018-04-12,1.17,1.17,1.17,1.17
2018-04-13,0.45,0.45,0.45,0.45
2018-04-16,1.73,1.73,1.73,1.73
2018-04-17,0.75,0.75,0.75,0.75
2018-04-18,-0.68,-0.68,-0.68,-0.68
2018-04-19,-0.38,-0.38,-0.38,-0.38
2018-04-20,0.15,0.15,0.15,0.15
2018-04-23,-0.05,-0.05,-0.05,-0.05
2018-04-24,-0.66,-0.66,-0.66,-0.66
2018-04-25,0.24,0.24,0.24,0.24
2018-04-26,-0.46,-0.46,-0.46,-0.46
2018-04-27,0.3,0.3,0.3,0.3
2018-04-30,-0.96,-0.96,-0.96,-0.96
2018-05-01,-0.3,-0.3,-0.3,-0.3
2018-05-02,-0.14,-0.14,-0.14,-0.14
2018-05-03,-0.72,-0.72,-0.72,-0.72
2018-05-04,-0.09,-0.09,-0.09,-0.09
2018-05-07,-0.18,-0.18,-0.18,-0.18
2018-05-08,-0.09,-0.09,-0.09,-0.09
2018-05-09,0.04,0.04,0.04,0.04
2018-05-10,0.39,0.39,0.39,0.39
2018-05-11,0.25,0.25,0.25,0.25
2018-05-14,0.73,0.73,0.73,0.73
2018-05-15,0.4,0.4,0.4,0.4
2018-05-16,1.13,1.13,1.13,1.13
2018-05-17,1.17,1.17,1.17,1.17
2018-05-18,0.21,0.21,0.21,0.21
2018-05-21,0.34,0.34,0.34,0.34
2018-05-22,0.73,0.73,0.73,0.73
2018-05-23,0.11,0.11,0.11,0.11
2018-05-24,-0.5,-0.5,-0.5,-0.5
2018-05-25,-0.96,-0.96,-0.96,-0.96
2018-05-29,-2.32,-2.32,-2.32,-2.32
2018-05-30,-1.28,-1.28,-1.28,-1.28
2018-05-31,-1.0,-1.0,-1.0,-1.0
2018-06-01,-0.39,-0.39,-0.39,-0.39
2018-06-04,0.36,0.36,0.36,0.36
2018-06-05,0.52,0.52,0.52,0.52
2018-06-06,0.71,0.71,0.71,0.71
2018-06-07,0.89,0.89,0.89,0.89
2018-06-08,1.38,1.38,1.38,1.38
2018-06-11,0.91,0.91,0.91,0.91
2018-06-12,2.37,2.37,2.37,2.37
2018-06-13,1.24,1.24,1.24,1.24
2018-06-14,0.94,0.94,0.94,0.94
