date,open,low,high,close
2018-01-02,53.8404,53.8404,53.8404,53.8404
2018-01-03,53.9233,53.9233,53.9233,53.9233
2018-01-04,54.0042,54.0042,54.0042,54.0042
2018-01-05,54.087,54.087,54.087,54.087
2018-01-08,54.1682,54.1682,54.1682,54.1682
2018-01-09,54.2451,54.2451,54.2451,54.2451
2018-01-10,54.3165,54.3165,54.3165,54.3165
2018-01-11,54.382,54.382,54.382,54.382
2018-01-12,54.4441,54.4441,54.4441,54.4441
2018-01-16,54.5068,54.5068,54.5068,54.5068
2018-01-17,54.5687,54.5687,54.5687,54.5687
2018-01-18,54.6275,54.6275,54.6275,54.6275
2018-01-19,54.684,54.684,54.684,54.684
2018-01-22,54.7413,54.7413,54.7413,54.7413
2018-01-23,54.7992,54.7992,54.7992,54.7992
2018-01-24,54.8588,54.8588,54.8588,54.8588
2018-01-25,54.9216,54.9216,54.9216,54.9216
2018-01-26,54.9885,54.9885,54.9885,54.9885
2018-01-29,55.0625,55.0625,55.0625,55.0625
2018-01-30,55.1476,55.1476,55.1476,55.1476
2018-01-31,55.2438,55.2438,55.2438,55.2438
2018-02-01,55.349,55.349,55.349,55.349
2018-02-02,55.4613,55.4613,55.4613,55.4613
2018-02-05,55.5716,55.5716,55.5716,55.5716
2018-02-06,55.6783,55.6783,55.6783,55.6783
2018-02-07,55.7814,55.7814,55.7814,55.7814
2018-02-08,55.8751,55.8751,55.8751,55.8751
2018-02-09,55.9596,55.9596,55.9596,55.9596
2018-02-12,56.0341,56.0341,56.0341,56.0341
2018-02-13,56.0958,56.0958,56.0958,56.0958
2018-02-14,56.1478,56.1478,56.1478,56.1478
2018-02-15,56.1929,56.1929,56.1929,56.1929
2018-02-16,56.2327,56.2327,56.2327,56.2327
2018-02-20,56.2624,56.2624,56.2624,56.2624
2018-02-21,56.28,56.28,56.28,56.28
2018-02-22,56.2831,56.2831,56.2831,56.2831
2018-02-23,56.2723,56.2723,56.2723,56.2723
2018-02-26,56.2467,56.2467,56.2467,56.2467
2018-02-27,56.2044,56.2044,56.2044,56.2044
2018-02-28,56.1453,56.1453,56.1453,56.1453
2018-03-01,56.0675,56.0675,56.0675,56.0675
2018-03-02,55.9728,55.9728,55.9728,55.9728
2018-03-05,55.8641,55.8641,55.8641,55.8641
2018-03-06,55.7499,55.7499,55.7499,55.7499
2018-03-07,55.635,55.635,55.635,55.635
2018-03-08,55.5199,55.5199,55.5199,55.5199
2018-03-09,55.4134,55.4134,55.4134,55.4134
2018-03-12,55.3183,55.3183,55.3183,55.3183
2018-03-13,55.2307,55.2307,55.2307,55.2307
2018-03-14,55.1481,55.1481,55.1481,55.1481
2018-03-15,55.0681,55.0681,55.0681,55.0681
2018-03-16,54.9862,54.9862,54.9862,54.9862
2018-03-19,54.9001,54.9001,54.9001,54.9001
2018-03-20,54.8106,54.8106,54.8106,54.8106
2018-03-21,54.7205,54.7205,54.7205,54.7205
2018-03-22,54.6268,54.6268,54.6268,54.6268
2018-03-23,54.5265,54.5265,54.5265,54.5265
2018-03-26,54.4213,54.4213,54.4213,54.4213
2018-03-27,54.3093,54.3093,54.3093,54.3093
2018-03-28,54.1941,54.1941,54.1941,54.1941
2018-03-29,54.0798,54.0798,54.0798,54.0798
2018-04-02,53.9661,53.9661,53.9661,53.9661
2018-04-03,53.8532,53.8532,53.8532,53.8532
2018-04-04,53.739,53.739,53.739,53.739
2018-04-05,53.6197,53.6197,53.6197,53.6197
2018-04-06,53.494,53.494,53.494,53.494
2018-04-09,53.3592,53.3592,53.3592,53.3592
2018-04-10,53.2087,53.2087,53.2087,53.2087
2018-04-11,53.0467,53.0467,53.0467,53.0467
2018-04-12,52.8794,52.8794,52.8794,52.8794
2018-04-13,52.7085,52.7085,52.7085,52.7085
2018-04-16,52.5378,52.5378,52.5378,52.5378
2018-04-17,52.3672,52.3672,52.3672,52.3672
2018-04-18,52.1971,52.1971,52.1971,52.1971
2018-04-19,52.0281,52.0281,52.0281,52.0281
2018-04-20,51.8647,51.8647,51.8647,51.8647
2018-04-23,51.713,51.713,51.713,51.713
2018-04-24,51.574,51.574,51.574,51.574
2018-04-25,51.4481,51.4481,51.4481,51.4481
2018-04-26,51.3362,51.3362,51.3362,51.3362
2018-04-27,51.2362,51.2362,51.2362,51.2362
2018-04-30,51.1445,51.1445,51.1445,51.1445
2018-05-01,51.0626,51.0626,51.0626,51.0626
2018-05-02,50.9877,50.9877,50.9877,50.9877
2018-05-03,50.9184,50.9184,50.9184,50.9184
2018-05-04,50.8555,50.8555,50.8555,50.8555
2018-05-07,50.8006,50.8006,50.8006,50.8006
2018-05-08,50.7552,50.7552,50.7552,50.7552
2018-05-09,50.7198,50.7198,50.7198,50.7198
2018-05-10,50.6928,50.6928,50.6928,50.6928
2018-05-11,50.672,50.672,50.672,50.672
2018-05-14,50.6563,50.6563,50.6563,50.6563
2018-05-15,50.6453,50.6453,50.6453,50.6453
2018-05-16,50.6408,50.6408,50.6408,50.6408
2018-05-17,50.6437,50.6437,50.6437,50.6437
2018-05-18,50.6512,50.6512,50.6512,50.6512
2018-05-21,50.6596,50.6596,50.6596,50.6596
2018-05-22,50.6665,50.6665,50.6665,50.6665
2018-05-23,50.6758,50.6758,50.6758,50.6758
2018-05-24,50.6826,50.6826,50.6826,50.6826
2018-05-25,50.6861,50.6861,50.6861,50.6861
2018-05-29,50.684,50.684,50.684,50.684
2018-05-30,50.6779,50.6779,50.6779,50.6779
2018-05-31,50.6711,50.6711,50.6711,50.6711
2018-06-01,50.6681,50.6681,50.6681,50.6681
2018-06-04,50.6691,50.6691,50.6691,50.6691
2018-06-05,50.672,50.672,50.672,50.672
2018-06-06,50.6788,50.6788,50.6788,50.6788
2018-06-07,50.6899,50.6899,50.6899,50.6899
2018-06-08,50.7023,50.7023,50.7023,50.7023
2018-06-11,50.7148,50.7148,50.7148,50.7148
2018-06-12,50.7261,50.7261,50.7261,50.7261
2018-06-13,50.7379,50.7379,50.7379,50.7379
2018-06-14,50.7493,50.7493,50.7493,50.7493
2018-06-15,50.7588,50.7588,50.7588,50.7588
2018-06-18,50.7691,50.7691,50.7691,50.7691
2018-06-19,50.7813,50.7813,50.7813,50.7813
2018-06-20,50.7936,50.7936,50.7936,50.7936
2018-06-21,50.8045,50.8045,50.8045,50.8045
2018-06-22,50.8153,50.8153,50.8153,50.8153
2018-06-25,50.8265,50.8265,50.8265,50.8265
2018-06-26,50.8425,50.8425,50.8425,50.8425
2018-06-27,50.8623,50.8623,50.8623,50.8623
2018-06-28,50.8833,50.8833,50.8833,50.8833
2018-06-29,50.9022,50.9022,50.9022,50.9022
2018-07-02,50.9181,50.9181,50.9181,50.9181
2018-07-03,50.9296,50.9296,50.9296,50.9296
2018-07-05,50.9348,50.9348,50.9348,50.9348
2018-07-06,50.9326,50.9326,50.9326,50.9326
2018-07-09,50.9264,50.9264,50.9264,50.9264
2018-07-10,50.9179,50.9179,50.9179,50.9179
2018-07-11,50.9096,50.9096,50.9096,50.9096
2018-07-12,50.9019,50.9019,50.9019,50.9019
2018-07-13,50.8941,50.8941,50.8941,50.8941
2018-07-16,50.8864,50.8864,50.8864,50.8864
2018-07-17,50.8781,50.8781,50.8781,50.8781
2018-07-18,50.8659,50.8659,50.8659,50.8659
2018-07-19,50.8516,50.8516,50.8516,50.8516
2018-07-20,50.837,50.837,50.837,50.837
