date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-71.875,-71.875,-71.875,-71.875
2018-01-03,-38.75,-38.75,-38.75,-38.75
2018-01-04,-27.6486,-27.6486,-27.6486,-27.6486
2018-01-05,-10.0775,-10.0775,-10.0775,-10.0775
2018-01-08,-6.6667,-6.6667,-6.6667,-6.6667
2018-01-09,-18.2156,-18.2156,-18.2156,-18.2156
2018-01-10,-16.0256,-16.0256,-16.0256,-16.0256
2018-01-11,-1.8987,-1.8987,-1.8987,-1.8987
2018-01-12,-3.9548,-3.9548,-3.9548,-3.9548
2018-01-16,-13.345,-13.345,-13.345,-13.345
2018-01-17,-36.0963,-36.0963,-36.0963,-36.0963
2018-01-18,-49.8382,-49.8382,-49.8382,-49.8382
2018-01-19,-44.8905,-44.8905,-44.8905,-44.8905
2018-01-22,-16.8627,-16.8627,-16.8627,-16.8627
2018-01-23,-21.9828,-21.9828,-21.9828,-21.9828
2018-01-24,-7.393,-7.393,-7.393,-7.393
2018-01-25,-6.4516,-6.4516,-6.4516,-6.4516
2018-01-26,-1.7921,-1.7921,-1.7921,-1.7921
2018-01-29,-16.2939,-16.2939,-16.2939,-16.2939
2018-01-30,-35.1438,-35.1438,-35.1438,-35.1438
2018-01-31,-54.4,-54.4,-54.4,-54.4
2018-02-01,-41.6,-41.6,-41.6,-41.6
2018-02-02,-81.6327,-81.6327,-81.6327,-81.6327
2018-02-05,-96.5174,-96.5174,-96.5174,-96.5174
2018-02-06,-70.8029,-70.8029,-70.8029,-70.8029
2018-02-07,-67.5182,-67.5182,-67.5182,-67.5182
2018-02-08,-99.3209,-99.3209,-99.3209,-99.3209
2018-02-09,-71.6613,-71.6613,-71.6613,-71.6613
2018-02-12,-66.255,-66.255,-66.255,-66.255
2018-02-13,-61.7367,-61.7367,-61.7367,-61.7367
2018-02-14,-42.0012,-42.0012,-42.0012,-42.0012
2018-02-15,-45.5435,-45.5435,-45.5435,-45.5435
2018-02-16,-25.9488,-25.9488,-25.9488,-25.9488
2018-02-20,-27.4828,-27.4828,-27.4828,-27.4828
2018-02-21,-22.948,-22.948,-22.948,-22.948
2018-02-22,-42.7576,-42.7576,-42.7576,-42.7576
2018-02-23,-13.6399,-13.6399,-13.6399,-13.6399
2018-02-26,-8.7153,-8.7153,-8.7153,-8.7153
2018-02-27,-43.254,-43.254,-43.254,-43.254
2018-02-28,-78.6441,-78.6441,-78.6441,-78.6441
2018-03-01,-93.3121,-93.3121,-93.3121,-93.3121
2018-03-02,-70.7895,-70.7895,-70.7895,-70.7895
2018-03-05,-56.0526,-56.0526,-56.0526,-56.0526
2018-03-06,-50.7895,-50.7895,-50.7895,-50.7895
2018-03-07,-64.2105,-64.2105,-64.2105,-64.2105
2018-03-08,-56.8421,-56.8421,-56.8421,-56.8421
2018-03-09,-21.5789,-21.5789,-21.5789,-21.5789
2018-03-12,-28.6842,-28.6842,-28.6842,-28.6842
2018-03-13,-44.5277,-44.5277,-44.5277,-44.5277
2018-03-14,-69.7499,-69.7499,-69.7499,-69.7499
2018-03-15,-66.9432,-66.9432,-66.9432,-66.9432
2018-03-16,-82.3957,-82.3957,-82.3957,-82.3957
2018-03-19,-86.0167,-86.0167,-86.0167,-86.0167
2018-03-20,-92.3727,-92.3727,-92.3727,-92.3727
2018-03-21,-93.3683,-93.3683,-93.3683,-93.3683
2018-03-22,-97.5887,-97.5887,-97.5887,-97.5887
2018-03-23,-98.4268,-98.4268,-98.4268,-98.4268
2018-03-26,-65.76,-65.76,-65.76,-65.76
2018-03-27,-86.7041,-86.7041,-86.7041,-86.7041
