date,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Up,Aroon Down
2018-01-02,95.8678,33.8843,33.8843,95.8678,33.8843,95.8678,95.8678,33.8843
2018-01-03,95.0413,33.0579,33.0579,95.0413,33.0579,95.0413,95.0413,33.0579
2018-01-04,100.0,32.2314,32.2314,100.0,32.2314,100.0,100.0,32.2314
2018-01-05,99.1736,31.405,31.405,99.1736,31.405,99.1736,99.1736,31.405
2018-01-08,98.3471,30.5785,30.5785,98.3471,30.5785,98.3471,98.3471,30.5785
2018-01-09,97.5207,29.7521,29.7521,97.5207,29.7521,97.5207,97.5207,29.7521
2018-01-10,100.0,28.9256,28.9256,100.0,28.9256,100.0,100.0,28.9256
2018-01-11,100.0,28.0992,28.0992,100.0,28.0992,100.0,100.0,28.0992
2018-01-12,99.1736,27.2727,27.2727,99.1736,27.2727,99.1736,99.1736,27.2727
2018-01-16,98.3471,26.4463,26.4463,98.3471,26.4463,98.3471,98.3471,26.4463
2018-01-17,100.0,25.6198,25.6198,100.0,25.6198,100.0,100.0,25.6198
2018-01-18,100.0,24.7934,24.7934,100.0,24.7934,100.0,100.0,24.7934
2018-01-19,99.1736,23.9669,23.9669,99.1736,23.9669,99.1736,99.1736,23.9669
2018-01-22,100.0,23.1405,23.1405,100.0,23.1405,100.0,100.0,23.1405
2018-01-23,100.0,22.314,22.314,100.0,22.314,100.0,100.0,22.314
2018-01-24,100.0,21.4876,21.4876,100.0,21.4876,100.0,100.0,21.4876
2018-01-25,100.0,20.6612,20.6612,100.0,20.6612,100.0,100.0,20.6612
2018-01-26,100.0,19.8347,19.8347,100.0,19.8347,100.0,100.0,19.8347
2018-01-29,100.0,19.0083,19.0083,100.0,19.0083,100.0,100.0,19.0083
2018-01-30,99.1736,18.1818,18.1818,99.1736,18.1818,99.1736,99.1736,18.1818
2018-01-31,98.3471,17.3554,17.3554,98.3471,17.3554,98.3471,98.3471,17.3554
2018-02-01,97.5207,16.5289,16.5289,97.5207,16.5289,97.5207,97.5207,16.5289
2018-02-02,96.6942,15.7025,15.7025,96.6942,15.7025,96.6942,96.6942,15.7025
2018-02-05,95.8678,14.876,14.876,95.8678,14.876,95.8678,95.8678,14.876
2018-02-06,95.0413,14.0496,14.0496,95.0413,14.0496,95.0413,95.0413,14.0496
2018-02-07,94.2149,13.2231,13.2231,94.2149,13.2231,94.2149,94.2149,13.2231
2018-02-08,93.3884,12.3967,12.3967,93.3884,12.3967,93.3884,93.3884,12.3967
2018-02-09,92.562,11.5702,11.5702,92.562,11.5702,92.562,92.562,11.5702
2018-02-12,91.7355,10.7438,10.7438,91.7355,10.7438,91.7355,91.7355,10.7438
2018-02-13,90.9091,9.9174,9.9174,90.9091,9.9174,90.9091,90.9091,9.9174
2018-02-14,90.0826,9.0909,9.0909,90.0826,9.0909,90.0826,90.0826,9.0909
2018-02-15,89.2562,8.2645,8.2645,89.2562,8.2645,89.2562,89.2562,8.2645
2018-02-16,88.4298,7.438,7.438,88.4298,7.438,88.4298,88.4298,7.438
2018-02-20,87.6033,6.6116,6.6116,87.6033,6.6116,87.6033,87.6033,6.6116
2018-02-21,86.7769,5.7851,5.7851,86.7769,5.7851,86.7769,86.7769,5.7851
2018-02-22,85.9504,4.9587,4.9587,85.9504,4.9587,85.9504,85.9504,4.9587
2018-02-23,85.124,4.1322,4.1322,85.124,4.1322,85.124,85.124,4.1322
2018-02-26,84.2975,3.3058,3.3058,84.2975,3.3058,84.2975,84.2975,3.3058
2018-02-27,83.4711,2.4793,2.4793,83.4711,2.4793,83.4711,83.4711,2.4793
2018-02-28,82.6446,1.6529,1.6529,82.6446,1.6529,82.6446,82.6446,1.6529
2018-03-01,81.8182,0.8264,0.8264,81.8182,0.8264,81.8182,81.8182,0.8264
2018-03-02,80.9917,0.0,0.0,80.9917,0.0,80.9917,80.9917,0.0
2018-03-05,80.1653,0.0,0.0,80.1653,0.0,80.1653,80.1653,0.0
2018-03-06,79.3388,0.0,0.0,79.3388,0.0,79.3388,79.3388,0.0
2018-03-07,78.5124,0.0,0.0,78.5124,0.0,78.5124,78.5124,0.0
2018-03-08,77.686,0.8264,0.8264,77.686,0.8264,77.686,77.686,0.8264
2018-03-09,76.8595,0.0,0.0,76.8595,0.0,76.8595,76.8595,0.0
2018-03-12,76.0331,0.0,0.0,76.0331,0.0,76.0331,76.0331,0.0
2018-03-13,75.2066,0.0,0.0,75.2066,0.0,75.2066,75.2066,0.0
2018-03-14,74.3802,0.0,0.0,74.3802,0.0,74.3802,74.3802,0.0
2018-03-15,73.5537,14.0496,14.0496,73.5537,14.0496,73.5537,73.5537,14.0496
2018-03-16,72.7273,13.2231,13.2231,72.7273,13.2231,72.7273,72.7273,13.2231
2018-03-19,71.9008,12.3967,12.3967,71.9008,12.3967,71.9008,71.9008,12.3967
2018-03-20,71.0744,11.5702,11.5702,71.0744,11.5702,71.0744,71.0744,11.5702
2018-03-21,70.2479,10.7438,10.7438,70.2479,10.7438,70.2479,70.2479,10.7438
2018-03-22,69.4215,100.0,100.0,69.4215,100.0,69.4215,69.4215,100.0
2018-03-23,68.595,100.0,100.0,68.595,100.0,68.595,68.595,100.0
2018-03-26,67.7686,99.1736,99.1736,67.7686,99.1736,67.7686,67.7686,99.1736
2018-03-27,66.9421,100.0,100.0,66.9421,100.0,66.9421,66.9421,100.0
2018-03-28,66.1157,99.1736,99.1736,66.1157,99.1736,66.1157,66.1157,99.1736
2018-03-29,65.2893,98.3471,98.3471,65.2893,98.3471,65.2893,65.2893,98.3471
2018-04-02,64.4628,100.0,100.0,64.4628,100.0,64.4628,64.4628,100.0
2018-04-03,63.6364,99.1736,99.1736,63.6364,99.1736,63.6364,63.6364,99.1736
2018-04-04,62.8099,98.3471,98.3471,62.8099,98.3471,62.8099,62.8099,98.3471
2018-04-05,61.9835,97.5207,97.5207,61.9835,97.5207,61.9835,61.9835,97.5207
