date,open,low,high,close
2018-01-02,90.9427,90.9427,90.9427,90.9427
2018-01-03,96.0004,96.0004,96.0004,96.0004
2018-01-04,112.2104,112.2104,112.2104,112.2104
2018-01-05,109.0415,109.0415,109.0415,109.0415
2018-01-08,97.4197,97.4197,97.4197,97.4197
2018-01-09,96.9082,96.9082,96.9082,96.9082
2018-01-10,107.4541,107.4541,107.4541,107.4541
2018-01-11,107.9181,107.9181,107.9181,107.9181
2018-01-12,93.8932,93.8932,93.8932,93.8932
2018-01-16,90.0345,90.0345,90.0345,90.0345
2018-01-17,109.8769,109.8769,109.8769,109.8769
2018-01-18,122.0947,122.0947,122.0947,122.0947
2018-01-19,120.9819,120.9819,120.9819,120.9819
2018-01-22,128.2606,128.2606,128.2606,128.2606
2018-01-23,126.89,126.89,126.89,126.89
2018-01-24,148.5767,148.5767,148.5767,148.5767
2018-01-25,156.4746,156.4746,156.4746,156.4746
2018-01-26,154.0311,154.0311,154.0311,154.0311
2018-01-29,152.3631,152.3631,152.3631,152.3631
2018-01-30,130.2576,130.2576,130.2576,130.2576
2018-01-31,130.1998,130.1998,130.1998,130.1998
2018-02-01,120.0672,120.0672,120.0672,120.0672
2018-02-02,78.1737,78.1737,78.1737,78.1737
2018-02-05,-136.8931,-136.8931,-136.8931,-136.8931
2018-02-06,-177.2114,-177.2114,-177.2114,-177.2114
2018-02-07,-162.2496,-162.2496,-162.2496,-162.2496
2018-02-08,-200.1448,-200.1448,-200.1448,-200.1448
2018-02-09,-195.2682,-195.2682,-195.2682,-195.2682
2018-02-12,-164.1147,-164.1147,-164.1147,-164.1147
2018-02-13,-133.6747,-133.6747,-133.6747,-133.6747
2018-02-14,-83.9855,-83.9855,-83.9855,-83.9855
2018-02-15,-60.0608,-60.0608,-60.0608,-60.0608
2018-02-16,-51.7979,-51.7979,-51.7979,-51.7979
2018-02-20,-42.7177,-42.7177,-42.7177,-42.7177
2018-02-21,-50.7279,-50.7279,-50.7279,-50.7279
2018-02-22,-68.5381,-68.5381,-68.5381,-68.5381
2018-02-23,-73.3411,-73.3411,-73.3411,-73.3411
2018-02-26,-52.6008,-52.6008,-52.6008,-52.6008
2018-02-27,-50.9551,-50.9551,-50.9551,-50.9551
2018-02-28,-68.3373,-68.3373,-68.3373,-68.3373
2018-03-01,-90.6004,-90.6004,-90.6004,-90.6004
2018-03-02,-99.0459,-99.0459,-99.0459,-99.0459
2018-03-05,-88.2923,-88.2923,-88.2923,-88.2923
2018-03-06,-87.7206,-87.7206,-87.7206,-87.7206
2018-03-07,-98.7438,-98.7438,-98.7438,-98.7438
2018-03-08,-89.5594,-89.5594,-89.5594,-89.5594
2018-03-09,-61.5551,-61.5551,-61.5551,-61.5551
2018-03-12,-51.9023,-51.9023,-51.9023,-51.9023
2018-03-13,-57.9039,-57.9039,-57.9039,-57.9039
2018-03-14,-72.8777,-72.8777,-72.8777,-72.8777
2018-03-15,-76.1969,-76.1969,-76.1969,-76.1969
2018-03-16,-83.2544,-83.2544,-83.2544,-83.2544
2018-03-19,-99.7148,-99.7148,-99.7148,-99.7148
2018-03-20,-104.6685,-104.6685,-104.6685,-104.6685
2018-03-21,-106.458,-106.458,-106.458,-106.458
2018-03-22,-152.854,-152.854,-152.854,-152.854
2018-03-23,-183.4293,-183.4293,-183.4293,-183.4293
2018-03-26,-167.1786,-167.1786,-167.1786,-167.1786
2018-03-27,-180.8015,-180.8015,-180.8015,-180.8015
2018-03-28,-179.0061,-179.0061,-179.0061,-179.0061
2018-03-29,-150.617,-150.617,-150.617,-150.617
2018-04-02,-169.4237,-169.4237,-169.4237,-169.4237
2018-04-03,-148.7116,-148.7116,-148.7116,-148.7116
2018-04-04,-121.8081,-121.8081,-121.8081,-121.8081
2018-04-05,-83.132,-83.132,-83.132,-83.132
2018-04-06,-105.6844,-105.6844,-105.6844,-105.6844
2018-04-09,-93.3249,-93.3249,-93.3249,-93.3249
2018-04-10,-87.2991,-87.2991,-87.2991,-87.2991
2018-04-11,-95.0665,-95.0665,-95.0665,-95.0665
2018-04-12,-75.1148,-75.1148,-75.1148,-75.1148
2018-04-13,-101.3436,-101.3436,-101.3436,-101.3436
2018-04-16,-107.585,-107.585,-107.585,-107.585
2018-04-17,-103.8582,-103.8582,-103.8582,-103.8582
2018-04-18,-103.2014,-103.2014,-103.2014,-103.2014
2018-04-19,-83.0161,-83.0161,-83.0161,-83.0161
