date,open,low,high,close
2018-01-02,59.7861,59.7861,59.7861,59.7861
2018-01-03,59.955,59.955,59.955,59.955
2018-01-04,60.1812,60.1812,60.1812,60.1812
2018-01-05,60.4258,60.4258,60.4258,60.4258
2018-01-08,60.5796,60.5796,60.5796,60.5796
2018-01-09,60.7396,60.7396,60.7396,60.7396
2018-01-10,60.9663,60.9663,60.9663,60.9663
2018-01-11,61.161,61.161,61.161,61.161
2018-01-12,61.2932,61.2932,61.2932,61.2932
2018-01-16,61.4082,61.4082,61.4082,61.4082
2018-01-17,61.6436,61.6436,61.6436,61.6436
2018-01-18,61.8632,61.8632,61.8632,61.8632
2018-01-19,62.0877,62.0877,62.0877,62.0877
2018-01-22,62.3393,62.3393,62.3393,62.3393
2018-01-23,62.5442,62.5442,62.5442,62.5442
2018-01-24,62.8238,62.8238,62.8238,62.8238
2018-01-25,63.0929,63.0929,63.0929,63.0929
2018-01-26,63.3631,63.3631,63.3631,63.3631
2018-01-29,63.5971,63.5971,63.5971,63.5971
2018-01-30,63.7574,63.7574,63.7574,63.7574
2018-01-31,63.95,63.95,63.95,63.95
2018-02-01,64.0986,64.0986,64.0986,64.0986
2018-02-02,64.0959,64.0959,64.0959,64.0959
2018-02-05,63.5305,63.5305,63.5305,63.5305
2018-02-06,62.9353,62.9353,62.9353,62.9353
2018-02-07,62.4214,62.4214,62.4214,62.4214
2018-02-08,61.7527,61.7527,61.7527,61.7527
2018-02-09,61.2172,61.2172,61.2172,61.2172
2018-02-12,60.768,60.768,60.768,60.768
2018-02-13,60.5043,60.5043,60.5043,60.5043
2018-02-14,60.4135,60.4135,60.4135,60.4135
2018-02-15,60.376,60.376,60.376,60.376
2018-02-16,60.3354,60.3354,60.3354,60.3354
2018-02-20,60.2987,60.2987,60.2987,60.2987
2018-02-21,60.2445,60.2445,60.2445,60.2445
2018-02-22,60.1079,60.1079,60.1079,60.1079
2018-02-23,60.0186,60.0186,60.0186,60.0186
2018-02-26,60.014,60.014,60.014,60.014
2018-02-27,59.9374,59.9374,59.9374,59.9374
2018-02-28,59.7919,59.7919,59.7919,59.7919
2018-03-01,59.5556,59.5556,59.5556,59.5556
2018-03-02,59.3512,59.3512,59.3512,59.3512
2018-03-05,59.1835,59.1835,59.1835,59.1835
2018-03-06,58.9822,58.9822,58.9822,58.9822
2018-03-07,58.7553,58.7553,58.7553,58.7553
2018-03-08,58.5615,58.5615,58.5615,58.5615
2018-03-09,58.5299,58.5299,58.5299,58.5299
2018-03-12,58.4814,58.4814,58.4814,58.4814
2018-03-13,58.3936,58.3936,58.3936,58.3936
2018-03-14,58.2256,58.2256,58.2256,58.2256
2018-03-15,58.0927,58.0927,58.0927,58.0927
2018-03-16,57.8839,57.8839,57.8839,57.8839
2018-03-19,57.6549,57.6549,57.6549,57.6549
2018-03-20,57.3926,57.3926,57.3926,57.3926
2018-03-21,57.1447,57.1447,57.1447,57.1447
2018-03-22,56.7052,56.7052,56.7052,56.7052
2018-03-23,56.16,56.16,56.16,56.16
2018-03-26,55.7914,55.7914,55.7914,55.7914
2018-03-27,55.3446,55.3446,55.3446,55.3446
2018-03-28,54.9765,54.9765,54.9765,54.9765
2018-03-29,54.7321,54.7321,54.7321,54.7321
2018-04-02,54.41,54.41,54.41,54.41
2018-04-03,54.1881,54.1881,54.1881,54.1881
2018-04-04,54.0664,54.0664,54.0664,54.0664
2018-04-05,53.9896,53.9896,53.9896,53.9896
2018-04-06,53.822,53.822,53.822,53.822
2018-04-09,53.6723,53.6723,53.6723,53.6723
2018-04-10,53.5721,53.5721,53.5721,53.5721
2018-04-11,53.4157,53.4157,53.4157,53.4157
2018-04-12,53.3475,53.3475,53.3475,53.3475
2018-04-13,53.1135,53.1135,53.1135,53.1135
2018-04-16,52.8931,52.8931,52.8931,52.8931
2018-04-17,52.6719,52.6719,52.6719,52.6719
2018-04-18,52.4546,52.4546,52.4546,52.4546
2018-04-19,52.3675,52.3675,52.3675,52.3675
2018-04-20,52.3858,52.3858,52.3858,52.3858
2018-04-23,52.4072,52.4072,52.4072,52.4072
2018-04-24,52.4169,52.4169,52.4169,52.4169
2018-04-25,52.483,52.483,52.483,52.483
2018-04-26,52.4789,52.4789,52.4789,52.4789
2018-04-27,52.4675,52.4675,52.4675,52.4675
2018-04-30,52.4192,52.4192,52.4192,52.4192
2018-05-01,52.4326,52.4326,52.4326,52.4326
2018-05-02,52.4095,52.4095,52.4095,52.4095
2018-05-03,52.3267,52.3267,52.3267,52.3267
2018-05-04,52.3346,52.3346,52.3346,52.3346
2018-05-07,52.3656,52.3656,52.3656,52.3656
2018-05-08,52.4441,52.4441,52.4441,52.4441
2018-05-09,52.5695,52.5695,52.5695,52.5695
2018-05-10,52.7676,52.7676,52.7676,52.7676
2018-05-11,52.9278,52.9278,52.9278,52.9278
2018-05-14,53.0757,53.0757,53.0757,53.0757
2018-05-15,53.2351,53.2351,53.2351,53.2351
2018-05-16,53.407,53.407,53.407,53.407
2018-05-17,53.4844,53.4844,53.4844,53.4844
2018-05-18,53.505,53.505,53.505,53.505
2018-05-21,53.6035,53.6035,53.6035,53.6035
2018-05-22,53.7613,53.7613,53.7613,53.7613
2018-05-23,53.9917,53.9917,53.9917,53.9917
2018-05-24,54.0563,54.0563,54.0563,54.0563
2018-05-25,54.1366,54.1366,54.1366,54.1366
2018-05-29,54.0236,54.0236,54.0236,54.0236
2018-05-30,54.0433,54.0433,54.0433,54.0433
2018-05-31,54.0382,54.0382,54.0382,54.0382
2018-06-01,54.1003,54.1003,54.1003,54.1003
2018-06-04,54.1698,54.1698,54.1698,54.1698
2018-06-05,54.2012,54.2012,54.2012,54.2012
2018-06-06,54.3325,54.3325,54.3325,54.3325
2018-06-07,54.4561,54.4561,54.4561,54.4561
2018-06-08,54.5727,54.5727,54.5727,54.5727
2018-06-11,54.6619,54.6619,54.6619,54.6619
2018-06-12,54.7303,54.7303,54.7303,54.7303
2018-06-13,54.7712,54.7712,54.7712,54.7712
