date,open,low,high,close
2018-01-02,60.229,60.229,60.229,60.229
2018-01-03,60.3353,60.3353,60.3353,60.3353
2018-01-04,60.4799,60.4799,60.4799,60.4799
2018-01-05,60.6617,60.6617,60.6617,60.6617
2018-01-08,60.7199,60.7199,60.7199,60.7199
2018-01-09,60.7928,60.7928,60.7928,60.7928
2018-01-10,60.9717,60.9717,60.9717,60.9717
2018-01-11,61.0665,61.0665,61.0665,61.0665
2018-01-12,61.1594,61.1594,61.1594,61.1594
2018-01-16,61.2503,61.2503,61.2503,61.2503
2018-01-17,61.4683,61.4683,61.4683,61.4683
2018-01-18,61.6235,61.6235,61.6235,61.6235
2018-01-19,61.8701,61.8701,61.8701,61.8701
2018-01-22,62.2118,62.2118,62.2118,62.2118
2018-01-23,62.3732,62.3732,62.3732,62.3732
2018-01-24,62.6773,62.6773,62.6773,62.6773
2018-01-25,63.0579,63.0579,63.0579,63.0579
2018-01-26,63.4818,63.4818,63.4818,63.4818
2018-01-29,63.7887,63.7887,63.7887,63.7887
2018-01-30,63.9943,63.9943,63.9943,63.9943
2018-01-31,64.2438,64.2438,64.2438,64.2438
2018-02-01,64.3824,64.3824,64.3824,64.3824
2018-02-02,64.373,64.373,64.373,64.373
2018-02-05,63.9919,63.9919,63.9919,63.9919
2018-02-06,63.5645,63.5645,63.5645,63.5645
2018-02-07,63.1871,63.1871,63.1871,63.1871
2018-02-08,62.2609,62.2609,62.2609,62.2609
2018-02-09,61.6891,61.6891,61.6891,61.6891
2018-02-12,61.2897,61.2897,61.2897,61.2897
2018-02-13,61.1439,61.1439,61.1439,61.1439
2018-02-14,61.0778,61.0778,61.0778,61.0778
2018-02-15,61.0403,61.0403,61.0403,61.0403
2018-02-16,60.9966,60.9966,60.9966,60.9966
2018-02-20,60.9455,60.9455,60.9455,60.9455
2018-02-21,60.8866,60.8866,60.8866,60.8866
2018-02-22,60.7195,60.7195,60.7195,60.7195
2018-02-23,60.6021,60.6021,60.6021,60.6021
2018-02-26,60.5617,60.5617,60.5617,60.5617
2018-02-27,60.4656,60.4656,60.4656,60.4656
2018-02-28,60.3136,60.3136,60.3136,60.3136
2018-03-01,60.0199,60.0199,60.0199,60.0199
2018-03-02,59.779,59.779,59.779,59.779
2018-03-05,59.6211,59.6211,59.6211,59.6211
2018-03-06,59.5889,59.5889,59.5889,59.5889
2018-03-07,59.5618,59.5618,59.5618,59.5618
2018-03-08,59.5322,59.5322,59.5322,59.5322
2018-03-09,59.48,59.48,59.48,59.48
2018-03-12,59.443,59.443,59.443,59.443
2018-03-13,59.4171,59.4171,59.4171,59.4171
2018-03-14,59.3656,59.3656,59.3656,59.3656
2018-03-15,59.2372,59.2372,59.2372,59.2372
2018-03-16,58.9423,58.9423,58.9423,58.9423
2018-03-19,58.6118,58.6118,58.6118,58.6118
2018-03-20,58.2151,58.2151,58.2151,58.2151
2018-03-21,57.8564,57.8564,57.8564,57.8564
2018-03-22,57.1681,57.1681,57.1681,57.1681
2018-03-23,56.0945,56.0945,56.0945,56.0945
2018-03-26,55.5364,55.5364,55.5364,55.5364
2018-03-27,54.8576,54.8576,54.8576,54.8576
2018-03-28,54.4398,54.4398,54.4398,54.4398
2018-03-29,54.2918,54.2918,54.2918,54.2918
2018-04-02,54.0223,54.0223,54.0223,54.0223
2018-04-03,53.8769,53.8769,53.8769,53.8769
2018-04-04,53.8304,53.8304,53.8304,53.8304
2018-04-05,53.8098,53.8098,53.8098,53.8098
2018-04-06,53.7307,53.7307,53.7307,53.7307
2018-04-09,53.6,53.6,53.6,53.6
2018-04-10,53.5272,53.5272,53.5272,53.5272
2018-04-11,53.4037,53.4037,53.4037,53.4037
2018-04-12,53.3711,53.3711,53.3711,53.3711
2018-04-13,53.1889,53.1889,53.1889,53.1889
2018-04-16,53.0385,53.0385,53.0385,53.0385
2018-04-17,52.8891,52.8891,52.8891,52.8891
2018-04-18,52.7506,52.7506,52.7506,52.7506
2018-04-19,52.7113,52.7113,52.7113,52.7113
2018-04-20,52.7107,52.7107,52.7107,52.7107
2018-04-23,52.7089,52.7089,52.7089,52.7089
2018-04-24,52.7078,52.7078,52.7078,52.7078
2018-04-25,52.7184,52.7184,52.7184,52.7184
2018-04-26,52.715,52.715,52.715,52.715
2018-04-27,52.7134,52.7134,52.7134,52.7134
2018-04-30,52.7062,52.7062,52.7062,52.7062
2018-05-01,52.705,52.705,52.705,52.705
2018-05-02,52.6993,52.6993,52.6993,52.6993
2018-05-03,52.6697,52.6697,52.6697,52.6697
2018-05-04,52.6683,52.6683,52.6683,52.6683
2018-05-07,52.6682,52.6682,52.6682,52.6682
2018-05-08,52.673,52.673,52.673,52.673
2018-05-09,52.7025,52.7025,52.7025,52.7025
2018-05-10,52.7589,52.7589,52.7589,52.7589
2018-05-11,52.9013,52.9013,52.9013,52.9013
2018-05-14,53.0427,53.0427,53.0427,53.0427
2018-05-15,53.2286,53.2286,53.2286,53.2286
2018-05-16,53.4588,53.4588,53.4588,53.4588
2018-05-17,53.5022,53.5022,53.5022,53.5022
2018-05-18,53.5063,53.5063,53.5063,53.5063
2018-05-21,53.5421,53.5421,53.5421,53.5421
2018-05-22,53.6309,53.6309,53.6309,53.6309
2018-05-23,53.7786,53.7786,53.7786,53.7786
2018-05-24,53.8085,53.8085,53.8085,53.8085
2018-05-25,53.8512,53.8512,53.8512,53.8512
2018-05-29,53.8402,53.8402,53.8402,53.8402
2018-05-30,53.8476,53.8476,53.8476,53.8476
2018-05-31,53.8506,53.8506,53.8506,53.8506
2018-06-01,53.8854,53.8854,53.8854,53.8854
2018-06-04,53.9152,53.9152,53.9152,53.9152
2018-06-05,53.9283,53.9283,53.9283,53.9283
2018-06-06,53.9765,53.9765,53.9765,53.9765
2018-06-07,54.0143,54.0143,54.0143,54.0143
2018-06-08,54.0365,54.0365,54.0365,54.0365
2018-06-11,54.0567,54.0567,54.0567,54.0567
2018-06-12,54.0723,54.0723,54.0723,54.0723
2018-06-13,54.0802,54.0802,54.0802,54.0802
2018-06-14,54.0843,54.0843,54.0843,54.0843
2018-06-15,54.0939,54.0939,54.0939,54.0939
2018-06-18,54.1126,54.1126,54.1126,54.1126
2018-06-19,54.1215,54.1215,54.1215,54.1215
2018-06-20,54.1258,54.1258,54.1258,54.1258
2018-06-21,54.1336,54.1336,54.1336,54.1336
2018-06-22,54.131,54.131,54.131,54.131
