date,open,low,high,close
2018-01-02,5.7,5.7,5.7,5.7
2018-01-03,5.98,5.98,5.98,5.98
2018-01-04,7.19,7.19,7.19,7.19
2018-01-05,7.14,7.14,7.14,7.14
2018-01-08,6.38,6.38,6.38,6.38
2018-01-09,7.05,7.05,7.05,7.05
2018-01-10,9.43,9.43,9.43,9.43
2018-01-11,9.21,9.21,9.21,9.21
2018-01-12,9.36,9.36,9.36,9.36
2018-01-16,9.09,9.09,9.09,9.09
2018-01-17,10.13,10.13,10.13,10.13
2018-01-18,9.03,9.03,9.03,9.03
2018-01-19,9.31,9.31,9.31,9.31
2018-01-22,9.31,9.31,9.31,9.31
2018-01-23,9.235,9.235,9.235,9.235
2018-01-24,9.86,9.86,9.86,9.86
2018-01-25,9.78,9.78,9.78,9.78
2018-01-26,10.08,10.08,10.08,10.08
2018-01-29,9.68,9.68,9.68,9.68
2018-01-30,9.07,9.07,9.07,9.07
2018-01-31,9.3,9.3,9.3,9.3
2018-02-01,9.16,9.16,9.16,9.16
2018-02-02,7.89,7.89,7.89,7.89
2018-02-05,3.11,3.11,3.11,3.11
2018-02-06,3.02,3.02,3.02,3.02
2018-02-07,3.54,3.54,3.54,3.54
2018-02-08,1.59,1.59,1.59,1.59
2018-02-09,2.41,2.41,2.41,2.41
2018-02-12,2.46,2.46,2.46,2.46
2018-02-13,4.25,4.25,4.25,4.25
2018-02-14,4.95,4.95,4.95,4.95
2018-02-15,5.87,5.87,5.87,5.87
2018-02-16,5.9,5.9,5.9,5.9
2018-02-20,5.43,5.43,5.43,5.43
2018-02-21,5.67,5.67,5.67,5.67
2018-02-22,4.72,4.72,4.72,4.72
2018-02-23,5.22,5.22,5.22,5.22
2018-02-26,4.4,4.4,4.4,4.4
2018-02-27,2.53,2.53,2.53,2.53
2018-02-28,1.94,1.94,1.94,1.94
2018-03-01,1.11,1.11,1.11,1.11
2018-03-02,0.02,0.02,0.02,0.02
2018-03-05,-0.96,-0.96,-0.96,-0.96
2018-03-06,-1.5,-1.5,-1.5,-1.5
2018-03-07,-2.76,-2.76,-2.76,-2.76
2018-03-08,-2.59,-2.59,-2.59,-2.59
2018-03-09,-0.64,-0.64,-0.64,-0.64
2018-03-12,-2.31,-2.31,-2.31,-2.31
2018-03-13,-1.84,-1.84,-1.84,-1.84
2018-03-14,-2.59,-2.59,-2.59,-2.59
2018-03-15,-3.04,-3.04,-3.04,-3.04
2018-03-16,-5.02,-5.02,-5.02,-5.02
2018-03-19,-4.88,-4.88,-4.88,-4.88
2018-03-20,-5.24,-5.24,-5.24,-5.24
2018-03-21,-6.82,-6.82,-6.82,-6.82
2018-03-22,-9.02,-9.02,-9.02,-9.02
2018-03-23,-10.15,-10.15,-10.15,-10.15
2018-03-26,-8.66,-8.66,-8.66,-8.66
2018-03-27,-10.2,-10.2,-10.2,-10.2
2018-03-28,-9.19,-9.19,-9.19,-9.19
2018-03-29,-8.68,-8.68,-8.68,-8.68
2018-04-02,-10.21,-10.21,-10.21,-10.21
2018-04-03,-10.25,-10.25,-10.25,-10.25
2018-04-04,-9.84,-9.84,-9.84,-9.84
2018-04-05,-8.78,-8.78,-8.78,-8.78
2018-04-06,-10.03,-10.03,-10.03,-10.03
2018-04-09,-10.87,-10.87,-10.87,-10.87
2018-04-10,-10.39,-10.39,-10.39,-10.39
2018-04-11,-10.62,-10.62,-10.62,-10.62
2018-04-12,-9.8,-9.8,-9.8,-9.8
2018-04-13,-12.99,-12.99,-12.99,-12.99
2018-04-16,-13.15,-13.15,-13.15,-13.15
2018-04-17,-13.65,-13.65,-13.65,-13.65
2018-04-18,-14.34,-14.34,-14.34,-14.34
2018-04-19,-12.95,-12.95,-12.95,-12.95
2018-04-20,-12.92,-12.92,-12.92,-12.92
2018-04-23,-13.04,-13.04,-13.04,-13.04
2018-04-24,-13.42,-13.42,-13.42,-13.42
2018-04-25,-12.71,-12.71,-12.71,-12.71
2018-04-26,-12.84,-12.84,-12.84,-12.84
2018-04-27,-13.42,-13.42,-13.42,-13.42
2018-04-30,-13.55,-13.55,-13.55,-13.55
2018-05-01,-11.51,-11.51,-11.51,-11.51
2018-05-02,-5.97,-5.97,-5.97,-5.97
2018-05-03,-5.74,-5.74,-5.74,-5.74
2018-05-04,-5.13,-5.13,-5.13,-5.13
2018-05-07,-2.74,-2.74,-2.74,-2.74
2018-05-08,-2.94,-2.94,-2.94,-2.94
2018-05-09,-2.74,-2.74,-2.74,-2.74
2018-05-10,-3.35,-3.35,-3.35,-3.35
2018-05-11,-5.1,-5.1,-5.1,-5.1
2018-05-14,-5.54,-5.54,-5.54,-5.54
2018-05-15,-5.2,-5.2,-5.2,-5.2
2018-05-16,-4.91,-4.91,-4.91,-4.91
2018-05-17,-5.51,-5.51,-5.51,-5.51
2018-05-18,-5.11,-5.11,-5.11,-5.11
2018-05-21,-4.63,-4.63,-4.63,-4.63
2018-05-22,-4.71,-4.71,-4.71,-4.71
2018-05-23,-3.03,-3.03,-3.03,-3.03
2018-05-24,-3.74,-3.74,-3.74,-3.74
2018-05-25,-2.41,-2.41,-2.41,-2.41
2018-05-29,-4.46,-4.46,-4.46,-4.46
2018-05-30,-3.36,-3.36,-3.36,-3.36
2018-05-31,-3.08,-3.08,-3.08,-3.08
2018-06-01,-1.91,-1.91,-1.91,-1.91
2018-06-04,-1.89,-1.89,-1.89,-1.89
2018-06-05,-3.73,-3.73,-3.73,-3.73
2018-06-06,-2.44,-2.44,-2.44,-2.44
2018-06-07,-1.93,-1.93,-1.93,-1.93
2018-06-08,-0.95,-0.95,-0.95,-0.95
2018-06-11,-1.32,-1.32,-1.32,-1.32
2018-06-12,-0.52,-0.52,-0.52,-0.52
2018-06-13,-0.32,-0.32,-0.32,-0.32
2018-06-14,-0.16,-0.16,-0.16,-0.16
2018-06-15,0.19,0.19,0.19,0.19
2018-06-18,2.55,2.55,2.55,2.55
