date,open,low,high,close
2018-01-02,62.5999,62.5999,62.5999,62.5999
2018-01-03,65.9365,65.9365,65.9365,65.9365
2018-01-04,70.6955,70.6955,70.6955,70.6955
2018-01-05,72.9831,72.9831,72.9831,72.9831
2018-01-08,63.6503,63.6503,63.6503,63.6503
2018-01-09,65.1832,65.1832,65.1832,65.1832
2018-01-10,70.573,70.573,70.573,70.573
2018-01-11,69.0538,69.0538,69.0538,69.0538
2018-01-12,62.7747,62.7747,62.7747,62.7747
2018-01-16,62.0928,62.0928,62.0928,62.0928
2018-01-17,71.5651,71.5651,71.5651,71.5651
2018-01-18,71.96,71.96,71.96,71.96
2018-01-19,73.5351,73.5351,73.5351,73.5351
2018-01-22,76.3263,76.3263,76.3263,76.3263
2018-01-23,72.3372,72.3372,72.3372,72.3372
2018-01-24,77.683,77.683,77.683,77.683
2018-01-25,78.4766,78.4766,78.4766,78.4766
2018-01-26,79.7917,79.7917,79.7917,79.7917
2018-01-29,77.7189,77.7189,77.7189,77.7189
2018-01-30,68.073,68.073,68.073,68.073
2018-01-31,71.6881,71.6881,71.6881,71.6881
2018-02-01,67.1275,67.1275,67.1275,67.1275
2018-02-02,48.7497,48.7497,48.7497,48.7497
2018-02-05,21.6813,21.6813,21.6813,21.6813
2018-02-06,19.8572,19.8572,19.8572,19.8572
2018-02-07,22.0112,22.0112,22.0112,22.0112
2018-02-08,17.6683,17.6683,17.6683,17.6683
2018-02-09,23.3969,23.3969,23.3969,23.3969
2018-02-12,26.2854,26.2854,26.2854,26.2854
2018-02-13,36.9882,36.9882,36.9882,36.9882
2018-02-14,45.9915,45.9915,45.9915,45.9915
2018-02-15,48.4721,48.4721,48.4721,48.4721
2018-02-16,48.1065,48.1065,48.1065,48.1065
2018-02-20,48.1065,48.1065,48.1065,48.1065
2018-02-21,46.7385,46.7385,46.7385,46.7385
2018-02-22,41.2838,41.2838,41.2838,41.2838
2018-02-23,44.1193,44.1193,44.1193,44.1193
2018-02-26,50.0726,50.0726,50.0726,50.0726
2018-02-27,45.0109,45.0109,45.0109,45.0109
2018-02-28,40.252,40.252,40.252,40.252
2018-03-01,34.6542,34.6542,34.6542,34.6542
2018-03-02,35.5594,35.5594,35.5594,35.5594
2018-03-05,37.2967,37.2967,37.2967,37.2967
2018-03-06,34.3263,34.3263,34.3263,34.3263
2018-03-07,31.7842,31.7842,31.7842,31.7842
2018-03-08,33.1878,33.1878,33.1878,33.1878
2018-03-09,48.1151,48.1151,48.1151,48.1151
