date,open,low,high,close
2018-01-02,57.4023,57.4023,57.4023,57.4023
2018-01-03,57.5325,57.5325,57.5325,57.5325
2018-01-04,57.6863,57.6863,57.6863,57.6863
2018-01-05,57.8788,57.8788,57.8788,57.8788
2018-01-08,58.0733,58.0733,58.0733,58.0733
2018-01-09,58.2798,58.2798,58.2798,58.2798
2018-01-10,58.5125,58.5125,58.5125,58.5125
2018-01-11,58.7448,58.7448,58.7448,58.7448
2018-01-12,58.9575,58.9575,58.9575,58.9575
2018-01-16,59.1763,59.1763,59.1763,59.1763
2018-01-17,59.4083,59.4083,59.4083,59.4083
2018-01-18,59.6533,59.6533,59.6533,59.6533
2018-01-19,59.9075,59.9075,59.9075,59.9075
2018-01-22,60.1628,60.1628,60.1628,60.1628
2018-01-23,60.4235,60.4235,60.4235,60.4235
2018-01-24,60.7083,60.7083,60.7083,60.7083
2018-01-25,61.0008,61.0008,61.0008,61.0008
2018-01-26,61.2598,61.2598,61.2598,61.2598
2018-01-29,61.4883,61.4883,61.4883,61.4883
2018-01-30,61.7085,61.7085,61.7085,61.7085
2018-01-31,61.948,61.948,61.948,61.948
2018-02-01,62.151,62.151,62.151,62.151
2018-02-02,62.289,62.289,62.289,62.289
2018-02-05,62.2788,62.2788,62.2788,62.2788
2018-02-06,62.2268,62.2268,62.2268,62.2268
2018-02-07,62.1825,62.1825,62.1825,62.1825
2018-02-08,62.0958,62.0958,62.0958,62.0958
2018-02-09,61.9908,61.9908,61.9908,61.9908
2018-02-12,61.9183,61.9183,61.9183,61.9183
2018-02-13,61.8878,61.8878,61.8878,61.8878
2018-02-14,61.8798,61.8798,61.8798,61.8798
2018-02-15,61.8573,61.8573,61.8573,61.8573
2018-02-16,61.847,61.847,61.847,61.847
2018-02-20,61.8423,61.8423,61.8423,61.8423
2018-02-21,61.7953,61.7953,61.7953,61.7953
2018-02-22,61.7268,61.7268,61.7268,61.7268
2018-02-23,61.6778,61.6778,61.6778,61.6778
2018-02-26,61.6533,61.6533,61.6533,61.6533
2018-02-27,61.601,61.601,61.601,61.601
2018-02-28,61.5445,61.5445,61.5445,61.5445
2018-03-01,61.45,61.45,61.45,61.45
2018-03-02,61.3463,61.3463,61.3463,61.3463
2018-03-05,61.2278,61.2278,61.2278,61.2278
2018-03-06,61.0858,61.0858,61.0858,61.0858
2018-03-07,60.9498,60.9498,60.9498,60.9498
2018-03-08,60.8113,60.8113,60.8113,60.8113
2018-03-09,60.689,60.689,60.689,60.689
2018-03-12,60.5643,60.5643,60.5643,60.5643
2018-03-13,60.4395,60.4395,60.4395,60.4395
2018-03-14,60.2928,60.2928,60.2928,60.2928
2018-03-15,60.1165,60.1165,60.1165,60.1165
2018-03-16,59.9153,59.9153,59.9153,59.9153
2018-03-19,59.6968,59.6968,59.6968,59.6968
2018-03-20,59.451,59.451,59.451,59.451
2018-03-21,59.2085,59.2085,59.2085,59.2085
2018-03-22,58.8848,58.8848,58.8848,58.8848
2018-03-23,58.518,58.518,58.518,58.518
2018-03-26,58.177,58.177,58.177,58.177
2018-03-27,57.809,57.809,57.809,57.809
2018-03-28,57.464,57.464,57.464,57.464
2018-03-29,57.1298,57.1298,57.1298,57.1298
2018-04-02,56.7758,56.7758,56.7758,56.7758
2018-04-03,56.476,56.476,56.476,56.476
2018-04-04,56.3448,56.3448,56.3448,56.3448
2018-04-05,56.2443,56.2443,56.2443,56.2443
2018-04-06,56.1115,56.1115,56.1115,56.1115
2018-04-09,56.0328,56.0328,56.0328,56.0328
2018-04-10,55.945,55.945,55.945,55.945
2018-04-11,55.8308,55.8308,55.8308,55.8308
2018-04-12,55.6983,55.6983,55.6983,55.6983
2018-04-13,55.4818,55.4818,55.4818,55.4818
2018-04-16,55.2513,55.2513,55.2513,55.2513
2018-04-17,55.0168,55.0168,55.0168,55.0168
2018-04-18,54.7778,54.7778,54.7778,54.7778
2018-04-19,54.573,54.573,54.573,54.573
2018-04-20,54.4168,54.4168,54.4168,54.4168
