date,open,low,high,close
2018-01-02,61.04,61.04,61.04,61.04
2018-01-03,61.0333,61.0333,61.0333,61.0333
2018-01-04,61.2622,61.2622,61.2622,61.2622
2018-01-05,61.66,61.66,61.66,61.66
2018-01-08,62.0822,62.0822,62.0822,62.0822
2018-01-09,62.3122,62.3122,62.3122,62.3122
2018-01-10,62.3989,62.3989,62.3989,62.3989
2018-01-11,62.54,62.54,62.54,62.54
2018-01-12,62.7211,62.7211,62.7211,62.7211
2018-01-16,62.7922,62.7922,62.7922,62.7922
2018-01-17,62.8522,62.8522,62.8522,62.8522
2018-01-18,63.0356,63.0356,63.0356,63.0356
2018-01-19,63.4789,63.4789,63.4789,63.4789
2018-01-22,63.92,63.92,63.92,63.92
2018-01-23,64.2656,64.2656,64.2656,64.2656
2018-01-24,64.56,64.56,64.56,64.56
2018-01-25,64.8622,64.8622,64.8622,64.8622
2018-01-26,65.2644,65.2644,65.2644,65.2644
2018-01-29,65.5644,65.5644,65.5644,65.5644
2018-01-30,65.7211,65.7211,65.7211,65.7211
2018-01-31,65.7011,65.7011,65.7011,65.7011
2018-02-01,65.6089,65.6089,65.6089,65.6089
2018-02-02,65.4233,65.4233,65.4233,65.4233
2018-02-05,64.4078,64.4078,64.4078,64.4078
2018-02-06,62.5122,62.5122,62.5122,62.5122
2018-02-07,60.0256,60.0256,60.0256,60.0256
2018-02-08,58.0789,58.0789,58.0789,58.0789
2018-02-09,56.9189,56.9189,56.9189,56.9189
2018-02-12,56.3689,56.3689,56.3689,56.3689
2018-02-13,56.4144,56.4144,56.4144,56.4144
2018-02-14,56.9678,56.9678,56.9678,56.9678
2018-02-15,58.0278,58.0278,58.0278,58.0278
2018-02-16,59.0156,59.0156,59.0156,59.0156
2018-02-20,59.6678,59.6678,59.6678,59.6678
2018-02-21,59.8967,59.8967,59.8967,59.8967
2018-02-22,59.7822,59.7822,59.7822,59.7822
2018-02-23,59.5367,59.5367,59.5367,59.5367
2018-02-26,59.35,59.35,59.35,59.35
2018-02-27,59.3344,59.3344,59.3344,59.3344
2018-02-28,59.3211,59.3211,59.3211,59.3211
2018-03-01,58.9856,58.9856,58.9856,58.9856
2018-03-02,58.4056,58.4056,58.4056,58.4056
2018-03-05,57.8189,57.8189,57.8189,57.8189
2018-03-06,57.5011,57.5011,57.5011,57.5011
2018-03-07,57.2933,57.2933,57.2933,57.2933
2018-03-08,57.08,57.08,57.08,57.08
2018-03-09,57.0222,57.0222,57.0222,57.0222
2018-03-12,57.2122,57.2122,57.2122,57.2122
2018-03-13,57.5922,57.5922,57.5922,57.5922
2018-03-14,57.6656,57.6656,57.6656,57.6656
2018-03-15,57.4489,57.4489,57.4489,57.4489
2018-03-16,56.9544,56.9544,56.9544,56.9544
2018-03-19,56.51,56.51,56.51,56.51
2018-03-20,55.9833,55.9833,55.9833,55.9833
2018-03-21,55.5178,55.5178,55.5178,55.5178
2018-03-22,54.8522,54.8522,54.8522,54.8522
2018-03-23,53.9656,53.9656,53.9656,53.9656
2018-03-26,52.9244,52.9244,52.9244,52.9244
2018-03-27,52.0522,52.0522,52.0522,52.0522
2018-03-28,51.6711,51.6711,51.6711,51.6711
2018-03-29,51.5811,51.5811,51.5811,51.5811
2018-04-02,51.6778,51.6778,51.6778,51.6778
2018-04-03,51.7856,51.7856,51.7856,51.7856
2018-04-04,51.9356,51.9356,51.9356,51.9356
2018-04-05,52.27,52.27,52.27,52.27
2018-04-06,52.5544,52.5544,52.5544,52.5544
2018-04-09,52.71,52.71,52.71,52.71
