date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-12.7353,-12.7353,-12.7353,-12.7353
2018-01-03,-7.5305,-7.5305,-7.5305,-7.5305
2018-01-04,-7.3171,-7.3171,-7.3171,-7.3171
2018-01-05,-3.0488,-3.0488,-3.0488,-3.0488
2018-01-08,-10.2642,-10.2642,-10.2642,-10.2642
2018-01-09,-8.1192,-8.1192,-8.1192,-8.1192
2018-01-10,-2.7778,-2.7778,-2.7778,-2.7778
2018-01-11,-6.3678,-6.3678,-6.3678,-6.3678
2018-01-12,-10.9932,-10.9932,-10.9932,-10.9932
2018-01-16,-11.7499,-11.7499,-11.7499,-11.7499
2018-01-17,-1.5504,-1.5504,-1.5504,-1.5504
2018-01-18,-3.3994,-3.3994,-3.3994,-3.3994
2018-01-19,-0.8499,-0.8499,-0.8499,-0.8499
2018-01-22,-0.1813,-0.1813,-0.1813,-0.1813
2018-01-23,-3.2345,-3.2345,-3.2345,-3.2345
2018-01-24,-1.2594,-1.2594,-1.2594,-1.2594
2018-01-25,-1.6488,-1.6488,-1.6488,-1.6488
2018-01-26,-1.0377,-1.0377,-1.0377,-1.0377
2018-01-29,-4.5078,-4.5078,-4.5078,-4.5078
2018-01-30,-9.4756,-9.4756,-9.4756,-9.4756
2018-01-31,-5.8178,-5.8178,-5.8178,-5.8178
2018-02-01,-9.023,-9.023,-9.023,-9.023
2018-02-02,-27.3504,-27.3504,-27.3504,-27.3504
2018-02-05,-92.5085,-92.5085,-92.5085,-92.5085
2018-02-06,-86.4943,-86.4943,-86.4943,-86.4943
2018-02-07,-84.0038,-84.0038,-84.0038,-84.0038
2018-02-08,-99.5438,-99.5438,-99.5438,-99.5438
2018-02-09,-87.8343,-87.8343,-87.8343,-87.8343
2018-02-12,-84.6419,-84.6419,-84.6419,-84.6419
2018-02-13,-71.6997,-71.6997,-71.6997,-71.6997
2018-02-14,-58.3261,-58.3261,-58.3261,-58.3261
2018-02-15,-54.2709,-54.2709,-54.2709,-54.2709
2018-02-16,-54.8749,-54.8749,-54.8749,-54.8749
2018-02-20,-54.8749,-54.8749,-54.8749,-54.8749
2018-02-21,-56.7731,-56.7731,-56.7731,-56.7731
2018-02-22,-64.711,-64.711,-64.711,-64.711
2018-02-23,-61.6048,-61.6048,-61.6048,-61.6048
2018-02-26,-54.7023,-54.7023,-54.7023,-54.7023
2018-02-27,-61.2597,-61.2597,-61.2597,-61.2597
2018-02-28,-68.1622,-68.1622,-68.1622,-68.1622
2018-03-01,-77.6531,-77.6531,-77.6531,-77.6531
2018-03-02,-76.7903,-76.7903,-76.7903,-76.7903
2018-03-05,-75.2373,-75.2373,-75.2373,-75.2373
2018-03-06,-79.7239,-79.7239,-79.7239,-79.7239
2018-03-07,-83.7791,-83.7791,-83.7791,-83.7791
2018-03-08,-82.7437,-82.7437,-82.7437,-82.7437
2018-03-09,-69.7153,-69.7153,-69.7153,-69.7153
2018-03-12,-71.5272,-71.5272,-71.5272,-71.5272
2018-03-13,-75.4961,-75.4961,-75.4961,-75.4961
2018-03-14,-83.5203,-83.5203,-83.5203,-83.5203
2018-03-15,-81.7947,-81.7947,-81.7947,-81.7947
2018-03-16,-89.8188,-89.8188,-89.8188,-89.8188
2018-03-19,-93.4426,-93.4426,-93.4426,-93.4426
2018-03-20,-97.8979,-97.8979,-97.8979,-97.8979
2018-03-21,-97.876,-97.876,-97.876,-97.876
2018-03-22,-97.4885,-97.4885,-97.4885,-97.4885
2018-03-23,-99.7398,-99.7398,-99.7398,-99.7398
2018-03-26,-91.2167,-91.2167,-91.2167,-91.2167
2018-03-27,-97.3394,-97.3394,-97.3394,-97.3394
2018-03-28,-94.8735,-94.8735,-94.8735,-94.8735
2018-03-29,-88.8312,-88.8312,-88.8312,-88.8312
2018-04-02,-93.8122,-93.8122,-93.8122,-93.8122
2018-04-03,-84.6545,-84.6545,-84.6545,-84.6545
2018-04-04,-77.0048,-77.0048,-77.0048,-77.0048
2018-04-05,-73.779,-73.779,-73.779,-73.779
2018-04-06,-83.272,-83.272,-83.272,-83.272
2018-04-09,-83.0877,-83.0877,-83.0877,-83.0877
2018-04-10,-79.6776,-79.6776,-79.6776,-79.6776
2018-04-11,-86.037,-86.037,-86.037,-86.037
2018-04-12,-78.9403,-78.9403,-78.9403,-78.9403
2018-04-13,-95.6222,-95.6222,-95.6222,-95.6222
2018-04-16,-95.5272,-95.5272,-95.5272,-95.5272
2018-04-17,-97.6267,-97.6267,-97.6267,-97.6267
2018-04-18,-98.7292,-98.7292,-98.7292,-98.7292
2018-04-19,-87.4755,-87.4755,-87.4755,-87.4755
2018-04-20,-77.4951,-77.4951,-77.4951,-77.4951
2018-04-23,-77.0059,-77.0059,-77.0059,-77.0059
2018-04-24,-77.9843,-77.9843,-77.9843,-77.9843
2018-04-25,-70.1883,-70.1883,-70.1883,-70.1883
2018-04-26,-74.8848,-74.8848,-74.8848,-74.8848
2018-04-27,-74.6988,-74.6988,-74.6988,-74.6988
2018-04-30,-79.5181,-79.5181,-79.5181,-79.5181
2018-05-01,-72.2892,-72.2892,-72.2892,-72.2892
2018-05-02,-76.747,-76.747,-76.747,-76.747
2018-05-03,-84.5783,-84.5783,-84.5783,-84.5783
2018-05-04,-74.0964,-74.0964,-74.0964,-74.0964
2018-05-07,-71.0843,-71.0843,-71.0843,-71.0843
