date,ADX
2018-01-02,16.4731
2018-01-03,16.4568
2018-01-04,16.5258
2018-01-05,16.5937
2018-01-08,16.6505
2018-01-09,16.7064
2018-01-10,16.7962
2018-01-11,16.8757
2018-01-12,16.9353
2018-01-16,17.0529
2018-01-17,17.1077
2018-01-18,17.1615
2018-01-19,17.0184
2018-01-22,16.8777
2018-01-23,16.7422
2018-01-24,16.6607
2018-01-25,16.6075
2018-01-26,16.5406
2018-01-29,16.4853
2018-01-30,16.3994
2018-01-31,16.3038
2018-02-01,16.2251
2018-02-02,16.0478
2018-02-05,16.0384
2018-02-06,16.0326
2018-02-07,15.9963
2018-02-08,16.1276
2018-02-09,16.278
2018-02-12,16.2845
2018-02-13,16.2908
2018-02-14,16.2243
2018-02-15,16.1328
2018-02-16,16.0316
2018-02-20,15.9232
2018-02-21,15.7854
2018-02-22,15.6499
2018-02-23,15.4859
2018-02-26,15.2375
2018-02-27,15.009
2018-02-28,14.8092
2018-03-01,14.7063
2018-03-02,14.6452
2018-03-05,14.5295
2018-03-06,14.4158
2018-03-07,14.3301
2018-03-08,14.2119
2018-03-09,14.0121
2018-03-12,13.7963
2018-03-13,13.6582
2018-03-14,13.5516
2018-03-15,13.4505
2018-03-16,13.3179
2018-03-19,13.2017
2018-03-20,13.0815
2018-03-21,12.9421
2018-03-22,12.9016
2018-03-23,12.8816
2018-03-26,12.8399
2018-03-27,12.773
2018-03-28,12.7073
2018-03-29,12.6139
2018-04-02,12.5891
2018-04-03,12.5647
2018-04-04,12.5062
2018-04-05,12.4101
2018-04-06,12.3995
2018-04-09,12.3745
2018-04-10,12.3499
2018-04-11,12.3578
2018-04-12,12.3265
2018-04-13,12.2834
2018-04-16,12.2411
2018-04-17,12.1855
2018-04-18,12.1087
2018-04-19,12.0146
2018-04-20,11.9221
2018-04-23,11.817
2018-04-24,11.7287
2018-04-25,11.5905
2018-04-26,11.4604
2018-04-27,11.3326
2018-04-30,11.2006
2018-05-01,11.0266
2018-05-02,10.8718
2018-05-03,10.7225
2018-05-04,10.56
2018-05-07,10.4014
2018-05-08,10.2854
2018-05-09,10.1884
2018-05-10,10.1183
2018-05-11,10.0719
2018-05-14,10.0211
2018-05-15,9.9348
2018-05-16,9.8502
2018-05-17,9.7787
2018-05-18,9.7085
2018-05-21,9.6702
2018-05-22,9.6572
2018-05-23,9.6052
2018-05-24,9.5476
2018-05-25,9.4826
2018-05-29,9.3418
2018-05-30,9.2033
2018-05-31,9.072
2018-06-01,8.9349
2018-06-04,8.8002
2018-06-05,8.6744
2018-06-06,8.5603
2018-06-07,8.4914
2018-06-08,8.3811
2018-06-11,8.2841
2018-06-12,8.1707
2018-06-13,8.05
2018-06-14,7.9166
2018-06-15,7.8537
2018-06-18,7.7919
2018-06-19,7.7526
2018-06-20,7.722
2018-06-21,7.7104
2018-06-22,7.6639
2018-06-25,7.5464
2018-06-26,7.4309
2018-06-27,7.3538
2018-06-28,7.2894
2018-06-29,7.1768
2018-07-02,7.0642
2018-07-03,6.9483
2018-07-05,6.8336
2018-07-06,6.732
2018-07-09,6.6643
2018-07-10,6.6128
2018-07-11,6.5729
2018-07-12,6.5509
2018-07-13,6.4944
2018-07-16,6.4387
2018-07-17,6.4036
2018-07-18,6.4216
2018-07-19,6.363
2018-07-20,6.3054
2018-07-23,6.252
2018-07-24,6.2225
2018-07-25,6.2162
2018-07-26,6.222
2018-07-27,6.2629
2018-07-30,6.2187
2018-07-31,6.1438
2018-08-01,6.0609
2018-08-02,5.9621
2018-08-03,5.898
2018-08-06,5.849
2018-08-07,5.8477
2018-08-08,5.8528
2018-08-09,5.8698
2018-08-10,5.8459
2018-08-13,5.8257
2018-08-14,5.8159
2018-08-15,5.7698
2018-08-16,5.7651
2018-08-17,5.7662
2018-08-20,5.789
2018-08-21,5.8531
2018-08-22,5.9478
2018-08-23,6.0409
2018-08-24,6.1427
2018-08-27,6.2737
2018-08-28,6.4056
2018-08-29,6.5026
2018-08-30,6.5981
2018-08-31,6.6643
