date,Aroon Up,Aroon Down
2018-01-02,92.562,9.9174
2018-01-03,91.7355,9.0909
2018-01-04,100.0,8.2645
2018-01-05,99.1736,7.438
2018-01-08,98.3471,6.6116
2018-01-09,97.5207,5.7851
2018-01-10,96.6942,4.9587
2018-01-11,95.8678,4.1322
2018-01-12,95.0413,3.3058
2018-01-16,100.0,2.4793
2018-01-17,99.1736,1.6529
2018-01-18,98.3471,0.8264
2018-01-19,97.5207,0.0
2018-01-22,96.6942,0.0
2018-01-23,95.8678,7.438
2018-01-24,95.0413,6.6116
2018-01-25,94.2149,5.7851
2018-01-26,93.3884,4.9587
2018-01-29,92.562,4.1322
2018-01-30,91.7355,3.3058
2018-01-31,90.9091,2.4793
2018-02-01,90.0826,1.6529
2018-02-02,89.2562,0.8264
2018-02-05,88.4298,0.0
2018-02-06,87.6033,14.876
2018-02-07,86.7769,14.0496
2018-02-08,85.9504,13.2231
2018-02-09,85.124,12.3967
2018-02-12,84.2975,11.5702
2018-02-13,83.4711,10.7438
2018-02-14,82.6446,9.9174
2018-02-15,81.8182,9.0909
2018-02-16,80.9917,8.2645
2018-02-20,80.1653,7.438
2018-02-21,79.3388,6.6116
2018-02-22,78.5124,5.7851
2018-02-23,77.686,4.9587
2018-02-26,76.8595,4.1322
2018-02-27,76.0331,3.3058
2018-02-28,75.2066,2.4793
2018-03-01,74.3802,1.6529
2018-03-02,73.5537,0.8264
2018-03-05,72.7273,0.0
2018-03-06,71.9008,0.0
2018-03-07,71.0744,0.0
2018-03-08,70.2479,1.6529
2018-03-09,69.4215,0.8264
2018-03-12,68.595,0.0
2018-03-13,67.7686,0.0
2018-03-14,66.9421,81.8182
2018-03-15,66.1157,80.9917
2018-03-16,65.2893,80.1653
2018-03-19,64.4628,79.3388
2018-03-20,63.6364,78.5124
2018-03-21,62.8099,77.686
2018-03-22,61.9835,76.8595
2018-03-23,61.157,76.0331
2018-03-26,60.3306,75.2066
2018-03-27,59.5041,74.3802
2018-03-28,58.6777,73.5537
2018-03-29,57.8512,72.7273
2018-04-02,57.0248,71.9008
2018-04-03,56.1983,71.0744
2018-04-04,55.3719,70.2479
2018-04-05,54.5455,69.4215
2018-04-06,53.719,68.595
2018-04-09,52.8926,67.7686
2018-04-10,52.0661,66.9421
2018-04-11,51.2397,66.1157
2018-04-12,50.4132,65.2893
2018-04-13,49.5868,64.4628
2018-04-16,48.7603,63.6364
2018-04-17,47.9339,62.8099
2018-04-18,47.1074,61.9835
2018-04-19,100.0,61.157
2018-04-20,99.1736,60.3306
2018-04-23,98.3471,59.5041
2018-04-24,97.5207,58.6777
2018-04-25,96.6942,57.8512
2018-04-26,95.8678,57.0248
2018-04-27,95.0413,56.1983
2018-04-30,94.2149,55.3719
2018-05-01,93.3884,54.5455
2018-05-02,92.562,53.719
2018-05-03,91.7355,52.8926
2018-05-04,90.9091,52.0661
2018-05-07,90.0826,51.2397
2018-05-08,89.2562,50.4132
2018-05-09,88.4298,49.5868
2018-05-10,87.6033,48.7603
2018-05-11,86.7769,47.9339
2018-05-14,85.9504,47.1074
2018-05-15,85.124,46.281
2018-05-16,84.2975,45.4545
2018-05-17,83.4711,44.6281
2018-05-18,82.6446,43.8017
2018-05-21,81.8182,42.9752
2018-05-22,100.0,42.1488
2018-05-23,99.1736,41.3223
2018-05-24,98.3471,40.4959
2018-05-25,97.5207,39.6694
2018-05-29,96.6942,38.843
2018-05-30,95.8678,38.0165
2018-05-31,95.0413,37.1901
2018-06-01,94.2149,36.3636
2018-06-04,93.3884,35.5372
2018-06-05,92.562,34.7107
2018-06-06,91.7355,33.8843
2018-06-07,90.9091,33.0579
2018-06-08,90.0826,32.2314
2018-06-11,89.2562,31.405
2018-06-12,88.4298,30.5785
2018-06-13,87.6033,29.7521
2018-06-14,86.7769,28.9256
2018-06-15,85.9504,28.0992
2018-06-18,85.124,27.2727
2018-06-19,84.2975,26.4463
2018-06-20,83.4711,25.6198
2018-06-21,82.6446,24.7934
2018-06-22,81.8182,23.9669
2018-06-25,80.9917,23.1405
2018-06-26,80.1653,22.314
2018-06-27,79.3388,21.4876
2018-06-28,78.5124,20.6612
2018-06-29,77.686,19.8347
2018-07-02,76.8595,19.0083
2018-07-03,76.0331,18.1818
2018-07-05,75.2066,17.3554
2018-07-06,74.3802,16.5289
2018-07-09,73.5537,15.7025
2018-07-10,72.7273,14.876
2018-07-11,71.9008,14.0496
2018-07-12,71.0744,13.2231
2018-07-13,70.2479,12.3967
2018-07-16,69.4215,11.5702
2018-07-17,68.595,10.7438
2018-07-18,67.7686,9.9174
