date,CCI
2018-01-02,-28.5917
2018-01-03,61.2784
2018-01-04,202.8859
2018-01-05,143.4239
2018-01-08,88.0285
2018-01-09,71.1235
2018-01-10,96.1277
2018-01-11,60.2622
2018-01-12,37.6871
2018-01-16,68.3675
2018-01-17,-54.3431
2018-01-18,-160.0288
2018-01-19,-302.0268
2018-01-22,-164.4097
2018-01-23,-105.8916
2018-01-24,-35.9673
2018-01-25,10.0229
2018-01-26,9.1333
2018-01-29,24.582
2018-01-30,6.5942
2018-01-31,22.2916
2018-02-01,58.5534
2018-02-02,-125.8368
2018-02-05,-280.03
2018-02-06,-166.8138
2018-02-07,-84.4886
2018-02-08,-124.3063
2018-02-09,-91.1105
2018-02-12,-13.9908
2018-02-13,-9.0268
2018-02-14,44.7332
2018-02-15,94.3649
2018-02-16,116.9792
2018-02-20,105.4717
2018-02-21,95.814
2018-02-22,75.9654
2018-02-23,96.363
2018-02-26,182.6869
2018-02-27,134.3755
2018-02-28,27.8523
2018-03-01,-104.5681
2018-03-02,-142.9645
2018-03-05,-70.8813
2018-03-06,-68.7842
2018-03-07,-84.192
2018-03-08,-41.699
2018-03-09,42.7291
2018-03-12,56.6417
2018-03-13,-21.9395
2018-03-14,-102.5084
2018-03-15,-104.3923
2018-03-16,-53.1303
2018-03-19,-83.9875
2018-03-20,-48.7043
2018-03-21,-46.1013
2018-03-22,-172.9372
2018-03-23,-188.5335
2018-03-26,-94.8275
2018-03-27,-76.0622
2018-03-28,-45.3651
2018-03-29,-1.8504
2018-04-02,-75.6177
2018-04-03,-26.7879
2018-04-04,31.9362
2018-04-05,194.5704
2018-04-06,-24.0558
2018-04-09,21.829
2018-04-10,44.0486
2018-04-11,-82.5459
2018-04-12,41.179
2018-04-13,60.4634
2018-04-16,84.2213
2018-04-17,106.3164
2018-04-18,139.5802
2018-04-19,302.0562
2018-04-20,164.2911
2018-04-23,99.9897
2018-04-24,76.0851
2018-04-25,35.6954
2018-04-26,41.2004
2018-04-27,29.3427
2018-04-30,8.9412
2018-05-01,-62.6641
2018-05-02,-114.2965
2018-05-03,-169.6138
2018-05-04,-78.8387
2018-05-07,-11.4155
2018-05-08,72.6826
2018-05-09,112.8376
2018-05-10,142.4786
2018-05-11,139.7986
2018-05-14,96.3696
2018-05-15,46.7287
2018-05-16,39.5088
2018-05-17,49.6213
2018-05-18,29.6677
2018-05-21,120.7671
2018-05-22,165.6202
2018-05-23,37.6361
2018-05-24,29.1343
2018-05-25,-41.4549
2018-05-29,-253.7443
2018-05-30,-140.0058
2018-05-31,-111.054
2018-06-01,-76.4056
2018-06-04,-44.2108
2018-06-05,-41.1083
2018-06-06,42.9988
2018-06-07,104.3196
2018-06-08,63.3081
2018-06-11,97.6852
2018-06-12,58.3912
2018-06-13,16.6445
2018-06-14,-7.8393
2018-06-15,-151.8298
2018-06-18,-139.4866
2018-06-19,-148.7085
2018-06-20,-117.0546
2018-06-21,-106.5385
2018-06-22,-55.164
2018-06-25,-15.5092
2018-06-26,37.0367
2018-06-27,-12.9705
2018-06-28,-66.7217
2018-06-29,84.9659
2018-07-02,80.4942
2018-07-03,57.4497
2018-07-05,44.9593
2018-07-06,78.9639
2018-07-09,208.9368
2018-07-10,168.745
2018-07-11,135.3593
2018-07-12,136.3583
2018-07-13,77.4594
2018-07-16,71.998
2018-07-17,95.5802
2018-07-18,169.8016
2018-07-19,-15.5896
2018-07-20,-17.7579
2018-07-23,17.7515
2018-07-24,95.0111
2018-07-25,117.768
2018-07-26,119.4196
2018-07-27,143.5791
2018-07-30,-18.5416
2018-07-31,-106.8903
2018-08-01,-97.1269
2018-08-02,-109.7043
2018-08-03,-46.575
2018-08-06,-20.9424
2018-08-07,46.0058
2018-08-08,70.4965
2018-08-09,88.0908
2018-08-10,36.1607
2018-08-13,44.3247
2018-08-14,56.9661
2018-08-15,-8.8766
2018-08-16,80.1392
2018-08-17,94.5514
2018-08-20,159.046
2018-08-21,194.4919
2018-08-22,175.199
2018-08-23,119.3469
2018-08-24,105.4266
2018-08-27,117.5338
2018-08-28,105.961
2018-08-29,73.7528
2018-08-30,49.275
2018-08-31,8.6231
2018-09-04,56.6892
2018-09-05,-40.33
2018-09-06,-121.7084
2018-09-07,-45.4068
2018-09-10,107.8194
2018-09-11,141.6598
2018-09-12,144.6409
2018-09-13,132.9207
2018-09-14,139.3763
2018-09-17,109.2747
2018-09-18,90.5634
2018-09-19,101.5838
2018-09-20,134.6461
2018-09-21,113.901
2018-09-24,38.5392
2018-09-25,9.7722
2018-09-26,-116.9062
2018-09-27,-170.8538
2018-09-28,-171.9418
2018-10-01,-66.8949
2018-10-02,-59.3191
2018-10-03,-18.9183
2018-10-04,-62.38
2018-10-05,-75.6756
2018-10-08,-137.5511
2018-10-09,-120.3386
2018-10-10,-194.5954
2018-10-11,-212.7942
2018-10-12,-120.945
2018-10-15,-99.8674
2018-10-16,-53.0981
2018-10-17,-18.7543
2018-10-18,-58.2214
2018-10-19,88.8056
2018-10-22,59.5912
2018-10-23,-28.4679
2018-10-24,-74.1797
2018-10-25,-51.1075
2018-10-26,-153.1194
2018-10-29,-121.6337
2018-10-30,-90.9481
2018-10-31,-10.4719
2018-11-01,31.4752
2018-11-02,62.1084
2018-11-05,136.0793
2018-11-06,122.453
2018-11-07,154.2239
2018-11-08,158.8037
2018-11-09,128.9358
2018-11-12,67.8429
2018-11-13,66.8884
2018-11-14,73.2522
2018-11-15,86.1159
2018-11-16,121.0045
2018-11-19,60.5317
2018-11-20,-120.5668
2018-11-21,-100.7794
2018-11-23,-131.7437
2018-11-26,72.3297
2018-11-27,111.9198
2018-11-28,186.3435
2018-11-29,112.8831
2018-11-30,97.0244
2018-12-03,109.8908
2018-12-04,-11.7565
2018-12-06,-79.1569
2018-12-07,-76.2796
2018-12-10,-139.3817
2018-12-11,-95.9735
2018-12-12,-41.6738
2018-12-13,-43.9188
2018-12-14,-78.473
2018-12-17,-173.8048
2018-12-18,-172.7531
2018-12-19,-155.023
2018-12-20,-156.1178
2018-12-21,-163.411
2018-12-24,-147.5367
2018-12-26,-93.0778
2018-12-27,-61.2793
2018-12-28,-35.5082
2018-12-31,-16.3426
2019-01-02,2.0364
2019-01-03,-17.4008
2019-01-04,119.8464
2019-01-07,146.5048
2019-01-08,128.48
2019-01-09,109.5494
2019-01-10,70.9173
2019-01-11,57.6824
2019-01-14,54.9023
2019-01-15,39.4725
2019-01-16,98.6356
2019-01-17,136.3547
2019-01-18,86.2007
2019-01-22,132.379
2019-01-23,67.7536
2019-01-24,95.4028
2019-01-25,166.9649
2019-01-28,75.8415
2019-01-29,139.8288
2019-01-30,182.3544
2019-01-31,146.7418
2019-02-01,137.8905
2019-02-04,110.6557
2019-02-05,114.4047
2019-02-06,123.2863
2019-02-07,94.5469
2019-02-08,75.2722
2019-02-11,121.6739
2019-02-12,184.6194
2019-02-13,168.5182
2019-02-14,87.6528
2019-02-15,97.5761
2019-02-19,47.5001
2019-02-20,41.7518
2019-02-21,22.9278
2019-02-22,63.2071
2019-02-25,83.8233
2019-02-26,-17.8307
2019-02-27,19.7445
2019-02-28,124.9448
2019-03-01,222.808
2019-03-04,152.461
2019-03-05,102.8254
2019-03-06,95.1699
2019-03-07,-8.1633
2019-03-08,-48.4405
2019-03-11,95.0332
2019-03-12,157.9354
2019-03-13,192.1576
2019-03-14,162.5974
2019-03-15,141.7952
2019-03-18,117.4988
2019-03-19,77.4939
2019-03-20,8.5824
2019-03-21,-5.2895
2019-03-22,-95.7958
2019-03-25,-138.5589
2019-03-26,-97.8807
2019-03-27,-98.9078
2019-03-28,-75.8048
2019-03-29,-46.8458
