date,ADX
2018-01-02,14.7366
2018-01-03,14.9581
2018-01-04,15.2886
2018-01-05,15.6109
2018-01-08,15.9251
2018-01-09,16.2921
2018-01-10,16.6912
2018-01-11,17.0803
2018-01-12,17.5663
2018-01-16,18.1504
2018-01-17,18.4488
2018-01-18,18.8199
2018-01-19,19.1873
2018-01-22,19.5827
2018-01-23,20.0028
2018-01-24,20.427
2018-01-25,20.8479
2018-01-26,21.2583
2018-01-29,21.705
2018-01-30,22.006
2018-01-31,22.3173
2018-02-01,22.6616
2018-02-02,23.0299
2018-02-05,22.5324
2018-02-06,22.0474
2018-02-07,21.6756
2018-02-08,21.2144
2018-02-09,20.8862
2018-02-12,20.3865
2018-02-13,19.8993
2018-02-14,19.5066
2018-02-15,19.2071
2018-02-16,18.9151
2018-02-20,18.5928
2018-02-21,18.3185
2018-02-22,18.0106
2018-02-23,17.7103
2018-02-26,17.4936
2018-02-27,17.361
2018-02-28,17.177
2018-03-01,16.8333
2018-03-02,16.4759
2018-03-05,16.1317
2018-03-06,15.7961
2018-03-07,15.4082
2018-03-08,15.0241
2018-03-09,14.7408
2018-03-12,14.5258
2018-03-13,14.2447
2018-03-14,13.8953
2018-03-15,13.5546
2018-03-16,13.2691
2018-03-19,12.9665
2018-03-20,12.6715
2018-03-21,12.3782
2018-03-22,12.2903
2018-03-23,12.4272
2018-03-26,12.5607
2018-03-27,12.7565
2018-03-28,12.9767
2018-03-29,13.1507
2018-04-02,13.4023
2018-04-03,13.6476
2018-04-04,13.8128
2018-04-05,13.8455
2018-04-06,13.9904
2018-04-09,14.0599
2018-04-10,14.1277
2018-04-11,14.2458
2018-04-12,14.2406
2018-04-13,14.3279
2018-04-16,14.4263
2018-04-17,14.5223
2018-04-18,14.6732
2018-04-19,14.8158
2018-04-20,14.8886
2018-04-23,14.9612
2018-04-24,14.9277
2018-04-25,14.9286
2018-04-26,14.9295
2018-04-27,14.9338
2018-04-30,14.886
2018-05-01,14.893
2018-05-02,14.8734
2018-05-03,15.0438
2018-05-04,15.21
2018-05-07,15.2828
2018-05-08,15.2744
2018-05-09,15.1183
2018-05-10,14.9067
2018-05-11,14.7004
2018-05-14,14.4564
2018-05-15,14.2533
2018-05-16,14.0552
2018-05-17,13.9302
2018-05-18,13.8903
2018-05-21,13.8515
2018-05-22,13.7064
2018-05-23,13.6513
2018-05-24,13.6434
2018-05-25,13.6357
2018-05-29,13.8291
2018-05-30,14.0176
2018-05-31,14.2544
2018-06-01,14.3867
2018-06-04,14.5156
2018-06-05,14.686
2018-06-06,14.6808
2018-06-07,14.6164
2018-06-08,14.5679
2018-06-11,14.4385
2018-06-12,14.3692
2018-06-13,14.282
2018-06-14,14.2549
2018-06-15,14.3189
2018-06-18,14.3597
2018-06-19,14.3995
2018-06-20,14.4059
2018-06-21,14.4455
2018-06-22,14.4661
2018-06-25,14.6176
2018-06-26,14.8076
2018-06-27,14.9468
2018-06-28,15.0825
2018-06-29,15.1275
2018-07-02,15.235
2018-07-03,15.3001
2018-07-05,15.3636
2018-07-06,15.4594
2018-07-09,15.3111
2018-07-10,15.1095
2018-07-11,14.9394
2018-07-12,14.759
2018-07-13,14.6724
2018-07-16,14.3232
2018-07-17,14.0195
2018-07-18,13.7418
2018-07-19,13.4278
2018-07-20,13.1011
2018-07-23,12.9065
2018-07-24,12.7674
2018-07-25,12.6317
2018-07-26,12.5194
2018-07-27,12.3886
2018-07-30,12.3237
2018-07-31,12.1864
2018-08-01,12.0802
2018-08-02,11.9055
2018-08-03,11.7772
2018-08-06,11.6689
2018-08-07,11.6075
2018-08-08,11.5707
2018-08-09,11.5347
2018-08-10,11.3364
2018-08-13,11.0676
2018-08-14,10.8125
2018-08-15,10.624
2018-08-16,10.3879
2018-08-17,10.154
2018-08-20,9.9089
2018-08-21,9.7305
2018-08-22,9.5565
2018-08-23,9.3512
2018-08-24,9.1758
2018-08-27,9.1042
2018-08-28,9.0344
2018-08-29,8.9334
2018-08-30,8.8021
2018-08-31,8.5855
2018-09-04,8.4288
2018-09-05,8.2966
2018-09-06,8.1025
2018-09-07,7.9136
2018-09-10,7.7294
2018-09-11,7.5637
2018-09-12,7.4898
2018-09-13,7.4964
2018-09-14,7.5028
2018-09-17,7.4783
2018-09-18,7.4599
2018-09-19,7.3385
2018-09-20,7.2657
2018-09-21,7.1455
2018-09-24,6.9926
2018-09-25,6.8601
2018-09-26,6.8742
2018-09-27,6.9209
2018-09-28,7.0897
2018-10-01,7.2268
2018-10-02,7.4236
2018-10-03,7.4784
2018-10-04,7.362
2018-10-05,7.2709
2018-10-08,7.217
2018-10-09,7.1744
2018-10-10,7.2906
2018-10-11,7.6017
2018-10-12,8.003
2018-10-15,8.4104
2018-10-16,8.8075
2018-10-17,9.0185
2018-10-18,9.2282
2018-10-19,9.4663
2018-10-22,9.8225
2018-10-23,10.3654
2018-10-24,10.8984
2018-10-25,11.4093
2018-10-26,11.9532
2018-10-29,12.3108
2018-10-30,12.6594
2018-10-31,12.7312
2018-11-01,12.772
2018-11-02,12.7205
2018-11-05,12.6703
2018-11-06,12.6506
2018-11-07,12.529
2018-11-08,12.3074
2018-11-09,12.101
2018-11-12,12.0487
2018-11-13,11.9977
2018-11-14,12.1144
2018-11-15,12.2283
2018-11-16,12.3392
2018-11-19,12.4145
2018-11-20,12.5901
2018-11-21,12.7128
2018-11-23,12.8972
2018-11-26,12.9375
2018-11-27,12.9359
2018-11-28,12.8024
2018-11-29,12.6722
2018-11-30,12.4819
2018-12-03,12.2074
2018-12-04,12.2407
2018-12-06,12.4559
2018-12-07,12.6984
2018-12-10,13.0685
2018-12-11,13.392
2018-12-12,13.7281
2018-12-13,14.0675
2018-12-14,14.4195
2018-12-17,14.7485
2018-12-18,15.0311
2018-12-19,15.3403
2018-12-20,15.6842
2018-12-21,16.0854
2018-12-24,16.5514
2018-12-26,16.7788
2018-12-27,16.9572
2018-12-28,17.0481
2018-12-31,17.0896
2019-01-02,17.1821
2019-01-03,17.2723
2019-01-04,17.2284
2019-01-07,17.1582
2019-01-08,17.1213
2019-01-09,17.0734
2019-01-10,17.0267
2019-01-11,16.9232
2019-01-14,16.7271
2019-01-15,16.4669
2019-01-16,16.2434
2019-01-17,16.0708
2019-01-18,15.9737
2019-01-22,15.879
2019-01-23,15.7334
2019-01-24,15.5913
2019-01-25,15.5363
2019-01-28,15.4827
2019-01-29,15.4353
2019-01-30,15.3064
2019-01-31,14.9903
2019-02-01,14.682
2019-02-04,14.405
2019-02-05,14.1348
2019-02-06,13.8654
2019-02-07,13.5605
2019-02-08,13.2709
2019-02-11,12.9603
2019-02-12,12.6941
2019-02-13,12.4597
2019-02-14,12.176
2019-02-15,11.976
2019-02-19,11.781
2019-02-20,11.6267
2019-02-21,11.4762
2019-02-22,11.2971
2019-02-25,11.1849
2019-02-26,11.0403
2019-02-27,10.9073
2019-02-28,10.7337
2019-03-01,10.5852
2019-03-04,10.342
2019-03-05,10.0896
2019-03-06,9.8434
2019-03-07,9.7093
2019-03-08,9.6309
2019-03-11,9.4643
2019-03-12,9.2882
2019-03-13,9.0831
2019-03-14,8.9116
2019-03-15,8.7445
2019-03-18,8.6589
2019-03-19,8.6145
2019-03-20,8.4434
2019-03-21,8.3922
2019-03-22,8.5833
2019-03-25,8.7861
2019-03-26,8.9839
2019-03-27,9.1719
2019-03-28,9.3454
2019-03-29,9.448
