date,Aroon Up,Aroon Down
2018-01-02,95.8678,33.8843
2018-01-03,95.0413,33.0579
2018-01-04,100.0,32.2314
2018-01-05,99.1736,31.405
2018-01-08,98.3471,30.5785
2018-01-09,100.0,29.7521
2018-01-10,100.0,28.9256
2018-01-11,99.1736,28.0992
2018-01-12,100.0,27.2727
2018-01-16,100.0,26.4463
2018-01-17,99.1736,25.6198
2018-01-18,98.3471,24.7934
2018-01-19,97.5207,23.9669
2018-01-22,100.0,23.1405
2018-01-23,100.0,22.314
2018-01-24,100.0,21.4876
2018-01-25,100.0,20.6612
2018-01-26,99.1736,19.8347
2018-01-29,100.0,19.0083
2018-01-30,99.1736,18.1818
2018-01-31,98.3471,17.3554
2018-02-01,100.0,16.5289
2018-02-02,100.0,15.7025
2018-02-05,99.1736,14.876
2018-02-06,98.3471,14.0496
2018-02-07,97.5207,13.2231
2018-02-08,96.6942,12.3967
2018-02-09,95.8678,11.5702
2018-02-12,95.0413,10.7438
2018-02-13,94.2149,9.9174
2018-02-14,93.3884,9.0909
2018-02-15,92.562,8.2645
2018-02-16,91.7355,7.438
2018-02-20,90.9091,6.6116
2018-02-21,90.0826,5.7851
2018-02-22,89.2562,4.9587
2018-02-23,88.4298,4.1322
2018-02-26,87.6033,3.3058
2018-02-27,100.0,2.4793
2018-02-28,99.1736,1.6529
2018-03-01,98.3471,0.8264
2018-03-02,97.5207,0.0
2018-03-05,96.6942,0.0
2018-03-06,95.8678,0.0
2018-03-07,95.0413,0.0
2018-03-08,94.2149,0.0
2018-03-09,93.3884,0.8264
2018-03-12,100.0,0.0
2018-03-13,99.1736,0.0
2018-03-14,98.3471,3.3058
2018-03-15,97.5207,2.4793
2018-03-16,96.6942,1.6529
2018-03-19,95.8678,0.8264
2018-03-20,95.0413,0.0
2018-03-21,94.2149,0.0
2018-03-22,93.3884,9.9174
2018-03-23,92.562,9.0909
2018-03-26,91.7355,8.2645
2018-03-27,90.9091,7.438
2018-03-28,90.0826,6.6116
2018-03-29,89.2562,5.7851
2018-04-02,88.4298,4.9587
2018-04-03,87.6033,4.1322
2018-04-04,86.7769,3.3058
2018-04-05,85.9504,2.4793
2018-04-06,85.124,1.6529
2018-04-09,84.2975,0.8264
2018-04-10,83.4711,0.0
2018-04-11,82.6446,18.1818
2018-04-12,81.8182,17.3554
2018-04-13,80.9917,16.5289
2018-04-16,80.1653,15.7025
2018-04-17,79.3388,14.876
2018-04-18,78.5124,14.0496
2018-04-19,77.686,13.2231
2018-04-20,76.8595,12.3967
2018-04-23,76.0331,11.5702
2018-04-24,75.2066,10.7438
2018-04-25,74.3802,9.9174
2018-04-26,73.5537,9.0909
2018-04-27,72.7273,8.2645
2018-04-30,71.9008,7.438
2018-05-01,71.0744,6.6116
2018-05-02,70.2479,5.7851
2018-05-03,69.4215,4.9587
2018-05-04,68.595,4.1322
2018-05-07,67.7686,3.3058
2018-05-08,66.9421,2.4793
2018-05-09,66.1157,1.6529
2018-05-10,65.2893,0.8264
2018-05-11,64.4628,0.0
2018-05-14,63.6364,0.8264
2018-05-15,62.8099,0.0
2018-05-16,61.9835,3.3058
2018-05-17,61.157,2.4793
2018-05-18,60.3306,1.6529
2018-05-21,59.5041,0.8264
2018-05-22,58.6777,0.0
2018-05-23,57.8512,0.0
2018-05-24,57.0248,1.6529
2018-05-25,56.1983,0.8264
2018-05-29,55.3719,0.0
2018-05-30,54.5455,2.4793
2018-05-31,53.719,1.6529
2018-06-01,52.8926,0.8264
2018-06-04,52.0661,0.0
2018-06-05,51.2397,81.8182
2018-06-06,50.4132,80.9917
2018-06-07,49.5868,80.1653
2018-06-08,48.7603,79.3388
2018-06-11,47.9339,78.5124
2018-06-12,47.1074,77.686
2018-06-13,46.281,76.8595
2018-06-14,45.4545,76.0331
2018-06-15,44.6281,75.2066
2018-06-18,43.8017,74.3802
2018-06-19,42.9752,73.5537
2018-06-20,42.1488,72.7273
2018-06-21,41.3223,71.9008
2018-06-22,40.4959,71.0744
2018-06-25,39.6694,100.0
2018-06-26,38.843,100.0
2018-06-27,38.0165,99.1736
2018-06-28,37.1901,98.3471
2018-06-29,36.3636,97.5207
2018-07-02,35.5372,100.0
2018-07-03,34.7107,100.0
2018-07-05,33.8843,99.1736
2018-07-06,33.0579,100.0
2018-07-09,32.2314,99.1736
2018-07-10,31.405,98.3471
2018-07-11,30.5785,97.5207
2018-07-12,29.7521,96.6942
2018-07-13,28.9256,95.8678
2018-07-16,28.0992,95.0413
2018-07-17,27.2727,94.2149
2018-07-18,26.4463,93.3884
2018-07-19,25.6198,92.562
2018-07-20,24.7934,91.7355
2018-07-23,23.9669,90.9091
2018-07-24,23.1405,90.0826
2018-07-25,22.314,89.2562
2018-07-26,21.4876,88.4298
2018-07-27,20.6612,87.6033
2018-07-30,19.8347,86.7769
2018-07-31,19.0083,85.9504
2018-08-01,18.1818,85.124
2018-08-02,17.3554,84.2975
2018-08-03,16.5289,83.4711
2018-08-06,15.7025,82.6446
2018-08-07,14.876,81.8182
2018-08-08,14.0496,80.9917
2018-08-09,13.2231,80.1653
2018-08-10,12.3967,79.3388
2018-08-13,11.5702,78.5124
2018-08-14,10.7438,77.686
2018-08-15,9.9174,76.8595
2018-08-16,9.0909,76.0331
2018-08-17,8.2645,75.2066
2018-08-20,7.438,74.3802
2018-08-21,6.6116,73.5537
2018-08-22,5.7851,72.7273
2018-08-23,4.9587,71.9008
2018-08-24,4.1322,71.0744
2018-08-27,3.3058,70.2479
2018-08-28,2.4793,69.4215
2018-08-29,1.6529,68.595
2018-08-30,0.8264,67.7686
2018-08-31,0.0,66.9421
2018-09-04,0.0,66.1157
2018-09-05,1.6529,65.2893
2018-09-06,0.8264,64.4628
2018-09-07,0.0,63.6364
2018-09-10,1.6529,62.8099
2018-09-11,0.8264,61.9835
2018-09-12,0.0,61.157
2018-09-13,79.3388,60.3306
2018-09-14,78.5124,59.5041
2018-09-17,77.686,58.6777
2018-09-18,76.8595,57.8512
2018-09-19,76.0331,57.0248
2018-09-20,75.2066,56.1983
2018-09-21,74.3802,55.3719
2018-09-24,73.5537,54.5455
2018-09-25,72.7273,53.719
2018-09-26,71.9008,52.8926
2018-09-27,71.0744,52.0661
2018-09-28,70.2479,51.2397
2018-10-01,69.4215,50.4132
2018-10-02,68.595,49.5868
2018-10-03,67.7686,48.7603
2018-10-04,66.9421,47.9339
2018-10-05,66.1157,47.1074
2018-10-08,65.2893,46.281
2018-10-09,64.4628,45.4545
2018-10-10,63.6364,44.6281
2018-10-11,62.8099,43.8017
