date,WILLR
2018-01-02,-3.0806
2018-01-03,-5.4502
2018-01-04,-5.3996
2018-01-05,-2.3758
2018-01-08,-6.9114
2018-01-09,-5.7082
2018-01-10,-3.6585
2018-01-11,-1.4228
2018-01-12,-0.1855
2018-01-16,-10.2894
2018-01-17,-11.4119
2018-01-18,-5.8712
2018-01-19,-1.3258
2018-01-22,-0.0
2018-01-23,-3.7367
2018-01-24,-2.1053
2018-01-25,-2.8144
2018-01-26,-1.0526
2018-01-29,-3.4343
2018-01-30,-11.5152
2018-01-31,-11.0294
2018-02-01,-0.0
2018-02-02,-16.7442
2018-02-05,-56.0465
2018-02-06,-37.1212
2018-02-07,-35.8586
2018-02-08,-73.9899
2018-02-09,-59.0909
2018-02-12,-39.1414
2018-02-13,-37.9135
2018-02-14,-18.9266
2018-02-15,-12.9944
2018-02-16,-19.774
2018-02-20,-20.904
2018-02-21,-22.5989
2018-02-22,-27.6836
2018-02-23,-18.0791
2018-02-26,-7.0621
2018-02-27,-13.9785
2018-02-28,-20.1613
2018-03-01,-36.828
2018-03-02,-32.7957
2018-03-05,-19.3548
2018-03-06,-19.8925
2018-03-07,-18.0108
2018-03-08,-17.4731
2018-03-09,-3.4946
2018-03-12,-5.3571
2018-03-13,-17.602
2018-03-14,-23.2143
2018-03-15,-24.2347
2018-03-16,-22.449
2018-03-19,-27.2959
2018-03-20,-27.2959
2018-03-21,-30.102
2018-03-22,-63.7755
2018-03-23,-97.0
2018-03-26,-65.25
2018-03-27,-88.25
2018-03-28,-90.5941
2018-03-29,-75.7426
2018-04-02,-86.9767
2018-04-03,-80.4651
2018-04-04,-73.7209
2018-04-05,-63.4884
2018-04-06,-79.5349
2018-04-09,-73.9535
2018-04-10,-59.7674
2018-04-11,-73.2558
2018-04-12,-55.814
2018-04-13,-75.5814
2018-04-16,-72.5581
2018-04-17,-70.0
2018-04-18,-81.8605
2018-04-19,-66.7442
2018-04-20,-64.8837
2018-04-23,-63.4884
2018-04-24,-66.5116
2018-04-25,-67.6744
2018-04-26,-69.3023
2018-04-27,-67.4419
2018-04-30,-72.7907
2018-05-01,-72.093
2018-05-02,-80.6977
2018-05-03,-83.3333
2018-05-04,-81.1688
2018-05-07,-73.8095
2018-05-08,-67.1053
2018-05-09,-44.686
2018-05-10,-40.5797
2018-05-11,-39.8551
2018-05-14,-33.0846
2018-05-15,-30.597
2018-05-16,-34.5771
2018-05-17,-22.2222
2018-05-18,-37.5427
2018-05-21,-27.6451
2018-05-22,-16.041
2018-05-23,-31.3993
2018-05-24,-39.2491
2018-05-25,-40.9556
2018-05-29,-81.9113
2018-05-30,-63.8225
2018-05-31,-79.1809
2018-06-01,-66.8942
2018-06-04,-66.8942
2018-06-05,-76.4505
2018-06-06,-45.0512
2018-06-07,-43.3447
2018-06-08,-46.0751
2018-06-11,-44.3686
2018-06-12,-49.8294
2018-06-13,-51.8771
2018-06-14,-63.4812
2018-06-15,-70.9898
2018-06-18,-66.8942
2018-06-19,-71.6724
2018-06-20,-72.3549
2018-06-21,-70.6485
2018-06-22,-80.8874
2018-06-25,-92.9032
2018-06-26,-84.1791
2018-06-27,-93.1343
2018-06-28,-80.2985
2018-06-29,-94.6269
2018-07-02,-87.2521
2018-07-03,-98.895
2018-07-05,-95.0276
2018-07-06,-89.2761
2018-07-09,-61.9303
2018-07-10,-67.8284
2018-07-11,-71.8499
2018-07-12,-68.5083
2018-07-13,-73.7892
2018-07-16,-38.7464
2018-07-17,-32.1937
2018-07-18,-28.7749
2018-07-19,-34.8243
2018-07-20,-10.0719
2018-07-23,-3.1056
2018-07-24,-8.046
2018-07-25,-1.1494
2018-07-26,-7.5419
2018-07-27,-4.1899
2018-07-30,-3.6649
2018-07-31,-14.9215
2018-08-01,-7.6531
2018-08-02,-6.8878
2018-08-03,-1.0204
2018-08-06,-1.7677
2018-08-07,-6.9544
2018-08-08,-2.5701
2018-08-09,-7.243
2018-08-10,-16.8224
2018-08-13,-33.4112
2018-08-14,-26.1682
2018-08-15,-36.215
2018-08-16,-27.8037
2018-08-17,-27.3364
2018-08-20,-24.2991
2018-08-21,-20.7944
2018-08-22,-21.729
2018-08-23,-25.0
2018-08-24,-23.8318
2018-08-27,-14.0187
2018-08-28,-14.9533
2018-08-29,-17.9907
2018-08-30,-21.028
2018-08-31,-26.5583
2018-09-04,-20.8802
2018-09-05,-19.7955
2018-09-06,-28.7442
2018-09-07,-28.473
2018-09-10,-34.2767
2018-09-11,-43.2653
2018-09-12,-60.4082
2018-09-13,-72.2449
2018-09-14,-62.8571
2018-09-17,-89.071
2018-09-18,-92.8962
2018-09-19,-49.7268
2018-09-20,-39.3443
2018-09-21,-48.0874
2018-09-24,-63.9344
2018-09-25,-67.7596
2018-09-26,-96.2162
2018-09-27,-99.4949
2018-09-28,-98.3936
2018-10-01,-90.7631
2018-10-02,-88.2743
2018-10-03,-72.3622
2018-10-04,-53.979
2018-10-05,-56.7695
2018-10-08,-54.9673
2018-10-09,-68.0333
2018-10-10,-98.6842
2018-10-11,-96.904
2018-10-12,-80.5851
2018-10-15,-92.7273
2018-10-16,-76.8831
2018-10-17,-67.2727
2018-10-18,-84.1558
2018-10-19,-82.3377
2018-10-22,-98.3254
2018-10-23,-82.7521
2018-10-24,-97.9206
2018-10-25,-90.3592
2018-10-26,-90.7104
2018-10-29,-86.7031
2018-10-30,-83.6066
2018-10-31,-70.4918
2018-11-01,-64.8452
2018-11-02,-63.388
2018-11-05,-60.2914
2018-11-06,-57.5592
2018-11-07,-51.5483
2018-11-08,-45.5373
2018-11-09,-51.9126
2018-11-12,-65.9381
2018-11-13,-65.7559
2018-11-14,-75.7741
2018-11-15,-63.2058
2018-11-16,-64.8496
2018-11-19,-63.7597
2018-11-20,-69.4501
2018-11-21,-71.6904
2018-11-23,-77.8004
2018-11-26,-65.7841
2018-11-27,-62.1181
2018-11-28,-48.0652
2018-11-29,-56.0081
2018-11-30,-47.1698
2018-12-03,-41.4097
2018-12-04,-74.2459
2018-12-06,-83.7339
2018-12-07,-96.7089
2018-12-10,-90.4082
2018-12-11,-94.0816
2018-12-12,-95.3061
2018-12-13,-97.556
2018-12-14,-92.8
2018-12-17,-93.0
2018-12-18,-93.0
2018-12-19,-97.8218
2018-12-20,-93.4701
2018-12-21,-98.1229
2018-12-24,-98.9164
2018-12-26,-77.5542
2018-12-27,-73.5294
2018-12-28,-73.2198
2018-12-31,-69.3498
2019-01-02,-64.3963
2019-01-03,-70.5882
2019-01-04,-54.7988
2019-01-07,-55.1084
2019-01-08,-55.8824
2019-01-09,-51.3725
2019-01-10,-51.8431
2019-01-11,-47.1373
2019-01-14,-41.8039
2019-01-15,-38.9804
2019-01-16,-9.1765
2019-01-17,-0.7059
2019-01-18,-2.3529
2019-01-22,-5.4412
2019-01-23,-7.9412
2019-01-24,-5.5882
2019-01-25,-1.983
2019-01-28,-1.2748
2019-01-29,-4.6742
2019-01-30,-9.2068
2019-01-31,-17.7054
2019-02-01,-18.9802
2019-02-04,-11.898
2019-02-05,-13.3144
2019-02-06,-14.0227
2019-02-07,-20.9632
2019-02-08,-20.255
2019-02-11,-18.5552
2019-02-12,-14.5892
2019-02-13,-14.4476
2019-02-14,-18.8385
2019-02-15,-8.6402
2019-02-19,-8.3569
2019-02-20,-4.3909
2019-02-21,-6.0907
2019-02-22,-9.1038
2019-02-25,-7.109
2019-02-26,-7.5306
2019-02-27,-3.3275
2019-02-28,-11.2084
2019-03-01,-7.7799
2019-03-04,-14.7122
2019-03-05,-13.8229
2019-03-06,-19.0065
2019-03-07,-27.0208
2019-03-08,-24.8837
2019-03-11,-18.3099
2019-03-12,-18.9781
2019-03-13,-11.7166
2019-03-14,-13.9785
2019-03-15,-22.5806
2019-03-18,-6.6667
2019-03-19,-21.4912
2019-03-20,-65.7895
2019-03-21,-85.9649
2019-03-22,-91.2536
2019-03-25,-93.4844
2019-03-26,-83.0028
2019-03-27,-88.102
2019-03-28,-79.6034
2019-03-29,-72.238
