date,ADX
2018-01-02,27.1195
2018-01-03,23.8657
2018-01-04,24.5138
2018-01-05,21.8973
2018-01-08,23.9783
2018-01-09,28.6036
2018-01-10,34.5665
2018-01-11,41.3251
2018-01-12,49.0984
2018-01-16,56.718
2018-01-17,62.952
2018-01-18,68.3153
2018-01-19,67.8491
2018-01-22,69.0263
2018-01-23,67.4896
2018-01-24,66.9651
2018-01-25,64.5209
2018-01-26,64.1238
2018-01-29,64.3077
2018-01-30,56.3452
2018-01-31,45.7277
2018-02-01,45.3046
2018-02-02,43.815
2018-02-05,49.7999
2018-02-06,55.9606
2018-02-07,56.3503
2018-02-08,59.6483
2018-02-09,62.7174
2018-02-12,59.9348
2018-02-13,57.8434
2018-02-14,52.4211
2018-02-15,42.748
2018-02-16,36.8062
2018-02-20,30.5988
2018-02-21,26.1928
2018-02-22,23.7908
2018-02-23,21.8692
2018-02-26,27.5012
2018-02-27,33.4678
2018-02-28,29.7004
2018-03-01,26.8861
2018-03-02,26.169
2018-03-05,21.6908
2018-03-06,17.9104
2018-03-07,15.0574
2018-03-08,12.9107
2018-03-09,21.3391
2018-03-12,28.173
2018-03-13,27.2581
2018-03-14,22.3447
2018-03-15,18.414
2018-03-16,17.789
2018-03-19,23.2123
2018-03-20,27.5509
2018-03-21,25.4349
2018-03-22,32.0925
2018-03-23,40.0161
2018-03-26,43.2805
2018-03-27,41.4985
2018-03-28,40.8391
2018-03-29,34.7275
2018-04-02,36.4651
2018-04-03,37.8551
2018-04-04,33.2515
2018-04-05,28.1334
2018-04-06,29.9435
2018-04-09,31.3915
2018-04-10,29.9059
2018-04-11,31.6588
2018-04-12,26.8167
2018-04-13,23.5149
2018-04-16,20.5835
2018-04-17,16.9694
2018-04-18,15.0329
2018-04-19,15.4416
2018-04-20,14.2693
2018-04-23,11.749
2018-04-24,19.8306
2018-04-25,27.6155
2018-04-26,30.287
2018-04-27,33.4551
2018-04-30,39.9806
2018-05-01,46.2467
2018-05-02,51.2597
2018-05-03,57.9566
2018-05-04,49.4848
2018-05-07,40.7524
2018-05-08,34.2839
2018-05-09,32.1613
2018-05-10,32.7157
2018-05-11,35.0175
2018-05-14,35.7963
2018-05-15,29.8125
2018-05-16,25.0255
2018-05-17,21.1959
2018-05-18,21.4739
2018-05-21,17.6971
2018-05-22,15.9061
2018-05-23,19.7575
2018-05-24,25.2829
2018-05-25,31.1847
2018-05-29,40.7063
2018-05-30,40.9719
2018-05-31,41.1844
2018-06-01,41.3544
2018-06-04,42.3119
2018-06-05,45.4943
2018-06-06,37.3038
2018-06-07,35.3802
2018-06-08,35.504
2018-06-11,36.4163
2018-06-12,34.3217
2018-06-13,29.9842
2018-06-14,30.3484
2018-06-15,34.0827
2018-06-18,38.2162
2018-06-19,42.5569
2018-06-20,46.3248
2018-06-21,51.4555
2018-06-22,50.3556
2018-06-25,54.9559
2018-06-26,58.6361
2018-06-27,62.5957
2018-06-28,65.357
2018-06-29,57.8249
2018-07-02,52.9003
2018-07-03,44.7564
2018-07-05,38.2413
2018-07-06,34.7358
2018-07-09,36.3867
2018-07-10,39.9664
2018-07-11,38.0393
2018-07-12,37.9362
2018-07-13,39.1064
2018-07-16,43.1906
2018-07-17,42.0457
2018-07-18,50.977
2018-07-19,58.122
2018-07-20,60.071
2018-07-23,62.6181
2018-07-24,65.4583
2018-07-25,60.9181
2018-07-26,58.6317
2018-07-27,56.2498
2018-07-30,56.3609
