date,Aroon Down,Aroon Up
2018-01-02,53.3333,86.6667
2018-01-03,51.6667,85.0
2018-01-04,50.0,100.0
2018-01-05,48.3333,98.3333
2018-01-08,46.6667,100.0
2018-01-09,45.0,100.0
2018-01-10,43.3333,100.0
2018-01-11,41.6667,100.0
2018-01-12,40.0,100.0
2018-01-16,38.3333,100.0
2018-01-17,36.6667,100.0
2018-01-18,35.0,100.0
2018-01-19,33.3333,98.3333
2018-01-22,31.6667,100.0
2018-01-23,30.0,100.0
2018-01-24,28.3333,100.0
2018-01-25,26.6667,98.3333
2018-01-26,25.0,100.0
2018-01-29,23.3333,100.0
2018-01-30,21.6667,98.3333
2018-01-31,20.0,96.6667
2018-02-01,18.3333,95.0
2018-02-02,16.6667,93.3333
2018-02-05,15.0,91.6667
2018-02-06,13.3333,90.0
2018-02-07,11.6667,88.3333
2018-02-08,10.0,86.6667
2018-02-09,8.3333,85.0
2018-02-12,6.6667,83.3333
2018-02-13,5.0,81.6667
2018-02-14,3.3333,80.0
2018-02-15,1.6667,78.3333
2018-02-16,0.0,76.6667
2018-02-20,0.0,75.0
2018-02-21,0.0,73.3333
2018-02-22,0.0,71.6667
2018-02-23,0.0,70.0
2018-02-26,0.0,68.3333
2018-02-27,0.0,66.6667
2018-02-28,80.0,65.0
2018-03-01,78.3333,63.3333
2018-03-02,76.6667,61.6667
2018-03-05,75.0,60.0
2018-03-06,73.3333,58.3333
2018-03-07,71.6667,56.6667
2018-03-08,70.0,55.0
2018-03-09,68.3333,53.3333
2018-03-12,66.6667,51.6667
2018-03-13,65.0,50.0
2018-03-14,63.3333,48.3333
2018-03-15,61.6667,46.6667
2018-03-16,60.0,45.0
2018-03-19,58.3333,43.3333
2018-03-20,56.6667,41.6667
2018-03-21,55.0,40.0
2018-03-22,53.3333,38.3333
2018-03-23,51.6667,36.6667
2018-03-26,50.0,35.0
2018-03-27,48.3333,33.3333
2018-03-28,46.6667,31.6667
2018-03-29,45.0,30.0
2018-04-02,43.3333,28.3333
2018-04-03,41.6667,26.6667
2018-04-04,40.0,25.0
2018-04-05,38.3333,23.3333
2018-04-06,36.6667,21.6667
2018-04-09,35.0,20.0
2018-04-10,33.3333,18.3333
2018-04-11,31.6667,16.6667
2018-04-12,30.0,15.0
2018-04-13,28.3333,13.3333
2018-04-16,26.6667,11.6667
2018-04-17,25.0,10.0
2018-04-18,23.3333,8.3333
2018-04-19,21.6667,6.6667
2018-04-20,20.0,5.0
2018-04-23,18.3333,3.3333
2018-04-24,16.6667,1.6667
2018-04-25,15.0,0.0
2018-04-26,13.3333,3.3333
2018-04-27,11.6667,1.6667
2018-04-30,10.0,0.0
2018-05-01,8.3333,0.0
2018-05-02,6.6667,40.0
2018-05-03,5.0,38.3333
2018-05-04,3.3333,36.6667
2018-05-07,1.6667,35.0
2018-05-08,0.0,33.3333
2018-05-09,93.3333,31.6667
2018-05-10,91.6667,30.0
2018-05-11,90.0,28.3333
2018-05-14,88.3333,26.6667
2018-05-15,86.6667,25.0
2018-05-16,85.0,23.3333
2018-05-17,83.3333,21.6667
2018-05-18,81.6667,20.0
2018-05-21,80.0,18.3333
2018-05-22,78.3333,16.6667
2018-05-23,76.6667,15.0
2018-05-24,75.0,13.3333
2018-05-25,73.3333,11.6667
2018-05-29,100.0,10.0
2018-05-30,98.3333,8.3333
2018-05-31,96.6667,6.6667
2018-06-01,95.0,5.0
2018-06-04,93.3333,3.3333
2018-06-05,91.6667,1.6667
2018-06-06,90.0,0.0
2018-06-07,88.3333,0.0
2018-06-08,86.6667,0.0
2018-06-11,85.0,0.0
2018-06-12,83.3333,0.0
2018-06-13,81.6667,3.3333
2018-06-14,80.0,1.6667
2018-06-15,78.3333,0.0
2018-06-18,76.6667,0.0
2018-06-19,75.0,13.3333
2018-06-20,73.3333,11.6667
2018-06-21,100.0,10.0
2018-06-22,98.3333,8.3333
2018-06-25,100.0,6.6667
2018-06-26,98.3333,5.0
2018-06-27,100.0,3.3333
2018-06-28,98.3333,1.6667
2018-06-29,96.6667,0.0
2018-07-02,95.0,41.6667
2018-07-03,93.3333,40.0
2018-07-05,91.6667,38.3333
2018-07-06,90.0,36.6667
2018-07-09,88.3333,35.0
2018-07-10,86.6667,33.3333
2018-07-11,85.0,31.6667
2018-07-12,83.3333,30.0
2018-07-13,81.6667,28.3333
2018-07-16,80.0,26.6667
2018-07-17,78.3333,25.0
2018-07-18,76.6667,23.3333
2018-07-19,75.0,21.6667
2018-07-20,73.3333,20.0
2018-07-23,71.6667,18.3333
2018-07-24,70.0,16.6667
2018-07-25,68.3333,15.0
2018-07-26,66.6667,13.3333
2018-07-27,65.0,11.6667
2018-07-30,63.3333,10.0
2018-07-31,61.6667,8.3333
2018-08-01,60.0,6.6667
2018-08-02,58.3333,5.0
2018-08-03,56.6667,3.3333
2018-08-06,55.0,100.0
2018-08-07,53.3333,100.0
2018-08-08,51.6667,98.3333
2018-08-09,50.0,96.6667
2018-08-10,48.3333,95.0
2018-08-13,46.6667,93.3333
2018-08-14,45.0,91.6667
2018-08-15,43.3333,90.0
2018-08-16,41.6667,88.3333
2018-08-17,40.0,86.6667
2018-08-20,38.3333,85.0
2018-08-21,36.6667,83.3333
2018-08-22,35.0,81.6667
2018-08-23,33.3333,80.0
2018-08-24,31.6667,78.3333
2018-08-27,30.0,100.0
2018-08-28,28.3333,100.0
2018-08-29,26.6667,100.0
2018-08-30,25.0,98.3333
2018-08-31,23.3333,96.6667
2018-09-04,21.6667,95.0
2018-09-05,20.0,100.0
2018-09-06,18.3333,100.0
2018-09-07,16.6667,100.0
2018-09-10,15.0,100.0
2018-09-11,13.3333,98.3333
2018-09-12,11.6667,96.6667
2018-09-13,10.0,95.0
2018-09-14,8.3333,100.0
2018-09-17,6.6667,100.0
2018-09-18,5.0,100.0
2018-09-19,3.3333,100.0
2018-09-20,1.6667,100.0
2018-09-21,0.0,98.3333
2018-09-24,0.0,96.6667
2018-09-25,3.3333,95.0
2018-09-26,1.6667,93.3333
2018-09-27,0.0,91.6667
2018-09-28,0.0,90.0
2018-10-01,0.0,88.3333
2018-10-02,0.0,86.6667
2018-10-03,1.6667,85.0
2018-10-04,0.0,83.3333
2018-10-05,0.0,81.6667
2018-10-08,0.0,80.0
2018-10-09,1.6667,100.0
2018-10-10,0.0,100.0
2018-10-11,0.0,98.3333
2018-10-12,3.3333,96.6667
2018-10-15,1.6667,95.0
2018-10-16,0.0,93.3333
2018-10-17,11.6667,91.6667
2018-10-18,10.0,90.0
2018-10-19,8.3333,88.3333
2018-10-22,6.6667,86.6667
2018-10-23,5.0,85.0
2018-10-24,3.3333,83.3333
2018-10-25,1.6667,81.6667
2018-10-26,0.0,80.0
2018-10-29,98.3333,78.3333
2018-10-30,96.6667,76.6667
2018-10-31,95.0,75.0
2018-11-01,93.3333,73.3333
2018-11-02,91.6667,71.6667
2018-11-05,90.0,70.0
2018-11-06,88.3333,68.3333
2018-11-07,86.6667,66.6667
2018-11-08,85.0,65.0
2018-11-09,83.3333,63.3333
2018-11-12,81.6667,61.6667
2018-11-13,80.0,60.0
2018-11-14,78.3333,58.3333
2018-11-15,76.6667,56.6667
2018-11-16,75.0,55.0
2018-11-19,73.3333,53.3333
2018-11-20,71.6667,51.6667
2018-11-21,70.0,50.0
2018-11-23,68.3333,48.3333
2018-11-26,66.6667,46.6667
2018-11-27,65.0,45.0
2018-11-28,63.3333,43.3333
2018-11-29,61.6667,41.6667
2018-11-30,60.0,40.0
2018-12-03,58.3333,38.3333
2018-12-04,56.6667,36.6667
2018-12-06,55.0,35.0
2018-12-07,53.3333,33.3333
2018-12-10,51.6667,31.6667
2018-12-11,50.0,30.0
2018-12-12,48.3333,28.3333
2018-12-13,46.6667,26.6667
2018-12-14,45.0,25.0
2018-12-17,100.0,23.3333
2018-12-18,100.0,21.6667
2018-12-19,100.0,20.0
2018-12-20,100.0,18.3333
2018-12-21,98.3333,16.6667
2018-12-24,100.0,15.0
2018-12-26,100.0,13.3333
2018-12-27,98.3333,11.6667
2018-12-28,96.6667,10.0
2018-12-31,95.0,8.3333
2019-01-02,93.3333,6.6667
2019-01-03,91.6667,5.0
2019-01-04,90.0,3.3333
2019-01-07,88.3333,1.6667
2019-01-08,86.6667,0.0
2019-01-09,85.0,60.0
2019-01-10,83.3333,58.3333
2019-01-11,81.6667,56.6667
2019-01-14,80.0,55.0
2019-01-15,78.3333,53.3333
2019-01-16,76.6667,51.6667
2019-01-17,75.0,50.0
2019-01-18,73.3333,48.3333
2019-01-22,71.6667,46.6667
2019-01-23,70.0,45.0
2019-01-24,68.3333,43.3333
2019-01-25,66.6667,41.6667
2019-01-28,65.0,40.0
2019-01-29,63.3333,38.3333
2019-01-30,61.6667,36.6667
2019-01-31,60.0,35.0
2019-02-01,58.3333,33.3333
2019-02-04,56.6667,31.6667
2019-02-05,55.0,30.0
2019-02-06,53.3333,28.3333
2019-02-07,51.6667,26.6667
2019-02-08,50.0,25.0
2019-02-11,48.3333,23.3333
2019-02-12,46.6667,21.6667
2019-02-13,45.0,20.0
2019-02-14,43.3333,18.3333
2019-02-15,41.6667,16.6667
2019-02-19,40.0,15.0
2019-02-20,38.3333,13.3333
2019-02-21,36.6667,11.6667
2019-02-22,35.0,10.0
2019-02-25,33.3333,8.3333
2019-02-26,31.6667,6.6667
2019-02-27,30.0,5.0
2019-02-28,28.3333,3.3333
2019-03-01,26.6667,1.6667
2019-03-04,25.0,0.0
2019-03-05,23.3333,0.0
2019-03-06,21.6667,1.6667
2019-03-07,20.0,0.0
2019-03-08,18.3333,61.6667
2019-03-11,16.6667,60.0
2019-03-12,15.0,58.3333
2019-03-13,13.3333,56.6667
2019-03-14,11.6667,55.0
2019-03-15,10.0,53.3333
2019-03-18,8.3333,51.6667
2019-03-19,6.6667,50.0
2019-03-20,5.0,48.3333
2019-03-21,3.3333,46.6667
2019-03-22,1.6667,45.0
2019-03-25,0.0,43.3333
2019-03-26,6.6667,41.6667
2019-03-27,5.0,40.0
2019-03-28,3.3333,38.3333
2019-03-29,1.6667,36.6667
