date,CCI
2018-01-02,60.8828
2018-01-03,73.5808
2018-01-04,89.95
2018-01-05,84.8846
2018-01-08,92.1295
2018-01-09,103.6375
2018-01-10,113.5406
2018-01-11,130.6712
2018-01-12,155.382
2018-01-16,177.9476
2018-01-17,199.5732
2018-01-18,204.9165
2018-01-19,190.593
2018-01-22,200.2154
2018-01-23,180.189
2018-01-24,173.2045
2018-01-25,154.4078
2018-01-26,153.8285
2018-01-29,136.6106
2018-01-30,116.6148
2018-01-31,101.3153
2018-02-01,112.2421
2018-02-02,60.5588
2018-02-05,-46.4684
2018-02-06,-68.0278
2018-02-07,-33.1417
2018-02-08,-101.3783
2018-02-09,-100.8509
2018-02-12,-60.3452
2018-02-13,-69.9893
2018-02-14,-55.9238
2018-02-15,-22.2922
2018-02-16,-7.1431
2018-02-20,-19.0476
2018-02-21,-30.5144
2018-02-22,-41.296
2018-02-23,-34.8376
2018-02-26,33.5785
2018-02-27,49.1467
2018-02-28,1.1766
2018-03-01,-32.7135
2018-03-02,-63.1879
2018-03-05,-48.3243
2018-03-06,-29.9674
2018-03-07,-34.0378
2018-03-08,-23.482
2018-03-09,44.6122
2018-03-12,56.6881
2018-03-13,36.2525
2018-03-14,10.5993
2018-03-15,16.5161
2018-03-16,9.7521
2018-03-19,-22.038
2018-03-20,-17.7498
2018-03-21,-7.0622
2018-03-22,-83.2602
2018-03-23,-146.0516
2018-03-26,-92.3636
2018-03-27,-98.3622
2018-03-28,-108.712
2018-03-29,-61.888
2018-04-02,-116.9269
2018-04-03,-93.8525
2018-04-04,-67.1527
2018-04-05,-18.0349
2018-04-06,-96.028
2018-04-09,-98.801
2018-04-10,-70.9988
2018-04-11,-109.4831
2018-04-12,-71.9023
2018-04-13,-77.0791
2018-04-16,-58.4381
2018-04-17,-39.5963
2018-04-18,-32.5832
2018-04-19,-25.1162
2018-04-20,-29.742
2018-04-23,-35.113
2018-04-24,-64.5969
2018-04-25,-84.7856
2018-04-26,-67.2052
2018-04-27,-68.1295
2018-04-30,-93.3185
2018-05-01,-101.7141
2018-05-02,-107.9186
2018-05-03,-141.1971
2018-05-04,-95.3859
2018-05-07,-44.2916
2018-05-08,-56.4867
2018-05-09,3.6566
2018-05-10,52.0716
2018-05-11,55.4312
2018-05-14,45.57
2018-05-15,-10.5296
2018-05-16,-3.4641
2018-05-17,-4.4816
2018-05-18,-35.3414
2018-05-21,16.7736
2018-05-22,25.844
2018-05-23,-50.7803
2018-05-24,-96.8965
2018-05-25,-127.7662
2018-05-29,-242.6419
2018-05-30,-126.659
2018-05-31,-150.2431
2018-06-01,-141.7055
2018-06-04,-143.2141
2018-06-05,-164.9389
2018-06-06,-89.0781
2018-06-07,-36.6241
2018-06-08,-19.2304
2018-06-11,-12.5139
2018-06-12,-22.8701
2018-06-13,-31.4625
2018-06-14,-79.8781
2018-06-15,-121.8463
2018-06-18,-138.6636
2018-06-19,-145.473
2018-06-20,-147.5027
2018-06-21,-160.7865
2018-06-22,-137.9687
2018-06-25,-185.6828
2018-06-26,-176.4422
2018-06-27,-176.7871
2018-06-28,-144.7133
2018-06-29,-124.48
2018-07-02,-118.0059
2018-07-03,-119.5889
2018-07-05,-107.1295
2018-07-06,-93.6706
2018-07-09,-62.9149
2018-07-10,-44.6227
2018-07-11,-45.1891
2018-07-12,-37.3505
2018-07-13,-23.8517
2018-07-16,5.643
2018-07-17,-7.415
2018-07-18,186.5836
2018-07-19,173.8261
2018-07-20,133.7821
2018-07-23,144.4616
2018-07-24,162.805
2018-07-25,123.5888
2018-07-26,123.9322
2018-07-27,117.3784
2018-07-30,125.0513
2018-07-31,103.1308
2018-08-01,98.765
2018-08-02,86.7534
2018-08-03,109.7727
2018-08-06,197.5255
2018-08-07,210.7133
2018-08-08,195.9074
2018-08-09,179.0895
2018-08-10,137.6565
2018-08-13,118.7573
2018-08-14,111.485
2018-08-15,93.6336
2018-08-16,108.9165
2018-08-17,115.7464
2018-08-20,117.894
2018-08-21,114.0278
2018-08-22,98.2728
2018-08-23,92.1855
2018-08-24,93.4362
2018-08-27,108.4768
2018-08-28,109.0583
2018-08-29,105.5385
2018-08-30,93.5931
2018-08-31,77.3395
2018-09-04,77.5951
2018-09-05,95.6378
2018-09-06,105.6976
2018-09-07,114.8155
2018-09-10,131.1674
2018-09-11,120.4702
2018-09-12,121.5847
2018-09-13,118.574
2018-09-14,130.9528
2018-09-17,131.3783
2018-09-18,145.0334
2018-09-19,170.1796
2018-09-20,189.3753
2018-09-21,167.0526
2018-09-24,128.3757
2018-09-25,111.3325
2018-09-26,86.8662
2018-09-27,78.774
2018-09-28,48.6789
2018-10-01,47.3171
2018-10-02,44.5355
2018-10-03,67.1857
2018-10-04,87.6834
2018-10-05,104.346
2018-10-08,125.9553
2018-10-09,145.1131
2018-10-10,42.5715
2018-10-11,-125.2434
2018-10-12,-115.7157
2018-10-15,-136.369
2018-10-16,-85.1105
2018-10-17,-69.8403
2018-10-18,-83.8181
2018-10-19,-79.9477
2018-10-22,-110.5176
2018-10-23,-167.8248
2018-10-24,-194.6152
2018-10-25,-168.0604
2018-10-26,-193.287
2018-10-29,-159.3371
2018-10-30,-133.2337
2018-10-31,-79.9916
2018-11-01,-80.3173
2018-11-02,-67.948
2018-11-05,36.2371
2018-11-06,60.6166
2018-11-07,81.9483
2018-11-08,99.5709
2018-11-09,74.4676
2018-11-12,41.9589
2018-11-13,47.775
2018-11-14,43.1605
2018-11-15,33.3968
2018-11-16,60.8793
2018-11-19,52.7801
2018-11-20,0.5111
2018-11-21,-5.5429
2018-11-23,-44.6354
2018-11-26,-20.1598
2018-11-27,-1.8487
2018-11-28,46.2402
