date,WILLR
2018-01-02,-16.3509
2018-01-03,-3.5394
2018-01-04,-6.6386
2018-01-05,-3.273
2018-01-08,-1.4582
2018-01-09,-5.7596
2018-01-10,-0.4509
2018-01-11,-2.1982
2018-01-12,-0.7679
2018-01-16,-11.1343
2018-01-17,-0.9982
2018-01-18,-7.3288
2018-01-19,-7.3826
2018-01-22,-0.3222
2018-01-23,-2.3164
2018-01-24,-3.7123
2018-01-25,-5.4457
2018-01-26,-0.5039
2018-01-29,-7.7419
2018-01-30,-11.5054
2018-01-31,-14.1981
2018-02-01,-1.6214
2018-02-02,-37.248
2018-02-05,-91.9611
2018-02-06,-59.6939
2018-02-07,-62.8644
2018-02-08,-95.481
2018-02-09,-76.2712
2018-02-12,-66.137
2018-02-13,-69.315
2018-02-14,-60.3107
2018-02-15,-48.4463
2018-02-16,-48.8347
2018-02-20,-51.4477
2018-02-21,-58.6158
2018-02-22,-59.6398
2018-02-23,-52.4718
2018-02-26,-24.7175
2018-02-27,-28.1073
2018-02-28,-36.7938
2018-03-01,-56.815
2018-03-02,-57.4859
2018-03-05,-50.7768
2018-03-06,-46.1511
2018-03-07,-47.0339
2018-03-08,-43.5381
2018-03-09,-16.5254
2018-03-12,-20.4802
2018-03-13,-29.9788
2018-03-14,-37.5353
2018-03-15,-34.6045
2018-03-16,-37.6412
2018-03-19,-48.1285
2018-03-20,-45.4449
2018-03-21,-45.1624
2018-03-22,-70.5862
2018-03-23,-88.8418
2018-03-26,-64.548
2018-03-27,-75.7092
2018-03-28,-73.8652
2018-03-29,-63.9007
2018-04-02,-79.1056
2018-04-03,-64.0067
2018-04-04,-55.0707
2018-04-05,-51.995
2018-04-06,-74.2727
2018-04-09,-74.9377
2018-04-10,-72.4058
2018-04-11,-84.4114
2018-04-12,-70.8702
2018-04-13,-76.1284
2018-04-16,-70.4514
2018-04-17,-65.5654
2018-04-18,-64.4486
2018-04-19,-60.4002
2018-04-20,-61.5635
2018-04-23,-64.8674
2018-04-24,-77.0591
2018-04-25,-77.0591
2018-04-26,-75.9888
2018-04-27,-75.0582
2018-04-30,-91.3448
2018-05-01,-84.9232
2018-05-02,-93.2992
2018-05-03,-92.3175
2018-05-04,-75.2122
2018-05-07,-69.1851
2018-05-08,-72.2892
2018-05-09,-51.1165
2018-05-10,-41.5984
2018-05-11,-50.4434
2018-05-14,-46.308
2018-05-15,-56.7258
2018-05-16,-54.0355
2018-05-17,-42.5691
2018-05-18,-51.7348
2018-05-21,-37.4711
2018-05-22,-35.7749
2018-05-23,-52.5829
2018-05-24,-61.2182
2018-05-25,-66.4611
2018-05-29,-91.1661
2018-05-30,-61.2721
2018-05-31,-79.4346
2018-06-01,-73.8216
2018-06-04,-80.5656
2018-06-05,-84.409
2018-06-06,-61.0587
2018-06-07,-49.6012
2018-06-08,-46.4104
2018-06-11,-51.3416
2018-06-12,-51.7766
2018-06-13,-56.9978
2018-06-14,-71.8637
2018-06-15,-77.2299
2018-06-18,-81.9434
2018-06-19,-87.4547
2018-06-20,-93.6186
2018-06-21,-93.8366
2018-06-22,-93.4903
2018-06-25,-91.0041
2018-06-26,-92.6872
2018-06-27,-99.071
2018-06-28,-86.7296
2018-06-29,-89.2205
2018-07-02,-82.5403
2018-07-03,-92.7871
2018-07-05,-84.4085
2018-07-06,-84.0688
2018-07-09,-72.2935
2018-07-10,-67.5926
2018-07-11,-63.5923
2018-07-12,-63.1359
2018-07-13,-56.0658
2018-07-16,-48.7129
2018-07-17,-59.9543
2018-07-18,-5.7643
2018-07-19,-23.4777
2018-07-20,-27.7409
2018-07-23,-21.3161
