date,ADX
2018-01-02,18.5064
2018-01-03,19.5339
2018-01-04,20.0703
2018-01-05,20.6858
2018-01-08,21.4127
2018-01-09,21.2585
2018-01-10,21.112
2018-01-11,21.2091
2018-01-12,21.3392
2018-01-16,21.3404
2018-01-17,20.7987
2018-01-18,20.1338
2018-01-19,19.5021
2018-01-22,18.6115
2018-01-23,18.7759
2018-01-24,19.1494
2018-01-25,19.5041
2018-01-26,19.956
2018-01-29,20.2783
2018-01-30,20.2568
2018-01-31,20.6219
2018-02-01,20.9688
2018-02-02,20.8209
2018-02-05,20.4014
2018-02-06,20.7715
2018-02-07,20.5845
2018-02-08,20.9774
2018-02-09,21.3753
2018-02-12,21.6097
2018-02-13,21.8324
2018-02-14,21.6547
2018-02-15,21.2416
2018-02-16,20.8843
2018-02-20,20.7735
2018-02-21,20.7954
2018-02-22,20.9527
2018-02-23,21.1782
2018-02-26,20.7987
2018-02-27,20.4382
2018-02-28,20.4665
2018-03-01,20.8571
2018-03-02,21.437
2018-03-05,21.4455
2018-03-06,21.4535
2018-03-07,21.5776
2018-03-08,21.4301
2018-03-09,20.9358
2018-03-12,20.2488
2018-03-13,19.6656
2018-03-14,19.3795
2018-03-15,19.1077
2018-03-16,18.9277
2018-03-19,18.8888
2018-03-20,18.7198
2018-03-21,18.5592
2018-03-22,18.9036
2018-03-23,19.6618
2018-03-26,20.3821
2018-03-27,20.7687
2018-03-28,21.2145
2018-03-29,21.638
2018-04-02,22.7675
2018-04-03,23.8406
2018-04-04,24.5332
2018-04-05,24.9931
2018-04-06,25.6859
2018-04-09,26.344
2018-04-10,26.9693
2018-04-11,27.6918
2018-04-12,28.1292
2018-04-13,28.6515
2018-04-16,28.8716
2018-04-17,28.8101
2018-04-18,28.8874
2018-04-19,28.6091
2018-04-20,28.2504
2018-04-23,27.8823
2018-04-24,27.879
2018-04-25,27.654
2018-04-26,27.5438
2018-04-27,27.5608
2018-04-30,27.3597
2018-05-01,27.4166
2018-05-02,27.8938
2018-05-03,28.7668
2018-05-04,29.2558
2018-05-07,29.7203
2018-05-08,30.0214
2018-05-09,29.8789
2018-05-10,29.436
2018-05-11,28.8231
2018-05-14,28.3279
2018-05-15,28.0214
2018-05-16,27.7662
2018-05-17,27.5238
2018-05-18,27.4251
2018-05-21,27.2208
2018-05-22,26.5491
2018-05-23,26.0889
2018-05-24,25.8351
2018-05-25,25.518
2018-05-29,25.9584
2018-05-30,26.1147
2018-05-31,26.3355
2018-06-01,26.5452
2018-06-04,26.7444
2018-06-05,27.0855
2018-06-06,27.5389
2018-06-07,27.7567
2018-06-08,27.4873
2018-06-11,27.2313
2018-06-12,27.2253
2018-06-13,27.2196
2018-06-14,27.7272
2018-06-15,28.2093
2018-06-18,28.9733
2018-06-19,29.5649
2018-06-20,30.471
2018-06-21,31.5959
2018-06-22,32.5554
2018-06-25,33.6074
2018-06-26,34.6067
2018-06-27,35.3094
2018-06-28,35.5101
2018-06-29,35.1412
2018-07-02,34.8159
2018-07-03,34.0725
2018-07-05,33.3663
2018-07-06,32.143
2018-07-09,30.6795
2018-07-10,29.6757
2018-07-11,28.5365
2018-07-12,27.4008
2018-07-13,26.3096
2018-07-16,25.5477
2018-07-17,24.9406
2018-07-18,24.6536
2018-07-19,24.2849
2018-07-20,23.6879
2018-07-23,23.2722
2018-07-24,23.2118
2018-07-25,22.5671
2018-07-26,22.4667
2018-07-27,22.5697
2018-07-30,22.9028
2018-07-31,23.2599
2018-08-01,23.4962
2018-08-02,23.1488
2018-08-03,22.958
2018-08-06,22.8562
2018-08-07,22.6389
2018-08-08,22.2757
2018-08-09,21.7778
2018-08-10,20.7531
2018-08-13,19.8432
2018-08-14,19.5689
2018-08-15,19.4722
2018-08-16,18.8041
2018-08-17,18.1694
2018-08-20,17.4278
2018-08-21,16.6232
2018-08-22,16.3011
2018-08-23,15.9952
2018-08-24,15.2082
2018-08-27,14.9153
2018-08-28,14.7203
2018-08-29,14.3434
2018-08-30,13.678
2018-08-31,13.1183
2018-09-04,12.5761
2018-09-05,12.4912
2018-09-06,12.4105
2018-09-07,12.132
2018-09-10,11.5696
2018-09-11,11.2582
2018-09-12,10.9625
2018-09-13,10.5121
2018-09-14,10.3859
2018-09-17,10.4386
2018-09-18,10.3376
2018-09-19,10.8058
2018-09-20,11.2505
2018-09-21,11.6731
2018-09-24,11.3345
2018-09-25,11.0407
2018-09-26,11.1616
2018-09-27,11.3495
2018-09-28,11.7474
2018-10-01,11.9345
2018-10-02,12.1608
2018-10-03,12.0026
2018-10-04,11.8659
2018-10-05,11.4198
2018-10-08,11.1055
2018-10-09,10.8068
2018-10-10,10.5701
2018-10-11,11.6637
2018-10-12,13.059
2018-10-15,14.3845
2018-10-16,15.6923
2018-10-17,16.1526
2018-10-18,16.1821
2018-10-19,16.2541
2018-10-22,16.3226
2018-10-23,16.6649
2018-10-24,17.6757
2018-10-25,18.6359
2018-10-26,19.696
2018-10-29,20.4623
2018-10-30,21.1845
2018-10-31,21.5893
2018-11-01,22.0399
2018-11-02,22.2726
2018-11-05,21.929
2018-11-06,21.2715
2018-11-07,20.3131
2018-11-08,19.2999
2018-11-09,18.3851
2018-11-12,18.2404
2018-11-13,18.1247
2018-11-14,18.2333
2018-11-15,17.8284
2018-11-16,16.97
2018-11-19,16.3919
2018-11-20,15.8873
2018-11-21,15.3579
2018-11-23,14.6563
2018-11-26,14.246
2018-11-27,13.8563
2018-11-28,13.8065
2018-11-29,13.7591
2018-11-30,13.5434
2018-12-03,13.2036
2018-12-04,12.6705
2018-12-06,12.7054
2018-12-07,12.3516
2018-12-10,12.3635
2018-12-11,12.1114
2018-12-12,11.8844
2018-12-13,11.7748
2018-12-14,11.6707
2018-12-17,11.2661
2018-12-18,11.3145
2018-12-19,11.4027
2018-12-20,11.8413
2018-12-21,11.9099
2018-12-24,12.6779
2018-12-26,13.192
2018-12-27,12.9506
2018-12-28,12.4753
2018-12-31,11.9925
2019-01-02,11.8442
2019-01-03,11.9916
2019-01-04,11.7644
2019-01-07,11.5485
2019-01-08,11.5886
2019-01-09,11.6148
2019-01-10,11.3452
2019-01-11,11.0166
2019-01-14,10.4721
2019-01-15,10.4046
2019-01-16,10.4928
2019-01-17,10.569
2019-01-18,10.7516
2019-01-22,10.3529
2019-01-23,9.8624
2019-01-24,9.4827
2019-01-25,9.4996
2019-01-28,9.1987
2019-01-29,8.9104
2019-01-30,8.853
2019-01-31,8.8512
2019-02-01,8.9723
2019-02-04,9.1203
2019-02-05,9.397
2019-02-06,9.1096
2019-02-07,8.8871
2019-02-08,8.8634
2019-02-11,8.7061
2019-02-12,8.4166
2019-02-13,8.4054
2019-02-14,8.1515
2019-02-15,7.9448
2019-02-19,7.9334
2019-02-20,8.0856
2019-02-21,8.4185
2019-02-22,8.7347
2019-02-25,9.1636
2019-02-26,9.5997
2019-02-27,9.5502
2019-02-28,9.4943
2019-03-01,9.7989
2019-03-04,9.6246
2019-03-05,9.4589
2019-03-06,9.428
2019-03-07,9.1003
2019-03-08,8.6815
2019-03-11,8.5198
2019-03-12,8.6372
2019-03-13,8.8793
2019-03-14,9.2922
2019-03-15,9.9156
2019-03-18,10.7229
2019-03-19,11.2277
2019-03-20,11.3709
2019-03-21,11.0796
2019-03-22,11.218
2019-03-25,11.3494
2019-03-26,11.5914
2019-03-27,12.2924
2019-03-28,12.9584
2019-03-29,13.7273
