date,Aroon Up,Aroon Down
2018-01-02,21.6667,100.0
2018-01-03,20.0,98.3333
2018-01-04,18.3333,96.6667
2018-01-05,16.6667,95.0
2018-01-08,15.0,93.3333
2018-01-09,13.3333,91.6667
2018-01-10,11.6667,90.0
2018-01-11,10.0,88.3333
2018-01-12,8.3333,86.6667
2018-01-16,6.6667,85.0
2018-01-17,5.0,83.3333
2018-01-18,3.3333,81.6667
2018-01-19,1.6667,80.0
2018-01-22,0.0,78.3333
2018-01-23,1.6667,76.6667
2018-01-24,0.0,75.0
2018-01-25,98.3333,73.3333
2018-01-26,100.0,71.6667
2018-01-29,98.3333,70.0
2018-01-30,96.6667,68.3333
2018-01-31,100.0,66.6667
2018-02-01,98.3333,65.0
2018-02-02,96.6667,63.3333
2018-02-05,95.0,61.6667
2018-02-06,93.3333,60.0
2018-02-07,91.6667,58.3333
2018-02-08,90.0,100.0
2018-02-09,88.3333,100.0
2018-02-12,86.6667,98.3333
2018-02-13,85.0,96.6667
2018-02-14,83.3333,95.0
2018-02-15,81.6667,93.3333
2018-02-16,80.0,91.6667
2018-02-20,78.3333,90.0
2018-02-21,76.6667,88.3333
2018-02-22,75.0,86.6667
2018-02-23,73.3333,85.0
2018-02-26,71.6667,83.3333
2018-02-27,70.0,81.6667
2018-02-28,68.3333,80.0
2018-03-01,66.6667,100.0
2018-03-02,65.0,100.0
2018-03-05,63.3333,98.3333
2018-03-06,61.6667,96.6667
2018-03-07,60.0,95.0
2018-03-08,58.3333,93.3333
2018-03-09,56.6667,91.6667
2018-03-12,55.0,90.0
2018-03-13,53.3333,88.3333
2018-03-14,51.6667,86.6667
2018-03-15,50.0,85.0
2018-03-16,48.3333,83.3333
2018-03-19,46.6667,81.6667
2018-03-20,45.0,80.0
2018-03-21,43.3333,78.3333
2018-03-22,41.6667,100.0
2018-03-23,40.0,100.0
2018-03-26,38.3333,98.3333
2018-03-27,36.6667,96.6667
2018-03-28,35.0,95.0
2018-03-29,33.3333,93.3333
2018-04-02,31.6667,100.0
2018-04-03,30.0,98.3333
2018-04-04,28.3333,96.6667
2018-04-05,26.6667,95.0
2018-04-06,25.0,93.3333
2018-04-09,23.3333,91.6667
2018-04-10,21.6667,90.0
2018-04-11,20.0,88.3333
2018-04-12,18.3333,86.6667
2018-04-13,16.6667,85.0
2018-04-16,15.0,83.3333
2018-04-17,13.3333,81.6667
2018-04-18,11.6667,80.0
2018-04-19,10.0,78.3333
2018-04-20,8.3333,76.6667
2018-04-23,6.6667,75.0
2018-04-24,5.0,73.3333
2018-04-25,3.3333,71.6667
2018-04-26,1.6667,70.0
2018-04-27,0.0,68.3333
2018-04-30,0.0,66.6667
2018-05-01,0.0,65.0
2018-05-02,0.0,63.3333
2018-05-03,1.6667,100.0
2018-05-04,0.0,98.3333
2018-05-07,8.3333,96.6667
2018-05-08,6.6667,95.0
2018-05-09,5.0,93.3333
2018-05-10,3.3333,91.6667
2018-05-11,1.6667,90.0
2018-05-14,0.0,88.3333
2018-05-15,0.0,86.6667
2018-05-16,0.0,85.0
2018-05-17,0.0,83.3333
2018-05-18,3.3333,81.6667
2018-05-21,1.6667,80.0
2018-05-22,0.0,78.3333
2018-05-23,0.0,76.6667
2018-05-24,0.0,75.0
2018-05-25,11.6667,73.3333
2018-05-29,10.0,71.6667
2018-05-30,8.3333,70.0
2018-05-31,6.6667,68.3333
2018-06-01,5.0,66.6667
2018-06-04,3.3333,65.0
2018-06-05,1.6667,63.3333
2018-06-06,0.0,61.6667
2018-06-07,0.0,60.0
2018-06-08,0.0,58.3333
2018-06-11,1.6667,56.6667
2018-06-12,0.0,55.0
2018-06-13,1.6667,53.3333
2018-06-14,0.0,51.6667
2018-06-15,0.0,50.0
2018-06-18,0.0,100.0
2018-06-19,36.6667,98.3333
2018-06-20,35.0,100.0
2018-06-21,33.3333,100.0
2018-06-22,31.6667,98.3333
2018-06-25,30.0,100.0
2018-06-26,28.3333,98.3333
2018-06-27,26.6667,96.6667
2018-06-28,25.0,95.0
2018-06-29,23.3333,93.3333
2018-07-02,21.6667,91.6667
2018-07-03,20.0,90.0
2018-07-05,18.3333,88.3333
2018-07-06,16.6667,86.6667
2018-07-09,15.0,85.0
2018-07-10,13.3333,83.3333
2018-07-11,11.6667,81.6667
2018-07-12,10.0,80.0
2018-07-13,8.3333,78.3333
2018-07-16,6.6667,76.6667
2018-07-17,5.0,75.0
2018-07-18,3.3333,73.3333
2018-07-19,1.6667,71.6667
2018-07-20,0.0,70.0
2018-07-23,3.3333,68.3333
2018-07-24,1.6667,66.6667
2018-07-25,0.0,65.0
2018-07-26,100.0,63.3333
2018-07-27,100.0,61.6667
2018-07-30,100.0,60.0
2018-07-31,100.0,58.3333
2018-08-01,100.0,56.6667
2018-08-02,98.3333,55.0
2018-08-03,96.6667,53.3333
2018-08-06,95.0,51.6667
2018-08-07,93.3333,50.0
2018-08-08,91.6667,48.3333
2018-08-09,90.0,46.6667
2018-08-10,88.3333,45.0
2018-08-13,86.6667,43.3333
2018-08-14,85.0,41.6667
2018-08-15,83.3333,40.0
2018-08-16,81.6667,38.3333
2018-08-17,80.0,36.6667
2018-08-20,78.3333,35.0
2018-08-21,76.6667,33.3333
2018-08-22,75.0,31.6667
2018-08-23,73.3333,30.0
2018-08-24,71.6667,28.3333
2018-08-27,70.0,26.6667
2018-08-28,68.3333,25.0
2018-08-29,66.6667,23.3333
2018-08-30,65.0,21.6667
2018-08-31,63.3333,20.0
2018-09-04,61.6667,18.3333
2018-09-05,60.0,16.6667
2018-09-06,58.3333,15.0
2018-09-07,56.6667,13.3333
2018-09-10,55.0,11.6667
2018-09-11,53.3333,10.0
2018-09-12,51.6667,8.3333
2018-09-13,50.0,6.6667
2018-09-14,48.3333,5.0
2018-09-17,46.6667,3.3333
2018-09-18,45.0,1.6667
2018-09-19,100.0,0.0
2018-09-20,98.3333,1.6667
2018-09-21,96.6667,0.0
2018-09-24,95.0,0.0
2018-09-25,93.3333,1.6667
2018-09-26,91.6667,0.0
2018-09-27,90.0,0.0
2018-09-28,88.3333,0.0
2018-10-01,86.6667,0.0
2018-10-02,85.0,0.0
2018-10-03,83.3333,5.0
2018-10-04,81.6667,3.3333
2018-10-05,80.0,1.6667
2018-10-08,78.3333,0.0
2018-10-09,76.6667,36.6667
2018-10-10,75.0,35.0
2018-10-11,73.3333,100.0
2018-10-12,71.6667,100.0
2018-10-15,70.0,98.3333
2018-10-16,68.3333,96.6667
2018-10-17,66.6667,95.0
2018-10-18,65.0,93.3333
2018-10-19,63.3333,91.6667
2018-10-22,61.6667,90.0
2018-10-23,60.0,88.3333
2018-10-24,58.3333,100.0
2018-10-25,56.6667,98.3333
2018-10-26,55.0,96.6667
2018-10-29,53.3333,95.0
2018-10-30,51.6667,93.3333
2018-10-31,50.0,91.6667
2018-11-01,48.3333,90.0
2018-11-02,46.6667,88.3333
2018-11-05,45.0,86.6667
2018-11-06,43.3333,85.0
2018-11-07,41.6667,83.3333
2018-11-08,40.0,81.6667
2018-11-09,38.3333,80.0
2018-11-12,36.6667,78.3333
2018-11-13,35.0,76.6667
2018-11-14,33.3333,75.0
2018-11-15,31.6667,73.3333
2018-11-16,30.0,71.6667
2018-11-19,28.3333,70.0
2018-11-20,26.6667,68.3333
2018-11-21,25.0,66.6667
2018-11-23,23.3333,65.0
2018-11-26,21.6667,63.3333
2018-11-27,20.0,61.6667
2018-11-28,18.3333,60.0
2018-11-29,16.6667,58.3333
2018-11-30,15.0,56.6667
2018-12-03,13.3333,55.0
2018-12-04,11.6667,53.3333
2018-12-06,10.0,51.6667
2018-12-07,8.3333,50.0
2018-12-10,6.6667,48.3333
2018-12-11,5.0,46.6667
2018-12-12,3.3333,45.0
2018-12-13,1.6667,43.3333
2018-12-14,0.0,41.6667
2018-12-17,0.0,40.0
2018-12-18,0.0,38.3333
2018-12-19,0.0,36.6667
2018-12-20,0.0,35.0
2018-12-21,13.3333,33.3333
2018-12-24,11.6667,100.0
2018-12-26,10.0,100.0
2018-12-27,8.3333,98.3333
2018-12-28,6.6667,96.6667
2018-12-31,5.0,95.0
2019-01-02,3.3333,93.3333
2019-01-03,1.6667,91.6667
2019-01-04,0.0,90.0
2019-01-07,0.0,88.3333
2019-01-08,0.0,86.6667
2019-01-09,55.0,85.0
2019-01-10,53.3333,83.3333
2019-01-11,51.6667,81.6667
2019-01-14,50.0,80.0
2019-01-15,48.3333,78.3333
2019-01-16,46.6667,76.6667
2019-01-17,45.0,75.0
2019-01-18,43.3333,73.3333
2019-01-22,41.6667,71.6667
2019-01-23,40.0,70.0
2019-01-24,38.3333,68.3333
2019-01-25,36.6667,66.6667
2019-01-28,35.0,65.0
2019-01-29,33.3333,63.3333
2019-01-30,31.6667,61.6667
2019-01-31,30.0,60.0
2019-02-01,28.3333,58.3333
2019-02-04,26.6667,56.6667
2019-02-05,25.0,55.0
2019-02-06,23.3333,53.3333
2019-02-07,21.6667,51.6667
2019-02-08,20.0,50.0
2019-02-11,18.3333,48.3333
2019-02-12,16.6667,46.6667
2019-02-13,15.0,45.0
2019-02-14,13.3333,43.3333
2019-02-15,11.6667,41.6667
2019-02-19,10.0,40.0
2019-02-20,8.3333,38.3333
2019-02-21,100.0,36.6667
2019-02-22,98.3333,35.0
2019-02-25,100.0,33.3333
2019-02-26,100.0,31.6667
2019-02-27,98.3333,30.0
2019-02-28,96.6667,28.3333
2019-03-01,95.0,26.6667
2019-03-04,93.3333,25.0
2019-03-05,91.6667,23.3333
2019-03-06,90.0,21.6667
2019-03-07,88.3333,20.0
2019-03-08,86.6667,18.3333
2019-03-11,85.0,16.6667
2019-03-12,83.3333,15.0
2019-03-13,81.6667,13.3333
2019-03-14,80.0,11.6667
2019-03-15,100.0,10.0
2019-03-18,100.0,8.3333
2019-03-19,100.0,6.6667
2019-03-20,98.3333,5.0
2019-03-21,96.6667,3.3333
2019-03-22,100.0,1.6667
2019-03-25,98.3333,0.0
2019-03-26,96.6667,0.0
2019-03-27,100.0,5.0
2019-03-28,98.3333,3.3333
2019-03-29,100.0,1.6667
