date,CCI
2018-01-02,-192.6657
2018-01-03,-201.8683
2018-01-04,-163.3701
2018-01-05,-164.9949
2018-01-08,-184.3002
2018-01-09,-125.7915
2018-01-10,-111.0941
2018-01-11,-122.2147
2018-01-12,-108.8067
2018-01-16,-92.5677
2018-01-17,-50.0097
2018-01-18,-36.4965
2018-01-19,-24.9819
2018-01-22,20.9878
2018-01-23,112.9426
2018-01-24,169.6564
2018-01-25,171.5193
2018-01-26,192.2824
2018-01-29,167.4054
2018-01-30,141.9839
2018-01-31,186.4098
2018-02-01,171.3053
2018-02-02,129.5396
2018-02-05,3.9372
2018-02-06,-101.2329
2018-02-07,-37.5774
2018-02-08,-140.2636
2018-02-09,-123.1834
2018-02-12,-94.6014
2018-02-13,-86.598
2018-02-14,-50.7529
2018-02-15,-23.5307
2018-02-16,-28.7013
2018-02-20,-53.6905
2018-02-21,-77.454
2018-02-22,-96.4747
2018-02-23,-99.1881
2018-02-26,-50.3126
2018-02-27,-62.0634
2018-02-28,-100.2983
2018-03-01,-147.9736
2018-03-02,-178.4927
2018-03-05,-131.904
2018-03-06,-118.2625
2018-03-07,-136.6559
2018-03-08,-111.0729
2018-03-09,-75.4478
2018-03-12,-65.445
2018-03-13,-80.1223
2018-03-14,-107.9563
2018-03-15,-101.4804
2018-03-16,-101.4088
2018-03-19,-115.4463
2018-03-20,-100.0538
2018-03-21,-101.6892
2018-03-22,-140.8341
2018-03-23,-187.1262
2018-03-26,-162.2152
2018-03-27,-145.9139
2018-03-28,-132.4482
2018-03-29,-130.6294
2018-04-02,-184.6695
2018-04-03,-164.217
2018-04-04,-148.4951
2018-04-05,-125.3767
2018-04-06,-139.0624
2018-04-09,-133.688
2018-04-10,-119.6865
2018-04-11,-129.2124
2018-04-12,-114.9653
2018-04-13,-116.783
2018-04-16,-97.0876
2018-04-17,-81.0565
2018-04-18,-85.0755
2018-04-19,-68.6469
2018-04-20,-63.6715
2018-04-23,-57.1463
2018-04-24,-75.1142
2018-04-25,-55.6036
2018-04-26,-67.2334
2018-04-27,-64.0474
2018-04-30,-66.1688
2018-05-01,-82.0636
2018-05-02,-115.4572
2018-05-03,-165.0045
2018-05-04,-136.6609
2018-05-07,-118.1144
2018-05-08,-110.2914
2018-05-09,-83.5666
2018-05-10,-65.1943
2018-05-11,-45.7783
2018-05-14,-52.4588
2018-05-15,-64.9789
2018-05-16,-70.9309
2018-05-17,-70.7222
2018-05-18,-86.2394
2018-05-21,-79.5503
2018-05-22,-53.8392
2018-05-23,-76.0058
2018-05-24,-97.4464
2018-05-25,-86.3841
2018-05-29,-164.0118
2018-05-30,-121.4991
2018-05-31,-136.5602
2018-06-01,-134.3478
2018-06-04,-122.7368
2018-06-05,-139.3937
2018-06-06,-136.2029
2018-06-07,-112.6656
2018-06-08,-61.5777
2018-06-11,-60.0733
2018-06-12,-73.5844
2018-06-13,-67.9729
2018-06-14,-134.6271
2018-06-15,-139.175
2018-06-18,-189.0578
2018-06-19,-164.8353
2018-06-20,-208.2027
2018-06-21,-268.3006
2018-06-22,-239.9836
2018-06-25,-240.1911
2018-06-26,-229.806
2018-06-27,-204.5756
2018-06-28,-164.1404
2018-06-29,-130.7477
2018-07-02,-136.022
2018-07-03,-109.5281
2018-07-05,-100.0392
2018-07-06,-72.7362
2018-07-09,-28.0253
2018-07-10,21.3246
2018-07-11,4.9568
2018-07-12,2.988
2018-07-13,0.4703
2018-07-16,25.7433
2018-07-17,37.2514
2018-07-18,65.8701
2018-07-19,48.6184
2018-07-20,32.902
2018-07-23,51.0224
2018-07-24,79.5343
2018-07-25,79.8091
2018-07-26,147.757
2018-07-27,170.0943
2018-07-30,191.1426
2018-07-31,189.3573
2018-08-01,169.2783
2018-08-02,126.779
2018-08-03,136.2989
2018-08-06,145.9426
2018-08-07,141.553
2018-08-08,121.9187
2018-08-09,106.9459
2018-08-10,75.2377
2018-08-13,60.194
2018-08-14,15.7184
2018-08-15,4.367
2018-08-16,40.4025
2018-08-17,37.5764
2018-08-20,49.4802
2018-08-21,55.1029
2018-08-22,26.5379
2018-08-23,16.2916
2018-08-24,43.8371
2018-08-27,77.3184
2018-08-28,82.4938
2018-08-29,74.7875
2018-08-30,54.1254
2018-08-31,40.5781
2018-09-04,58.1352
2018-09-05,81.2279
2018-09-06,84.771
2018-09-07,72.4993
2018-09-10,48.0839
2018-09-11,38.5976
2018-09-12,32.2228
2018-09-13,51.2225
2018-09-14,81.9084
2018-09-17,98.4064
2018-09-18,97.7251
2018-09-19,137.0221
2018-09-20,128.8829
2018-09-21,126.9981
2018-09-24,79.324
2018-09-25,20.8149
2018-09-26,-29.2855
2018-09-27,-58.4426
2018-09-28,-76.129
2018-10-01,-73.9605
2018-10-02,-83.7519
2018-10-03,-67.0423
2018-10-04,-59.8389
2018-10-05,-37.6428
2018-10-08,-6.4748
2018-10-09,1.3216
2018-10-10,-86.228
2018-10-11,-273.6475
2018-10-12,-334.7567
2018-10-15,-316.6411
2018-10-16,-313.5518
2018-10-17,-241.9959
2018-10-18,-190.9407
2018-10-19,-176.4746
2018-10-22,-177.6718
2018-10-23,-190.0648
2018-10-24,-230.9513
2018-10-25,-214.7965
2018-10-26,-217.9153
2018-10-29,-194.7709
2018-10-30,-162.8098
2018-10-31,-139.0077
2018-11-01,-129.7365
2018-11-02,-112.8237
2018-11-05,-71.8446
2018-11-06,-48.717
2018-11-07,-23.0314
2018-11-08,-13.1453
2018-11-09,-16.9277
2018-11-12,-63.1472
2018-11-13,-66.4851
2018-11-14,-77.5703
2018-11-15,-50.3052
2018-11-16,-8.2814
2018-11-19,25.1787
2018-11-20,19.7182
2018-11-21,12.2278
2018-11-23,-2.2449
2018-11-26,22.0952
2018-11-27,20.6362
2018-11-28,44.4404
2018-11-29,44.5577
2018-11-30,37.082
2018-12-03,36.4922
2018-12-04,26.6989
2018-12-06,-16.6829
2018-12-07,-2.5629
2018-12-10,-28.0929
2018-12-11,-33.0983
2018-12-12,-38.6995
2018-12-13,-38.9291
2018-12-14,-47.6075
2018-12-17,-42.6223
2018-12-18,-70.9312
2018-12-19,-64.9816
2018-12-20,-108.2037
2018-12-21,-86.4942
2018-12-24,-165.1566
2018-12-26,-125.5022
2018-12-27,-56.5803
2018-12-28,-20.1702
2018-12-31,-4.7525
2019-01-02,-35.3473
2019-01-03,-75.6789
2019-01-04,-16.8586
2019-01-07,-20.9259
2019-01-08,-42.2415
2019-01-09,-15.3038
2019-01-10,15.0907
2019-01-11,20.3329
2019-01-14,43.0514
2019-01-15,87.7139
2019-01-16,110.649
2019-01-17,102.8536
2019-01-18,114.1261
2019-01-22,67.2962
2019-01-23,59.3195
2019-01-24,68.4083
2019-01-25,87.8964
2019-01-28,56.2015
2019-01-29,45.5759
2019-01-30,64.9233
2019-01-31,72.2597
2019-02-01,87.9364
2019-02-04,89.3568
2019-02-05,98.9509
2019-02-06,8.3133
