date,ADX
2018-01-02,13.7567
2018-01-03,13.7617
2018-01-04,13.7882
2018-01-05,13.8146
2018-01-08,13.8607
2018-01-09,13.9095
2018-01-10,13.9657
2018-01-11,14.0176
2018-01-12,14.069
2018-01-16,14.132
2018-01-17,14.1931
2018-01-18,14.2536
2018-01-19,14.3245
2018-01-22,14.4013
2018-01-23,14.4811
2018-01-24,14.5533
2018-01-25,14.6249
2018-01-26,14.6983
2018-01-29,14.7771
2018-01-30,14.8433
2018-01-31,14.9141
2018-02-01,15.0078
2018-02-02,15.1236
2018-02-05,15.1887
2018-02-06,15.2126
2018-02-07,15.2611
2018-02-08,15.2761
2018-02-09,15.2875
2018-02-12,15.318
2018-02-13,15.3483
2018-02-14,15.3861
2018-02-15,15.438
2018-02-16,15.4903
2018-02-20,15.5399
2018-02-21,15.59
2018-02-22,15.6254
2018-02-23,15.6644
2018-02-26,15.7186
2018-02-27,15.7858
2018-02-28,15.8452
2018-03-01,15.869
2018-03-02,15.8927
2018-03-05,15.9359
2018-03-06,15.9795
2018-03-07,16.0195
2018-03-08,16.0612
2018-03-09,16.1153
2018-03-12,16.1614
2018-03-13,16.1789
2018-03-14,16.1825
2018-03-15,16.1746
2018-03-16,16.1667
2018-03-19,16.1477
2018-03-20,16.1303
2018-03-21,16.1193
2018-03-22,16.0804
2018-03-23,16.0298
2018-03-26,15.9848
2018-03-27,15.9268
2018-03-28,15.8886
2018-03-29,15.8507
2018-04-02,15.8045
2018-04-03,15.7586
2018-04-04,15.7135
2018-04-05,15.6856
2018-04-06,15.6337
2018-04-09,15.5844
2018-04-10,15.5472
2018-04-11,15.5074
2018-04-12,15.4871
2018-04-13,15.4671
2018-04-16,15.4496
2018-04-17,15.4361
2018-04-18,15.4168
2018-04-19,15.4011
2018-04-20,15.3794
2018-04-23,15.3579
2018-04-24,15.3167
2018-04-25,15.273
2018-04-26,15.2019
2018-04-27,15.1315
2018-04-30,15.0686
2018-05-01,14.9856
2018-05-02,14.9033
2018-05-03,14.8108
2018-05-04,14.7298
2018-05-07,14.6495
2018-05-08,14.5654
2018-05-09,14.4941
2018-05-10,14.4234
2018-05-11,14.3492
2018-05-14,14.2825
2018-05-15,14.2172
2018-05-16,14.1524
2018-05-17,14.0882
2018-05-18,14.0239
2018-05-21,13.9658
2018-05-22,13.9003
2018-05-23,13.831
2018-05-24,13.7561
2018-05-25,13.6819
2018-05-29,13.6007
2018-05-30,13.5582
2018-05-31,13.5161
2018-06-01,13.4855
2018-06-04,13.4694
2018-06-05,13.4551
2018-06-06,13.4593
2018-06-07,13.4636
2018-06-08,13.4603
2018-06-11,13.4567
2018-06-12,13.4465
2018-06-13,13.4405
2018-06-14,13.4281
2018-06-15,13.4093
2018-06-18,13.3907
2018-06-19,13.359
2018-06-20,13.3284
2018-06-21,13.285
2018-06-22,13.2486
2018-06-25,13.1955
2018-06-26,13.1447
2018-06-27,13.0773
2018-06-28,13.0097
2018-06-29,12.9479
2018-07-02,12.8811
2018-07-03,12.801
2018-07-05,12.7131
2018-07-06,12.6259
2018-07-09,12.5525
2018-07-10,12.486
2018-07-11,12.4252
2018-07-12,12.3739
2018-07-13,12.323
2018-07-16,12.2798
2018-07-17,12.2408
2018-07-18,12.2149
2018-07-19,12.1872
2018-07-20,12.1502
2018-07-23,12.1168
2018-07-24,12.0812
2018-07-25,12.0481
2018-07-26,12.0268
2018-07-27,11.9998
2018-07-30,11.9438
2018-07-31,11.8732
2018-08-01,11.8128
2018-08-02,11.7515
2018-08-03,11.6917
2018-08-06,11.6335
2018-08-07,11.5831
2018-08-08,11.535
2018-08-09,11.4872
2018-08-10,11.4339
2018-08-13,11.3916
2018-08-14,11.3523
2018-08-15,11.3212
2018-08-16,11.2992
2018-08-17,11.2804
2018-08-20,11.2639
2018-08-21,11.2331
2018-08-22,11.1986
2018-08-23,11.17
2018-08-24,11.1458
2018-08-27,11.1356
2018-08-28,11.1212
2018-08-29,11.1127
2018-08-30,11.1112
2018-08-31,11.1177
2018-09-04,11.135
2018-09-05,11.1266
2018-09-06,11.1183
2018-09-07,11.1111
2018-09-10,11.111
2018-09-11,11.1028
2018-09-12,11.0783
2018-09-13,11.056
2018-09-14,11.0368
2018-09-17,11.0127
