date,Aroon Down,Aroon Up
2018-01-02,5.7851,85.124
2018-01-03,4.9587,84.2975
2018-01-04,4.1322,83.4711
2018-01-05,3.3058,82.6446
2018-01-08,2.4793,81.8182
2018-01-09,1.6529,80.9917
2018-01-10,0.8264,80.1653
2018-01-11,0.0,79.3388
2018-01-12,0.8264,78.5124
2018-01-16,0.0,77.686
2018-01-17,4.1322,76.8595
2018-01-18,3.3058,76.0331
2018-01-19,2.4793,75.2066
2018-01-22,1.6529,100.0
2018-01-23,0.8264,100.0
2018-01-24,0.0,99.1736
2018-01-25,5.7851,98.3471
2018-01-26,4.9587,97.5207
2018-01-29,4.1322,100.0
2018-01-30,3.3058,99.1736
2018-01-31,2.4793,98.3471
2018-02-01,1.6529,100.0
2018-02-02,0.8264,100.0
2018-02-05,0.0,99.1736
2018-02-06,0.0,98.3471
2018-02-07,3.3058,97.5207
2018-02-08,2.4793,96.6942
2018-02-09,1.6529,95.8678
2018-02-12,0.8264,95.0413
2018-02-13,0.0,94.2149
2018-02-14,7.438,93.3884
2018-02-15,6.6116,100.0
2018-02-16,5.7851,100.0
2018-02-20,4.9587,99.1736
2018-02-21,4.1322,98.3471
2018-02-22,3.3058,97.5207
2018-02-23,2.4793,96.6942
2018-02-26,1.6529,100.0
2018-02-27,0.8264,100.0
2018-02-28,0.0,99.1736
2018-03-01,0.8264,98.3471
2018-03-02,0.0,97.5207
2018-03-05,0.0,100.0
2018-03-06,0.0,100.0
2018-03-07,0.0,99.1736
2018-03-08,0.0,98.3471
2018-03-09,1.6529,100.0
2018-03-12,0.8264,99.1736
2018-03-13,0.0,98.3471
2018-03-14,0.0,97.5207
2018-03-15,0.0,96.6942
2018-03-16,19.8347,95.8678
2018-03-19,19.0083,95.0413
2018-03-20,18.1818,94.2149
2018-03-21,17.3554,93.3884
2018-03-22,16.5289,92.562
2018-03-23,15.7025,91.7355
2018-03-26,14.876,90.9091
2018-03-27,14.0496,90.0826
2018-03-28,13.2231,89.2562
2018-03-29,12.3967,88.4298
2018-04-02,11.5702,87.6033
2018-04-03,10.7438,86.7769
2018-04-04,9.9174,85.9504
2018-04-05,9.0909,85.124
2018-04-06,8.2645,84.2975
2018-04-09,7.438,83.4711
2018-04-10,6.6116,82.6446
2018-04-11,5.7851,81.8182
2018-04-12,4.9587,80.9917
2018-04-13,4.1322,80.1653
2018-04-16,3.3058,79.3388
2018-04-17,2.4793,78.5124
2018-04-18,1.6529,77.686
2018-04-19,0.8264,76.8595
2018-04-20,0.0,76.0331
2018-04-23,0.0,75.2066
2018-04-24,0.0,74.3802
2018-04-25,1.6529,73.5537
