date,WILLR
2018-01-02,-55.4382
2018-01-03,-43.189
2018-01-04,-34.8997
2018-01-05,-29.7782
2018-01-08,-18.7962
2018-01-09,-14.9606
2018-01-10,-13.4421
2018-01-11,-15.1589
2018-01-12,-15.7538
2018-01-16,-19.0154
2018-01-17,-23.6308
2018-01-18,-19.8198
2018-01-19,-6.8336
2018-01-22,-0.0
2018-01-23,-12.3088
2018-01-24,-7.1978
2018-01-25,-12.928
2018-01-26,-6.9665
2018-01-29,-23.7226
2018-01-30,-24.659
2018-01-31,-23.4885
2018-02-01,-1.1677
2018-02-02,-20.1296
2018-02-05,-46.7793
2018-02-06,-27.6846
2018-02-07,-15.8863
2018-02-08,-51.54
2018-02-09,-31.8244
2018-02-12,-14.8514
2018-02-13,-14.6961
2018-02-14,-4.3985
2018-02-15,-0.4644
2018-02-16,-13.7025
2018-02-20,-9.2273
2018-02-21,-16.4707
2018-02-22,-22.2378
2018-02-23,-6.1362
2018-02-26,-0.2148
2018-02-27,-10.95
2018-02-28,-13.0007
2018-03-01,-28.0908
2018-03-02,-14.8858
2018-03-05,-7.4941
2018-03-06,-3.3937
2018-03-07,-8.2214
2018-03-08,-8.8906
2018-03-09,-1.2783
2018-03-12,-11.3113
2018-03-13,-30.8845
2018-03-14,-39.2155
2018-03-15,-28.2867
2018-03-16,-29.496
2018-03-19,-36.5728
2018-03-20,-33.7063
2018-03-21,-32.273
2018-03-22,-51.7119
2018-03-23,-60.849
2018-03-26,-44.7694
2018-03-27,-56.9075
2018-03-28,-57.6242
2018-03-29,-44.6351
2018-04-02,-62.7302
2018-04-03,-49.8755
2018-04-04,-50.2338
2018-04-05,-45.3823
2018-04-06,-70.0121
2018-04-09,-65.2215
2018-04-10,-49.7712
2018-04-11,-64.061
2018-04-12,-45.9688
2018-04-13,-50.8138
2018-04-16,-47.1341
2018-04-17,-42.5957
2018-04-18,-39.8972
2018-04-19,-44.3743
2018-04-20,-40.6332
2018-04-23,-46.0301
2018-04-24,-61.9758
2018-04-25,-65.1649
2018-04-26,-75.1616
2018-04-27,-87.9794
2018-04-30,-86.0169
2018-05-01,-87.8651
2018-05-02,-88.5585
2018-05-03,-82.4772
2018-05-04,-70.4584
2018-05-07,-70.0282
2018-05-08,-71.4286
2018-05-09,-43.8427
2018-05-10,-55.0445
2018-05-11,-59.9554
2018-05-14,-47.0282
2018-05-15,-51.3373
2018-05-16,-49.7028
2018-05-17,-49.4799
2018-05-18,-56.315
2018-05-21,-44.4279
2018-05-22,-48.2912
2018-05-23,-53.8633
2018-05-24,-52.0784
2018-05-25,-55.2941
2018-05-29,-62.5098
2018-05-30,-9.098
2018-05-31,-29.4118
2018-06-01,-1.9424
2018-06-04,-1.0856
2018-06-05,-1.9538
2018-06-06,-4.0078
2018-06-07,-12.8055
2018-06-08,-16.5689
2018-06-11,-18.2307
2018-06-12,-20.2346
2018-06-13,-18.9638
2018-06-14,-26.8817
2018-06-15,-22.1408
2018-06-18,-25.2199
2018-06-19,-36.1681
2018-06-20,-34.9462
2018-06-21,-30.0098
2018-06-22,-29.0323
2018-06-25,-38.4653
2018-06-26,-43.0596
2018-06-27,-54.5943
2018-06-28,-51.3196
2018-06-29,-56.0989
2018-07-02,-60.4665
2018-07-03,-77.2012
2018-07-05,-81.9825
2018-07-06,-81.2245
2018-07-09,-63.1487
2018-07-10,-59.4169
2018-07-11,-52.07
2018-07-12,-44.6647
2018-07-13,-43.4402
2018-07-16,-35.8017
2018-07-17,-31.137
2018-07-18,-19.4752
2018-07-19,-32.1283
2018-07-20,-31.2536
2018-07-23,-29.7472
2018-07-24,-34.6855
2018-07-25,-30.9068
2018-07-26,-52.6667
2018-07-27,-59.1333
2018-07-30,-87.6667
2018-07-31,-95.1608
2018-08-01,-80.7368
2018-08-02,-82.517
2018-08-03,-76.3072
2018-08-06,-74.5763
2018-08-07,-63.397
2018-08-08,-61.0891
2018-08-09,-66.6426
2018-08-10,-59.1425
2018-08-13,-58.9227
2018-08-14,-41.627
2018-08-15,-31.6599
2018-08-16,-25.7237
2018-08-17,-19.1279
2018-08-20,-16.9293
2018-08-21,-33.9318
2018-08-22,-37.3763
2018-08-23,-31.6599
2018-08-24,-19.5676
2018-08-27,-10.3335
2018-08-28,-17.5156
2018-08-29,-0.3604
2018-08-30,-1.1232
2018-08-31,-1.6211
2018-09-04,-0.1068
2018-09-05,-31.9043
2018-09-06,-20.2788
2018-09-07,-18.8059
2018-09-10,-17.1226
2018-09-11,-22.7512
2018-09-12,-30.0105
2018-09-13,-26.5387
2018-09-14,-22.1199
2018-09-17,-29.011
2018-09-18,-26.0652
2018-09-19,-19.7002
2018-09-20,-15.6497
2018-09-21,-11.757
2018-09-24,-13.7033
2018-09-25,-19.7528
2018-09-26,-23.5469
2018-09-27,-29.3323
2018-09-28,-41.146
2018-10-01,-19.3639
2018-10-02,-18.3189
2018-10-03,-12.2233
2018-10-04,-6.1122
2018-10-05,-6.0377
2018-10-08,-10.646
2018-10-09,-9.5263
2018-10-10,-15.6863
2018-10-11,-41.8829
2018-10-12,-39.0465
2018-10-15,-55.2203
2018-10-16,-29.6319
2018-10-17,-9.9578
2018-10-18,-7.8528
2018-10-19,-6.8695
2018-10-22,-17.7119
2018-10-23,-20.6065
2018-10-24,-18.6768
2018-10-25,-45.96
2018-10-26,-37.4515
2018-10-29,-31.9974
2018-10-30,-9.5992
2018-10-31,-12.4079
2018-11-01,-17.159
2018-11-02,-16.8461
2018-11-05,-7.5354
2018-11-06,-11.3268
2018-11-07,-0.2674
2018-11-08,-1.8972
2018-11-09,-3.3838
2018-11-12,-19.5183
2018-11-13,-15.2027
2018-11-14,-11.6227
2018-11-15,-0.3704
2018-11-16,-2.1539
2018-11-19,-5.4362
2018-11-20,-18.1945
2018-11-21,-26.1454
2018-11-23,-28.734
2018-11-26,-20.9101
2018-11-27,-11.9446
2018-11-28,-41.8908
2018-11-29,-34.3277
2018-11-30,-29.4118
2018-12-03,-37.6891
2018-12-04,-37.3109
2018-12-06,-33.8655
2018-12-07,-41.8908
2018-12-10,-28.2773
2018-12-11,-32.1717
2018-12-12,-36.8877
2018-12-13,-41.9074
2018-12-14,-43.2829
2018-12-17,-52.6823
2018-12-18,-65.5204
2018-12-19,-52.9574
2018-12-20,-55.8459
2018-12-21,-66.1623
2018-12-24,-98.0825
2018-12-26,-65.3618
2018-12-27,-56.5052
2018-12-28,-48.5785
2018-12-31,-39.6776
2019-01-02,-50.9255
2019-01-03,-68.993
2019-01-04,-54.911
2019-01-07,-59.0293
2019-01-08,-63.8562
2019-01-09,-82.0122
2019-01-10,-76.2997
2019-01-11,-73.1999
2019-01-14,-81.5251
2019-01-15,-66.956
2019-01-16,-65.4946
2019-01-17,-70.0558
2019-01-18,-56.0582
2019-01-22,-40.7867
2019-01-23,-33.33
2019-01-24,-40.8368
2019-01-25,-42.7385
2019-01-28,-43.24
2019-01-29,-63.6146
2019-01-30,-68.0731
2019-01-31,-57.6881
2019-02-01,-51.381
2019-02-04,-61.7116
2019-02-05,-76.7181
2019-02-06,-82.264
2019-02-07,-81.5837
2019-02-08,-76.5303
2019-02-11,-76.8148
2019-02-12,-66.5174
2019-02-13,-57.1154
2019-02-14,-76.3032
2019-02-15,-89.095
2019-02-19,-96.1305
2019-02-20,-82.9209
2019-02-21,-76.2269
2019-02-22,-66.2205
2019-02-25,-69.8534
2019-02-26,-65.9018
2019-02-27,-54.7482
2019-02-28,-40.2742
2019-03-01,-35.8355
2019-03-04,-50.7833
2019-03-05,-78.9164
2019-03-06,-90.2742
2019-03-07,-93.3493
2019-03-08,-93.8174
2019-03-11,-97.9013
2019-03-12,-98.5531
2019-03-13,-92.0881
2019-03-14,-92.6887
2019-03-15,-84.6226
2019-03-18,-85.8019
2019-03-19,-91.2736
2019-03-20,-99.1064
2019-03-21,-94.7725
2019-03-22,-92.8036
2019-03-25,-88.9553
2019-03-26,-88.4551
2019-03-27,-95.0462
2019-03-28,-92.9251
2019-03-29,-85.3951
