date,CCI
2018-01-02,-125.676
2018-01-03,-126.0642
2018-01-04,89.8903
2018-01-05,63.9398
2018-01-08,-52.7745
2018-01-09,79.0483
2018-01-10,137.355
2018-01-11,81.4078
2018-01-12,168.1726
2018-01-16,196.3669
2018-01-17,116.1173
2018-01-18,105.4951
2018-01-19,117.1935
2018-01-22,118.1767
2018-01-23,99.4558
2018-01-24,132.2697
2018-01-25,126.0501
2018-01-26,108.7357
2018-01-29,117.1248
2018-01-30,17.739
2018-01-31,-19.8804
2018-02-01,-21.7627
2018-02-02,-157.1332
2018-02-05,-270.1675
2018-02-06,-168.0829
2018-02-07,-85.1713
2018-02-08,-112.2898
2018-02-09,-88.3392
2018-02-12,-31.875
2018-02-13,-17.9543
2018-02-14,44.7968
2018-02-15,111.4788
2018-02-16,120.8424
2018-02-20,79.8448
2018-02-21,91.8852
2018-02-22,46.8857
2018-02-23,50.6261
2018-02-26,89.0194
2018-02-27,32.1002
2018-02-28,-140.7428
2018-03-01,-269.3833
2018-03-02,-197.9952
2018-03-05,-99.8796
2018-03-06,-66.8672
2018-03-07,-78.0555
2018-03-08,-57.1634
2018-03-09,41.3864
2018-03-12,81.6182
2018-03-13,49.4195
2018-03-14,-35.0311
2018-03-15,-75.9478
2018-03-16,-67.1591
2018-03-19,-117.7967
2018-03-20,-76.1259
2018-03-21,-48.0378
2018-03-22,-166.284
2018-03-23,-203.7025
2018-03-26,-123.9091
2018-03-27,-105.8628
2018-03-28,-98.4216
2018-03-29,-82.3558
2018-04-02,-82.7167
2018-04-03,-59.8328
2018-04-04,-33.556
2018-04-05,122.1458
2018-04-06,26.5877
2018-04-09,104.0085
2018-04-10,147.0608
2018-04-11,69.432
2018-04-12,141.2118
2018-04-13,101.8849
2018-04-16,28.6891
2018-04-17,-13.8316
2018-04-18,-92.0681
2018-04-19,-24.6448
2018-04-20,-20.087
2018-04-23,-76.9827
2018-04-24,-99.6232
2018-04-25,-112.2375
2018-04-26,-83.354
2018-04-27,-92.972
2018-04-30,-126.0813
2018-05-01,-183.7932
2018-05-02,-110.4415
2018-05-03,-142.3038
2018-05-04,-100.1996
2018-05-07,-12.8087
2018-05-08,194.6804
2018-05-09,184.2028
2018-05-10,152.2916
2018-05-11,120.6242
2018-05-14,91.8861
2018-05-15,73.5909
2018-05-16,46.9857
2018-05-17,13.1908
2018-05-18,-74.0894
2018-05-21,-99.0795
2018-05-22,-61.1244
2018-05-23,-114.9122
2018-05-24,-130.4262
2018-05-25,-136.9213
2018-05-29,-195.2036
2018-05-30,-126.6715
2018-05-31,-101.3488
2018-06-01,-48.854
2018-06-04,-42.0787
2018-06-05,-56.8322
2018-06-06,17.3187
2018-06-07,78.282
2018-06-08,78.1949
2018-06-11,97.7047
2018-06-12,32.9988
2018-06-13,-3.6118
2018-06-14,-142.9301
2018-06-15,-145.3616
2018-06-18,-93.0699
2018-06-19,-69.5161
2018-06-20,10.0206
2018-06-21,19.2372
2018-06-22,33.4612
2018-06-25,-98.2321
