date,CCI
2018-01-02,-33.2946
2018-01-03,-106.3802
2018-01-04,102.9868
2018-01-05,8.3475
2018-01-08,-119.6418
2018-01-09,-37.0416
2018-01-10,-38.6534
2018-01-11,41.303
2018-01-12,140.9573
2018-01-16,141.1078
2018-01-17,-39.4935
2018-01-18,-124.0115
2018-01-19,-37.6419
2018-01-22,95.3554
2018-01-23,73.8083
2018-01-24,108.1642
2018-01-25,118.7624
2018-01-26,77.3217
2018-01-29,100.4637
2018-01-30,41.6927
2018-01-31,-51.2203
2018-02-01,45.3995
2018-02-02,-149.9397
2018-02-05,-156.8404
2018-02-06,-74.6768
2018-02-07,-12.0474
2018-02-08,-73.898
2018-02-09,-116.4333
2018-02-12,10.2734
2018-02-13,36.8906
2018-02-14,139.6444
2018-02-15,120.1078
2018-02-16,91.9594
2018-02-20,43.6472
2018-02-21,17.3755
2018-02-22,-163.5228
2018-02-23,-1.0711
2018-02-26,166.6667
2018-02-27,79.657
2018-02-28,-40.2299
2018-03-01,-142.9504
2018-03-02,-98.8737
2018-03-05,-15.6917
2018-03-06,93.89
2018-03-07,63.7445
2018-03-08,63.7433
2018-03-09,136.4118
2018-03-12,123.5274
2018-03-13,39.397
2018-03-14,-73.8534
2018-03-15,-73.5693
2018-03-16,-37.7879
2018-03-19,-146.3472
2018-03-20,-82.0032
2018-03-21,-62.611
2018-03-22,-166.6667
2018-03-23,-125.2165
2018-03-26,-46.162
2018-03-27,-62.6672
2018-03-28,-70.9261
2018-03-29,41.8859
2018-04-02,-91.0753
2018-04-03,-10.355
2018-04-04,52.7794
2018-04-05,158.0861
2018-04-06,-1.5272
2018-04-09,39.1747
2018-04-10,105.7956
2018-04-11,-41.0978
2018-04-12,95.1265
2018-04-13,49.7737
2018-04-16,56.8769
2018-04-17,-19.7338
2018-04-18,-122.464
2018-04-19,-81.5829
2018-04-20,-94.0106
2018-04-23,-158.279
2018-04-24,-125.0209
2018-04-25,-111.7238
2018-04-26,-73.8083
2018-04-27,-49.2907
2018-04-30,-45.4061
2018-05-01,-166.6667
2018-05-02,-100.0705
2018-05-03,-120.6216
2018-05-04,-26.9414
2018-05-07,94.5248
2018-05-08,102.8033
2018-05-09,107.8969
2018-05-10,118.9575
2018-05-11,84.6232
2018-05-14,83.5116
2018-05-15,-32.3252
2018-05-16,-116.5488
2018-05-17,-106.4805
2018-05-18,-131.3312
2018-05-21,-65.1023
2018-05-22,-18.4635
2018-05-23,-112.7101
2018-05-24,-117.9289
2018-05-25,-89.4208
2018-05-29,-166.6667
2018-05-30,-81.5367
2018-05-31,-81.976
2018-06-01,-12.1422
2018-06-04,119.1062
2018-06-05,0.0678
2018-06-06,116.195
2018-06-07,132.9946
2018-06-08,71.6043
2018-06-11,70.0055
2018-06-12,-0.2688
2018-06-13,130.1211
2018-06-14,6.2922
2018-06-15,-138.4534
2018-06-18,-104.6968
2018-06-19,-124.7658
2018-06-20,-76.5474
2018-06-21,-91.0055
2018-06-22,-50.6388
2018-06-25,-166.6667
2018-06-26,-97.9092
2018-06-27,-52.5427
2018-06-28,-20.2315
2018-06-29,8.8878
2018-07-02,-15.9781
2018-07-03,-94.5785
2018-07-05,-145.8192
2018-07-06,1.9826
2018-07-09,166.6667
2018-07-10,93.5301
2018-07-11,42.3053
2018-07-12,53.7892
