date,CCI
2018-01-02,81.4069
2018-01-03,136.4596
2018-01-04,246.8335
2018-01-05,111.5723
2018-01-08,58.7916
2018-01-09,115.4029
2018-01-10,164.1835
2018-01-11,151.5863
2018-01-12,180.7934
2018-01-16,131.3591
2018-01-17,112.5383
2018-01-18,108.166
2018-01-19,94.8883
2018-01-22,92.4946
2018-01-23,100.8761
2018-01-24,149.3536
2018-01-25,134.6674
2018-01-26,118.6093
2018-01-29,117.0405
2018-01-30,53.274
2018-01-31,56.6288
2018-02-01,87.2188
2018-02-02,-32.2798
2018-02-05,-289.0592
2018-02-06,-144.6511
2018-02-07,-47.2577
2018-02-08,-105.942
2018-02-09,-92.6259
2018-02-12,-26.6406
2018-02-13,-3.2381
2018-02-14,70.7951
2018-02-15,111.6025
2018-02-16,106.4939
2018-02-20,75.8794
2018-02-21,92.0527
2018-02-22,65.2563
2018-02-23,96.9727
2018-02-26,161.9536
2018-02-27,124.8603
2018-02-28,27.4779
2018-03-01,-105.6244
2018-03-02,-155.1936
2018-03-05,-64.9388
2018-03-06,-29.1217
2018-03-07,-56.479
2018-03-08,-45.7496
2018-03-09,72.9871
2018-03-12,104.1623
2018-03-13,71.0246
2018-03-14,7.3357
2018-03-15,0.362
2018-03-16,8.4884
2018-03-19,-81.8686
2018-03-20,-51.8454
2018-03-21,-37.5689
2018-03-22,-235.6712
2018-03-23,-213.0051
2018-03-26,-103.45
2018-03-27,-96.6448
2018-03-28,-96.6408
2018-03-29,-50.502
2018-04-02,-72.4143
2018-04-03,-51.3702
2018-04-04,-1.2081
2018-04-05,168.7148
2018-04-06,14.7488
2018-04-09,109.8793
2018-04-10,137.315
2018-04-11,51.4243
2018-04-12,124.3787
2018-04-13,39.3096
2018-04-16,-27.9453
2018-04-17,-33.1872
2018-04-18,-106.3466
2018-04-19,-0.8662
2018-04-20,41.429
2018-04-23,-9.4813
2018-04-24,-19.8029
2018-04-25,-126.9131
2018-04-26,-74.1884
2018-04-27,-106.6918
2018-04-30,-104.0091
2018-05-01,-138.3621
2018-05-02,-114.7087
2018-05-03,-170.1506
2018-05-04,-89.1902
2018-05-07,9.6547
2018-05-08,115.3055
2018-05-09,194.866
2018-05-10,171.2711
2018-05-11,123.4162
2018-05-14,94.9261
2018-05-15,55.9536
2018-05-16,47.249
2018-05-17,26.6534
2018-05-18,-49.3207
2018-05-21,-48.6057
2018-05-22,10.9214
2018-05-23,-89.9927
2018-05-24,-133.7824
2018-05-25,-134.7304
2018-05-29,-250.1455
2018-05-30,-132.7174
2018-05-31,-112.7765
2018-06-01,-56.0041
2018-06-04,-37.5363
2018-06-05,-56.169
2018-06-06,35.9329
2018-06-07,91.3036
2018-06-08,96.3161
2018-06-11,108.6594
2018-06-12,57.312
2018-06-13,43.5157
2018-06-14,-61.1462
2018-06-15,-120.6363
2018-06-18,-92.7458
2018-06-19,-108.4543
2018-06-20,-65.2316
2018-06-21,-72.6105
2018-06-22,-99.2082
2018-06-25,-174.224
2018-06-26,-158.2876
2018-06-27,-125.0322
2018-06-28,-76.6624
2018-06-29,-43.9886
2018-07-02,-59.6162
2018-07-03,-62.299
2018-07-05,-88.3499
2018-07-06,-122.5526
2018-07-09,235.7598
2018-07-10,183.5721
2018-07-11,98.0183
2018-07-12,85.6288
2018-07-13,52.5406
2018-07-16,159.1159
2018-07-17,165.2738
2018-07-18,143.0045
2018-07-19,79.9172
2018-07-20,83.484
2018-07-23,122.5668
2018-07-24,135.2291
2018-07-25,128.9032
2018-07-26,110.0378
2018-07-27,107.8247
2018-07-30,116.2182
2018-07-31,65.7076
2018-08-01,65.5915
2018-08-02,45.5796
2018-08-03,104.8359
2018-08-06,117.0752
2018-08-07,140.8848
2018-08-08,114.4637
2018-08-09,48.1415
2018-08-10,-99.1892
2018-08-13,-130.5522
2018-08-14,-113.5299
2018-08-15,-123.198
2018-08-16,-55.9234
2018-08-17,-49.924
2018-08-20,-47.9457
2018-08-21,18.5441
2018-08-22,6.885
2018-08-23,2.7881
2018-08-24,21.1132
2018-08-27,214.8356
2018-08-28,141.4527
2018-08-29,60.9139
2018-08-30,7.0213
2018-08-31,-101.5685
2018-09-04,-74.1312
2018-09-05,-45.5019
2018-09-06,-104.86
2018-09-07,-80.6622
2018-09-10,-80.207
2018-09-11,-76.6985
2018-09-12,-116.8334
2018-09-13,-129.9793
2018-09-14,-75.9974
2018-09-17,-42.9615
2018-09-18,35.9919
2018-09-19,328.5214
2018-09-20,220.2907
2018-09-21,126.768
2018-09-24,65.345
2018-09-25,43.6838
2018-09-26,-12.8838
2018-09-27,-49.8741
2018-09-28,-112.5021
2018-10-01,-89.844
2018-10-02,-88.1121
2018-10-03,-25.7465
2018-10-04,2.8884
2018-10-05,-8.5679
2018-10-08,1.5968
2018-10-09,-14.7948
2018-10-10,-140.6727
2018-10-11,-249.4564
2018-10-12,-178.1754
2018-10-15,-131.2521
2018-10-16,-82.4134
2018-10-17,-38.4093
2018-10-18,-50.4688
2018-10-19,-53.2697
2018-10-22,-85.2652
2018-10-23,-163.3067
2018-10-24,-181.3234
2018-10-25,-97.241
2018-10-26,-109.8837
2018-10-29,-45.2509
2018-10-30,0.4389
2018-10-31,119.0315
2018-11-01,115.6141
2018-11-02,96.8239
2018-11-05,80.3914
2018-11-06,66.3189
2018-11-07,103.5549
2018-11-08,126.4985
2018-11-09,109.907
2018-11-12,15.0631
2018-11-13,0.3221
2018-11-14,-118.6883
2018-11-15,-52.5147
2018-11-16,-8.6694
2018-11-19,32.7941
2018-11-20,-74.8622
2018-11-21,-101.156
2018-11-23,-160.724
2018-11-26,-7.7255
2018-11-27,43.0336
2018-11-28,112.7639
2018-11-29,74.6094
2018-11-30,93.163
2018-12-03,150.4084
2018-12-04,-52.7523
2018-12-06,-186.6308
2018-12-07,-135.994
2018-12-10,-159.8139
2018-12-11,-111.7492
2018-12-12,-88.3402
2018-12-13,-74.8954
2018-12-14,-74.8806
2018-12-17,-88.9002
2018-12-18,-93.0503
2018-12-19,-137.6991
2018-12-20,-147.7228
2018-12-21,-158.1239
2018-12-24,-170.6562
2018-12-26,-97.1054
2018-12-27,-42.3939
2018-12-28,7.1829
2018-12-31,41.9978
2019-01-02,74.2266
2019-01-03,52.3226
2019-01-04,140.9289
2019-01-07,128.4907
2019-01-08,106.4843
2019-01-09,88.2403
2019-01-10,54.9028
2019-01-11,23.0189
2019-01-14,49.9598
2019-01-15,84.9632
2019-01-16,195.4187
2019-01-17,171.3819
2019-01-18,166.2105
2019-01-22,72.9392
2019-01-23,54.5056
2019-01-24,36.7496
2019-01-25,73.8396
2019-01-28,80.7847
2019-01-29,127.7089
2019-01-30,117.3548
2019-01-31,-10.9594
2019-02-01,62.7154
2019-02-04,38.0973
2019-02-05,32.9392
2019-02-06,30.9205
2019-02-07,-204.1359
2019-02-08,-214.8953
2019-02-11,-139.3078
2019-02-12,-41.6461
2019-02-13,22.576
2019-02-14,-41.2979
2019-02-15,131.0987
2019-02-19,103.3692
2019-02-20,117.2535
2019-02-21,97.2603
2019-02-22,70.7054
2019-02-25,99.1996
2019-02-26,22.4629
2019-02-27,19.5235
2019-02-28,-35.4468
2019-03-01,-56.4318
2019-03-04,-104.1452
2019-03-05,-145.4111
2019-03-06,-119.5595
2019-03-07,-178.0936
2019-03-08,-137.3584
2019-03-11,3.6216
2019-03-12,13.5689
2019-03-13,54.135
2019-03-14,134.2418
2019-03-15,191.8451
2019-03-18,174.3222
2019-03-19,123.7622
2019-03-20,13.1612
2019-03-21,-109.5303
2019-03-22,-189.0117
2019-03-25,-165.9892
2019-03-26,-105.9443
2019-03-27,-82.8105
2019-03-28,-55.1248
2019-03-29,-26.9326
