date,CCI
2018-01-02,15.5763
2018-01-03,42.1899
2018-01-04,84.3823
2018-01-05,98.1392
2018-01-08,102.4782
2018-01-09,132.2483
2018-01-10,153.9572
2018-01-11,167.4681
2018-01-12,181.8208
2018-01-16,197.3167
2018-01-17,129.1565
2018-01-18,130.0893
2018-01-19,123.9059
2018-01-22,157.7798
2018-01-23,158.0614
2018-01-24,177.6825
2018-01-25,182.3899
2018-01-26,171.446
2018-01-29,173.148
2018-01-30,140.9307
2018-01-31,118.6434
2018-02-01,110.8664
2018-02-02,103.9898
2018-02-05,24.0229
2018-02-06,-22.0252
2018-02-07,4.6273
2018-02-08,-71.0223
2018-02-09,-79.258
2018-02-12,-45.2059
2018-02-13,-47.8394
2018-02-14,-8.7593
2018-02-15,13.4507
2018-02-16,17.2469
2018-02-20,1.5728
2018-02-21,-1.5013
2018-02-22,-39.7167
2018-02-23,-15.0743
2018-02-26,6.068
2018-02-27,-4.0115
2018-02-28,-43.169
2018-03-01,-121.7765
2018-03-02,-149.2922
2018-03-05,-109.3739
2018-03-06,-86.5243
2018-03-07,-110.659
2018-03-08,-91.0739
2018-03-09,-20.5195
2018-03-12,-8.7464
2018-03-13,-44.3735
2018-03-14,-98.1652
2018-03-15,-112.6901
2018-03-16,-100.1866
2018-03-19,-133.9611
2018-03-20,-129.0423
2018-03-21,-131.7487
2018-03-22,-205.4526
2018-03-23,-257.7831
2018-03-26,-194.0096
2018-03-27,-209.6416
2018-03-28,-209.4605
2018-03-29,-180.1267
2018-04-02,-192.5368
2018-04-03,-171.3215
2018-04-04,-150.5949
2018-04-05,-116.5869
2018-04-06,-136.7837
2018-04-09,-115.2199
2018-04-10,-104.1302
2018-04-11,-114.4776
2018-04-12,-92.3067
2018-04-13,-89.755
2018-04-16,-81.0994
2018-04-17,-81.2681
2018-04-18,-108.5606
2018-04-19,-99.022
2018-04-20,-93.7682
2018-04-23,-90.1761
2018-04-24,-85.5702
2018-04-25,-80.9343
2018-04-26,-72.2894
2018-04-27,-60.0032
2018-04-30,-67.0132
2018-05-01,-77.5599
2018-05-02,-88.8763
2018-05-03,-97.2723
2018-05-04,-79.4676
2018-05-07,-71.6613
2018-05-08,-66.9222
2018-05-09,-51.8802
2018-05-10,-41.4675
2018-05-11,-19.5888
2018-05-14,-27.0234
2018-05-15,-31.7549
2018-05-16,-35.826
2018-05-17,-35.2817
2018-05-18,-46.3582
2018-05-21,-39.2756
2018-05-22,-22.92
2018-05-23,-40.7267
2018-05-24,-49.2679
2018-05-25,-52.6559
2018-05-29,-136.9215
2018-05-30,-106.4953
2018-05-31,-97.0029
2018-06-01,-24.4216
2018-06-04,-12.6922
2018-06-05,6.0718
2018-06-06,64.4146
2018-06-07,100.0314
2018-06-08,113.9328
2018-06-11,99.3155
2018-06-12,63.1725
2018-06-13,57.1092
2018-06-14,35.2211
2018-06-15,58.8846
2018-06-18,50.4879
2018-06-19,94.4075
2018-06-20,111.413
2018-06-21,21.4966
2018-06-22,24.7372
2018-06-25,-55.9329
2018-06-26,-86.6199
2018-06-27,-127.7529
2018-06-28,-181.5068
2018-06-29,-80.2166
2018-07-02,-93.4387
2018-07-03,-92.2509
2018-07-05,-101.2322
2018-07-06,-88.2803
2018-07-09,51.9079
2018-07-10,80.7388
2018-07-11,70.7222
2018-07-12,99.0661
2018-07-13,26.3345
2018-07-16,68.3907
2018-07-17,84.6006
2018-07-18,11.4156
2018-07-19,58.4158
2018-07-20,42.3775
2018-07-23,106.7662
2018-07-24,130.2689
2018-07-25,96.1308
2018-07-26,177.7014
2018-07-27,205.665
2018-07-30,250.5316
2018-07-31,250.7277
2018-08-01,208.8366
2018-08-02,156.2337
2018-08-03,179.6021
2018-08-06,192.2058
2018-08-07,205.7872
2018-08-08,213.2446
2018-08-09,202.3389
2018-08-10,151.7007
2018-08-13,108.1801
2018-08-14,128.6671
2018-08-15,100.9567
2018-08-16,130.3966
2018-08-17,133.4385
2018-08-20,154.0584
2018-08-21,182.0342
2018-08-22,158.3325
2018-08-23,143.7953
2018-08-24,144.4325
2018-08-27,164.7482
2018-08-28,151.8296
2018-08-29,141.1687
2018-08-30,122.709
2018-08-31,111.6045
2018-09-04,113.2714
2018-09-05,120.0777
2018-09-06,111.7851
2018-09-07,104.0187
2018-09-10,99.2866
2018-09-11,94.2585
2018-09-12,71.0089
2018-09-13,81.4706
2018-09-14,84.089
2018-09-17,83.1228
2018-09-18,82.0097
2018-09-19,110.2235
2018-09-20,134.6116
2018-09-21,126.2725
2018-09-24,97.9294
2018-09-25,81.5182
2018-09-26,49.7304
2018-09-27,-0.3737
2018-09-28,-25.0501
2018-10-01,-18.8928
2018-10-02,-30.5621
2018-10-03,2.812
2018-10-04,32.4731
2018-10-05,23.45
2018-10-08,34.2214
2018-10-09,38.3999
2018-10-10,28.1104
2018-10-11,-103.9534
2018-10-12,-206.589
2018-10-15,-236.1318
2018-10-16,-226.0862
2018-10-17,-108.8608
2018-10-18,-81.2935
2018-10-19,-96.0357
2018-10-22,-141.6482
2018-10-23,-178.673
2018-10-24,-216.5251
2018-10-25,-161.8862
2018-10-26,-182.2368
2018-10-29,-111.5444
2018-10-30,-83.5643
2018-10-31,-56.4536
2018-11-01,-67.352
2018-11-02,-74.3603
2018-11-05,-57.5167
2018-11-06,-52.0947
2018-11-07,-49.7842
2018-11-08,-25.4549
2018-11-09,-6.416
2018-11-12,-9.8636
2018-11-13,21.5698
2018-11-14,47.7331
2018-11-15,63.2242
2018-11-16,102.5383
2018-11-19,109.7568
2018-11-20,75.7788
2018-11-21,46.4129
2018-11-23,20.2143
2018-11-26,65.7411
2018-11-27,33.6638
2018-11-28,47.5813
2018-11-29,54.5038
2018-11-30,80.6588
2018-12-03,79.3162
2018-12-04,-5.3689
2018-12-06,-75.794
2018-12-07,-72.1114
2018-12-10,-141.9117
2018-12-11,-152.9191
2018-12-12,-158.48
2018-12-13,-192.996
2018-12-14,-216.8597
2018-12-17,-240.8916
2018-12-18,-259.9791
2018-12-19,-287.816
2018-12-20,-294.1616
2018-12-21,-299.638
2018-12-24,-306.0185
2018-12-26,-254.7195
2018-12-27,-217.0876
2018-12-28,-194.3656
2018-12-31,-175.6852
2019-01-02,-154.0224
2019-01-03,-145.5065
2019-01-04,-117.8352
2019-01-07,-111.6601
2019-01-08,-105.4224
2019-01-09,-90.1173
2019-01-10,-84.9287
2019-01-11,-81.4587
2019-01-14,-71.9697
2019-01-15,-62.6364
2019-01-16,-35.3417
2019-01-17,-19.0976
2019-01-18,-6.8436
2019-01-22,-4.8205
2019-01-23,1.3489
2019-01-24,9.4972
2019-01-25,23.9594
2019-01-28,18.9459
2019-01-29,19.4999
2019-01-30,19.1866
2019-01-31,17.4877
2019-02-01,25.277
2019-02-04,27.5828
2019-02-05,28.5989
2019-02-06,31.3497
2019-02-07,24.3688
2019-02-08,9.2746
2019-02-11,13.1523
2019-02-12,29.2585
2019-02-13,28.0586
2019-02-14,12.7394
2019-02-15,34.2561
2019-02-19,39.3491
2019-02-20,46.9583
2019-02-21,41.5706
2019-02-22,43.7635
2019-02-25,62.8831
2019-02-26,54.2219
2019-02-27,56.7357
2019-02-28,64.5697
2019-03-01,74.6407
2019-03-04,71.9216
2019-03-05,65.4283
2019-03-06,59.3429
2019-03-07,43.2522
2019-03-08,42.4952
2019-03-11,62.622
2019-03-12,58.2434
2019-03-13,63.0396
2019-03-14,72.0642
2019-03-15,76.071
2019-03-18,89.3735
2019-03-19,81.9478
2019-03-20,36.1492
2019-03-21,-5.3441
2019-03-22,-52.1755
2019-03-25,-70.821
2019-03-26,-65.6996
2019-03-27,-84.8631
2019-03-28,-99.2209
2019-03-29,-93.8743
