date,ADX
2018-01-02,5.3036
2018-01-03,5.3628
2018-01-04,5.4396
2018-01-05,5.5157
2018-01-08,5.5884
2018-01-09,5.6612
2018-01-10,5.7421
2018-01-11,5.8262
2018-01-12,5.8974
2018-01-16,5.968
2018-01-17,6.0505
2018-01-18,6.136
2018-01-19,6.2202
2018-01-22,6.3105
2018-01-23,6.4014
2018-01-24,6.5022
2018-01-25,6.6051
2018-01-26,6.7097
2018-01-29,6.817
2018-01-30,6.9159
2018-01-31,7.0163
2018-02-01,7.1139
2018-02-02,7.1865
2018-02-05,7.1498
2018-02-06,7.0923
2018-02-07,7.0352
2018-02-08,6.9987
2018-02-09,6.9714
2018-02-12,6.9356
2018-02-13,6.886
2018-02-14,6.8426
2018-02-15,6.8065
2018-02-16,6.7752
2018-02-20,6.7553
2018-02-21,6.735
2018-02-22,6.6995
2018-02-23,6.6597
2018-02-26,6.6306
2018-02-27,6.6081
2018-02-28,6.573
2018-03-01,6.5208
2018-03-02,6.4735
2018-03-05,6.4218
2018-03-06,6.3705
2018-03-07,6.3283
2018-03-08,6.2824
2018-03-09,6.2411
2018-03-12,6.2041
2018-03-13,6.1599
2018-03-14,6.1151
2018-03-15,6.0735
2018-03-16,6.0372
2018-03-19,6.0132
2018-03-20,5.9935
2018-03-21,5.9755
2018-03-22,5.9877
2018-03-23,6.0147
2018-03-26,6.0415
2018-03-27,6.078
2018-03-28,6.1142
2018-03-29,6.1381
2018-04-02,6.1773
2018-04-03,6.2161
2018-04-04,6.2424
2018-04-05,6.2553
2018-04-06,6.2811
2018-04-09,6.3009
2018-04-10,6.321
2018-04-11,6.3457
2018-04-12,6.3588
2018-04-13,6.3862
2018-04-16,6.4192
2018-04-17,6.4519
2018-04-18,6.487
2018-04-19,6.5127
2018-04-20,6.5211
2018-04-23,6.5292
2018-04-24,6.5247
2018-04-25,6.5234
2018-04-26,6.5221
2018-04-27,6.5214
2018-04-30,6.5237
2018-05-01,6.5304
2018-05-02,6.5333
2018-05-03,6.5513
2018-05-04,6.5536
2018-05-07,6.5545
2018-05-08,6.5455
2018-05-09,6.5329
2018-05-10,6.5101
2018-05-11,6.4848
2018-05-14,6.4597
2018-05-15,6.4285
2018-05-16,6.3971
2018-05-17,6.3727
2018-05-18,6.3531
2018-05-21,6.3306
2018-05-22,6.2944
2018-05-23,6.2512
2018-05-24,6.2108
2018-05-25,6.1708
2018-05-29,6.1557
2018-05-30,6.1383
2018-05-31,6.1209
2018-06-01,6.0949
2018-06-04,6.067
2018-06-05,6.0434
2018-06-06,6.0103
2018-06-07,5.9725
2018-06-08,5.9386
2018-06-11,5.9003
2018-06-12,5.8679
2018-06-13,5.8357
2018-06-14,5.8125
2018-06-15,5.7909
2018-06-18,5.7695
2018-06-19,5.7483
2018-06-20,5.722
2018-06-21,5.7036
2018-06-22,5.6812
2018-06-25,5.6682
2018-06-26,5.6563
2018-06-27,5.6446
2018-06-28,5.6336
2018-06-29,5.5978
2018-07-02,5.5575
2018-07-03,5.5211
2018-07-05,5.4796
2018-07-06,5.4391
2018-07-09,5.4104
2018-07-10,5.3836
2018-07-11,5.3518
2018-07-12,5.3149
2018-07-13,5.2907
2018-07-16,5.247
2018-07-17,5.2037
2018-07-18,5.1646
2018-07-19,5.1274
2018-07-20,5.0928
2018-07-23,5.0624
2018-07-24,5.0403
2018-07-25,5.0184
2018-07-26,4.9997
2018-07-27,4.9834
2018-07-30,4.9722
2018-07-31,4.9455
2018-08-01,4.919
2018-08-02,4.895
2018-08-03,4.8777
2018-08-06,4.862
2018-08-07,4.848
2018-08-08,4.8389
2018-08-09,4.8246
2018-08-10,4.7958
2018-08-13,4.7672
2018-08-14,4.7409
2018-08-15,4.7146
2018-08-16,4.6963
2018-08-17,4.6814
