date,Aroon Up,Aroon Down
2018-01-02,91.6667,10.0
2018-01-03,90.0,8.3333
2018-01-04,100.0,6.6667
2018-01-05,98.3333,5.0
2018-01-08,96.6667,3.3333
2018-01-09,95.0,1.6667
2018-01-10,100.0,0.0
2018-01-11,100.0,5.0
2018-01-12,98.3333,3.3333
2018-01-16,96.6667,1.6667
2018-01-17,100.0,0.0
2018-01-18,100.0,23.3333
2018-01-19,98.3333,21.6667
2018-01-22,100.0,20.0
2018-01-23,100.0,18.3333
2018-01-24,100.0,16.6667
2018-01-25,100.0,15.0
2018-01-26,100.0,13.3333
2018-01-29,100.0,11.6667
2018-01-30,98.3333,10.0
2018-01-31,96.6667,8.3333
2018-02-01,95.0,6.6667
2018-02-02,93.3333,5.0
2018-02-05,91.6667,3.3333
2018-02-06,90.0,1.6667
2018-02-07,88.3333,0.0
2018-02-08,86.6667,3.3333
2018-02-09,85.0,1.6667
2018-02-12,83.3333,0.0
2018-02-13,81.6667,0.0
2018-02-14,80.0,11.6667
2018-02-15,78.3333,10.0
2018-02-16,76.6667,8.3333
2018-02-20,75.0,6.6667
2018-02-21,73.3333,5.0
2018-02-22,71.6667,3.3333
2018-02-23,70.0,1.6667
2018-02-26,68.3333,0.0
2018-02-27,66.6667,81.6667
2018-02-28,65.0,80.0
2018-03-01,63.3333,78.3333
2018-03-02,61.6667,76.6667
2018-03-05,60.0,75.0
2018-03-06,58.3333,73.3333
2018-03-07,56.6667,71.6667
2018-03-08,55.0,70.0
2018-03-09,53.3333,68.3333
2018-03-12,51.6667,66.6667
2018-03-13,50.0,65.0
2018-03-14,48.3333,63.3333
2018-03-15,46.6667,61.6667
2018-03-16,45.0,60.0
2018-03-19,43.3333,58.3333
2018-03-20,41.6667,100.0
2018-03-21,40.0,100.0
2018-03-22,38.3333,100.0
2018-03-23,36.6667,100.0
2018-03-26,35.0,98.3333
2018-03-27,33.3333,100.0
2018-03-28,31.6667,98.3333
2018-03-29,30.0,96.6667
2018-04-02,28.3333,100.0
2018-04-03,26.6667,98.3333
2018-04-04,25.0,96.6667
2018-04-05,23.3333,95.0
2018-04-06,21.6667,93.3333
2018-04-09,20.0,91.6667
2018-04-10,18.3333,90.0
2018-04-11,16.6667,88.3333
2018-04-12,15.0,86.6667
2018-04-13,13.3333,85.0
2018-04-16,11.6667,100.0
2018-04-17,10.0,98.3333
2018-04-18,8.3333,100.0
2018-04-19,6.6667,98.3333
2018-04-20,5.0,96.6667
2018-04-23,3.3333,95.0
2018-04-24,1.6667,93.3333
